type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
1o,2_2,0,407550,551460,200654,39215,29112,149896,15442,430,0,13214,305331,81.4,0.77,17.83
1o,2_3,0,468081,563202,195138,39215,30582,146898,15420,430,0,12633,240705,85.2,0.74,14.06
1o,2_4,0,468081,563202,195138,39215,30582,146886,15420,430,0,12424,240926,85.2,0.73,14.07
1o,2_5,0,464411,562356,191929,37365,30582,146865,15419,430,0,12182,250765,84.64,0.71,14.64
1o,2_6,0,488808,574134,192422,35515,30582,146844,15418,430,0,11442,216709,86.68,0.67,12.66
1o,2_7,0,507837,584412,192422,33665,30582,146823,15417,430,0,11470,189246,88.28,0.67,11.05
1o,2_8,0,509776,585066,189213,31815,30582,146802,15416,430,0,11340,191864,88.13,0.66,11.21
1o,2_9,0,644632,687270,112581,0,30762,99822,0,430,0,62979,73828,92.01,3.68,4.31
1o,2_T,0,374479,459660,189213,32056,30582,141084,15175,430,0,9440,460185,72.57,0.55,26.88
1o,2_J,0,368870,458160,192422,33906,30582,141093,15176,430,0,8754,462911,72.45,0.51,27.03
1o,2_Q,0,363261,456660,195631,35756,30582,141102,15177,430,0,8176,465529,72.34,0.48,27.19
1o,2_K,0,358627,455160,198840,36631,30582,141111,15178,430,0,7706,468039,72.22,0.45,27.33
1o,2_A,0,345207,446382,198840,31372,30582,141120,15179,430,0,7164,496028,70.61,0.42,28.97
1o,2_3,0,468081,563202,195138,39215,30540,146898,15420,430,0,12954,240426,85.2,0.76,14.04
1o,3_3,0,402675,549960,200161,39215,29070,149576,15442,430,0,12409,313366,80.97,0.72,18.3
1o,3_4,0,450991,553578,191929,39215,30540,146874,15420,430,0,12244,271083,83.45,0.72,15.83
1o,3_5,0,447321,552732,188720,37365,30540,146853,15419,430,0,12002,280922,82.89,0.7,16.41
1o,3_6,0,471718,564510,189213,35515,30540,146832,15418,430,0,11262,246866,84.93,0.66,14.42
1o,3_7,0,490747,574788,189213,33665,30540,146811,15417,430,0,11290,219403,86.53,0.66,12.81
1o,3_8,0,509776,585066,189213,31815,30540,146790,15416,430,0,11339,191919,88.13,0.66,11.21
1o,3_9,0,639023,685770,112329,0,30720,99810,0,430,0,62737,81485,91.58,3.66,4.76
1o,3_T,0,369845,458160,188720,32056,30540,141072,15175,430,0,9198,467108,72.18,0.54,27.28
1o,3_J,0,364236,456660,191929,33906,30540,141081,15176,430,0,8512,469834,72.06,0.5,27.44
1o,3_Q,0,358627,455160,195138,35756,30540,141090,15177,430,0,7934,472452,71.95,0.46,27.59
1o,3_K,0,353993,453660,198347,36631,30540,141099,15178,430,0,7464,474962,71.83,0.44,27.74
1o,3_A,0,340573,444882,198347,31372,30540,141108,15179,430,0,6922,502951,70.22,0.4,29.37
1o,2_4,0,468081,563202,195138,39215,30540,146886,15420,430,0,12954,240438,85.2,0.76,14.04
1o,3_4,0,450991,553578,191929,39215,30540,146874,15420,430,0,12453,270874,83.45,0.73,15.82
1o,4_4,0,402675,549960,200161,39215,29070,149256,15442,430,0,12200,313895,80.96,0.71,18.33
1o,4_5,0,433901,543954,188720,37365,30540,146841,15419,430,0,12002,303132,81.6,0.7,17.7
1o,4_6,0,453664,554232,189213,35515,30540,146820,15418,430,0,11262,275210,83.27,0.66,16.07
1o,4_7,0,471718,564510,189213,33665,30540,146799,15417,430,0,11290,248722,84.82,0.66,14.53
1o,4_8,0,490747,574788,189213,31815,30540,146778,15416,430,0,11339,221238,86.42,0.66,12.92
1o,4_9,0,639023,685770,112329,0,30720,99798,0,430,0,62737,81497,91.58,3.66,4.76
1o,4_T,0,369845,458160,188720,32056,30540,141060,15175,430,0,9198,467120,72.18,0.54,27.28
1o,4_J,0,364236,456660,191929,33906,30540,141069,15176,430,0,8512,469846,72.06,0.5,27.44
1o,4_Q,0,358627,455160,195138,35756,30540,141078,15177,430,0,7934,472464,71.94,0.46,27.59
1o,4_K,0,353993,453660,198347,36631,30540,141087,15178,430,0,7464,474974,71.83,0.44,27.74
1o,4_A,0,340573,444882,198347,31372,30540,141096,15179,430,0,6922,502963,70.22,0.4,29.37
1o,2_5,0,464411,562356,191929,37365,30540,146874,15420,387,0,12829,250193,84.64,0.75,14.61
1o,3_5,0,447321,552732,188720,37365,30540,146862,15420,387,0,12328,280629,82.89,0.72,16.39
1o,4_5,0,433901,543954,188720,37365,30540,146850,15420,387,0,12119,303048,81.59,0.71,17.7
1o,5_5,0,402675,549960,196952,34823,29080,148927,15441,387,0,11833,322226,80.49,0.69,18.82
1o,5_6,0,453664,553806,177072,33833,30544,146809,15418,387,0,11168,289603,82.43,0.65,16.91
1o,5_7,0,471718,564084,177072,31983,30544,146788,15417,387,0,11196,263115,83.98,0.65,15.37
1o,5_8,0,490747,574362,177072,30133,30544,146767,15416,387,0,11245,235631,85.58,0.66,13.76
1o,5_9,0,619994,675492,110628,0,30720,99786,0,387,0,60762,114535,89.76,3.55,6.69
1o,5_T,0,365441,457314,188720,30144,30540,141048,15175,387,0,9198,474337,71.76,0.54,27.7
1o,5_J,0,360566,455814,188720,32056,30540,141057,15176,387,0,8387,479601,71.5,0.49,28.01
1o,5_Q,0,354957,454314,191929,33906,30540,141066,15177,387,0,7809,482219,71.38,0.46,28.16
1o,5_K,0,350323,452814,195138,34781,30540,141075,15178,387,0,7339,484729,71.26,0.43,28.31
1o,5_A,0,336903,444036,195138,29522,30540,141084,15179,387,0,6797,512718,69.66,0.4,29.94
