type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
1o,2_2,0,268644,319134,43616,163117,29156,39162,2246,387,44,29936,816862,50.55,1.75,47.71
1o,2_3,55575,446278,323973,64174,166405,30581,38244,2221,387,44,32192,552230,65.87,1.88,32.25
1o,2_4,55575,446278,323109,64174,166405,30581,38244,2221,387,44,31971,553315,65.82,1.87,32.31
1o,2_5,55575,446278,322353,64174,166405,30581,38244,2221,387,44,31834,554208,65.77,1.86,32.37
1o,2_6,71175,467271,320520,64838,156943,30581,38240,2221,387,44,31210,528874,67.29,1.82,30.89
1o,2_7,85800,491013,319749,65690,147481,30581,38236,2221,387,44,31354,499748,68.98,1.83,29.19
1o,2_8,95550,501030,316263,65910,138019,30581,38232,2221,387,44,31923,492144,69.39,1.86,28.74
1o,2_9,170625,548665,259742,52568,143149,30626,20556,1256,387,44,127554,357132,71.69,7.45,20.86
1o,2_T,170625,466362,218531,40446,134604,30761,20187,990,387,44,271397,357970,63.24,15.85,20.91
1o,2_J,0,362481,256359,56886,138198,30581,36852,1980,387,44,57147,771389,51.61,3.34,45.05
1o,2_Q,0,322539,258705,55066,147660,30581,36856,1980,387,44,47317,811169,49.86,2.76,47.37
1o,2_K,0,283331,261051,53630,156388,30581,36860,1980,387,44,44685,843367,48.14,2.61,49.25
1o,2_A,0,243640,261996,52390,160591,30581,36864,1980,387,44,30987,892844,46.05,1.81,52.14
1o,2_3,55575,446278,323973,64174,166405,30539,38244,2221,387,44,32513,551951,65.87,1.9,32.23
1o,3_3,0,267176,313374,43616,163117,29114,39114,2246,387,44,24307,829809,50.12,1.42,48.46
1o,3_4,49725,432194,319566,63606,166405,30539,38244,2221,387,44,31779,577594,64.41,1.86,33.73
1o,3_5,49725,432194,318810,63606,166405,30539,38244,2221,387,44,31642,578487,64.37,1.85,33.78
1o,3_6,65325,453187,316977,64270,156943,30539,38240,2221,387,44,31018,553153,65.88,1.81,32.3
1o,3_7,79950,476929,316206,65122,147481,30539,38236,2221,387,44,31162,524027,67.58,1.82,30.6
1o,3_8,95550,501030,315399,65910,138019,30539,38232,2221,387,44,31910,493063,69.34,1.86,28.8
1o,3_9,166725,545938,258065,52568,143149,30584,20556,1256,387,44,126718,366314,71.21,7.4,21.39
1o,3_T,166725,463635,217811,40446,134604,30719,20187,990,387,44,269577,367179,62.81,15.74,21.44
1o,3_J,0,359513,256359,56886,138198,30539,36852,1980,387,44,56893,774653,51.44,3.32,45.24
1o,3_Q,0,319571,258705,55066,147660,30539,36856,1980,387,44,47063,814433,49.69,2.75,47.56
1o,3_K,0,281113,261051,53630,156388,30539,36860,1980,387,44,43681,846631,48.01,2.55,49.44
1o,3_A,0,242172,261996,52390,160591,30539,36864,1980,387,44,29983,895358,45.96,1.75,52.29
1o,2_4,55575,446278,323109,64174,166405,30539,38244,2221,387,44,32501,552827,65.82,1.9,32.29
1o,3_4,49725,432194,319566,63606,166405,30539,38244,2221,387,44,31988,577385,64.41,1.87,33.72
1o,4_4,0,267176,308190,43616,163117,29114,39066,2246,387,44,19850,839498,49.81,1.16,49.03
1o,4_5,49725,432194,318054,63606,166405,30539,38244,2221,387,44,31630,579255,64.32,1.85,33.83
1o,4_6,59475,443696,314943,63890,156943,30539,38240,2221,387,44,31006,570920,64.85,1.81,33.34
1o,4_7,71175,465204,314172,64742,147481,30539,38236,2221,387,44,31150,546953,66.24,1.82,31.94
1o,4_8,85800,489305,313365,65530,138019,30539,38232,2221,387,44,31898,516964,67.95,1.86,30.19
1o,4_9,166725,545938,256496,52568,143149,30584,20556,1256,387,44,126124,368477,71.11,7.37,21.52
1o,4_T,166725,463635,217091,40446,134604,30719,20187,990,387,44,268107,369369,62.77,15.66,21.57
1o,4_J,0,359513,256359,56886,138198,30539,36852,1980,387,44,56881,774665,51.44,3.32,45.24
1o,4_Q,0,319571,258705,55066,147660,30539,36856,1980,387,44,47051,814445,49.69,2.75,47.56
1o,4_K,0,281113,261051,53630,156388,30539,36860,1980,387,44,43669,846643,48.01,2.55,49.44
1o,4_A,0,242172,261996,52390,160591,30539,36864,1980,387,44,29971,895370,45.96,1.75,52.29
1o,2_5,55575,446278,322353,64174,166405,30539,38244,2221,344,44,32489,553638,65.77,1.9,32.33
1o,3_5,49725,432194,318810,63606,166405,30539,38244,2221,344,44,31976,578196,64.37,1.87,33.77
1o,4_5,49725,432194,318054,63606,166405,30539,38244,2221,344,44,31755,579173,64.32,1.85,33.82
1o,5_5,0,267176,303582,43616,163117,29114,39018,2246,344,44,16053,847994,49.54,0.94,49.52
1o,5_6,59475,433621,309537,62810,156943,30539,38240,2221,344,44,30994,587536,63.88,1.81,34.31
1o,5_7,71175,451646,307920,63474,147481,30539,38236,2221,344,44,31138,568086,65.0,1.82,33.18
1o,5_8,85800,475013,307113,64262,138019,30539,38232,2221,344,44,31886,538831,66.67,1.86,31.47
1o,5_9,166725,545938,255035,52568,143149,30584,20556,1256,344,44,125530,370575,71.03,7.33,21.64
1o,5_T,166725,463635,216371,40446,134604,30719,20187,990,344,44,266745,371494,62.73,15.58,21.7
1o,5_J,0,359513,256359,56886,138198,30539,36852,1980,344,44,56869,774720,51.43,3.32,45.24
1o,5_Q,0,319571,258705,55066,147660,30539,36856,1980,344,44,47039,814500,49.69,2.75,47.57
1o,5_K,0,281113,261051,53630,156388,30539,36860,1980,344,44,43657,846698,48.0,2.55,49.45
1o,5_A,0,230922,261996,52006,160591,30539,36864,1980,344,44,41593,895425,45.28,2.43,52.29
1o,2_6,71175,467311,320526,64840,156885,30624,38244,2221,301,44,31927,528206,67.29,1.86,30.85
1o,3_6,65325,453227,316983,64272,156885,30624,38244,2221,301,44,31414,552764,65.88,1.83,32.28
1o,4_6,59475,443736,314949,63892,156885,30624,38244,2221,301,44,31193,570740,64.85,1.82,33.33
1o,5_6,59475,433621,309537,62810,156885,30624,38244,2221,301,44,31056,587486,63.88,1.81,34.31
1o,6_6,0,272314,297072,43804,140043,29208,38966,2246,301,44,12124,876182,48.12,0.71,51.17
1o,6_7,75075,457389,290944,63402,138517,30628,38236,2221,301,44,30288,585259,64.05,1.77,34.18
1o,6_8,89700,480756,290137,64190,129055,30628,38232,2221,301,44,31036,556004,65.72,1.81,32.47
1o,6_9,171600,534325,244856,51298,135124,30672,20556,1256,301,44,122711,399561,69.5,7.17,23.33
1o,6_T,181350,462035,207499,39433,126633,30804,20187,990,301,44,263533,379495,62.45,15.39,22.16
1o,6_J,0,364789,256359,56856,128417,30624,36852,1980,301,44,58502,777580,51.17,3.42,45.41
1o,6_Q,0,321465,254667,54972,138140,30624,36856,1980,301,44,49218,824037,49.0,2.87,48.12
1o,6_K,0,241007,257013,52192,146868,30624,36860,1980,301,44,86116,859299,44.79,5.03,50.18
1o,6_A,0,236790,260205,52288,151071,30624,36864,1980,301,44,6735,935402,44.98,0.39,54.63
1o,2_7,85800,491101,319761,65694,147365,30709,38244,2221,258,44,32098,499009,68.98,1.87,29.14
