type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
1o,2_2,0,289196,346290,44556,66476,29333,39234,2390,172,88,10106,884463,47.76,0.59,51.65
1o,2_3,84825,496130,339828,67466,68143,30752,38316,2349,172,88,9432,574803,65.88,0.55,33.57
1o,2_4,81900,493162,338964,67466,68143,30752,38316,2349,172,88,8970,582022,65.49,0.52,33.99
1o,2_5,78975,490194,338208,67466,68143,30752,38316,2349,172,88,8592,589049,65.1,0.5,34.4
1o,2_6,78975,507864,348189,68878,63972,30748,38316,2349,172,88,8090,564663,66.55,0.47,32.98
1o,2_7,88725,514996,347526,69070,67990,30748,38316,2349,172,88,7865,544459,67.74,0.46,31.8
1o,2_8,91650,512637,345693,68882,66202,30748,38316,2349,172,88,7661,547906,67.55,0.45,32.0
1o,2_9,94575,515605,345369,68882,66202,30748,38316,2349,172,88,7887,542111,67.88,0.46,31.66
1o,2_T,112125,525872,340878,68978,54532,30748,38312,2349,172,88,7983,530267,68.57,0.47,30.97
1o,2_J,207675,606486,334627,58919,48026,30793,20676,1400,172,88,37221,366221,76.44,2.17,21.39
1o,2_Q,111150,489019,325938,69166,56561,30748,37622,2349,172,88,8381,581110,65.57,0.49,33.94
1o,2_K,107250,490823,327339,69354,58349,30748,37622,2349,172,88,8549,579661,65.65,0.5,33.85
1o,2_A,193050,577834,247120,49621,57432,30928,20247,990,172,88,139912,394910,68.77,8.17,23.06
1o,2_3,84825,496130,339828,67466,68143,30710,38316,2349,172,88,9753,574524,65.88,0.57,33.55
1o,3_3,0,287728,335922,44556,66476,29291,39186,2390,172,88,9085,897410,47.06,0.53,52.41
1o,3_4,76050,479078,335421,66898,68143,30710,38316,2349,172,88,8778,606301,64.08,0.51,35.41
1o,3_5,73125,476110,334665,66898,68143,30710,38316,2349,172,88,8400,613328,63.69,0.49,35.82
1o,3_6,73125,493780,344646,68310,63972,30706,38316,2349,172,88,7898,588942,65.14,0.46,34.39
1o,3_7,82875,500912,343983,68502,67990,30706,38316,2349,172,88,7673,568738,66.34,0.45,33.21
1o,3_8,91650,512637,344829,68882,66202,30706,38316,2349,172,88,7648,548825,67.5,0.45,32.05
1o,3_9,91650,512637,344505,68882,66202,30706,38316,2349,172,88,7633,549164,67.48,0.45,32.07
1o,3_T,109200,522904,340014,68978,54532,30706,38312,2349,172,88,7729,537320,68.17,0.45,31.38
1o,3_J,203775,603759,332386,58919,48026,30751,20676,1400,172,88,36949,375403,75.92,2.16,21.92
1o,3_Q,108225,486051,325074,69166,56561,30706,37622,2349,172,88,8127,588163,65.18,0.47,34.35
1o,3_K,104325,487855,326475,69354,58349,30706,37622,2349,172,88,8295,586714,65.25,0.48,34.26
1o,3_A,189150,575107,246112,49621,57432,30886,20247,990,172,88,138380,404119,68.32,8.08,23.6
1o,2_4,81900,493162,338964,67466,68143,30668,38316,2349,172,88,9499,581577,65.48,0.55,33.96
1o,3_4,76050,479078,335421,66898,68143,30668,38316,2349,172,88,8986,606135,64.08,0.52,35.4
1o,4_4,0,286260,326706,44556,66476,29249,39138,2390,172,88,8177,909092,46.43,0.48,53.09
1o,4_5,67275,462026,331230,66330,68143,30668,38316,2349,172,88,8208,637499,62.29,0.48,37.23
1o,4_6,67275,479696,341211,67742,63972,30664,38316,2349,172,88,7706,613113,63.74,0.45,35.81
1o,4_7,77025,486828,340548,67934,67990,30664,38316,2349,172,88,7481,592909,64.94,0.44,34.63
1o,4_8,85800,498553,341394,68314,66202,30664,38316,2349,172,88,7456,572996,66.1,0.44,33.46
1o,4_9,91650,512637,343749,68882,66202,30664,38316,2349,172,88,7620,549975,67.44,0.45,32.12
1o,4_T,106275,519936,339258,68978,54532,30664,38312,2349,172,88,7475,544265,67.78,0.44,31.79
1o,4_J,199875,601032,330253,58919,48026,30709,20676,1400,172,88,36677,384477,75.4,2.14,22.45
1o,4_Q,105300,483083,324318,69166,56561,30664,37622,2349,172,88,7873,595108,64.79,0.46,34.75
1o,4_K,101400,484887,325719,69354,58349,30664,37622,2349,172,88,8041,593659,64.86,0.47,34.67
1o,4_A,185250,572380,245104,49621,57432,30844,20247,990,172,88,136956,413220,67.87,8.0,24.13
1o,2_5,78975,490194,338208,67466,68143,30626,38316,2349,172,88,9245,588522,65.09,0.54,34.37
1o,3_5,73125,476110,334665,66898,68143,30626,38316,2349,172,88,8732,613080,63.69,0.51,35.8
1o,4_5,67275,462026,331230,66330,68143,30626,38316,2349,172,88,8332,637417,62.29,0.49,37.23
1o,5_5,0,284792,318642,44556,66476,29207,39090,2390,172,88,7353,919538,45.87,0.43,53.7
1o,5_6,61425,465612,337884,67174,63972,30622,38316,2349,172,88,7514,637176,62.35,0.44,37.21
1o,5_7,71175,472744,337221,67366,67990,30622,38316,2349,172,88,7289,616972,63.54,0.43,36.03
1o,5_8,79950,484469,338067,67746,66202,30622,38316,2349,172,88,7264,597059,64.71,0.42,34.87
1o,5_9,85800,498553,340422,68314,66202,30622,38316,2349,172,88,7428,574038,66.04,0.43,33.52
1o,5_T,106275,519936,338610,68978,54532,30622,38312,2349,172,88,7462,544968,67.74,0.44,31.83
1o,5_J,195975,598305,328228,58919,48026,30667,20676,1400,172,88,36405,393443,74.9,2.13,22.98
1o,5_Q,102375,480115,323670,69166,56561,30622,37622,2349,172,88,7619,601945,64.4,0.44,35.15
1o,5_K,98475,481919,325071,69354,58349,30622,37622,2349,172,88,7787,600496,64.48,0.45,35.07
1o,5_A,181350,569653,244096,49621,57432,30802,20247,990,172,88,135640,422213,67.42,7.92,24.66
1o,2_6,78975,507864,348189,68878,63972,30665,38316,2349,172,88,8812,564024,66.55,0.51,32.94
1o,3_6,73125,493780,344646,68310,63972,30665,38316,2349,172,88,8299,588582,65.14,0.48,34.37
1o,4_6,67275,479696,341211,67742,63972,30665,38316,2349,172,88,7899,612919,63.74,0.46,35.79
1o,5_6,61425,465612,337884,67174,63972,30665,38316,2349,172,88,7583,637064,62.35,0.44,37.21
1o,6_6,0,289196,313131,44744,63150,29240,39042,2390,172,88,6694,924457,45.62,0.39,53.99
1o,6_7,65325,468580,336804,67174,62184,30665,38316,2349,172,88,6723,633924,62.59,0.39,37.02
1o,6_8,71175,478071,337650,67554,60396,30665,38316,2349,172,88,6698,619170,63.45,0.39,36.16
1o,6_9,77025,492155,340005,68122,60396,30665,38316,2349,172,88,6862,596149,64.78,0.4,34.82
1o,6_T,96525,513538,338193,68786,48726,30665,38312,2349,172,88,6896,568054,66.42,0.4,33.17
1o,6_J,195975,603264,327533,59107,42220,30710,20676,1400,172,88,35821,395338,74.82,2.09,23.09
1o,6_Q,102375,485442,324531,69354,50755,30665,37622,2349,172,88,7053,601898,64.44,0.41,35.15
1o,6_K,98475,487246,325932,69542,52543,30665,37622,2349,172,88,7221,600449,64.51,0.42,35.07
1o,6_A,195975,586562,244877,50064,57432,30845,20247,990,172,88,128746,396306,69.34,7.52,23.14
1o,2_7,88725,514988,347526,69070,67998,30707,38316,2349,129,88,8613,543795,67.74,0.5,31.76
1o,3_7,82875,500904,343983,68502,67998,30707,38316,2349,129,88,8100,568353,66.33,0.47,33.19
1o,4_7,77025,486820,340548,67934,67998,30707,38316,2349,129,88,7700,592690,64.94,0.45,34.61
1o,5_7,71175,472736,337221,67366,67998,30707,38316,2349,129,88,7384,616835,63.55,0.43,36.02
1o,6_7,65325,468580,336804,67174,62184,30707,38316,2349,129,88,6749,633899,62.59,0.39,37.02
1o,7_7,0,285526,305970,44556,66484,29282,38994,2390,129,88,6319,932566,45.17,0.37,54.46
1o,7_8,71175,465221,327996,66332,66362,30707,38316,2349,129,88,6546,637083,62.41,0.38,37.21
1o,7_9,77025,479305,330351,66900,66362,30707,38316,2349,129,88,6710,614062,63.75,0.39,35.86
1o,7_T,96525,500688,328539,67564,54692,30707,38312,2349,129,88,6744,585967,65.39,0.39,34.22
1o,7_J,186225,589074,323503,58664,49822,30752,20676,1400,129,88,33816,418155,73.6,1.97,24.42
1o,7_Q,102375,484887,324099,69354,56507,30707,37622,2349,129,88,7041,597146,64.71,0.41,34.87
1o,7_K,98475,483208,324099,69354,58357,30707,37622,2349,129,88,7022,600894,64.5,0.41,35.09
1o,7_A,195975,582345,242647,49876,55644,30887,20247,990,129,88,135303,398173,68.84,7.9,23.25
1o,2_8,91650,512629,345693,68882,66210,30791,38316,2349,86,88,8415,547195,67.55,0.49,31.96
1o,3_8,91650,512629,344829,68882,66210,30791,38316,2349,86,88,8081,548393,67.5,0.47,32.03
1o,4_8,85800,498545,341394,68314,66210,30791,38316,2349,86,88,7681,572730,66.1,0.45,33.45
1o,5_8,79950,484461,338067,67746,66210,30791,38316,2349,86,88,7365,596875,64.71,0.43,34.86
1o,6_8,71175,478071,337650,67554,60396,30791,38316,2349,86,88,6730,619098,63.45,0.39,36.16
1o,7_8,71175,465221,327996,66332,66362,30791,38316,2349,86,88,6552,637036,62.41,0.38,37.2
1o,8_8,0,284058,299961,44368,62216,29366,38946,2390,86,88,6207,944618,44.47,0.36,55.17
1o,8_9,79950,469978,320805,65678,64726,30791,38316,2349,86,88,6800,632737,62.65,0.4,36.95
1o,8_T,99450,491361,318993,66342,53056,30791,38312,2349,86,88,6834,604642,64.29,0.4,35.31
1o,8_J,180375,577611,319581,58221,49822,30836,20676,1400,86,88,32053,441555,72.34,1.87,25.79
1o,8_Q,105300,478335,314979,68132,54871,30791,37622,2349,86,88,7131,612620,63.81,0.42,35.78
1o,8_K,105300,487855,323775,69354,56507,30791,37622,2349,86,88,7252,591325,65.04,0.42,34.53
1o,8_A,203775,582848,240417,49688,53856,30971,20247,990,86,88,134608,394730,69.09,7.86,23.05
1o,2_9,94575,515597,345369,68882,66210,30876,38316,2349,43,88,8645,541354,67.88,0.5,31.62
