type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
1o,2_2,0,286260,339972,44368,86581,29365,39234,2354,129,88,15362,868591,48.38,0.9,50.73
1o,2_3,73125,485632,341355,67742,88225,30790,38316,2317,129,88,13404,571181,65.86,0.78,33.36
1o,2_4,70200,482664,340491,67742,88225,30790,38316,2317,129,88,12942,578400,65.47,0.76,33.78
1o,2_5,67275,479696,339735,67742,88225,30790,38316,2317,129,88,12564,585427,65.08,0.73,34.19
1o,2_6,73125,493780,341622,68310,88225,30790,38316,2317,129,88,11832,563770,66.38,0.69,32.92
1o,2_7,78975,507864,343761,68878,88225,30790,38316,2317,129,88,11965,540996,67.71,0.7,31.59
1o,2_8,78975,507864,343329,68878,88225,30790,38316,2317,129,88,11940,541453,67.68,0.7,31.62
1o,2_9,87750,514765,339285,68974,78763,30790,38312,2317,129,88,12033,539098,67.81,0.7,31.48
1o,2_T,104325,529249,335604,69258,67093,30790,38308,2317,129,88,12273,522870,68.75,0.72,30.54
1o,2_J,107250,532217,335604,69258,67093,30790,38308,2317,129,88,12503,516747,69.09,0.73,30.18
1o,2_Q,196950,596311,314107,58574,75879,30970,20646,1364,129,88,47690,369596,75.63,2.79,21.58
1o,2_K,196950,597255,261889,54184,75863,30835,20277,990,129,88,105103,368741,72.33,6.14,21.53
1o,2_A,0,428716,264792,65138,78763,30790,36932,1980,129,88,12235,792741,52.99,0.71,46.3
1o,2_3,73125,485632,341355,67742,88225,30748,38316,2317,129,88,13725,570902,65.86,0.8,33.34
1o,3_3,0,284792,330756,44368,86581,29323,39186,2354,129,88,13189,881538,47.75,0.77,51.48
1o,3_4,64350,468580,336948,67174,88225,30748,38316,2317,129,88,12750,602679,64.06,0.74,35.2
1o,3_5,61425,465612,336192,67174,88225,30748,38316,2317,129,88,12372,609706,63.67,0.72,35.61
1o,3_6,67275,479696,338079,67742,88225,30748,38316,2317,129,88,11640,588049,64.98,0.68,34.34
1o,3_7,73125,493780,340218,68310,88225,30748,38316,2317,129,88,11773,565275,66.3,0.69,33.01
1o,3_8,78975,507864,342465,68878,88225,30748,38316,2317,129,88,11927,542372,67.63,0.7,31.67
1o,3_9,84825,511797,338421,68974,78763,30748,38312,2317,129,88,11779,546151,67.42,0.69,31.9
1o,3_T,101400,526281,334740,69258,67093,30748,38308,2317,129,88,12019,529923,68.35,0.7,30.95
1o,3_J,104325,529249,334740,69258,67093,30748,38308,2317,129,88,12249,523800,68.69,0.72,30.59
