type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
1o,2_2,0,287728,346290,44556,74078,29291,39222,2390,215,88,9876,878570,48.11,0.58,51.31
1o,2_3,81900,493162,339828,67466,75745,30710,38304,2349,215,88,9202,573335,65.98,0.54,33.48
1o,2_4,78975,490194,338964,67466,75745,30710,38304,2349,215,88,8740,580554,65.58,0.51,33.9
1o,2_5,78975,490194,338208,67466,75745,30710,38304,2349,215,88,8603,581447,65.54,0.5,33.96
1o,2_6,78975,503271,346788,68690,69786,30706,38304,2349,215,88,7922,565210,66.53,0.46,33.01
1o,2_7,91650,512637,346125,68882,73804,30706,38304,2349,215,88,7697,539847,68.02,0.45,31.53
1o,2_8,95550,510278,344292,68694,72016,30706,38304,2349,215,88,7493,542319,67.89,0.44,31.67
1o,2_9,98475,513246,343968,68694,72016,30706,38304,2349,215,88,7719,536524,68.22,0.45,31.33
1o,2_T,203775,603759,334627,58919,48026,30751,20676,1400,215,88,44580,365488,76.05,2.6,21.34
1o,2_J,112125,484247,324537,68978,62375,30706,37610,2349,215,88,7983,581091,65.6,0.47,33.94
1o,2_Q,108225,486051,325938,69166,64163,30706,37610,2349,215,88,8151,579642,65.67,0.48,33.85
1o,2_K,104325,487855,327339,69354,65951,30706,37610,2349,215,88,8319,578193,65.75,0.49,33.77
1o,2_A,189150,544357,233476,45155,65034,30886,20217,990,215,88,188560,394176,65.97,11.01,23.02
1o,2_3,81900,493162,339828,67466,75745,30668,38304,2349,215,88,9523,573056,65.98,0.56,33.47
1o,3_3,0,286260,335922,44556,74078,29249,39174,2390,215,88,8855,891517,47.42,0.52,52.07
1o,3_4,73125,476110,335421,66898,75745,30668,38304,2349,215,88,8548,604833,64.18,0.5,35.32
1o,3_5,73125,476110,334665,66898,75745,30668,38304,2349,215,88,8411,605726,64.13,0.49,35.37
1o,3_6,73125,489187,343245,68122,69786,30664,38304,2349,215,88,7730,589489,65.12,0.45,34.43
1o,3_7,85800,498553,342582,68314,73804,30664,38304,2349,215,88,7505,564126,66.62,0.44,32.95
1o,3_8,95550,510278,343428,68694,72016,30664,38304,2349,215,88,7480,543238,67.84,0.44,31.73
1o,3_9,95550,510278,343104,68694,72016,30664,38304,2349,215,88,7465,543577,67.82,0.44,31.75
1o,3_T,199875,601032,332386,58919,48026,30709,20676,1400,215,88,44308,374670,75.53,2.59,21.88
1o,3_J,109200,481279,323673,68978,62375,30664,37610,2349,215,88,7729,588144,65.2,0.45,34.35
1o,3_Q,105300,483083,325074,69166,64163,30664,37610,2349,215,88,7897,586695,65.28,0.46,34.26
1o,3_K,101400,484887,326475,69354,65951,30664,37610,2349,215,88,8065,585246,65.35,0.47,34.18
1o,3_A,185250,541630,232612,45155,65034,30844,20217,990,215,88,186884,403385,65.53,10.91,23.56
1o,2_4,78975,490194,338964,67466,75745,30626,38304,2349,215,88,9269,580109,65.58,0.54,33.88
1o,3_4,73125,476110,335421,66898,75745,30626,38304,2349,215,88,8756,604667,64.18,0.51,35.31
1o,4_4,0,284792,326706,44556,74078,29207,39126,2390,215,88,7947,903199,46.79,0.46,52.75
1o,4_5,67275,462026,331230,66330,75745,30626,38304,2349,215,88,8219,629897,62.73,0.48,36.79
1o,4_6,67275,475103,339810,67554,69786,30622,38304,2349,215,88,7538,613660,63.72,0.44,35.84
1o,4_7,79950,484469,339147,67746,73804,30622,38304,2349,215,88,7313,588297,65.22,0.43,34.36
1o,4_8,89700,496194,339993,68126,72016,30622,38304,2349,215,88,7288,567409,66.44,0.43,33.14
1o,4_9,95550,510278,342348,68694,72016,30622,38304,2349,215,88,7452,544388,67.77,0.44,31.79
1o,4_T,195975,598305,330253,58919,48026,30667,20676,1400,215,88,44036,383744,75.02,2.57,22.41
1o,4_J,106275,478311,322917,68978,62375,30622,37610,2349,215,88,7475,595089,64.81,0.44,34.75
1o,4_Q,102375,480115,324318,69166,64163,30622,37610,2349,215,88,7643,593640,64.88,0.45,34.67
1o,4_K,98475,481919,325719,69354,65951,30622,37610,2349,215,88,7811,592191,64.96,0.46,34.58
1o,4_A,181350,538903,231748,45155,65034,30802,20217,990,215,88,185316,412486,65.09,10.82,24.09
1o,2_5,78975,490194,338208,67466,75745,30626,38304,2349,215,88,9257,580877,65.54,0.54,33.92
1o,3_5,73125,476110,334665,66898,75745,30626,38304,2349,215,88,8744,605435,64.13,0.51,35.36
1o,4_5,67275,462026,331230,66330,75745,30626,38304,2349,215,88,8344,629772,62.73,0.49,36.78
1o,5_5,0,284792,318642,44556,74078,29207,39078,2390,215,88,7606,911652,46.31,0.44,53.24
1o,5_6,61425,465612,337884,67174,69786,30622,38304,2349,215,88,7526,631319,62.69,0.44,36.87
1o,5_7,71175,472744,337221,67366,73804,30622,38304,2349,215,88,7301,611115,63.88,0.43,35.69
1o,5_8,79950,484469,338067,67746,72016,30622,38304,2349,215,88,7276,591202,65.05,0.42,34.53
1o,5_9,85800,498553,340422,68314,72016,30622,38304,2349,215,88,7440,568181,66.38,0.43,33.18
1o,5_T,195975,598305,328228,58919,48026,30667,20676,1400,215,88,44006,385799,74.9,2.57,22.53
1o,5_J,106275,478311,322269,68978,62375,30622,37610,2349,215,88,7463,595749,64.77,0.44,34.79
1o,5_Q,102375,480115,323670,69166,64163,30622,37610,2349,215,88,7631,594300,64.85,0.45,34.71
1o,5_K,98475,481919,325071,69354,65951,30622,37610,2349,215,88,7799,592851,64.92,0.46,34.62
1o,5_A,181350,538903,230884,45155,65034,30802,20217,990,215,88,184098,414568,65.04,10.75,24.21
1o,2_6,78975,503271,346788,68690,69786,30665,38304,2349,172,88,8637,564579,66.52,0.5,32.97
1o,3_6,73125,489187,343245,68122,69786,30665,38304,2349,172,88,8124,589137,65.12,0.47,34.41
1o,4_6,67275,475103,339810,67554,69786,30665,38304,2349,172,88,7724,613474,63.72,0.45,35.83
1o,5_6,61425,465612,337884,67174,69786,30665,38304,2349,172,88,7587,631258,62.69,0.44,36.87
1o,6_6,0,285526,311730,44556,66484,29240,39030,2390,172,88,6581,926507,45.51,0.38,54.11
1o,6_7,71175,465221,328860,66332,66362,30665,38304,2349,172,88,6595,636181,62.46,0.39,37.15
1o,6_8,79950,476946,329706,66712,64574,30665,38304,2349,172,88,6570,616268,63.63,0.38,35.99
1o,6_9,85800,491030,332061,67280,64574,30665,38304,2349,172,88,6734,593247,64.96,0.39,34.65
1o,6_T,186225,589074,325312,58664,42220,30710,20676,1400,172,88,41447,416316,73.27,2.42,24.31
1o,6_J,106275,483083,323130,69166,54719,30665,37610,2349,172,88,6897,598150,64.66,0.4,34.93
1o,6_Q,102375,481404,323130,69166,56569,30665,37610,2349,172,88,6878,601898,64.45,0.4,35.15
1o,6_K,98475,483208,324531,69354,58357,30665,37610,2349,172,88,7046,600449,64.52,0.41,35.07
1o,6_A,195975,551595,230587,45410,63246,30845,20217,990,172,88,176873,396306,66.53,10.33,23.14
1o,2_7,91650,512629,346125,68882,73812,30749,38304,2349,129,88,8438,539149,68.02,0.49,31.49
1o,3_7,85800,498545,342582,68314,73812,30749,38304,2349,129,88,7925,563707,66.62,0.46,32.92
1o,4_7,79950,484461,339147,67746,73812,30749,38304,2349,129,88,7525,588044,65.22,0.44,34.34
1o,5_7,71175,472736,337221,67366,73812,30749,38304,2349,129,88,7388,610987,63.89,0.43,35.68
1o,6_7,71175,465221,328860,66332,66362,30749,38304,2349,129,88,6621,636114,62.46,0.39,37.15
1o,7_7,0,282590,304569,44368,69818,29324,38982,2390,129,88,6206,933840,45.1,0.36,54.54
1o,7_8,79950,464651,320052,65490,70540,30749,38304,2349,129,88,6418,633584,62.62,0.37,37.0
1o,7_9,85800,478735,322407,66058,70540,30749,38304,2349,129,88,6582,610563,63.96,0.38,35.66
1o,7_T,176475,574884,321282,58221,49822,30794,20676,1400,129,88,39442,439091,72.05,2.3,25.64
1o,7_J,106275,473563,313902,67944,60685,30749,37610,2349,129,88,6745,612265,63.85,0.39,35.76
1o,7_Q,106275,483083,322698,69166,62321,30749,37610,2349,129,88,6866,590970,65.09,0.4,34.51
1o,7_K,101400,481404,322698,69166,64171,30749,37610,2349,129,88,6847,595693,64.81,0.4,34.79
1o,7_A,199875,549371,228501,45222,61458,30929,20217,990,129,88,183286,392238,66.39,10.7,22.91
1o,2_8,95550,510270,344292,68694,72024,30834,38304,2349,86,88,8240,541573,67.89,0.48,31.63
1o,3_8,95550,510270,343428,68694,72024,30834,38304,2349,86,88,7906,542771,67.84,0.46,31.7
1o,4_8,89700,496186,339993,68126,72024,30834,38304,2349,86,88,7506,567108,66.44,0.44,33.12
1o,5_8,79950,484461,338067,67746,72024,30834,38304,2349,86,88,7369,591026,65.05,0.43,34.52
1o,6_8,79950,476946,329706,66712,64574,30834,38304,2349,86,88,6602,616153,63.63,0.39,35.98
1o,7_8,79950,464651,320052,65490,70540,30834,38304,2349,86,88,6424,633536,62.63,0.38,37.0
1o,8_8,0,281122,298560,44180,65550,29409,38934,2390,86,88,6094,945891,44.4,0.36,55.24
1o,8_9,88725,469408,312861,64836,68904,30834,38304,2349,86,88,6672,629237,62.86,0.39,36.75
1o,8_T,170625,563421,317360,57778,49822,30879,20676,1400,86,88,37679,462490,70.79,2.2,27.01
1o,8_J,109200,467011,304782,66722,59049,30834,37610,2349,86,88,6835,627738,62.94,0.4,36.66
1o,8_Q,109200,476531,313578,67944,60685,30834,37610,2349,86,88,6956,606443,64.18,0.41,35.42
1o,8_K,109200,486051,322374,69166,62321,30834,37610,2349,86,88,7077,585148,65.41,0.41,34.17
1o,8_A,208650,549124,226415,45034,59670,31014,20217,990,86,88,183197,387819,66.65,10.7,22.65
1o,2_9,98475,513238,343968,68694,72024,30919,38304,2349,43,88,8470,535732,68.22,0.49,31.29
1o,3_9,95550,510270,343104,68694,72024,30919,38304,2349,43,88,7895,543064,67.82,0.46,31.72
1o,4_9,95550,510270,342348,68694,72024,30919,38304,2349,43,88,7674,544041,67.78,0.45,31.77
1o,5_9,85800,498545,340422,68314,72024,30919,38304,2349,43,88,7537,567959,66.39,0.44,33.17
1o,6_9,85800,491030,332061,67280,64574,30919,38304,2349,43,88,6770,593086,64.97,0.4,34.64
1o,7_9,85800,478735,322407,66058,70540,30919,38304,2349,43,88,6592,610469,63.96,0.38,35.65
1o,8_9,88725,469408,312861,64836,68904,30919,38304,2349,43,88,6676,629191,62.86,0.39,36.75
1o,9_9,0,282590,295104,44180,65550,29494,38886,2390,43,88,6358,947621,44.29,0.37,55.34
1o,9_T,174525,566148,315767,57778,49822,30964,20676,1400,43,88,37891,457202,71.09,2.21,26.7
1o,9_J,112125,455687,298962,65454,59049,30919,37610,2349,43,88,7065,642953,62.04,0.41,37.55
1o,9_Q,112125,465207,307758,66676,60685,30919,37610,2349,43,88,7186,621658,63.27,0.42,36.31
1o,9_K,112125,474727,316554,67898,62321,30919,37610,2349,43,88,7307,600363,64.51,0.43,35.06
1o,9_A,212550,551851,225551,45034,59670,31099,20217,990,43,88,182653,382558,66.99,10.67,22.34
1o,2_J,112125,484887,324753,68980,62317,18338,37614,2349,87,44,8735,592075,64.91,0.51,34.58
1o,3_J,109200,481919,323889,68980,62317,18338,37614,2349,87,44,8160,599407,64.52,0.48,35.01
1o,4_J,106275,478951,323133,68980,62317,18338,37614,2349,87,44,7698,606518,64.13,0.45,35.42
1o,5_J,106275,478951,322485,68980,62317,18338,37614,2349,87,44,7561,607303,64.09,0.44,35.47
1o,6_J,106275,483731,323346,69168,54653,18338,37614,2349,87,44,6926,609773,63.98,0.4,35.61
1o,7_J,106275,474171,314112,67946,60619,18338,37614,2349,87,44,6748,624001,63.16,0.39,36.44
1o,8_J,109200,467579,304986,66724,58983,18338,37614,2349,87,44,6832,639568,62.25,0.4,37.35
1o,9_J,112125,456207,299160,65454,58983,18338,37614,2349,87,44,7058,654885,61.34,0.41,38.25
1o,T_J,188175,563766,304199,56763,39760,18386,20667,1400,87,44,30445,488612,69.69,1.78,28.54
1o,J_J,0,152672,187434,44556,42110,16922,33398,2389,87,44,6442,1226250,28.01,0.38,71.61
1o,J_Q,111150,435027,273901,66792,51795,18342,36920,2349,87,44,7486,708411,58.19,0.44,41.37
1o,J_K,111150,255812,282277,55470,53431,18342,36920,2349,87,44,206151,690271,47.65,12.04,40.31
1o,J_A,0,124046,149540,26840,51699,18518,19140,990,87,44,137892,1183508,22.83,8.05,69.12
1o,2_Q,108225,486699,326154,69168,64105,18338,37614,2349,130,44,8910,590568,64.99,0.52,34.49
1o,3_Q,105300,483731,325290,69168,64105,18338,37614,2349,130,44,8335,597900,64.6,0.49,34.92
1o,4_Q,102375,480763,324534,69168,64105,18338,37614,2349,130,44,7873,605011,64.21,0.46,35.33
1o,5_Q,102375,480763,323886,69168,64105,18338,37614,2349,130,44,7736,605796,64.17,0.45,35.38
1o,6_Q,102375,482052,323346,69168,56503,18338,37614,2349,130,44,6922,613463,63.77,0.4,35.83
