type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
1o,2_2,0,283324,339972,44368,101785,29281,39210,2354,215,88,14902,856805,49.09,0.87,50.04
1o,2_3,67275,479696,341355,67742,103429,30706,38292,2317,215,88,12944,568245,66.06,0.76,33.19
1o,2_4,64350,476728,340491,67742,103429,30706,38292,2317,215,88,12482,575464,65.66,0.73,33.61
1o,2_5,64350,476728,339735,67742,103429,30706,38292,2317,215,88,12345,576357,65.62,0.72,33.66
1o,2_6,73125,489187,340221,68122,101641,30706,38292,2317,215,88,11675,556715,66.81,0.68,32.51
1o,2_7,81900,500912,340959,68502,99853,30706,38292,2317,215,88,11629,536931,67.96,0.68,31.36
1o,2_8,81900,500912,340527,68502,99853,30706,38292,2317,215,88,11604,537388,67.94,0.68,31.38
1o,2_9,94575,510055,336483,68598,90391,30706,38288,2317,215,88,11697,528891,68.43,0.68,30.89
1o,2_T,189150,591801,314089,58664,75863,30751,20646,1364,215,88,62397,367276,74.91,3.64,21.45
1o,2_J,108225,488048,318288,69070,80750,30706,37594,2317,215,88,12105,564898,66.3,0.71,32.99
1o,2_Q,104325,489852,319689,69258,82538,30706,37594,2317,215,88,12273,563449,66.38,0.72,32.91
1o,2_K,189150,548107,234043,45410,91083,30886,20217,990,215,88,183988,368127,67.76,10.75,21.5
1o,2_A,0,389780,264684,59378,93967,30706,36908,1980,215,88,32757,801841,51.26,1.91,46.83
1o,2_3,67275,479696,341355,67742,103429,30664,38292,2317,215,88,13265,567966,66.06,0.77,33.17
1o,3_3,0,281856,330756,44368,101785,29239,39162,2354,215,88,12729,869752,48.46,0.74,50.79
1o,3_4,58500,462644,336948,67174,103429,30664,38292,2317,215,88,12290,599743,64.26,0.72,35.03
1o,3_5,58500,462644,336192,67174,103429,30664,38292,2317,215,88,12153,600636,64.21,0.71,35.08
1o,3_6,67275,475103,336678,67554,101641,30664,38292,2317,215,88,11483,580994,65.4,0.67,33.93
1o,3_7,76050,486828,337416,67934,99853,30664,38292,2317,215,88,11437,561210,66.56,0.67,32.78
1o,3_8,81900,500912,339663,68502,99853,30664,38292,2317,215,88,11591,538307,67.89,0.68,31.44
1o,3_9,91650,507087,335619,68598,90391,30664,38288,2317,215,88,11443,535944,68.03,0.67,31.3
1o,3_T,185250,589074,311989,58664,75863,30709,20646,1364,215,88,61984,376458,74.39,3.62,21.99
1o,3_J,105300,485080,317424,69070,80750,30664,37594,2317,215,88,11851,571951,65.91,0.69,33.4
1o,3_Q,101400,486884,318825,69258,82538,30664,37594,2317,215,88,12019,570502,65.98,0.7,33.32
1o,3_K,185250,545380,233179,45410,91083,30844,20217,990,215,88,182312,377336,67.32,10.65,22.04
1o,3_A,0,386812,264684,59378,93967,30664,36908,1980,215,88,32503,805105,51.08,1.9,47.02
1o,2_4,64350,476728,340491,67742,103429,30622,38292,2317,215,88,13011,575019,65.66,0.76,33.58
1o,3_4,58500,462644,336948,67174,103429,30622,38292,2317,215,88,12498,599577,64.25,0.73,35.02
1o,4_4,0,280388,322548,44368,101785,29197,39114,2354,215,88,10813,881434,47.89,0.63,51.48
1o,4_5,52650,448560,332757,66606,103429,30622,38292,2317,215,88,11961,624807,62.81,0.7,36.49
1o,4_6,61425,461019,333243,66986,101641,30622,38292,2317,215,88,11291,605165,64.0,0.66,35.34
1o,4_7,70200,472744,333981,67366,99853,30622,38292,2317,215,88,11245,585381,65.16,0.66,34.19
1o,4_8,76050,486828,336228,67934,99853,30622,38292,2317,215,88,11399,562478,66.49,0.67,32.85
1o,4_9,91650,507087,334863,68598,90391,30622,38288,2317,215,88,11430,536755,67.99,0.67,31.35
1o,4_T,181350,586347,309997,58664,75863,30667,20646,1364,215,88,61571,385532,73.89,3.6,22.52
1o,4_J,102375,482112,316668,69070,80750,30622,37594,2317,215,88,11597,578896,65.51,0.68,33.81
1o,4_Q,98475,483916,318069,69258,82538,30622,37594,2317,215,88,11765,577447,65.59,0.69,33.72
1o,4_K,181350,542653,232315,45410,91083,30802,20217,990,215,88,180744,386437,66.88,10.56,22.57
1o,4_A,0,383844,264684,59378,93967,30622,36908,1980,215,88,32249,808369,50.91,1.88,47.21
1o,2_5,64350,476728,339735,67742,103429,30622,38292,2317,215,88,12999,575787,65.61,0.76,33.63
1o,3_5,58500,462644,336192,67174,103429,30622,38292,2317,215,88,12486,600345,64.21,0.73,35.06
1o,4_5,52650,448560,332757,66606,103429,30622,38292,2317,215,88,12086,624682,62.81,0.71,36.48
1o,5_5,0,280388,315348,44368,101785,29197,39066,2354,215,88,9608,889887,47.47,0.56,51.97
1o,5_6,55575,451528,331317,66606,101641,30622,38292,2317,215,88,11279,622824,62.97,0.66,36.37
1o,5_7,61425,461019,332055,66986,99853,30622,38292,2317,215,88,11233,608199,63.82,0.66,35.52
1o,5_8,67275,475103,334302,67554,99853,30622,38292,2317,215,88,11387,585296,65.15,0.67,34.18
1o,5_9,81900,495362,332937,68218,90391,30622,38288,2317,215,88,11418,560548,66.6,0.67,32.74
1o,5_T,181350,586347,308113,58664,75863,30667,20646,1364,215,88,61400,387587,73.78,3.59,22.64
1o,5_J,102375,482112,316020,69070,80750,30622,37594,2317,215,88,11585,579556,65.48,0.68,33.85
1o,5_Q,98475,483916,317421,69258,82538,30622,37594,2317,215,88,11753,578107,65.55,0.69,33.76
1o,5_K,181350,542653,231451,45410,91083,30802,20217,990,215,88,179526,388519,66.83,10.48,22.69
1o,5_A,0,383844,264684,59378,93967,30622,36908,1980,215,88,32237,808381,50.91,1.88,47.21
1o,2_6,73125,489187,340221,68122,101641,30665,38292,2317,172,88,12390,556084,66.8,0.72,32.48
1o,3_6,67275,475103,336678,67554,101641,30665,38292,2317,172,88,11877,580642,65.4,0.69,33.91
1o,4_6,61425,461019,333243,66986,101641,30665,38292,2317,172,88,11477,604979,64.0,0.67,35.33
1o,5_6,55575,451528,331317,66606,101641,30665,38292,2317,172,88,11340,622763,62.97,0.66,36.37
1o,6_6,0,278186,307755,44180,97517,29240,39018,2354,172,88,7746,906048,46.63,0.45,52.91
1o,6_7,65325,451137,322293,65764,98217,30665,38292,2317,172,88,10348,627686,62.74,0.6,36.66
1o,6_8,71175,465221,324540,66332,98217,30665,38292,2317,172,88,10502,604783,64.07,0.61,35.32
1o,6_9,85800,485480,323175,66996,88755,30665,38288,2317,172,88,10533,580035,65.51,0.62,33.87
1o,6_T,176475,574884,304116,58221,75863,30710,20646,1364,172,88,58521,411244,72.57,3.42,24.02
1o,6_J,106275,484525,315480,69070,78900,30665,37594,2317,172,88,10840,576378,65.71,0.63,33.66
1o,6_Q,102375,482846,315480,69070,80750,30665,37594,2317,172,88,10821,580126,65.49,0.63,33.88
1o,6_K,186225,541163,229365,45222,89295,30845,20217,990,172,88,177496,391226,66.79,10.37,22.85
1o,6_A,0,395748,265530,59758,92179,30665,36908,1980,172,88,31484,797792,51.57,1.84,46.59
1o,2_7,81900,500912,340959,68502,99853,30749,38292,2317,129,88,12370,536233,67.96,0.72,31.32
1o,3_7,76050,486828,337416,67934,99853,30749,38292,2317,129,88,11857,560791,66.56,0.69,32.75
1o,4_7,70200,472744,333981,67366,99853,30749,38292,2317,129,88,11457,585128,65.16,0.67,34.17
1o,5_7,61425,461019,332055,66986,99853,30749,38292,2317,129,88,11320,608071,63.83,0.66,35.51
1o,6_7,65325,451137,322293,65764,98217,30749,38292,2317,129,88,10374,627619,62.74,0.61,36.65
1o,7_7,0,276718,301170,43992,93249,29324,38970,2354,129,88,7036,919274,45.9,0.41,53.69
1o,7_8,74100,455894,314886,65110,96581,30749,38292,2317,129,88,10591,623567,62.96,0.62,36.42
1o,7_9,88725,476153,313521,65774,87119,30749,38288,2317,129,88,10622,598819,64.41,0.62,34.97
1o,7_T,170625,563421,300227,57778,75863,30794,20646,1364,129,88,56616,434753,71.3,3.31,25.39
