type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
1o,2_2,0,406575,554052,200654,40190,29110,150136,15482,344,88,10342,305331,81.56,0.6,17.83
1o,2_3,0,467106,565794,195138,40190,30580,147114,15456,344,88,9789,240705,85.37,0.57,14.06
1o,2_4,0,461738,564294,194645,40190,30580,147102,15456,344,88,9339,248528,84.94,0.55,14.51
1o,2_5,0,461738,564294,194645,40190,30580,147090,15456,344,88,9214,248665,84.94,0.54,14.52
1o,2_6,0,481501,574572,195138,38340,30580,147069,15455,344,88,8474,220743,86.61,0.49,12.89
1o,2_7,0,499555,584850,195138,36490,30580,147048,15454,344,88,8502,194255,88.16,0.5,11.34
1o,2_8,0,501494,585504,191929,34640,30580,147027,15453,344,88,8372,196873,88.01,0.49,11.5
1o,2_9,0,508801,587658,189213,32790,30580,147006,15452,344,88,8493,191879,88.3,0.5,11.21
1o,2_T,0,643657,692886,112581,0,30760,100234,0,344,88,57926,73828,92.31,3.38,4.31
1o,2_J,0,380088,464940,189213,32790,30580,141324,15175,344,88,7798,449964,73.27,0.46,26.28
1o,2_Q,0,374479,463440,192422,34640,30580,141333,15176,344,88,7508,452294,73.15,0.44,26.41
1o,2_K,0,368870,461940,195631,36490,30580,141342,15177,344,88,7326,454516,73.03,0.43,26.54
1o,2_A,0,349841,451662,195631,38340,30580,141351,15178,344,88,7072,482217,71.43,0.41,28.16
1o,2_3,0,467106,565794,195138,40190,30538,147114,15456,344,88,10110,240426,85.37,0.59,14.04
1o,3_3,0,401700,552552,200161,40190,29068,149816,15482,344,88,9537,313366,81.14,0.56,18.3
1o,3_4,0,444648,554670,191436,40190,30538,147090,15456,344,88,9159,278685,83.19,0.53,16.28
1o,3_5,0,444648,554670,191436,40190,30538,147078,15456,344,88,9034,278822,83.19,0.53,16.28
1o,3_6,0,464411,564948,191929,38340,30538,147057,15455,344,88,8294,250900,84.86,0.48,14.65
1o,3_7,0,482465,575226,191929,36490,30538,147036,15454,344,88,8322,224412,86.41,0.49,13.11
1o,3_8,0,501494,585504,191929,34640,30538,147015,15453,344,88,8371,196928,88.01,0.49,11.5
1o,3_9,0,503433,586158,188720,32790,30538,146994,15452,344,88,8251,199536,87.87,0.48,11.65
1o,3_T,0,638048,691386,112329,0,30718,100222,0,344,88,57684,81485,91.87,3.37,4.76
1o,3_J,0,375454,463440,188720,32790,30538,141312,15175,344,88,7556,456887,72.88,0.44,26.68
1o,3_Q,0,369845,461940,191929,34640,30538,141321,15176,344,88,7266,459217,72.76,0.42,26.82
1o,3_K,0,364236,460440,195138,36490,30538,141330,15177,344,88,7084,461439,72.64,0.41,26.95
1o,3_A,0,345207,450162,195138,38340,30538,141339,15178,344,88,6830,489140,71.03,0.4,28.57
1o,2_4,0,461738,564294,194645,40190,30496,147102,15456,344,88,9868,248083,84.94,0.58,14.49
1o,3_4,0,444648,554670,191436,40190,30496,147090,15456,344,88,9367,278519,83.19,0.55,16.27
1o,4_4,0,396825,551052,199668,40190,29026,149496,15482,344,88,8845,321288,80.72,0.52,18.76
1o,4_5,0,427558,545046,188227,40190,30496,147066,15456,344,88,8854,308979,81.44,0.52,18.04
1o,4_6,0,447321,555324,188720,38340,30496,147045,15455,344,88,8114,281057,83.11,0.47,16.41
1o,4_7,0,465375,565602,188720,36490,30496,147024,15454,344,88,8142,254569,84.66,0.48,14.87
1o,4_8,0,484404,575880,188720,34640,30496,147003,15453,344,88,8191,227085,86.26,0.48,13.26
1o,4_9,0,503433,586158,188720,32790,30496,146982,15452,344,88,8250,199591,87.86,0.48,11.66
1o,4_T,0,632439,689886,112077,0,30676,100210,0,344,88,57442,89142,91.44,3.35,5.21
1o,4_J,0,370820,461940,188227,32790,30496,141300,15175,344,88,7314,463810,72.49,0.43,27.09
1o,4_Q,0,365211,460440,191436,34640,30496,141309,15176,344,88,7024,466140,72.37,0.41,27.22
1o,4_K,0,359602,458940,194645,36490,30496,141318,15177,344,88,6842,468362,72.25,0.4,27.35
1o,4_A,0,340573,448662,194645,38340,30496,141327,15178,344,88,6588,496063,70.64,0.38,28.97
1o,2_5,0,461738,564294,194645,40190,30496,147090,15456,344,88,9868,248095,84.93,0.58,14.49
1o,3_5,0,444648,554670,191436,40190,30496,147078,15456,344,88,9367,278531,83.19,0.55,16.27
1o,4_5,0,427558,545046,188227,40190,30496,147066,15456,344,88,8979,308854,81.44,0.52,18.04
1o,5_5,0,396825,551052,199668,40190,29026,149176,15482,344,88,8720,321733,80.7,0.51,18.79
1o,5_6,0,433901,546546,188720,38340,30496,147033,15455,344,88,8114,303267,81.82,0.47,17.71
1o,5_7,0,447321,555324,188720,36490,30496,147012,15454,344,88,8142,282913,83.0,0.48,16.52
1o,5_8,0,465375,565602,188720,34640,30496,146991,15453,344,88,8191,256404,84.55,0.48,14.97
1o,5_9,0,484404,575880,188720,32790,30496,146970,15452,344,88,8250,228910,86.15,0.48,13.37
1o,5_T,0,632439,689886,112077,0,30676,100198,0,344,88,57442,89154,91.44,3.35,5.21
1o,5_J,0,370820,461940,188227,32790,30496,141288,15175,344,88,7314,463822,72.49,0.43,27.09
1o,5_Q,0,365211,460440,191436,34640,30496,141297,15176,344,88,7024,466152,72.37,0.41,27.22
1o,5_K,0,359602,458940,194645,36490,30496,141306,15177,344,88,6842,468374,72.25,0.4,27.35
1o,5_A,0,340573,448662,194645,38340,30496,141315,15178,344,88,6588,496075,70.64,0.38,28.97
1o,2_6,0,481501,574572,195138,38340,30539,147078,15456,301,88,9189,220102,86.61,0.54,12.85
1o,3_6,0,464411,564948,191929,38340,30539,147066,15456,301,88,8688,250538,84.86,0.51,14.63
1o,4_6,0,447321,555324,188720,38340,30539,147054,15456,301,88,8300,280861,83.11,0.48,16.4
1o,5_6,0,433901,546546,188720,38340,30539,147042,15456,301,88,8175,303196,81.82,0.48,17.71
1o,6_6,0,402675,552552,196952,35798,29079,148847,15481,301,88,7918,322613,80.7,0.46,18.84
1o,6_7,0,453664,556398,177072,34808,30543,147001,15454,301,88,7315,289660,82.66,0.43,16.92
1o,6_8,0,471718,566676,177072,32958,30543,146980,15453,301,88,7364,263151,84.2,0.43,15.37
1o,6_9,0,490747,576954,177072,31108,30543,146959,15452,301,88,7423,235657,85.8,0.43,13.76
1o,6_T,0,619994,681108,110628,0,30719,100186,0,301,88,54734,114546,90.11,3.2,6.69
1o,6_J,0,372025,462594,188720,30878,30539,141276,15175,301,88,6581,464127,72.51,0.38,27.11
1o,6_Q,0,367150,461094,188720,32790,30539,141285,15176,301,88,6166,468995,72.25,0.36,27.39
1o,6_K,0,361541,459594,191929,34640,30539,141294,15177,301,88,5984,471217,72.13,0.35,27.52
1o,6_A,0,355932,458094,195138,36490,30539,141303,15178,301,88,5909,473332,72.01,0.35,27.64
1o,2_7,0,499555,584850,195138,36490,30623,147066,15456,258,88,9243,193537,88.16,0.54,11.3
1o,3_7,0,482465,575226,191929,36490,30623,147054,15456,258,88,8742,223973,86.41,0.51,13.08
1o,4_7,0,465375,565602,188720,36490,30623,147042,15456,258,88,8354,254296,84.66,0.49,14.85
1o,5_7,0,447321,555324,188720,36490,30623,147030,15456,258,88,8229,282765,83.01,0.48,16.51
1o,6_7,0,453664,556398,177072,34808,30627,147010,15455,258,88,7341,289583,82.66,0.43,16.91
1o,7_7,0,412425,555552,194236,31406,29173,148518,15480,258,88,8124,317044,81.01,0.47,18.52
1o,7_8,0,480756,568596,165424,31276,30631,146969,15453,258,88,7511,265342,84.07,0.44,15.5
1o,7_9,0,499785,578874,165424,29426,30631,146948,15452,258,88,7570,237848,85.67,0.44,13.89
1o,7_T,0,606574,672330,109179,0,30803,100174,0,258,88,53000,139898,88.73,3.1,8.17
1o,7_J,0,376659,464094,177072,29196,30627,141265,15175,258,88,6728,471142,72.09,0.39,27.52
1o,7_Q,0,372255,463248,189213,30878,30623,141273,15176,258,88,6407,462885,72.59,0.37,27.03
1o,7_K,0,366405,461748,189213,32790,30623,141282,15177,258,88,6100,468620,72.28,0.36,27.37
1o,7_A,0,356162,458748,191929,34640,30623,141291,15178,258,88,5784,477603,71.77,0.34,27.89
