type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2s,2_3,175230,547566,267243,53988,21801,36089,20607,1328,172,44,62850,525386,65.65,3.67,30.68
2s,2_4,171690,545061,266271,53988,21801,36089,20607,1328,172,44,62466,532787,65.24,3.65,31.12
2s,2_5,168150,542556,265407,53988,21801,36089,20607,1328,172,44,62124,540038,64.83,3.63,31.54
2s,2_6,177885,555603,266223,54402,21801,36089,20607,1328,172,44,56263,521887,66.24,3.29,30.48
2s,2_7,186735,568650,267648,54816,21801,36089,20607,1328,172,44,57751,496663,67.62,3.37,29.01
2s,2_8,186735,564848,265989,54647,20383,36089,20607,1328,172,44,64503,496959,67.21,3.77,29.02
2s,2_9,193815,565400,264438,54478,18965,36089,20607,1328,172,44,64523,492445,67.47,3.77,28.76
2s,2_T,202665,565296,262995,54309,17360,36089,20607,1328,172,44,64546,486893,67.8,3.77,28.43
2s,2_J,206205,567801,262779,54309,17360,36089,20607,1328,172,44,64704,480906,68.14,3.78,28.09
2s,2_Q,0,0,0,0,0,36224,0,0,172,44,1553306,122558,2.13,90.71,7.16
2s,2_K,0,127920,148917,26062,18965,36089,19539,990,172,44,47318,1286288,22.12,2.76,75.12
2s,2_A,0,127920,148917,26062,20383,36089,19539,990,172,44,27799,1304389,22.2,1.62,76.18
2s,3_4,85845,381936,268961,61736,29909,35872,36750,2283,172,44,18342,790454,52.77,1.07,46.16
2s,3_5,83190,379244,268097,61736,29909,35872,36750,2283,172,44,18033,796974,52.4,1.05,46.54
2s,3_6,80535,385870,276120,63022,30871,35868,36777,2284,172,44,17359,783382,53.24,1.01,45.75
2s,3_7,80535,392430,282998,64139,27355,35864,36804,2285,172,44,17429,772249,53.88,1.02,45.1
2s,3_8,89385,399464,282375,64322,31491,35864,36804,2285,172,44,17253,752845,55.03,1.01,43.97
2s,3_9,92040,397832,280690,64153,30073,35864,36804,2285,172,44,17103,755244,54.89,1.0,44.11
2s,3_T,99120,398236,279113,63984,28468,35864,36804,2285,172,44,17144,751070,55.14,1.0,43.86
2s,3_J,101775,400928,278897,63984,28468,35864,36804,2285,172,44,17320,745763,55.44,1.01,43.55
2s,3_Q,0,127264,132042,26062,11108,36089,18900,990,172,44,804548,555085,20.6,46.99,32.42
2s,3_K,0,191328,225961,49208,30073,35864,36114,1980,172,44,13323,1128237,33.33,0.78,65.89
2s,3_A,0,187780,219787,48260,29991,35868,36087,1979,172,44,9518,1142818,32.7,0.56,66.74
2s,4_5,77880,367432,264810,61215,29909,35872,36750,2283,172,44,17851,818086,51.18,1.04,47.78
2s,4_6,75225,374058,272833,62501,30871,35868,36777,2284,172,44,17187,804484,52.01,1.0,46.98
2s,4_7,75225,380618,279711,63618,27355,35864,36804,2285,172,44,17257,793351,52.66,1.01,46.33
2s,4_8,84075,387652,279088,63801,31491,35864,36804,2285,172,44,17081,773947,53.8,1.0,45.2
2s,4_9,92040,397832,279826,64153,30073,35864,36804,2285,172,44,17091,756120,54.84,1.0,44.16
2s,4_T,96465,395544,278249,63984,28468,35864,36804,2285,172,44,16944,757481,54.77,0.99,44.24
2s,4_J,99120,398236,278033,63984,28468,35864,36804,2285,172,44,17120,752174,55.07,1.0,43.93
2s,4_Q,0,126608,132042,26062,11108,36089,18900,990,172,44,794702,565587,20.56,46.41,33.03
2s,4_K,0,190016,225961,49208,30073,35864,36114,1980,172,44,13123,1129749,33.26,0.77,65.98
2s,4_A,0,186468,219787,48260,29991,35868,36087,1979,172,44,9318,1144330,32.63,0.54,66.83
2s,5_6,69915,362246,269654,61980,30871,35868,36777,2284,172,44,17009,825484,50.8,0.99,48.21
2s,5_7,69915,368806,276532,63097,27355,35864,36804,2285,172,44,17085,814345,51.44,1.0,47.56
2s,5_8,78765,375840,275909,63280,31491,35864,36804,2285,172,44,16909,794941,52.59,0.99,46.43
2s,5_9,86730,386020,276647,63632,30073,35864,36804,2285,172,44,16919,777114,53.63,0.99,45.38
2s,5_T,96465,395544,277493,63984,28468,35864,36804,2285,172,44,16932,758249,54.73,0.99,44.28
2s,5_J,96465,381744,277277,63557,28468,35864,36804,2285,172,44,31147,758477,53.89,1.82,44.3
2s,5_Q,0,125952,132042,26062,11108,36089,18900,990,172,44,707045,653900,20.52,41.29,38.19
2s,5_K,0,188704,225961,49208,30073,35864,36114,1980,172,44,12923,1131261,33.18,0.75,66.07
2s,5_A,0,185156,219787,48260,29991,35868,36087,1979,172,44,9118,1145842,32.55,0.53,66.92
2s,6_7,64605,360796,274714,62745,21801,35864,36804,2285,172,44,16388,836086,50.21,0.96,48.83
2s,6_8,69915,365794,274091,62928,32211,35864,36804,2285,172,44,16216,815980,51.4,0.95,47.65
2s,6_9,77880,375974,274829,63280,30793,35864,36804,2285,172,44,16226,798153,52.44,0.95,46.61
2s,6_T,87615,372388,275675,63205,29188,35864,36804,2285,172,44,29776,779288,52.75,1.74,45.51
2s,6_J,92925,361430,277882,62872,29188,35864,36804,2285,172,44,40011,772827,52.53,2.34,45.13
2s,6_Q,0,129232,133161,26231,11828,36089,18900,990,172,44,583967,771690,20.83,34.1,45.07
2s,6_K,0,190538,227214,49377,30793,35864,36114,1980,172,44,12202,1128006,33.41,0.71,65.88
2s,6_A,0,193684,228467,49546,30953,35864,36114,1980,172,44,8512,1126968,33.69,0.5,65.82
2s,7_8,64605,360796,273634,62745,27355,35864,36804,2285,172,44,16337,831663,50.48,0.95,48.57
2s,7_9,69915,355830,274372,62670,25937,35864,36804,2285,172,44,29885,818526,50.45,1.75,47.8
2s,7_T,78765,342584,275218,62168,24332,35864,36804,2285,172,44,39985,814083,50.12,2.34,47.54
2s,7_J,84075,324726,277425,61408,24332,35864,36804,2285,172,44,47460,817709,49.47,2.77,47.75
2s,7_Q,0,132512,134280,26400,6972,36089,18900,990,172,44,462884,893061,20.81,27.03,52.16
2s,7_K,0,193684,228467,49546,25937,35864,36114,1980,172,44,12323,1128173,33.39,0.72,65.89
2s,7_A,0,194206,228467,49546,25937,35864,36114,1980,172,44,8499,1131475,33.42,0.5,66.08
2s,8_9,69915,321970,265598,60699,31409,35868,36777,2284,172,44,39113,848455,48.17,2.28,49.55
2s,8_T,78765,302514,266444,60075,29804,35868,36777,2284,172,44,45458,854099,47.47,2.65,49.88
2s,8_J,84075,283276,268651,58583,29804,35868,36777,2284,172,44,47718,865052,46.69,2.79,50.52
2s,8_Q,0,129232,133161,26231,13944,36089,18900,990,172,44,339409,1014132,20.95,19.82,59.23
2s,8_K,0,193684,228467,49546,31464,35864,36114,1980,172,44,12270,1122699,33.72,0.72,65.57
2s,8_A,0,191060,227214,49377,31491,35864,36114,1980,172,44,8311,1130677,33.48,0.49,66.03
2s,9_T,81420,265136,257778,57006,28304,35872,36750,2283,172,44,44809,902730,44.66,2.62,52.72
2s,9_J,86730,245898,259985,55392,28304,35872,36750,2283,172,44,45384,915490,43.88,2.65,53.47
2s,9_Q,0,126608,132042,26062,13944,36089,18900,990,172,44,248497,1108956,20.72,14.51,64.76
2s,9_K,0,185826,220533,48429,29964,35868,36087,1979,172,44,12330,1141072,32.64,0.72,66.64
2s,9_A,0,193028,227214,49377,30046,35864,36114,1980,172,44,8487,1129978,33.51,0.5,65.99
2s,T_J,89385,207646,250273,51666,26644,35876,36723,2282,172,44,42261,969332,40.92,2.47,56.61
2s,T_Q,0,123328,130923,25893,13944,36089,18900,990,172,44,178593,1183428,20.46,10.43,69.11
2s,T_K,0,174166,211346,47143,28304,35872,36060,1978,172,44,12390,1164829,31.25,0.72,68.03
2s,T_A,0,181368,218027,48091,28386,35868,36087,1979,172,44,8547,1153735,32.12,0.5,67.38
2s,J_Q,0,123984,130923,25893,13944,36089,18900,990,172,44,137884,1223481,20.5,8.05,71.45
2s,J_K,0,175478,211346,47143,28304,35872,36060,1978,172,44,12566,1163341,31.33,0.73,67.94
2s,J_A,0,182680,218027,48091,28386,35868,36087,1979,172,44,8723,1152247,32.2,0.51,67.29
2s,Q_K,0,127920,132042,26062,13944,36089,18900,990,172,44,46552,1309589,20.8,2.72,76.48
2s,Q_A,0,127920,132042,26062,12526,36089,18900,990,172,44,29126,1328433,20.72,1.7,77.58
2s,K_A,0,146288,203623,48260,29991,35868,35397,1979,172,44,9064,1201618,29.3,0.53,70.18
