type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2s,2_3,71685,467336,318917,64214,48271,36535,38256,2317,258,44,12456,652015,61.19,0.73,38.08
2s,2_4,71685,463146,316800,64045,46853,36535,38256,2317,258,44,12143,660222,60.73,0.71,38.56
2s,2_5,74340,460992,314791,63876,45435,36535,38256,2317,258,44,11872,663588,60.55,0.69,38.75
2s,2_6,86730,474386,315178,64228,44017,36535,38256,2317,258,44,11254,639101,62.02,0.66,37.32
2s,2_7,186735,568650,298980,55800,14829,36760,20646,1364,258,44,68784,459454,69.15,4.02,26.83
2s,2_8,95580,443328,299689,64580,44204,36535,37566,2317,258,44,11224,676979,59.81,0.66,39.54
2s,2_9,92040,441292,299257,64580,44204,36535,37566,2317,258,44,11209,683002,59.46,0.65,39.89
2s,2_T,92040,440636,298933,64580,44017,36535,37566,2317,258,44,11197,684181,59.39,0.65,39.96
2s,2_J,89385,442268,299970,64749,44550,36535,37566,2317,258,44,11320,683342,59.43,0.66,39.91
2s,2_Q,89385,445936,301115,64918,39694,36535,37566,2317,258,44,11443,683093,59.44,0.67,39.89
2s,2_K,144255,338981,189450,31808,34860,36760,20127,990,258,44,455303,459468,46.58,26.59,26.83
2s,2_A,0,264090,244964,50475,48271,36535,36876,1980,258,44,38534,990277,39.92,2.25,57.83
2s,3_4,71685,451366,307594,62928,45353,36539,38229,2316,258,44,12000,683992,59.35,0.7,39.95
2s,3_5,74340,449212,305585,62759,43935,36539,38229,2316,258,44,11744,687343,59.17,0.69,40.14
2s,3_6,86730,462606,305972,63111,42517,36539,38229,2316,258,44,11126,662856,60.64,0.65,38.71
2s,3_7,177885,555603,294807,55386,14829,36760,20646,1364,258,44,67061,487661,67.6,3.92,28.48
2s,3_8,95580,442806,298825,64580,42759,36535,37566,2317,258,44,11212,679822,59.64,0.65,39.7
2s,3_9,92040,437624,297140,64411,42786,36535,37566,2317,258,44,11062,690521,59.03,0.65,40.33
2s,3_T,92040,436968,296816,64411,42599,36535,37566,2317,258,44,11050,691700,58.96,0.65,40.4
2s,3_J,89385,438600,297853,64580,43132,36535,37566,2317,258,44,11173,690861,59.0,0.65,40.35
2s,3_Q,89385,442268,298998,64749,38276,36535,37566,2317,258,44,11296,690612,59.01,0.66,40.33
2s,3_K,144255,335179,187908,31639,33442,36760,20127,990,258,44,453320,468382,46.17,26.47,27.35
2s,3_A,0,260422,243711,50306,46853,36535,36876,1980,258,44,38387,996932,39.54,2.24,58.22
2s,4_5,74340,437954,296487,61642,42435,36543,38202,2315,258,44,11606,710478,57.83,0.68,41.49
2s,4_6,86730,451348,296874,61994,41017,36543,38202,2315,258,44,10998,685981,59.3,0.64,40.06
2s,4_7,169035,542556,290742,54972,14829,36760,20646,1364,258,44,65338,515760,66.06,3.82,30.12
2s,4_8,95580,434158,290135,63463,41259,36539,37539,2316,258,44,11084,699929,58.48,0.65,40.88
2s,4_9,95580,439138,296384,64411,41341,36535,37566,2317,258,44,11050,687680,59.19,0.65,40.16
2s,4_T,94695,435336,294807,64242,41181,36535,37566,2317,258,44,10903,694420,58.81,0.64,40.55
2s,4_J,92040,436968,295844,64411,41714,36535,37566,2317,258,44,11026,693581,58.85,0.64,40.51
2s,4_Q,92040,440636,296989,64580,36858,36535,37566,2317,258,44,11149,693332,58.86,0.65,40.49
2s,4_K,147795,333226,186366,31470,32024,36760,20127,990,258,44,451445,471799,46.08,26.36,27.55
2s,4_A,0,258100,242458,50137,45435,36535,36876,1980,258,44,38930,1001551,39.24,2.27,58.49
2s,5_6,86730,440090,287884,60877,39517,36547,38175,2314,258,44,10864,709004,57.96,0.63,41.41
2s,5_7,160185,529509,286785,54558,14829,36760,20646,1364,258,44,63615,543751,64.53,3.72,31.76
2s,5_8,95580,425510,281553,62346,39759,36543,37512,2315,258,44,10956,719928,57.32,0.64,42.04
2s,5_9,95580,430490,287802,63294,39841,36539,37539,2316,258,44,10922,707679,58.03,0.64,41.33
2s,5_T,99120,436850,294159,64242,39736,36535,37566,2317,258,44,10891,690586,59.03,0.64,40.33
2s,5_J,95580,435336,293943,64242,40296,36535,37566,2317,258,44,10879,695308,58.76,0.64,40.61
2s,5_Q,95580,439004,295088,64411,35440,36535,37566,2317,258,44,11002,695059,58.77,0.64,40.59
2s,5_K,152220,330583,184824,31301,30606,36760,20127,990,258,44,450368,474223,46.0,26.3,27.7
2s,5_A,0,255088,241205,49968,44017,36535,36876,1980,258,44,39473,1006860,38.89,2.31,58.8
2s,6_7,155760,518967,282936,54144,14829,36760,20646,1364,258,44,61191,565405,63.41,3.57,33.02
2s,6_8,99120,419554,273079,61229,38259,36547,37485,2314,258,44,10131,734284,56.53,0.59,42.88
2s,6_9,99120,424534,279328,62177,38341,36543,37512,2315,258,44,10097,722035,57.24,0.59,42.17
2s,6_T,102660,430894,285685,63125,38236,36539,37539,2316,258,44,10066,704942,58.24,0.59,41.17
2s,6_J,102660,439542,293403,64242,39038,36535,37566,2317,258,44,10170,686529,59.31,0.59,40.09
2s,6_Q,102660,440064,293295,64242,34022,36535,37566,2317,258,44,10158,691143,59.04,0.59,40.36
2s,6_K,159300,329286,183282,31132,29188,36760,20127,990,258,44,451631,470306,46.16,26.38,27.47
2s,6_A,0,228630,241970,49039,42599,36535,36876,1980,258,44,78019,996354,37.26,4.56,58.19
2s,7_8,159300,521472,275487,54144,14829,36760,20637,1364,258,44,53342,574667,63.32,3.12,33.56
2s,7_9,168150,530717,276009,54389,13411,36760,20637,1364,258,44,54727,555838,64.34,3.2,32.46
2s,7_T,181425,541155,276639,54634,11806,36760,20637,1364,258,44,56114,531468,65.68,3.28,31.04
2s,7_J,190275,554202,278496,55048,11806,36760,20637,1364,258,44,57636,505778,67.1,3.37,29.54
2s,7_Q,199125,567249,280461,55462,11806,36760,20637,1364,258,44,59158,479980,68.51,3.45,28.03
2s,7_K,0,0,0,0,0,36895,0,0,258,44,1552546,122561,2.17,90.67,7.16
2s,7_A,0,129232,150036,26231,13411,36760,19569,990,258,44,47945,1287828,21.99,2.8,75.21
2s,8_9,92925,377614,257581,60877,38446,36547,36795,2314,258,44,10321,798582,52.76,0.6,46.64
2s,8_T,92925,379328,263530,61825,38341,36543,36822,2315,258,44,10290,790083,53.26,0.6,46.14
2s,8_J,92925,385366,270840,62942,39143,36539,36849,2316,258,44,10394,774688,54.15,0.61,45.24
2s,8_Q,92925,289806,278258,60399,35627,36535,36876,2317,258,44,116278,762981,48.65,6.79,44.56
2s,8_K,0,120704,139479,25724,29375,36760,19050,990,258,44,342486,997434,21.75,20.0,58.25
2s,8_A,0,186870,227678,49039,42786,36535,36186,1980,258,44,6474,1124454,33.95,0.38,65.67
2s,9_T,89385,368658,256117,60877,38259,36547,36795,2314,258,44,10297,812753,51.93,0.6,47.47
2s,9_J,89385,273956,263427,57724,39061,36543,36822,2315,258,44,115411,797358,46.69,6.74,46.57
2s,9_Q,89385,252916,270845,56706,35545,36539,36849,2316,258,44,40240,890661,45.63,2.35,52.02
2s,9_K,0,120704,139479,25724,30793,36760,19050,990,258,44,241301,1097201,21.83,14.09,64.08
2s,9_A,0,189360,228931,49208,42759,36535,36186,1980,258,44,6597,1120446,34.18,0.39,65.43
2s,T_J,86730,232742,254869,54472,37934,36547,36795,2314,258,44,39453,930146,43.37,2.3,54.32
2s,T_Q,86730,218602,262287,53088,34418,36543,36822,2315,258,44,33713,947484,42.7,1.97,55.33
2s,T_K,0,120048,139479,25724,32211,36760,19050,990,258,44,167119,1170621,21.87,9.76,68.37
2s,T_A,0,178878,220997,48091,42517,36539,36159,1979,258,44,6604,1140238,33.02,0.39,66.59
2s,J_Q,86730,207948,263432,50390,29562,36543,36822,2315,258,44,27302,970958,41.7,1.59,56.7
2s,J_K,0,123328,140598,25893,32744,36760,19050,990,258,44,125869,1206770,22.17,7.35,70.48
2s,J_A,0,181368,222250,48260,43050,36539,36159,1979,258,44,6727,1135670,33.28,0.39,66.32
2s,Q_K,0,126608,141717,26062,27888,36760,19050,990,258,44,94057,1238870,22.16,5.49,72.35
2s,Q_A,0,184514,223503,48429,38194,36539,36159,1979,258,44,6850,1135835,33.27,0.4,66.33
2s,K_A,0,129232,142836,26231,34860,36760,19050,990,258,44,19852,1302191,22.79,1.16,76.05
