type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2s,2_3,0,437067,530604,175970,36005,36426,146844,15418,430,0,11833,321707,80.52,0.69,18.79
2s,2_4,0,437067,530604,175970,36005,36426,146832,15418,430,0,11666,321886,80.52,0.68,18.8
2s,2_5,0,433577,529785,173143,34534,36426,146811,15417,430,0,11460,330721,80.02,0.67,19.31
2s,2_6,0,455976,540669,173570,33063,36426,146817,15417,430,0,10772,299164,81.9,0.63,17.47
2s,2_7,0,473439,550173,173570,31592,36426,146823,15417,430,0,10817,273617,83.39,0.63,15.98
2s,2_8,0,475072,550734,170743,30121,36426,146802,15416,430,0,10722,275838,83.26,0.63,16.11
2s,2_9,0,595384,640410,108210,0,36786,99822,0,430,0,58377,172885,86.49,3.41,10.1
2s,2_T,0,346453,428892,170743,30308,36426,141084,15175,430,0,9014,533779,68.3,0.53,31.17
2s,2_J,0,341330,427512,173570,31779,36426,141093,15176,430,0,8319,536669,68.17,0.49,31.34
2s,2_Q,0,336207,426132,176397,33250,36426,141102,15177,430,0,7732,539451,68.04,0.45,31.5
2s,2_K,0,331969,424752,179224,33836,36426,141111,15178,430,0,7253,542125,67.92,0.42,31.66
2s,2_A,0,319629,416628,179224,28804,36426,141093,15178,430,0,6722,568170,66.43,0.39,33.18
2s,3_4,0,421237,521661,173143,36005,36426,146793,15417,430,0,11491,349701,78.91,0.67,20.42
2s,3_5,0,417747,520842,170316,34534,36426,146772,15416,430,0,11300,358521,78.4,0.66,20.94
2s,3_6,0,440146,531726,170743,33063,36426,146778,15416,430,0,10612,326964,80.29,0.62,19.09
2s,3_7,0,457609,541230,170743,31592,36426,146784,15416,430,0,10657,301417,81.77,0.62,17.6
2s,3_8,0,475072,550734,170743,30121,36426,146790,15416,430,0,10722,275850,83.26,0.63,16.11
2s,3_9,0,590261,639030,107970,0,36786,99810,0,430,0,58189,179828,86.1,3.4,10.5
2s,3_T,0,342215,427512,170316,30308,36426,141072,15175,430,0,8826,540024,67.95,0.52,31.54
2s,3_J,0,337092,426132,173143,31779,36426,141081,15176,430,0,8131,542914,67.82,0.47,31.71
2s,3_Q,0,331969,424752,175970,33250,36426,141090,15177,430,0,7544,545696,67.69,0.44,31.87
2s,3_K,0,327731,423372,178797,33836,36426,141099,15178,430,0,7065,548370,67.56,0.41,32.03
2s,3_A,0,315391,415248,178797,28804,36426,141081,15178,430,0,6534,574415,66.07,0.38,33.55
2s,4_5,0,405407,512718,170316,34534,36426,146742,15416,430,0,11290,379025,77.21,0.66,22.14
2s,4_6,0,423568,522222,170743,33063,36426,146748,15416,430,0,10612,353076,78.76,0.62,20.62
2s,4_7,0,440146,531726,170743,31592,36426,146754,15416,430,0,10657,328414,80.2,0.62,19.18
2s,4_8,0,457609,541230,170743,30121,36426,146760,15416,430,0,10722,302847,81.69,0.63,17.69
2s,4_9,0,590261,639030,107970,0,36786,99798,0,430,0,58189,179840,86.1,3.4,10.5
2s,4_T,0,342215,427512,170316,30308,36426,141060,15175,430,0,8825,540037,67.95,0.52,31.54
2s,4_J,0,337092,426132,173143,31779,36426,141069,15176,430,0,8130,542927,67.82,0.47,31.71
2s,4_Q,0,331969,424752,175970,33250,36426,141078,15177,430,0,7543,545709,67.69,0.44,31.87
2s,4_K,0,327731,423372,178797,33836,36426,141087,15178,430,0,7064,548383,67.56,0.41,32.03
2s,4_A,0,315391,415248,178797,28804,36426,141069,15178,430,0,6533,574428,66.07,0.38,33.55
2s,5_6,0,423568,521802,159912,31519,36434,146457,15374,430,0,10534,366274,77.99,0.62,21.39
2s,5_7,0,440146,531306,159912,30048,36434,146463,15374,430,0,10585,341606,79.43,0.62,19.95
2s,5_8,0,457609,540810,159912,28577,36434,146469,15374,430,0,10650,316039,80.92,0.62,18.46
2s,5_9,0,572798,629526,106344,0,36786,99768,0,430,0,56637,210015,84.43,3.31,12.27
2s,5_T,0,338027,426693,170316,28810,36426,141048,15175,430,0,8825,546554,67.57,0.52,31.92
2s,5_J,0,333602,425313,170316,30308,36426,141048,15175,430,0,8048,551638,67.31,0.47,32.22
2s,5_Q,0,328479,423933,173143,31779,36426,141057,15176,430,0,7461,554420,67.19,0.44,32.38
2s,5_K,0,324241,422553,175970,32365,36426,141066,15177,430,0,6982,557094,67.06,0.41,32.53
2s,5_A,0,311901,414429,175970,27333,36426,141048,15177,430,0,6451,583139,65.57,0.38,34.06
2s,6_7,0,449457,533085,149508,28504,36442,146172,15332,430,0,9812,343562,79.36,0.57,20.06
2s,6_8,0,466920,542589,149508,27033,36442,146178,15332,430,0,9881,317991,80.85,0.58,18.57
2s,6_9,0,561343,621402,104958,0,36786,99738,0,430,0,54388,233259,83.2,3.18,13.62
2s,6_T,0,343150,428073,159912,27266,36434,140757,15133,430,0,8056,553093,67.23,0.47,32.3
2s,6_J,0,338962,427254,170743,28810,36426,141036,15175,430,0,7351,546117,67.68,0.43,31.89
2s,6_Q,0,333652,425874,170743,30308,36426,141036,15175,430,0,6682,551978,67.37,0.39,32.24
2s,6_K,0,329414,424494,173570,30894,36426,141045,15176,430,0,6203,554652,67.25,0.36,32.39
2s,6_A,0,329414,424494,176397,25862,36426,141054,15177,430,0,5831,557219,67.12,0.34,32.54
2s,7_8,0,476044,544368,139104,25489,36450,145887,15290,430,0,9995,319247,80.77,0.58,18.64
2s,7_9,0,549003,613413,103572,0,36786,99708,0,430,0,52888,256504,81.93,3.09,14.98
2s,7_T,0,347388,429453,149508,25722,36442,140466,15091,430,0,8171,559633,66.84,0.48,32.68
2s,7_J,0,343200,428634,160339,27266,36434,140745,15133,430,0,7466,552657,67.29,0.44,32.28
2s,7_Q,0,339012,427815,171170,28810,36426,141024,15175,430,0,6869,545573,67.74,0.4,31.86
2s,7_K,0,334587,426435,171170,29423,36426,141024,15175,430,0,6308,551326,67.43,0.37,32.2
2s,7_A,0,330349,425055,173570,24391,36426,141033,15176,430,0,5749,560125,66.95,0.34,32.71
2s,8_9,0,536663,605694,102186,0,36786,99678,0,430,0,51119,279748,80.68,2.99,16.34
2s,8_T,0,351626,430833,139104,24178,36450,140175,15049,430,0,8287,566172,66.45,0.48,33.06
2s,8_J,0,347438,430014,149935,25722,36442,140454,15091,430,0,7582,559196,66.9,0.44,32.66
2s,8_Q,0,343250,429195,160766,27266,36434,140733,15133,430,0,6985,552112,67.35,0.41,32.24
2s,8_K,0,339760,428376,171597,28112,36426,141012,15175,430,0,6496,544920,67.8,0.38,31.82
2s,8_A,0,335522,426996,171170,22920,36426,141012,15175,430,0,5855,556798,67.14,0.34,32.52
2s,9_T,0,325680,473835,102186,0,36786,91912,0,430,0,32659,648816,60.2,1.91,37.89
2s,9_J,0,338955,482520,103812,0,36786,91930,0,430,0,33565,624306,61.58,1.96,36.46
2s,9_Q,0,352230,491205,105438,0,36786,91948,0,430,0,34579,599688,62.96,2.02,35.02
2s,9_K,0,365505,499755,107064,0,36786,91966,0,430,0,35701,575097,64.33,2.08,33.59
2s,9_A,0,374355,506655,108450,0,36786,91984,0,430,0,36608,557036,65.33,2.14,32.53
2s,T_J,0,196470,324120,139104,25836,36450,134877,15048,430,0,6496,833473,50.95,0.38,48.68
2s,T_Q,0,196470,324120,149935,27380,36442,135156,15090,430,0,6304,820977,51.69,0.37,47.95
2s,T_K,0,196470,324120,160766,28226,36434,135435,15132,430,0,6220,809071,52.39,0.36,47.25
2s,T_A,0,192930,322740,171170,24578,36426,135714,15174,430,0,6056,807086,52.51,0.35,47.13
2s,J_Q,0,192045,322740,152762,28851,36442,135165,15091,430,0,6374,822404,51.6,0.37,48.03
2s,J_K,0,192045,322740,163593,29697,36434,135444,15133,430,0,6290,810498,52.3,0.37,47.33
2s,J_A,0,188505,321360,173997,26049,36426,135723,15175,430,0,6126,808513,52.42,0.36,47.22
2s,Q_K,0,188505,321360,166420,30283,36434,135453,15134,430,0,6360,811925,52.21,0.37,47.42
2s,Q_A,0,184965,319980,176824,26635,36426,135732,15176,430,0,6196,809940,52.34,0.36,47.3
2s,K_A,0,184965,319980,179651,21603,36426,135741,15177,430,0,6266,812065,52.21,0.37,47.43
