type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2s,2_3,82305,462000,312967,62928,48947,36680,38313,2348,86,88,9356,656286,61.13,0.55,38.33
2s,2_4,79650,459308,312103,62928,48947,36680,38313,2348,86,88,8990,662863,60.76,0.53,38.71
2s,2_5,76995,456616,311347,62928,48947,36680,38313,2348,86,88,8666,669290,60.41,0.51,39.09
2s,2_6,74340,470028,320294,64214,44893,36676,38340,2349,86,88,7992,653004,61.4,0.47,38.14
2s,2_7,80535,478038,320924,64566,50447,36676,38340,2349,86,88,7743,632512,62.61,0.45,36.94
2s,2_8,80535,478038,320492,64566,50447,36676,38340,2349,86,88,7717,632970,62.58,0.45,36.97
2s,2_9,83190,480730,320168,64566,50447,36676,38340,2349,86,88,7889,627775,62.88,0.46,36.66
2s,2_T,94695,487860,316108,64646,41020,36676,38336,2349,86,88,7968,622472,63.18,0.47,36.35
2s,2_J,97350,490552,316108,64646,41020,36676,38336,2349,86,88,8144,616949,63.49,0.48,36.03
2s,2_Q,100005,493244,316108,64646,41020,36676,38336,2349,86,88,8320,611426,63.81,0.49,35.71
2s,2_K,195585,563670,315093,55217,44533,36901,20676,1400,86,88,21283,457772,72.02,1.24,26.73
2s,2_A,182310,552576,261489,54972,38979,36901,20307,990,86,88,80267,483339,67.08,4.69,28.23
2s,3_4,74340,446452,308816,62407,48947,36680,38313,2348,86,88,8803,685024,59.48,0.51,40.01
2s,3_5,71685,443760,308060,62407,48947,36680,38313,2348,86,88,8494,691436,59.12,0.5,40.38
2s,3_6,69030,457172,317007,63693,44893,36676,38340,2349,86,88,7820,675150,60.11,0.46,39.43
2s,3_7,75225,465182,317637,64045,50447,36676,38340,2349,86,88,7571,654658,61.33,0.44,38.23
2s,3_8,80535,478038,319628,64566,50447,36676,38340,2349,86,88,7705,633846,62.53,0.45,37.02
2s,3_9,80535,478038,319304,64566,50447,36676,38340,2349,86,88,7689,634186,62.51,0.45,37.04
2s,3_T,92040,485168,315244,64646,41020,36676,38336,2349,86,88,7768,628883,62.82,0.45,36.73
2s,3_J,94695,487860,315244,64646,41020,36676,38336,2349,86,88,7944,623360,63.13,0.46,36.4
2s,3_Q,97350,490552,315244,64646,41020,36676,38336,2349,86,88,8120,617837,63.44,0.47,36.08
2s,3_K,192045,561165,312852,55217,44533,36901,20676,1400,86,88,21065,466276,71.54,1.23,27.23
2s,3_A,178770,550071,260220,54972,38979,36901,20307,990,86,88,79077,491843,66.66,4.62,28.72
2s,4_5,66375,430904,304881,61886,48947,36680,38313,2348,86,88,8312,713484,57.85,0.49,41.67
2s,4_6,63720,444316,313828,63172,44893,36676,38340,2349,86,88,7648,697188,58.84,0.45,40.72
2s,4_7,69915,452326,314458,63524,50447,36676,38340,2349,86,88,7399,676696,60.05,0.43,39.52
2s,4_8,75225,465182,316449,64045,50447,36676,38340,2349,86,88,7533,655884,61.26,0.44,38.3
2s,4_9,80535,478038,318548,64566,50447,36676,38340,2349,86,88,7677,634954,62.47,0.45,37.08
2s,4_T,89385,482476,314488,64646,41020,36676,38336,2349,86,88,7568,635186,62.46,0.44,37.1
2s,4_J,92040,485168,314488,64646,41020,36676,38336,2349,86,88,7744,629663,62.77,0.45,36.77
2s,4_Q,94695,487860,314488,64646,41020,36676,38336,2349,86,88,7920,624140,63.09,0.46,36.45
2s,4_K,188505,558660,310719,55217,44533,36901,20676,1400,86,88,20847,474672,71.06,1.22,27.72
2s,4_A,175230,547566,258951,54972,38979,36901,20307,990,86,88,77995,500239,66.23,4.55,29.21
2s,5_6,58410,431460,310757,62651,44893,36676,38340,2349,86,88,7470,719124,57.57,0.44,42.0
2s,5_7,64605,439470,311387,63003,50447,36676,38340,2349,86,88,7227,698626,58.78,0.42,40.8
2s,5_8,69915,452326,313378,63524,50447,36676,38340,2349,86,88,7361,677814,59.99,0.43,39.58
2s,5_9,75225,465182,315477,64045,50447,36676,38340,2349,86,88,7505,656884,61.2,0.44,38.36
2s,5_T,89385,482476,313840,64646,41020,36676,38336,2349,86,88,7556,635846,62.42,0.44,37.13
2s,5_J,89385,482476,313840,64646,41020,36676,38336,2349,86,88,7544,635858,62.42,0.44,37.13
2s,5_Q,92040,485168,313840,64646,41020,36676,38336,2349,86,88,7720,630335,62.74,0.45,36.81
2s,5_K,184965,556155,308694,55217,44533,36901,20676,1400,86,88,20629,482960,70.59,1.2,28.21
2s,5_A,171690,545061,257682,54972,38979,36901,20307,990,86,88,77021,508527,65.8,4.5,29.7
2s,6_7,59295,431460,309677,62651,44893,36676,38340,2349,86,88,6530,720259,57.55,0.38,42.06
2s,6_8,64605,444316,311668,63172,44893,36676,38340,2349,86,88,6668,699443,58.76,0.39,40.85
2s,6_9,69915,457172,313767,63693,44893,36676,38340,2349,86,88,6812,678513,59.98,0.4,39.63
2s,6_T,84075,474466,312130,64294,35466,36676,38336,2349,86,88,6863,657475,61.2,0.4,38.4
2s,6_J,89385,487322,314553,64815,35466,36676,38336,2349,86,88,7011,636217,62.43,0.41,37.16
2s,6_Q,89385,487322,314553,64815,35466,36676,38336,2349,86,88,6999,636229,62.43,0.41,37.16
2s,6_K,181425,558108,307896,55386,38979,36901,20676,1400,86,88,19890,491469,70.14,1.16,28.7
2s,6_A,181425,558108,258081,55386,38979,36901,20307,990,86,88,70484,491469,67.18,4.12,28.7
2s,7_8,59295,431460,308813,62651,51865,36676,38340,2349,86,88,6453,714228,57.91,0.38,41.71
2s,7_9,64605,444316,310912,63172,51865,36676,38340,2349,86,88,6598,693297,59.13,0.39,40.49
2s,7_T,78765,461610,309275,63773,42438,36676,38336,2349,86,88,6649,672259,60.35,0.39,39.26
2s,7_J,84075,474466,311698,64294,42438,36676,38336,2349,86,88,6797,651001,61.58,0.4,38.02
2s,7_Q,89385,487322,314121,64815,42438,36676,38336,2349,86,88,6945,629743,62.82,0.41,36.78
2s,7_K,177885,555603,306087,55386,45951,36901,20676,1400,86,88,19630,492611,70.08,1.15,28.77
2s,7_A,177885,555603,256812,55386,38979,36901,20307,990,86,88,76656,492611,66.75,4.48,28.77
2s,8_9,67260,447008,310588,63172,51865,36676,38340,2349,86,88,6774,688098,59.42,0.4,40.19
2s,8_T,72570,453600,307781,63421,42438,36676,38336,2349,86,88,6825,688134,59.41,0.4,40.19
2s,8_J,77880,466456,310204,63942,42438,36676,38336,2349,86,88,6973,666876,60.65,0.41,38.95
2s,8_Q,83190,479312,312627,64463,42438,36676,38336,2349,86,88,7121,645618,61.88,0.42,37.7
2s,8_K,181425,558108,304386,55386,45951,36901,20676,1400,86,88,19788,488109,70.34,1.16,28.51
2s,8_A,181425,558108,255543,55386,38979,36901,20307,990,86,88,76381,488110,67.03,4.46,28.51
2s,9_T,75225,443320,302468,62271,42438,36680,38313,2348,86,88,7001,702066,58.59,0.41,41.0
2s,9_J,80535,456176,304891,62792,42438,36680,38313,2348,86,88,7149,680808,59.82,0.42,39.76
2s,9_Q,85845,469032,307314,63313,42438,36680,38313,2348,86,88,7297,659550,61.06,0.43,38.52
2s,9_K,184965,560613,302793,55386,45951,36901,20676,1400,86,88,19946,483499,70.6,1.16,28.24
2s,9_A,184965,560613,254274,55386,38979,36901,20307,990,86,88,76215,483500,67.31,4.45,28.24
2s,T_J,83190,462000,285877,62716,32422,36688,38146,2346,86,88,7241,701504,58.61,0.42,40.97
2s,T_Q,88500,474856,288300,63237,32422,36688,38146,2346,86,88,7389,680246,59.84,0.43,39.73
2s,T_K,188505,545688,292026,54067,37834,36904,20653,1399,86,88,18837,516217,68.75,1.1,30.15
2s,T_A,201780,556782,244380,54312,30862,36904,20284,989,86,88,75187,490650,66.95,4.39,28.65
2s,J_Q,91155,477548,288300,63237,32422,36688,38146,2346,86,88,7565,674723,60.15,0.44,39.4
2s,J_K,192045,548193,290898,54067,37834,36904,20653,1399,86,88,18995,511142,69.04,1.11,29.85
2s,J_A,205320,559287,243252,54312,30862,36904,20284,989,86,88,75345,485575,67.24,4.4,28.36
2s,Q_K,195585,550698,289770,54067,37834,36904,20653,1399,86,88,19153,506067,69.33,1.12,29.55
2s,Q_A,208860,561792,242124,54312,30862,36904,20284,989,86,88,75503,480500,67.53,4.41,28.06
2s,K_A,0,0,0,0,0,37036,0,0,86,88,1552538,122556,2.17,90.67,7.16
