type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2s,2_3,79650,459308,312967,62928,55919,36638,38301,2348,129,88,9138,654890,61.22,0.53,38.25
2s,2_4,76995,456616,312103,62928,55919,36638,38301,2348,129,88,8772,661467,60.86,0.51,38.63
2s,2_5,74340,453924,311347,62928,55919,36638,38301,2348,129,88,8448,667894,60.5,0.49,39.01
2s,2_6,71685,467336,320294,64214,51865,36634,38328,2349,129,88,7774,651608,61.49,0.45,38.05
2s,2_7,80535,478038,320924,64566,57419,36634,38328,2349,129,88,7712,625582,63.02,0.45,36.53
2s,2_8,80535,473848,319239,64397,56001,36634,38328,2349,129,88,7552,633204,62.58,0.44,36.98
2s,2_9,83190,476540,318915,64397,56001,36634,38328,2349,129,88,7724,628009,62.87,0.45,36.68
2s,2_T,98235,485706,314855,64477,46574,36634,38324,2349,129,88,7803,617130,63.5,0.46,36.04
2s,2_J,100890,488398,314855,64477,46574,36634,38324,2349,129,88,7979,611607,63.82,0.47,35.72
2s,2_Q,192045,561165,315093,55217,44533,36859,20676,1400,129,88,28024,457075,71.67,1.64,26.69
2s,2_K,100005,453050,300397,64646,48179,36634,37634,2349,129,88,8320,660873,60.92,0.49,38.6
2s,2_A,178770,550071,246060,50702,45951,36859,20277,990,129,88,99766,482641,65.99,5.83,28.19
2s,3_4,71685,443760,308816,62407,55919,36638,38301,2348,129,88,8585,683628,59.57,0.5,39.92
2s,3_5,69030,441068,308060,62407,55919,36638,38301,2348,129,88,8276,690040,59.22,0.48,40.3
2s,3_6,66375,454480,317007,63693,51865,36634,38328,2349,129,88,7602,673754,60.21,0.44,39.35
2s,3_7,75225,465182,317637,64045,57419,36634,38328,2349,129,88,7540,647728,61.73,0.44,37.83
2s,3_8,80535,473848,318375,64397,56001,36634,38328,2349,129,88,7540,634080,62.53,0.44,37.03
2s,3_9,80535,473848,318051,64397,56001,36634,38328,2349,129,88,7524,634420,62.51,0.44,37.05
2s,3_T,95580,483014,313991,64477,46574,36634,38324,2349,129,88,7603,623541,63.14,0.44,36.42
2s,3_J,98235,485706,313991,64477,46574,36634,38324,2349,129,88,7779,618018,63.45,0.45,36.09
2s,3_Q,188505,558660,312852,55217,44533,36859,20676,1400,129,88,27806,465579,71.19,1.62,27.19
2s,3_K,97350,450358,299533,64646,48179,36634,37634,2349,129,88,8120,667284,60.56,0.47,38.97
2s,3_A,175230,547566,244932,50702,45951,36859,20277,990,129,88,98435,491145,65.57,5.75,28.68
2s,4_5,63720,428212,304881,61886,55919,36638,38301,2348,129,88,8094,712088,57.94,0.47,41.59
2s,4_6,61065,441624,313828,63172,51865,36634,38328,2349,129,88,7430,695792,58.93,0.43,40.63
2s,4_7,69915,452326,314458,63524,57419,36634,38328,2349,129,88,7368,669766,60.45,0.43,39.11
2s,4_8,75225,460992,315196,63876,56001,36634,38328,2349,129,88,7368,656118,61.25,0.43,38.32
2s,4_9,80535,473848,317295,64397,56001,36634,38328,2349,129,88,7512,635188,62.47,0.44,37.1
2s,4_T,92925,480322,313235,64477,46574,36634,38324,2349,129,88,7403,629844,62.78,0.43,36.78
2s,4_J,95580,483014,313235,64477,46574,36634,38324,2349,129,88,7579,624321,63.1,0.44,36.46
2s,4_Q,184965,556155,310719,55217,44533,36859,20676,1400,129,88,27588,473975,70.71,1.61,27.68
2s,4_K,94695,447666,298777,64646,48179,36634,37634,2349,129,88,7920,673587,60.2,0.46,39.34
2s,4_A,171690,545061,243804,50702,45951,36859,20277,990,129,88,97212,499541,65.15,5.68,29.17
2s,5_6,55755,428768,310757,62651,51865,36634,38328,2349,129,88,7252,717728,57.66,0.42,41.92
2s,5_7,64605,439470,311387,63003,57419,36634,38328,2349,129,88,7196,691696,59.18,0.42,40.4
2s,5_8,69915,448136,312125,63355,56001,36634,38328,2349,129,88,7196,678048,59.98,0.42,39.6
2s,5_9,75225,460992,314224,63876,56001,36634,38328,2349,129,88,7340,657118,61.2,0.43,38.38
2s,5_T,92925,480322,312587,64477,46574,36634,38324,2349,129,88,7391,630504,62.75,0.43,36.82
2s,5_J,92925,480322,312587,64477,46574,36634,38324,2349,129,88,7379,630516,62.75,0.43,36.82
2s,5_Q,181425,553650,308694,55217,44533,36859,20676,1400,129,88,27370,482263,70.24,1.6,28.16
2s,5_K,92040,444974,298129,64646,48179,36634,37634,2349,129,88,7720,679782,59.85,0.45,39.7
2s,5_A,168150,542556,242676,50702,45951,36859,20277,990,129,88,96097,507829,64.73,5.61,29.66
2s,6_7,59295,431460,309677,62651,51865,36634,38328,2349,129,88,6499,713329,57.96,0.38,41.66
2s,6_8,64605,440126,310415,63003,50447,36634,38328,2349,129,88,6503,699677,58.76,0.38,40.86
2s,6_9,69915,452982,312514,63524,50447,36634,38328,2349,129,88,6647,678747,59.97,0.39,39.64
2s,6_T,87615,472312,310877,64125,41020,36634,38324,2349,129,88,6698,652133,61.52,0.39,38.09
2s,6_J,92925,485168,313300,64646,41020,36634,38324,2349,129,88,6846,630875,62.76,0.4,36.84
2s,6_Q,177885,555603,307896,55386,38979,36859,20676,1400,129,88,26631,490772,69.78,1.56,28.66
2s,6_K,89385,447128,298842,64815,42625,36634,37634,2349,129,88,6999,685676,59.55,0.41,40.04
2s,6_A,177885,555603,243216,51116,45951,36859,20277,990,129,88,89419,490771,66.12,5.22,28.66
2s,7_8,59295,431460,308813,62651,57419,36634,38328,2349,129,88,6448,708690,58.24,0.38,41.39
2s,7_9,64605,444316,310912,63172,57419,36634,38328,2349,129,88,6593,687759,59.45,0.39,40.17
2s,7_T,78765,461610,309275,63773,47992,36634,38324,2349,129,88,6644,666721,60.67,0.39,38.94
2s,7_J,84075,474466,311698,64294,47992,36634,38324,2349,129,88,6792,645463,61.91,0.4,37.7
2s,7_Q,177885,555603,306087,55386,45951,36859,20676,1400,129,88,26559,485681,70.08,1.55,28.36
2s,7_K,89385,447128,298410,64815,49597,36634,37634,2349,129,88,6944,679191,59.93,0.41,39.67
2s,7_A,177885,555603,242088,51116,45951,36859,20277,990,129,88,95637,485681,66.05,5.59,28.36
2s,8_9,67260,435228,302246,62055,55919,36638,38301,2348,129,88,6653,705439,58.41,0.39,41.2
2s,8_T,81420,452522,300609,62656,46492,36638,38297,2348,129,88,6704,684401,59.64,0.39,39.97
2s,8_J,86730,465378,303032,63177,46492,36638,38297,2348,129,88,6852,663143,60.87,0.4,38.73
2s,8_Q,172575,545061,302313,54972,45951,36859,20676,1400,129,88,25165,507115,68.91,1.47,29.62
2s,8_K,92040,449298,298086,64815,48152,36634,37634,2349,129,88,7120,675959,60.11,0.42,39.48
2s,8_A,181425,554306,239841,50947,44533,36859,20277,990,129,88,95087,487822,65.96,5.55,28.49
2s,9_T,84075,442242,295296,61506,46492,36642,38274,2347,129,88,6880,698333,58.81,0.4,40.78
2s,9_J,89385,455098,297719,62027,46492,36642,38274,2347,129,88,7028,677075,60.05,0.41,39.54
2s,9_Q,176115,547566,300720,54972,45951,36859,20676,1400,129,88,25323,502505,69.17,1.48,29.35
2s,9_K,94695,439018,292773,63665,48152,36638,37611,2348,129,88,7296,689891,59.28,0.43,40.29
2s,9_A,184965,556811,238713,50947,44533,36859,20277,990,129,88,94780,483212,66.24,5.54,28.22
2s,T_J,92040,461444,278705,61951,36476,36650,38107,2345,129,88,7120,697249,58.86,0.42,40.72
2s,T_Q,179655,532641,289953,53653,37834,36862,20653,1399,129,88,24214,535223,67.33,1.41,31.26
2s,T_K,97350,445364,273918,63589,38136,36646,37444,2346,129,88,7388,709906,58.11,0.43,41.46
2s,T_A,206205,554829,228873,49751,36416,36862,20254,989,129,88,93820,484088,66.25,5.48,28.27
2s,J_Q,183195,535146,288825,53653,37834,36862,20653,1399,129,88,24372,530148,67.62,1.42,30.96
2s,J_K,100005,448056,273918,63589,38136,36646,37444,2346,129,88,7564,704383,58.42,0.44,41.14
2s,J_A,209745,557334,227745,49751,36416,36862,20254,989,129,88,93978,479013,66.54,5.49,27.97
2s,Q_K,195585,550698,289770,54067,37834,36862,20644,1399,129,88,18792,506436,69.33,1.1,29.58
2s,Q_A,0,0,0,0,0,36994,0,0,129,88,1552536,122557,2.17,90.67,7.16
2s,K_A,0,118736,141828,24912,38021,36862,19177,989,129,88,75503,1256059,22.24,4.41,73.35
