type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2s,2_3,0,446054,537414,176824,22488,36592,147492,15526,172,88,7947,321707,80.75,0.46,18.79
2s,2_4,0,441118,536034,176397,22488,36592,147480,15526,172,88,7593,328816,80.35,0.44,19.2
2s,2_5,0,436182,534654,175970,22488,36592,147468,15526,172,88,7281,335883,79.96,0.43,19.62
2s,2_6,0,452897,543597,178797,22488,36592,147483,15527,172,88,6487,308176,81.62,0.38,18.0
2s,2_7,0,468727,552540,181624,22488,36592,147498,15528,172,88,6613,280434,83.24,0.39,16.38
2s,2_8,0,465237,551721,178797,21017,36592,147477,15527,172,88,6518,289158,82.73,0.38,16.89
2s,2_9,0,470921,553662,176397,19546,36592,147456,15526,172,88,6621,285323,82.95,0.39,16.66
2s,2_T,0,477677,555603,173570,17888,36592,147435,15525,172,88,6727,281027,83.19,0.39,16.41
2s,2_J,0,482613,556983,173997,17888,36592,147423,15525,172,88,6915,274108,83.59,0.4,16.01
2s,2_Q,0,604745,655077,108690,0,36952,101058,0,172,88,32639,172883,88.0,1.91,10.1
2s,2_K,0,349806,437400,177251,19546,36592,141822,15177,172,88,7226,527224,68.79,0.42,30.79
2s,2_A,0,332343,427896,177251,21017,36592,141804,15177,172,88,7100,552864,67.3,0.41,32.29
2s,3_4,0,425288,527091,173570,22488,36592,147441,15525,172,88,7418,356631,78.74,0.43,20.83
2s,3_5,0,420352,525711,173143,22488,36592,147429,15525,172,88,7121,363683,78.34,0.42,21.24
2s,3_6,0,437067,534654,175970,22488,36592,147444,15526,172,88,6327,335976,80.01,0.37,19.62
2s,3_7,0,452897,543597,178797,22488,36592,147459,15527,172,88,6453,308234,81.62,0.38,18.0
2s,3_8,0,465237,551721,178797,21017,36592,147465,15527,172,88,6518,289170,82.73,0.38,16.89
2s,3_9,0,465985,552282,175970,19546,36592,147444,15526,172,88,6433,292266,82.56,0.38,17.07
2s,3_T,0,472741,554223,173143,17888,36592,147423,15525,172,88,6539,287970,82.8,0.38,16.82
2s,3_J,0,477677,555603,173570,17888,36592,147411,15525,172,88,6727,281051,83.19,0.39,16.41
2s,3_Q,0,599622,653697,108450,0,36952,101046,0,172,88,32451,179826,87.6,1.9,10.5
2s,3_K,0,345568,436020,176824,19546,36592,141810,15177,172,88,7038,533469,68.43,0.41,31.16
2s,3_A,0,328105,426516,176824,21017,36592,141792,15177,172,88,6912,559109,66.94,0.4,32.65
2s,4_5,0,404522,516768,170316,22488,36592,147390,15524,172,88,6951,391493,76.73,0.41,22.86
2s,4_6,0,421237,525711,173143,22488,36592,147405,15525,172,88,6167,363776,78.4,0.36,21.24
2s,4_7,0,437067,534654,175970,22488,36592,147420,15526,172,88,6293,336034,80.01,0.37,19.62
2s,4_8,0,449407,542778,175970,21017,36592,147426,15526,172,88,6358,316970,81.12,0.37,18.51
2s,4_9,0,465985,552282,175970,19546,36592,147432,15526,172,88,6433,292278,82.56,0.38,17.07
2s,4_T,0,467805,552843,172716,17888,36592,147411,15525,172,88,6351,294913,82.41,0.37,17.22
2s,4_J,0,472741,554223,173143,17888,36592,147399,15525,172,88,6539,287994,82.8,0.38,16.82
2s,4_Q,0,594499,652317,108210,0,36952,101034,0,172,88,32263,186769,87.21,1.88,10.91
2s,4_K,0,341330,434640,176397,19546,36592,141798,15177,172,88,6850,539714,68.08,0.4,31.52
2s,4_A,0,323867,425136,176397,21017,36592,141780,15177,172,88,6724,565354,66.59,0.39,33.02
2s,5_6,0,405407,516768,170316,22488,36592,147366,15524,172,88,6001,391582,76.78,0.35,22.87
2s,5_7,0,421237,525711,173143,22488,36592,147381,15525,172,88,6133,363834,78.39,0.36,21.25
2s,5_8,0,433577,533835,173143,21017,36592,147387,15525,172,88,6198,344770,79.5,0.36,20.13
2s,5_9,0,450155,543339,173143,19546,36592,147393,15525,172,88,6273,320078,80.94,0.37,18.69
2s,5_T,0,467805,552843,172716,17888,36592,147399,15525,172,88,6351,294925,82.41,0.37,17.22
2s,5_J,0,467805,552843,172716,17888,36592,147387,15525,172,88,6351,294937,82.4,0.37,17.22
2s,5_Q,0,589376,650937,107970,0,36952,101022,0,172,88,32075,193712,86.81,1.87,11.31
2s,5_K,0,337092,433260,175970,19546,36592,141786,15177,172,88,6662,545959,67.73,0.39,31.88
2s,5_A,0,319629,423756,175970,21017,36592,141768,15177,172,88,6536,571599,66.24,0.38,33.38
2s,6_7,0,411228,518148,170743,22488,36592,147342,15524,172,88,5272,384707,77.22,0.31,22.47
2s,6_8,0,423568,526272,170743,21017,36592,147348,15524,172,88,5341,365639,78.33,0.31,21.35
2s,6_9,0,440146,535776,170743,19546,36592,147354,15524,172,88,5416,340947,79.77,0.32,19.91
2s,6_T,0,457796,545280,170316,17888,36592,147360,15524,172,88,5494,315794,81.24,0.32,18.44
2s,6_J,0,473626,554223,173143,17888,36592,147375,15525,172,88,5654,288018,82.85,0.33,16.82
2s,6_Q,0,590261,650937,107970,0,36952,101010,0,172,88,31190,193724,86.86,1.82,11.31
2s,6_K,0,337977,433260,175970,19546,36592,141774,15177,172,88,5777,545971,67.78,0.34,31.89
2s,6_A,0,332854,431880,178797,21017,36592,141783,15178,172,88,5810,548133,67.65,0.34,32.01
2s,7_8,0,416164,519528,171170,21017,36592,147318,15524,172,88,5527,379204,77.53,0.32,22.15
2s,7_9,0,428504,527652,171170,19546,36592,147324,15524,172,88,5603,360129,78.64,0.33,21.03
