type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2s,2_3,74340,453924,312967,62928,69863,36554,38277,2348,215,88,8702,652098,61.41,0.51,38.08
2s,2_4,71685,451232,312103,62928,69863,36554,38277,2348,215,88,8336,658675,61.05,0.49,38.47
2s,2_5,71685,451232,311347,62928,69863,36554,38277,2348,215,88,8199,659568,61.0,0.48,38.52
2s,2_6,71685,463146,319041,64045,64391,36550,38304,2349,215,88,7578,644912,61.89,0.44,37.66
2s,2_7,83190,471694,318418,64228,68527,36550,38304,2349,215,88,7382,621359,63.28,0.43,36.29
2s,2_8,86730,469540,316733,64059,67109,36550,38304,2349,215,88,7222,623405,63.17,0.42,36.41
2s,2_9,89385,472232,316409,64059,67109,36550,38304,2349,215,88,7394,618210,63.46,0.43,36.1
2s,2_T,184965,556155,315093,55217,44533,36775,20676,1400,215,88,41506,455681,70.96,2.42,26.61
2s,2_J,101775,444402,297891,64308,59287,36550,37610,2349,215,88,7638,660191,61.0,0.45,38.56
2s,2_Q,98235,446034,299144,64477,60705,36550,37610,2349,215,88,7761,659136,61.05,0.45,38.49
2s,2_K,94695,447666,300397,64646,62123,36550,37610,2349,215,88,7884,658081,61.11,0.46,38.43
2s,2_A,171690,502281,218532,42141,59895,36775,20217,990,215,88,178235,481245,61.49,10.41,28.11
2s,3_4,66375,438376,308816,62407,69863,36554,38277,2348,215,88,8149,680836,59.76,0.48,39.76
2s,3_5,66375,438376,308060,62407,69863,36554,38277,2348,215,88,8027,681714,59.72,0.47,39.81
2s,3_6,66375,450290,315754,63524,64391,36550,38304,2349,215,88,7406,667058,60.61,0.43,38.96
2s,3_7,77880,458838,315131,63707,68527,36550,38304,2349,215,88,7210,643505,62.0,0.42,37.58
2s,3_8,86730,469540,315869,64059,67109,36550,38304,2349,215,88,7210,624281,63.12,0.42,36.46
2s,3_9,86730,469540,315545,64059,67109,36550,38304,2349,215,88,7194,624621,63.1,0.42,36.48
2s,3_T,181425,553650,312852,55217,44533,36775,20676,1400,215,88,41288,464185,70.48,2.41,27.11
2s,3_J,99120,441710,297027,64308,59287,36550,37610,2349,215,88,7438,666602,60.64,0.43,38.93
2s,3_Q,95580,443342,298280,64477,60705,36550,37610,2349,215,88,7561,665547,60.69,0.44,38.87
2s,3_K,92040,444974,299533,64646,62123,36550,37610,2349,215,88,7684,664492,60.74,0.45,38.81
2s,3_A,168150,499776,217686,42141,59895,36775,20217,990,215,88,176622,489749,61.08,10.31,28.6
2s,4_5,61065,425520,304881,61886,69863,36554,38277,2348,215,88,7845,703762,58.44,0.46,41.1
2s,4_6,61065,437434,312575,63003,64391,36550,38304,2349,215,88,7234,689096,59.33,0.42,40.24
2s,4_7,72570,445982,311952,63186,68527,36550,38304,2349,215,88,7038,665543,60.72,0.41,38.87
2s,4_8,81420,456684,312690,63538,67109,36550,38304,2349,215,88,7038,646319,61.84,0.41,37.75
2s,4_9,86730,469540,314789,64059,67109,36550,38304,2349,215,88,7182,625389,63.06,0.42,36.52
2s,4_T,177885,551145,310719,55217,44533,36775,20676,1400,215,88,41070,472581,70.0,2.4,27.6
2s,4_J,96465,439018,296271,64308,59287,36550,37610,2349,215,88,7238,672905,60.28,0.42,39.3
2s,4_Q,92925,440650,297524,64477,60705,36550,37610,2349,215,88,7361,671850,60.33,0.43,39.24
2s,4_K,89385,442282,298777,64646,62123,36550,37610,2349,215,88,7484,670795,60.39,0.44,39.17
2s,4_A,164610,497271,216840,42141,59895,36775,20217,990,215,88,175117,498145,60.68,10.23,29.09
2s,5_6,55755,428768,310757,62651,64391,36550,38304,2349,215,88,7216,705260,58.39,0.42,41.19
2s,5_7,64605,435280,310134,62834,68527,36550,38304,2349,215,88,7026,686392,59.5,0.41,40.09
2s,5_8,72570,445982,310872,63186,67109,36550,38304,2349,215,88,7026,668053,60.57,0.41,39.01
2s,5_9,77880,458838,312971,63707,67109,36550,38304,2349,215,88,7170,647123,61.79,0.42,37.79
2s,5_T,177885,551145,308694,55217,44533,36775,20676,1400,215,88,41040,474636,69.88,2.4,27.72
2s,5_J,96465,439018,295623,64308,59287,36550,37610,2349,215,88,7225,673566,60.24,0.42,39.34
2s,5_Q,92925,440650,296876,64477,60705,36550,37610,2349,215,88,7348,672511,60.3,0.43,39.28
2s,5_K,89385,442282,298129,64646,62123,36550,37610,2349,215,88,7471,671456,60.35,0.44,39.21
2s,5_A,164610,497271,215994,42141,59895,36775,20217,990,215,88,173907,500201,60.63,10.16,29.21
2s,6_7,64605,428346,302505,61886,61473,36554,38277,2348,215,88,6373,709634,58.18,0.37,41.44
2s,6_8,72570,439048,303243,62238,60055,36554,38277,2348,215,88,6377,691291,59.26,0.37,40.37
2s,6_9,77880,451904,305342,62759,60055,36554,38277,2348,215,88,6521,670361,60.47,0.38,39.15
2s,6_T,169035,542556,305823,54972,38979,36775,20676,1400,215,88,38937,502848,68.36,2.27,29.37
2s,6_J,96465,443342,296336,64477,52288,36550,37610,2349,215,88,6692,675892,60.14,0.39,39.47
2s,6_Q,92925,441828,296336,64477,53733,36550,37610,2349,215,88,6680,679513,59.93,0.39,39.68
2s,6_K,89385,443460,297589,64646,55151,36550,37610,2349,215,88,6803,678458,59.98,0.4,39.62
2s,6_A,177885,509021,215697,42386,58477,36775,20217,990,215,88,167000,483553,62.01,9.75,28.24
2s,7_8,72570,427790,294469,61121,65527,36558,38250,2347,215,88,6206,707163,58.34,0.36,41.3
2s,7_9,77880,440646,296568,61642,65527,36558,38250,2347,215,88,6351,686232,59.55,0.37,40.08
2s,7_T,160185,529509,301941,54558,45951,36775,20676,1400,215,88,37313,523693,67.24,2.18,30.58
2s,7_J,96465,434694,287970,63360,57760,36554,37583,2348,215,88,6522,688745,59.4,0.38,40.22
2s,7_Q,96465,443342,295904,64477,59260,36550,37610,2349,215,88,6626,669418,60.52,0.39,39.09
2s,7_K,92040,441828,295904,64477,60705,36550,37610,2349,215,88,6614,673924,60.26,0.39,39.36
2s,7_A,181425,507068,213732,42217,57059,36775,20217,990,215,88,172802,479716,61.89,10.09,28.02
2s,8_9,80535,432080,287902,60525,64027,36562,38223,2346,215,88,6411,703390,58.55,0.37,41.08
2s,8_T,154875,518967,298167,54144,45951,36775,20676,1400,215,88,35919,545127,66.07,2.1,31.84
2s,8_J,99120,428738,279712,62243,56260,36558,37556,2347,215,88,6582,702885,58.57,0.38,41.05
2s,8_Q,99120,437386,287646,63360,57760,36554,37583,2348,215,88,6686,683558,59.69,0.39,39.92
2s,8_K,99120,446034,295580,64477,59260,36550,37610,2349,215,88,6790,664231,60.81,0.4,38.79
2s,8_A,189390,506930,211767,42048,55641,36775,20217,990,215,88,172660,475583,62.14,10.08,27.77
2s,9_T,158415,521472,296574,54144,45951,36775,20676,1400,215,88,36077,540517,66.33,2.11,31.57
2s,9_J,101775,418458,274399,61093,56260,36562,37533,2346,215,88,6758,716817,57.74,0.39,41.86
2s,9_Q,101775,427106,282333,62210,57760,36558,37560,2347,215,88,6862,697490,58.87,0.4,40.73
2s,9_K,101775,435754,290267,63327,59260,36554,37587,2348,215,88,6966,678163,59.99,0.41,39.61
2s,9_A,192930,509435,210921,42048,55641,36775,20217,990,215,88,172071,470973,62.45,10.05,27.51
2s,T_J,170805,519594,285624,53239,37834,36778,20644,1399,215,88,29230,556854,65.77,1.71,32.52
2s,T_Q,179655,532641,287697,53653,37834,36778,20644,1399,215,88,30752,530948,67.2,1.8,31.01
2s,T_K,188505,545688,289770,54067,37834,36778,20644,1399,215,88,32274,505042,68.62,1.88,29.49
2s,T_A,0,0,0,0,0,36910,0,0,215,88,1552532,122559,2.17,90.67,7.16
2s,J_Q,100890,398022,250859,62303,49349,36566,36703,2345,215,88,7119,767845,54.74,0.42,44.84
2s,J_K,100890,232940,258385,51464,50849,36562,36730,2346,215,88,190299,751536,45.0,11.11,43.89
2s,J_A,0,110864,137382,24574,49129,36778,19117,989,215,88,130437,1202731,22.14,7.62,70.24
