type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2s,2_3,61065,441624,314206,63172,95217,36550,38292,2317,215,88,12220,647338,61.48,0.71,37.81
2s,2_4,58410,438932,313342,63172,95217,36550,38292,2317,215,88,11854,653915,61.12,0.69,38.19
2s,2_5,58410,438932,312586,63172,95217,36550,38292,2317,215,88,11717,654808,61.07,0.68,38.24
2s,2_6,66375,450290,312973,63524,93799,36550,38292,2317,215,88,11099,636782,62.16,0.65,37.19
2s,2_7,74340,460992,313603,63876,92381,36550,38292,2317,215,88,11079,618571,63.23,0.65,36.13
2s,2_8,74340,460992,313171,63876,92381,36550,38292,2317,215,88,11053,619029,63.2,0.65,36.15
2s,2_9,85845,469166,309491,63956,84693,36550,38288,2317,215,88,11129,610566,63.69,0.65,35.66
2s,2_T,171690,545061,295335,54972,70101,36775,20646,1364,215,88,58670,457387,69.86,3.43,26.71
2s,2_J,98235,447748,292119,64374,76871,36550,37594,2317,215,88,11508,644685,61.68,0.67,37.65
2s,2_Q,94695,449380,293372,64543,78289,36550,37594,2317,215,88,11631,643630,61.73,0.68,37.59
2s,2_K,171690,505731,219081,42386,84045,36775,20217,990,215,88,173702,457384,63.14,10.14,26.71
2s,2_A,0,356752,241000,55158,87529,36550,36908,1980,215,88,30473,865651,47.67,1.78,50.55
2s,3_4,53100,426076,310055,62651,95217,36550,38292,2317,215,88,11667,676076,59.84,0.68,39.48
2s,3_5,53100,426076,309299,62651,95217,36550,38292,2317,215,88,11545,676954,59.79,0.67,39.53
2s,3_6,61065,437434,309686,63003,93799,36550,38292,2317,215,88,10927,658928,60.88,0.64,38.48
2s,3_7,69030,448136,310316,63355,92381,36550,38292,2317,215,88,10907,640717,61.94,0.64,37.42
2s,3_8,74340,460992,312307,63876,92381,36550,38292,2317,215,88,11041,619905,63.15,0.64,36.2
2s,3_9,83190,466474,308627,63956,84693,36550,38288,2317,215,88,10929,616977,63.33,0.64,36.03
2s,3_T,168150,542556,293235,54972,70101,36775,20646,1364,215,88,58311,465891,69.39,3.41,27.21
2s,3_J,95580,445056,291255,64374,76871,36550,37594,2317,215,88,11308,651096,61.32,0.66,38.02
2s,3_Q,92040,446688,292508,64543,78289,36550,37594,2317,215,88,11431,650041,61.37,0.67,37.96
2s,3_K,168150,503226,218235,42386,84045,36775,20217,990,215,88,172089,465888,62.74,10.05,27.21
2s,3_A,0,354060,241000,55158,87529,36550,36908,1980,215,88,30273,868543,47.51,1.77,50.72
2s,4_5,47790,413220,306120,62130,95217,36550,38292,2317,215,88,11363,699002,58.51,0.66,40.82
2s,4_6,55755,424578,306507,62482,93799,36550,38292,2317,215,88,10755,680966,59.6,0.63,39.77
2s,4_7,63720,435280,307137,62834,92381,36550,38292,2317,215,88,10735,662755,60.67,0.63,38.71
2s,4_8,69030,448136,309128,63355,92381,36550,38292,2317,215,88,10869,641943,61.88,0.63,37.49
2s,4_9,83190,466474,307871,63956,84693,36550,38288,2317,215,88,10917,617745,63.29,0.64,36.08
2s,4_T,164610,540051,291243,54972,70101,36775,20646,1364,215,88,57952,474287,68.92,3.38,27.7
2s,4_J,92925,442364,290499,64374,76871,36550,37594,2317,215,88,11108,657399,60.96,0.65,38.39
2s,4_Q,89385,443996,291752,64543,78289,36550,37594,2317,215,88,11231,656344,61.01,0.66,38.33
2s,4_K,164610,500721,217389,42386,84045,36775,20217,990,215,88,170584,474284,62.34,9.96,27.7
2s,4_A,0,351368,241000,55158,87529,36550,36908,1980,215,88,30073,871435,47.35,1.76,50.89
2s,5_6,50445,415912,304689,62130,93799,36550,38292,2317,215,88,10737,697130,58.66,0.63,40.71
2s,5_7,55755,424578,305319,62482,92381,36550,38292,2317,215,88,10723,683604,59.45,0.63,39.92
2s,5_8,61065,437434,307310,63003,92381,36550,38292,2317,215,88,10857,662792,60.66,0.63,38.71
2s,5_9,74340,455772,306053,63604,84693,36550,38288,2317,215,88,10905,639479,62.02,0.64,37.35
2s,5_T,164610,540051,289359,54972,70101,36775,20646,1364,215,88,57781,476342,68.81,3.37,27.82
2s,5_J,92925,442364,289851,64374,76871,36550,37594,2317,215,88,11095,658060,60.92,0.65,38.43
2s,5_Q,89385,443996,291104,64543,78289,36550,37594,2317,215,88,11218,657005,60.98,0.66,38.37
2s,5_K,164610,500721,216543,42386,84045,36775,20217,990,215,88,169374,476340,62.29,9.89,27.82
2s,5_A,0,351368,241000,55158,87529,36550,36908,1980,215,88,30060,871448,47.35,1.76,50.89
2s,6_7,59295,415490,296437,61365,90881,36554,38265,2316,215,88,9894,701504,58.45,0.58,40.97
2s,6_8,64605,428346,298428,61886,90881,36554,38265,2316,215,88,10032,680688,59.66,0.59,39.75
