type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2odifferent,2_2,0,295200,340787,44454,34356,33363,39130,2390,172,44,11211,911197,46.13,0.65,53.21
2odifferent,2_3,212160,588560,321674,57218,33667,36413,20673,1400,172,44,34376,405947,74.28,2.01,23.71
2odifferent,2_4,108480,480920,302813,67650,38829,36197,37522,2349,172,44,10111,627217,62.78,0.59,36.63
2odifferent,2_5,105600,477992,301949,67650,38829,36197,37522,2349,172,44,9734,634266,62.39,0.57,37.04
2odifferent,2_6,102720,471270,321516,67722,44400,36189,37526,2349,172,44,9102,619294,63.3,0.53,36.17
2odifferent,2_7,99840,479142,325998,68978,48762,36185,37526,2349,172,44,8816,604492,64.18,0.51,35.3
2odifferent,2_8,96960,476756,325458,68978,43597,36185,37526,2349,172,44,8551,615728,63.54,0.5,35.96
2odifferent,2_9,96960,476756,325026,68978,51085,36185,37526,2349,172,44,8536,608687,63.95,0.5,35.55
2odifferent,2_T,99840,475000,323323,68792,49064,36185,37526,2349,172,44,8586,611423,63.79,0.5,35.71
2odifferent,2_J,102720,477928,323107,68792,49064,36185,37526,2349,172,44,8815,605602,64.12,0.51,35.37
2odifferent,2_Q,105600,480856,322999,68792,49064,36185,37526,2349,172,44,9044,599673,64.45,0.53,35.02
2odifferent,2_K,108480,483784,322999,68792,49064,36185,37526,2349,172,44,9273,593636,64.79,0.54,34.67
2odifferent,2_A,0,191024,165224,26992,38414,36413,20004,990,172,44,854083,378944,27.99,49.88,22.13
2odifferent,3_3,0,230400,201384,30504,41136,35069,16290,1441,172,44,33593,1122271,32.5,1.96,65.54
2odifferent,3_4,198720,571890,306211,56778,33667,36413,20664,1400,172,44,31256,455089,71.6,1.83,26.58
2odifferent,3_5,194880,569202,305347,56778,33667,36413,20664,1400,172,44,30861,462876,71.17,1.8,27.03
2odifferent,3_6,191040,585428,314086,58220,8448,36410,20667,1400,172,44,25751,470638,71.01,1.5,27.49
2odifferent,3_7,187200,582740,313438,58220,41607,36410,20667,1400,172,44,25447,444959,72.53,1.49,25.99
2odifferent,3_8,192960,594034,315089,58660,41607,36410,20667,1400,172,44,27123,424138,73.65,1.58,24.77
2odifferent,3_9,192960,594034,314657,58660,41607,36410,20667,1400,172,44,34578,417115,73.62,2.02,24.36
2odifferent,3_T,196800,591860,313132,58474,39586,36410,20667,1400,172,44,34610,419149,73.5,2.02,24.48
2odifferent,3_J,200640,594548,312916,58474,39586,36410,20667,1400,172,44,34821,412626,73.87,2.03,24.1
2odifferent,3_Q,204480,597236,312808,58474,39586,36410,20667,1400,172,44,35032,405995,74.24,2.05,23.71
2odifferent,3_K,208320,599924,312808,58474,39586,36410,20667,1400,172,44,35243,399256,74.62,2.06,23.32
2odifferent,3_A,0,0,0,0,0,36545,0,0,172,44,1638782,36761,2.15,95.71,2.15
2odifferent,4_4,0,149760,229302,44268,30112,33373,33478,2389,172,44,8977,1180429,30.54,0.52,68.94
2odifferent,4_5,99840,416804,275494,65876,37204,36201,36832,2349,172,44,8869,732619,56.7,0.52,42.79
2odifferent,4_6,96960,410082,295169,65948,42775,36193,36836,2349,172,44,8237,717539,57.61,0.48,41.9
2odifferent,4_7,94080,417954,299651,67204,47137,36189,36836,2349,172,44,7951,702737,58.5,0.46,41.04
2odifferent,4_8,91200,422226,307354,68414,43597,36185,36836,2349,172,44,7818,696109,58.89,0.46,40.65
2odifferent,4_9,100800,433808,308191,68792,49304,36185,36836,2349,172,44,7803,668020,60.53,0.46,39.01
2odifferent,4_T,100800,429124,306488,68606,47283,36185,36836,2349,172,44,7613,676804,60.03,0.44,39.53
2odifferent,4_J,103680,432052,306272,68606,47283,36185,36836,2349,172,44,7842,670983,60.36,0.46,39.19
2odifferent,4_Q,106560,434980,306164,68606,47283,36185,36836,2349,172,44,8071,665054,60.69,0.47,38.84
2odifferent,4_K,109440,437908,306164,68606,47283,36185,36836,2349,172,44,8300,659017,61.03,0.48,38.49
2odifferent,4_A,0,126000,135303,26806,36633,36413,18927,990,172,44,848166,482850,22.27,49.53,28.2
2odifferent,5_5,0,149040,219222,44268,30112,33373,33454,2389,172,44,8031,1192199,29.91,0.47,69.63
2odifferent,5_6,91200,397286,291765,65384,42775,36193,36836,2349,172,44,7922,740378,56.3,0.46,43.24
2odifferent,5_7,88320,405158,296247,66640,47137,36189,36836,2349,172,44,7636,725576,57.18,0.45,42.37
2odifferent,5_8,85440,409430,303950,67850,43597,36185,36836,2349,172,44,7503,718948,57.57,0.44,41.99
2odifferent,5_9,95040,421012,304787,68228,49304,36185,36836,2349,172,44,7488,690859,59.22,0.44,40.35
2odifferent,5_T,100800,429124,305732,68606,47283,36185,36836,2349,172,44,7476,677697,59.99,0.44,39.58
2odifferent,5_J,100800,429124,305516,68606,47283,36185,36836,2349,172,44,7465,677924,59.97,0.44,39.59
2odifferent,5_Q,103680,432052,305408,68606,47283,36185,36836,2349,172,44,7694,671995,60.31,0.45,39.25
2odifferent,5_K,106560,419356,305408,68158,47283,36185,36836,2349,172,44,23995,665958,59.71,1.4,38.89
