type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2odifferent,2_2,0,288000,338438,44268,37400,33521,39138,2354,215,44,15828,913098,45.75,0.92,53.33
2odifferent,2_3,105600,502422,325301,66466,37295,36359,38220,2317,215,44,14045,584020,65.07,0.82,34.11
2odifferent,2_4,190080,585428,310039,58220,15936,36576,20646,1364,215,44,61838,431918,71.16,3.61,25.22
2odifferent,2_5,106560,459256,307347,66280,35514,36359,37530,2317,215,44,13269,647613,61.4,0.77,37.82
2odifferent,2_6,103680,469838,316633,67676,37317,36355,37530,2317,215,44,12539,628160,62.58,0.73,36.69
2odifferent,2_7,100800,476278,324648,68886,38942,36351,37530,2317,215,44,12385,613908,63.42,0.72,35.85
2odifferent,2_8,96960,474612,324108,68886,39825,36351,37530,2317,215,44,12360,619096,63.12,0.72,36.16
2odifferent,2_9,96960,474612,323676,68886,33057,36351,37530,2317,215,44,12345,626311,62.7,0.72,36.58
2odifferent,2_T,100800,472136,321973,68700,38524,36351,37530,2317,215,44,12155,621559,62.99,0.71,36.3
2odifferent,2_J,103680,475064,321757,68700,38524,36351,37530,2317,215,44,12384,615738,63.32,0.72,35.96
2odifferent,2_Q,106560,477992,321649,68700,38524,36351,37530,2317,215,44,12613,609809,63.65,0.74,35.61
2odifferent,2_K,0,203636,177394,28248,26390,36576,20037,990,215,44,841520,377254,28.82,49.15,22.03
2odifferent,2_A,0,245298,254407,51548,38920,36355,36840,1980,215,44,8812,1037885,38.87,0.51,60.61
2odifferent,3_3,0,285120,327843,44082,33156,33531,39090,2354,215,44,13460,933409,44.7,0.79,54.51
2odifferent,3_4,180480,571446,305748,57780,15936,36576,20646,1364,215,44,59386,462683,69.51,3.47,27.02
2odifferent,3_5,106560,449888,297820,65070,33889,36363,37530,2317,215,44,12803,669805,60.14,0.75,39.12
2odifferent,3_6,103680,460470,307106,66466,35692,36359,37530,2317,215,44,12073,650352,61.31,0.71,37.98
2odifferent,3_7,100800,466910,315121,67676,37317,36355,37530,2317,215,44,11919,636100,62.16,0.7,37.15
2odifferent,3_8,100800,476278,323244,68886,38222,36351,37530,2317,215,44,12026,616391,63.3,0.7,36.0
2odifferent,3_9,100800,472856,321433,68700,31276,36351,37530,2317,215,44,11833,628949,62.58,0.69,36.73
2odifferent,3_T,104640,470380,319730,68514,36743,36351,37530,2317,215,44,11643,624197,62.87,0.68,36.45
2odifferent,3_J,107520,473308,319514,68514,36743,36351,37530,2317,215,44,11872,618376,63.19,0.69,36.11
2odifferent,3_Q,110400,476236,319406,68514,36743,36351,37530,2317,215,44,12101,612447,63.53,0.71,35.77
2odifferent,3_K,0,199494,176193,28062,24609,36576,20037,990,215,44,845517,380567,28.4,49.38,22.23
2odifferent,3_A,0,242054,253028,51362,37139,36355,36840,1980,215,44,8300,1044987,38.49,0.48,61.03
2odifferent,4_4,0,233280,186669,30690,15936,35226,16266,1401,215,44,45617,1146960,30.35,2.66,66.98
2odifferent,4_5,167040,554776,292400,57340,15936,36576,20637,1364,215,44,55335,510641,66.95,3.23,29.82
2odifferent,4_6,177600,568758,293319,57780,15936,36576,20637,1364,215,44,49264,490811,68.46,2.88,28.66
2odifferent,4_7,183360,580052,294862,58220,15936,36576,20637,1364,215,44,50919,470119,69.57,2.97,27.46
2odifferent,4_8,192960,594034,296513,58660,15936,36576,20637,1364,215,44,52835,442530,71.07,3.09,25.84
2odifferent,4_9,202560,603874,297071,58914,14155,36576,20637,1364,215,44,54583,422311,72.15,3.19,24.66
2odifferent,4_T,207360,600980,295546,58728,12134,36576,20637,1364,215,44,61863,416857,72.04,3.61,24.34
2odifferent,4_J,211200,603668,295330,58728,12134,36576,20637,1364,215,44,62074,410334,72.41,3.63,23.96
2odifferent,4_Q,215040,606356,295222,58728,12134,36576,20637,1364,215,44,62285,403703,72.79,3.64,23.58
2odifferent,4_K,0,0,0,0,0,36711,0,0,215,44,1638364,36970,2.16,95.68,2.16
2odifferent,4_A,0,139680,159268,28248,14155,36576,19569,990,215,44,42073,1271486,23.29,2.46,74.26
2odifferent,5_5,0,149040,219328,43896,28912,33541,33462,2353,215,44,10624,1190889,29.83,0.62,69.55
2odifferent,5_6,97920,402534,281179,64692,34067,36363,36840,2317,215,44,11405,744728,55.84,0.67,43.49
2odifferent,5_7,95040,406264,288774,65902,35692,36359,36840,2317,215,44,11251,733606,56.5,0.66,42.84
2odifferent,5_8,95040,412922,296477,67112,36597,36355,36840,2317,215,44,11358,717027,57.46,0.66,41.87
2odifferent,5_9,95040,416158,302909,68136,31276,36351,36840,2317,215,44,11297,711721,57.78,0.66,41.57
2odifferent,5_T,108480,425264,302475,68328,34962,36351,36840,2317,215,44,11107,685921,59.29,0.65,40.06
2odifferent,5_J,108480,425264,302259,68328,34962,36351,36840,2317,215,44,11096,686148,59.28,0.65,40.07
2odifferent,5_Q,111360,412568,302151,67880,34962,36351,36840,2317,215,44,27397,680219,58.67,1.6,39.73
2odifferent,5_K,0,131760,143690,27876,22828,36576,18960,990,215,44,749200,580165,22.36,43.75,33.88
2odifferent,5_A,0,196720,237705,51176,35358,36355,36150,1980,215,44,7524,1109077,34.79,0.44,64.77
2odifferent,6_6,0,147600,211914,44082,33636,33531,33438,2353,215,44,8564,1196927,29.6,0.5,69.9
2odifferent,6_7,84480,395402,286857,65524,37713,36359,36840,2317,215,44,10451,756102,55.23,0.61,44.16
2odifferent,6_8,84480,402060,294560,66734,38618,36355,36840,2317,215,44,10558,739523,56.19,0.62,43.19
2odifferent,6_9,84480,405296,300992,67758,33297,36351,36840,2317,215,44,10497,734217,56.51,0.61,42.88
2odifferent,6_T,97920,414402,300558,67950,36983,36351,36840,2317,215,44,10307,708417,58.03,0.6,41.37
2odifferent,6_J,103680,412318,302990,68066,36983,36351,36840,2317,215,44,25802,686698,58.39,1.51,40.1
2odifferent,6_Q,103680,386278,302882,67170,36983,36351,36840,2317,215,44,37399,702145,56.81,2.18,41.01
2odifferent,6_K,0,135360,144891,28062,24849,36576,18960,990,215,44,612124,710233,22.77,35.75,41.48
2odifferent,6_A,0,206080,247327,52572,37161,36351,36150,1980,215,44,6794,1087630,36.08,0.4,63.52
2odifferent,7_7,0,146160,205616,44268,37880,33521,33414,2353,215,44,7436,1201397,29.4,0.43,70.16
2odifferent,7_8,75840,390478,292751,66356,39439,36355,36840,2317,215,44,10512,761157,54.93,0.61,44.45
2odifferent,7_9,75840,393714,299183,67380,34118,36351,36840,2317,215,44,10451,755851,55.25,0.61,44.14
2odifferent,7_T,88320,388684,298749,67124,38764,36351,36840,2317,215,44,24845,730051,55.91,1.45,42.64
2odifferent,7_J,94080,376184,301181,66792,38764,36351,36840,2317,215,44,36620,722916,55.64,2.14,42.22
2odifferent,7_Q,99840,356244,303721,66012,38764,36351,36840,2317,215,44,44675,727281,54.92,2.61,42.47
2odifferent,7_K,0,138240,146092,28248,26630,36576,18960,990,215,44,476542,839767,23.13,27.83,49.04
