type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2odifferent,2_2,0,290880,335904,44640,53376,33643,39162,2318,301,44,19936,892100,46.74,1.16,52.1
2odifferent,2_3,77760,499856,338312,67868,51595,36493,38244,2285,301,44,17271,582275,64.99,1.01,34.01
2odifferent,2_4,77760,495350,336069,67682,49814,36493,38244,2285,301,44,16872,591390,64.48,0.99,34.54
2odifferent,2_5,80640,493052,333934,67496,48033,36493,38244,2285,301,44,16557,595225,64.27,0.97,34.76
2odifferent,2_6,94080,507562,334411,67874,46252,36493,38244,2285,301,44,15901,568857,65.85,0.93,33.22
2odifferent,2_7,202560,608016,295440,58092,23424,36718,20616,1328,301,44,83916,381849,72.8,4.9,22.3
2odifferent,2_8,103680,471642,317752,68066,46492,36493,37554,2285,301,44,15830,612165,63.32,0.92,35.75
2odifferent,2_9,103680,470922,317320,68066,46492,36493,37554,2285,301,44,15815,613332,63.26,0.92,35.82
2odifferent,2_T,104640,470202,316996,68066,46252,36493,37554,2285,301,44,15803,613668,63.24,0.92,35.84
2odifferent,2_J,100800,472678,318159,68252,47313,36493,37554,2285,301,44,15970,612455,63.3,0.93,35.77
2odifferent,2_Q,156480,362712,200442,34172,29952,36718,20127,990,301,44,488503,381863,49.17,28.53,22.3
2odifferent,2_K,0,294260,266393,54288,49814,36493,36864,1980,301,44,44842,927025,43.24,2.62,54.14
2odifferent,2_A,0,262590,265556,53142,51595,36493,36864,1980,301,44,29774,973965,41.38,1.74,56.88
2odifferent,3_3,0,287280,326461,44454,49132,33653,39114,2318,301,44,16416,913131,45.71,0.96,53.33
2odifferent,3_4,77760,482730,326122,66472,48189,36497,38244,2285,301,44,16406,617254,62.99,0.96,36.05
2odifferent,3_5,80640,480432,323987,66286,46408,36497,38244,2285,301,44,16091,621089,62.79,0.94,36.27
2odifferent,3_6,94080,494942,324464,66664,44627,36497,38244,2285,301,44,15435,594721,64.37,0.9,34.73
2odifferent,3_7,192960,594034,291290,57652,23424,36718,20616,1328,301,44,81323,412614,71.15,4.75,24.1
2odifferent,3_8,103680,471100,316888,68066,44649,36493,37554,2285,301,44,15496,615748,63.13,0.9,35.96
