type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2odifferent,2_2,0,401280,547584,195960,38640,33486,149896,15442,430,0,12586,317000,80.75,0.74,18.51
2odifferent,2_3,0,459840,558504,190574,38640,36426,146898,15420,430,0,12006,253566,84.49,0.7,14.81
2odifferent,2_4,0,459840,558504,190574,38640,36426,146886,15420,430,0,11797,253787,84.49,0.69,14.82
2odifferent,2_5,0,456240,557667,187446,36797,36426,146865,15419,430,0,11556,263458,83.94,0.67,15.39
2odifferent,2_6,0,480240,569352,187926,34954,36426,146844,15418,430,0,10830,229884,85.94,0.63,13.43
2odifferent,2_7,0,498960,579549,187926,33111,36426,146823,15417,430,0,10858,202804,87.52,0.63,11.84
2odifferent,2_8,0,500880,580200,184798,31268,36426,146802,15416,430,0,10729,205355,87.38,0.63,11.99
2odifferent,2_9,0,633840,681909,108210,0,36786,99822,0,430,0,61774,89533,91.16,3.61,5.23
2odifferent,2_T,0,368160,456108,184798,31508,36426,141084,15175,430,0,8828,469787,72.05,0.52,27.44
2odifferent,2_J,0,362640,454620,187926,33351,36426,141093,15176,430,0,8141,472501,71.93,0.48,27.59
2odifferent,2_Q,0,357120,453132,191054,35194,36426,141102,15177,430,0,7562,475107,71.81,0.44,27.75
2odifferent,2_K,0,352560,451644,194182,36077,36426,141111,15178,430,0,7091,477605,71.69,0.41,27.89
2odifferent,2_A,0,339360,442935,194182,30912,36426,141120,15179,430,0,6549,505211,70.11,0.38,29.5
2odifferent,3_3,0,396480,546096,195480,38640,33486,149576,15442,430,0,11462,325212,80.34,0.67,18.99
2odifferent,3_4,0,443040,548958,187446,38640,36426,146874,15420,430,0,11297,283773,82.77,0.66,16.57
2odifferent,3_5,0,439440,548121,184318,36797,36426,146853,15419,430,0,11056,293444,82.22,0.65,17.14
2odifferent,3_6,0,463440,559806,184798,34954,36426,146832,15418,430,0,10330,259870,84.22,0.6,15.18
2odifferent,3_7,0,482160,570003,184798,33111,36426,146811,15417,430,0,10358,232790,85.8,0.6,13.6
2odifferent,3_8,0,500880,580200,184798,31268,36426,146790,15416,430,0,10407,205689,87.38,0.61,12.01
2odifferent,3_9,0,628320,680421,107970,0,36786,99810,0,430,0,61212,97355,90.74,3.57,5.69
2odifferent,3_T,0,363600,454620,184318,31508,36426,141072,15175,430,0,8266,476889,71.67,0.48,27.85
2odifferent,3_J,0,358080,453132,187446,33351,36426,141081,15176,430,0,7579,479603,71.55,0.44,28.01
2odifferent,3_Q,0,352560,451644,190574,35194,36426,141090,15177,430,0,7000,482209,71.43,0.41,28.16
2odifferent,3_K,0,348000,450156,193702,36077,36426,141099,15178,430,0,6529,484707,71.31,0.38,28.31
2odifferent,3_A,0,334800,441447,193702,30912,36426,141108,15179,430,0,5987,512313,69.73,0.35,29.92
2odifferent,4_4,0,396480,546096,195480,38640,33486,149256,15442,430,0,11044,325950,80.32,0.64,19.04
