type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2odifferent,2_2,0,270720,322992,43524,130098,33617,39174,2282,344,44,24377,845132,49.22,1.42,49.36
2odifferent,2_3,60480,456356,326552,65344,132534,36467,38256,2253,344,44,23248,570426,65.33,1.36,33.31
2odifferent,2_4,60480,456356,325688,65344,132534,36467,38256,2253,344,44,23027,571511,65.28,1.34,33.38
2odifferent,2_5,60480,451850,323553,65158,130753,36467,38256,2253,344,44,22712,580434,64.78,1.33,33.9
2odifferent,2_6,70080,468658,325409,65722,130753,36467,38256,2253,344,44,22234,552084,66.46,1.3,32.24
2odifferent,2_7,84480,488700,323888,66384,121329,36467,38252,2253,344,44,22234,527929,67.87,1.3,30.83
2odifferent,2_8,94080,498284,320628,66668,111905,36467,38248,2253,344,44,22221,521162,68.27,1.3,30.44
2odifferent,2_9,177600,563646,273144,55006,107925,36692,20586,1292,344,44,100913,375112,72.2,5.89,21.91
2odifferent,2_T,107520,475194,302041,66888,102481,36467,37554,2253,344,44,23026,558492,66.04,1.34,32.62
2odifferent,2_J,177600,473550,216957,40576,106965,36692,20187,990,344,44,263288,375111,62.72,15.38,21.91
2odifferent,2_Q,0,357750,257762,56678,113864,36467,36868,1980,344,44,47098,803449,50.33,2.75,46.92
2odifferent,2_K,0,318194,260038,54794,122568,36467,36872,1980,344,44,45191,835812,48.55,2.64,48.81
2odifferent,2_A,0,268520,260935,52980,126827,36467,36876,1980,344,44,41173,886158,45.84,2.4,51.75
2odifferent,3_3,0,269280,316080,43524,130098,33617,39126,2282,344,44,19581,858328,48.73,1.14,50.13
2odifferent,3_4,54720,442476,322176,64780,132534,36467,38256,2253,344,44,22515,595739,63.89,1.31,34.79
2odifferent,3_5,54720,437970,320041,64594,130753,36467,38256,2253,344,44,22200,604662,63.39,1.3,35.31
2odifferent,3_6,64320,454778,321897,65158,130753,36467,38256,2253,344,44,21722,576312,65.07,1.27,33.66
2odifferent,3_7,78720,474820,320376,65820,121329,36467,38252,2253,344,44,21722,552157,66.48,1.27,32.25
2odifferent,3_8,94080,498284,319764,66668,111905,36467,38248,2253,344,44,21887,522360,68.22,1.28,30.51
2odifferent,3_9,173760,560958,271326,55006,107925,36692,20586,1292,344,44,99898,384473,71.71,5.83,22.45
2odifferent,3_T,104640,472266,301177,66888,102481,36467,37554,2253,344,44,22452,565738,65.65,1.31,33.04
2odifferent,3_J,173760,470862,216252,40576,106965,36692,20187,990,344,44,261160,384472,62.29,15.25,22.45
2odifferent,3_Q,0,354822,257762,56678,113864,36467,36868,1980,344,44,46524,806951,50.16,2.72,47.13
2odifferent,3_K,0,315266,260038,54794,122568,36467,36872,1980,344,44,44617,839314,48.38,2.61,49.02
