type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2odifferent,2_2,0,263520,315268,43152,160664,33575,39162,2246,387,44,29322,824964,50.11,1.71,48.18
2odifferent,2_3,54720,439128,319980,63628,163912,36425,38244,2221,387,44,31537,562078,65.33,1.84,32.83
2odifferent,2_4,54720,439128,319116,63628,163912,36425,38244,2221,387,44,31316,563163,65.28,1.83,32.89
2odifferent,2_5,54720,439128,318360,63628,163912,36425,38244,2221,387,44,31179,564056,65.24,1.82,32.94
2odifferent,2_6,70080,459890,316587,64290,154488,36425,38240,2221,387,44,30569,539083,66.73,1.79,31.48
2odifferent,2_7,84480,483354,315867,65138,145064,36425,38236,2221,387,44,30713,510375,68.4,1.79,29.81
2odifferent,2_8,94080,493286,312463,65358,135640,36425,38232,2221,387,44,31280,502888,68.8,1.83,29.37
2odifferent,2_9,168000,540292,256238,52168,141084,36650,20556,1256,387,44,125504,370125,71.05,7.33,21.62
2odifferent,2_T,168000,459568,215198,40136,132636,36650,20187,990,387,44,268383,370125,62.71,15.67,21.62
2odifferent,2_J,0,356958,253054,56334,135818,36425,36852,1980,387,44,56278,778174,51.27,3.29,45.45
2odifferent,2_Q,0,317426,255330,54514,145242,36425,36856,1980,387,44,46483,817617,49.54,2.71,47.75
2odifferent,2_K,0,278614,257606,53078,153946,36425,36860,1980,387,44,43832,849532,47.83,2.56,49.61
2odifferent,2_A,0,239356,258503,51840,158205,36425,36864,1980,387,44,30206,898494,45.76,1.76,52.47
2odifferent,3_3,0,262080,309508,43152,160664,33575,39114,2246,387,44,23374,838160,49.69,1.37,48.95
2odifferent,3_4,48960,425248,315604,63064,163912,36425,38244,2221,387,44,30804,587391,63.9,1.8,34.3
2odifferent,3_5,48960,425248,314848,63064,163912,36425,38244,2221,387,44,30667,588284,63.85,1.79,34.36
2odifferent,3_6,64320,446010,313075,63726,154488,36425,38240,2221,387,44,30057,563311,65.35,1.76,32.9
2odifferent,3_7,78720,469474,312355,64574,145064,36425,38236,2221,387,44,30201,534603,67.01,1.76,31.22
2odifferent,3_8,94080,493286,311599,65358,135640,36425,38232,2221,387,44,30946,504086,68.75,1.81,29.44
2odifferent,3_9,164160,537604,254561,52168,141084,36650,20556,1256,387,44,124348,379486,70.58,7.26,22.16
2odifferent,3_T,164160,456880,214493,40136,132636,36650,20187,990,387,44,266255,379486,62.29,15.55,22.16
2odifferent,3_J,0,354030,253054,56334,135818,36425,36852,1980,387,44,55704,781676,51.1,3.25,45.65
2odifferent,3_Q,0,314498,255330,54514,145242,36425,36856,1980,387,44,45909,821119,49.36,2.68,47.95
2odifferent,3_K,0,276430,257606,53078,153946,36425,36860,1980,387,44,42514,853034,47.7,2.48,49.82
2odifferent,3_A,0,237916,258503,51840,158205,36425,36864,1980,387,44,28888,901252,45.68,1.69,52.63
2odifferent,4_4,0,262080,304324,43152,160664,33575,39066,2246,387,44,18708,848058,49.38,1.09,49.53
2odifferent,4_5,48960,425248,314092,63064,163912,36425,38244,2221,387,44,30446,589261,63.81,1.78,34.41
2odifferent,4_6,58560,436636,311050,63348,154488,36425,38240,2221,387,44,29836,581069,64.32,1.74,33.93
2odifferent,4_7,70080,457892,310330,64196,145064,36425,38236,2221,387,44,29980,557449,65.69,1.75,32.56
2odifferent,4_8,84480,481704,309574,64980,135640,36425,38232,2221,387,44,30725,527892,67.38,1.79,30.83
2odifferent,4_9,164160,537604,252992,52168,141084,36650,20556,1256,387,44,123545,381858,70.48,7.22,22.3
2odifferent,4_T,164160,456880,213788,40136,132636,36650,20187,990,387,44,264588,381858,62.25,15.45,22.3
2odifferent,4_J,0,354030,253054,56334,135818,36425,36852,1980,387,44,55483,781897,51.1,3.24,45.66
2odifferent,4_Q,0,314498,255330,54514,145242,36425,36856,1980,387,44,45688,821340,49.36,2.67,47.97
2odifferent,4_K,0,276430,257606,53078,153946,36425,36860,1980,387,44,42293,853255,47.7,2.47,49.83
2odifferent,4_A,0,237916,258503,51840,158205,36425,36864,1980,387,44,28667,901473,45.68,1.67,52.65
2odifferent,5_5,0,262080,299716,43152,160664,33585,39018,2246,387,44,14786,856626,49.11,0.86,50.03
2odifferent,5_6,58560,426726,305689,62278,154488,36429,38240,2221,387,44,29699,597543,63.37,1.73,34.9
2odifferent,5_7,70080,444560,304132,62940,145064,36429,38236,2221,387,44,29843,578368,64.48,1.74,33.78
2odifferent,5_8,84480,467652,303376,63724,135640,36429,38232,2221,387,44,30588,549531,66.12,1.79,32.09
2odifferent,5_9,164160,537604,251531,52168,141084,36650,20556,1256,387,44,122826,384038,70.4,7.17,22.43
2odifferent,5_T,164160,456880,213083,40136,132636,36650,20187,990,387,44,263113,384038,62.21,15.37,22.43
2odifferent,5_J,0,354030,253054,56334,135818,36425,36852,1980,387,44,55346,782034,51.1,3.23,45.67
2odifferent,5_Q,0,314498,255330,54514,145242,36425,36856,1980,387,44,45551,821477,49.36,2.66,47.97
2odifferent,5_K,0,276430,257606,53078,153946,36425,36860,1980,387,44,42156,853392,47.7,2.46,49.84
2odifferent,5_A,0,226756,258503,51456,158205,36425,36864,1980,387,44,40074,901610,45.0,2.34,52.65
2odifferent,6_6,0,267120,293281,43338,137786,33603,38962,2246,387,44,10810,884727,47.7,0.63,51.67
2odifferent,6_7,73920,450198,287494,62868,136214,36437,38232,2221,387,44,28945,595344,63.54,1.69,34.77
2odifferent,6_8,88320,473290,286738,63652,126790,36437,38228,2221,387,44,29690,566507,65.18,1.73,33.08
2odifferent,6_9,168960,526240,241494,50912,133144,36653,20553,1256,387,44,119967,412694,68.89,7.01,24.1
2odifferent,6_T,178560,455356,204360,39134,124696,36653,20184,990,387,44,259930,392010,61.93,15.18,22.89
2odifferent,6_J,0,359262,253051,56304,126130,36425,36848,1980,387,44,56906,784967,50.83,3.32,45.84
