type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2odifferent,2_2,0,425280,559344,194752,12048,33756,151078,15640,86,88,8560,311672,81.3,0.5,18.2
2odifferent,2_3,0,503040,579390,180648,12902,36684,147962,15598,86,88,8088,227818,86.22,0.47,13.3
2odifferent,2_4,0,497760,577902,180168,12902,36684,147950,15598,86,88,7639,235527,85.8,0.45,13.75
2odifferent,2_5,0,492480,576414,179688,12902,36684,147938,15598,86,88,7274,243152,85.37,0.42,14.2
2odifferent,2_6,0,487200,575346,194662,8688,36676,147933,15599,86,88,6688,239338,85.63,0.39,13.98
2odifferent,2_7,0,500640,584055,194182,14573,36676,147921,15599,86,88,6236,212248,87.24,0.36,12.4
2odifferent,2_8,0,495360,582567,193702,14573,36676,147909,15599,86,88,5983,219761,86.82,0.35,12.83
2odifferent,2_9,0,500640,584055,194182,14573,36676,147897,15599,86,88,6220,212288,87.24,0.36,12.4
2odifferent,2_T,0,501600,584706,191054,12490,36676,147876,15598,86,88,6344,215786,87.03,0.37,12.6
2odifferent,2_J,0,506880,586194,191534,12490,36676,147864,15598,86,88,6585,208309,87.45,0.38,12.17
2odifferent,2_Q,0,512160,587682,192014,12490,36676,147852,15598,86,88,6826,200832,87.87,0.4,11.73
2odifferent,2_K,0,517440,589170,192494,12490,36676,147840,15598,86,88,7067,193355,88.3,0.41,11.29
2odifferent,2_A,0,636240,691704,107544,0,37036,101873,0,86,88,23180,114553,91.96,1.35,6.69
2odifferent,3_3,0,420480,557856,194272,12048,33756,150758,15640,86,88,7436,319884,80.88,0.43,18.68
2odifferent,3_4,0,480960,568356,177040,12902,36684,147938,15598,86,88,7139,265513,84.08,0.42,15.51
2odifferent,3_5,0,475680,566868,176560,12902,36684,147926,15598,86,88,6774,273138,83.65,0.4,15.95
2odifferent,3_6,0,470400,565800,191534,8688,36676,147921,15599,86,88,6188,269324,83.91,0.36,15.73
2odifferent,3_7,0,483840,574509,191054,14573,36676,147909,15599,86,88,5736,242234,85.52,0.33,14.15
2odifferent,3_8,0,495360,582567,193702,14573,36676,147897,15599,86,88,5661,220095,86.82,0.33,12.85
2odifferent,3_9,0,495360,582567,193702,14573,36676,147885,15599,86,88,5658,220110,86.81,0.33,12.85
2odifferent,3_T,0,496320,583218,190574,12490,36676,147864,15598,86,88,5782,223608,86.6,0.34,13.06
2odifferent,3_J,0,501600,584706,191054,12490,36676,147852,15598,86,88,6023,216131,87.03,0.35,12.62
2odifferent,3_Q,0,506880,586194,191534,12490,36676,147840,15598,86,88,6264,208654,87.45,0.37,12.19
2odifferent,3_K,0,512160,587682,192014,12490,36676,147828,15598,86,88,6505,201177,87.87,0.38,11.75
2odifferent,3_A,0,630720,690216,107304,0,37036,101861,0,86,88,22618,122375,91.53,1.32,7.15
