type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2odifferent,2_2,0,283680,342353,44082,65442,33752,39234,2390,172,88,9488,891623,47.37,0.55,52.07
2odifferent,2_3,83520,488408,335878,66920,67092,36596,38316,2349,172,88,8815,584150,65.37,0.51,34.11
2odifferent,2_4,80640,485480,335014,66920,67092,36596,38316,2349,172,88,8354,591283,64.98,0.49,34.53
2odifferent,2_5,77760,482552,334258,66920,67092,36596,38316,2349,172,88,7977,598224,64.6,0.47,34.94
2odifferent,2_6,77760,499856,344072,68316,63010,36592,38316,2349,172,88,7487,574286,66.02,0.44,33.54
2odifferent,2_7,87360,506932,343422,68508,66936,36592,38316,2349,172,88,7263,554366,67.2,0.42,32.38
2odifferent,2_8,90240,504634,341611,68322,65155,36592,38316,2349,172,88,7060,557765,67.01,0.41,32.57
2odifferent,2_9,93120,507562,341287,68322,65155,36592,38316,2349,172,88,7285,552056,67.33,0.43,32.24
2odifferent,2_T,110400,517776,336900,68420,53532,36592,38312,2349,172,88,7381,540382,68.01,0.43,31.56
2odifferent,2_J,204480,597236,330358,58474,47314,36817,20676,1400,172,88,36252,379037,75.75,2.12,22.14
2odifferent,2_Q,109440,481810,322148,68606,55553,36592,37622,2349,172,88,7777,590147,65.08,0.45,34.47
2odifferent,2_K,105600,483566,323527,68792,57334,36592,37622,2349,172,88,7944,588718,65.15,0.46,34.38
2odifferent,2_A,190080,569804,243322,49274,56583,36817,20247,990,172,88,138440,406487,68.18,8.09,23.74
2odifferent,3_3,0,282240,331985,44082,65442,33752,39186,2390,172,88,8148,904819,46.68,0.48,52.84
2odifferent,3_4,74880,471600,331502,66356,67092,36596,38316,2349,172,88,7842,615511,63.6,0.46,35.95
2odifferent,3_5,72000,468672,330746,66356,67092,36596,38316,2349,172,88,7465,622452,63.21,0.44,36.35
2odifferent,3_6,72000,485976,340560,67752,63010,36592,38316,2349,172,88,6975,598514,64.64,0.41,34.95
2odifferent,3_7,81600,493052,339910,67944,66936,36592,38316,2349,172,88,6751,578594,65.82,0.39,33.79
2odifferent,3_8,90240,504634,340747,68322,65155,36592,38316,2349,172,88,6726,558963,66.96,0.39,32.64
2odifferent,3_9,90240,504634,340423,68322,65155,36592,38316,2349,172,88,6711,559302,66.94,0.39,32.66
2odifferent,3_T,107520,514848,336036,68420,53532,36592,38312,2349,172,88,6807,547628,67.62,0.4,31.98
2odifferent,3_J,200640,594548,328117,58474,47314,36817,20676,1400,172,88,35660,388398,75.23,2.08,22.68
2odifferent,3_Q,106560,478882,321284,68606,55553,36592,37622,2349,172,88,7203,597393,64.69,0.42,34.89
2odifferent,3_K,102720,480638,322663,68792,57334,36592,37622,2349,172,88,7370,595964,64.76,0.43,34.8
2odifferent,3_A,186240,567116,242335,49274,56583,36817,20247,990,172,88,136594,415848,67.74,7.98,24.29
2odifferent,4_4,0,280800,322769,44082,65442,33752,39138,2390,172,88,7034,916637,46.06,0.41,53.53
2odifferent,4_5,66240,454792,327342,65792,67092,36596,38316,2349,172,88,7066,646459,61.83,0.41,37.75
2odifferent,4_6,66240,472096,337156,67188,63010,36592,38316,2349,172,88,6576,622521,63.26,0.38,36.36
2odifferent,4_7,75840,479172,336506,67380,66936,36592,38316,2349,172,88,6352,602601,64.44,0.37,35.19
2odifferent,4_8,84480,490754,337343,67758,65155,36592,38316,2349,172,88,6327,582970,65.58,0.37,34.05
2odifferent,4_9,90240,504634,339667,68322,65155,36592,38316,2349,172,88,6490,560279,66.9,0.38,32.72
2odifferent,4_T,104640,511920,335280,68420,53532,36592,38312,2349,172,88,6346,554653,67.24,0.37,32.39
2odifferent,4_J,196800,591860,325984,58474,47314,36817,20676,1400,172,88,35181,397538,74.73,2.05,23.22
