type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2odifferent,2_2,0,279360,336044,43896,92764,33742,39222,2354,172,88,14514,870148,48.33,0.85,50.82
2odifferent,2_3,69120,475024,337300,67188,94388,36592,38304,2317,172,88,12557,579254,65.44,0.73,33.83
2odifferent,2_4,66240,472096,336436,67188,94388,36592,38304,2317,172,88,12096,586387,65.05,0.71,34.25
2odifferent,2_5,63360,469168,335680,67188,94388,36592,38304,2317,172,88,11719,593328,64.66,0.68,34.65
2odifferent,2_6,72000,485976,337536,67752,94388,36592,38304,2317,172,88,11241,565938,66.29,0.66,33.05
2odifferent,2_7,77760,495350,338265,68130,92607,36592,38304,2317,172,88,11195,551524,67.14,0.65,32.21
2odifferent,2_8,77760,495350,337833,68130,92607,36592,38304,2317,172,88,11170,551981,67.11,0.65,32.24
2odifferent,2_9,89280,504440,333880,68228,83183,36592,38300,2317,172,88,11263,544561,67.54,0.66,31.8
2odifferent,2_T,106560,518796,330294,68512,71560,36592,38296,2317,172,88,11503,527614,68.52,0.67,30.81
2odifferent,2_J,190080,585428,310039,58220,74766,36817,20646,1364,172,88,53866,380818,74.61,3.15,22.24
2odifferent,2_Q,105600,485540,315962,68698,73581,36592,37606,2317,172,88,11899,574249,65.77,0.69,33.54
2odifferent,2_K,190080,569804,243694,49402,82254,36817,20247,990,172,88,137940,380816,69.7,8.06,22.24
2odifferent,2_A,0,408592,261307,61508,84964,36592,36920,1980,172,88,22176,798005,52.1,1.3,46.6
2odifferent,3_3,0,277920,326828,43896,92764,33742,39174,2354,172,88,12022,883344,47.71,0.7,51.59
2odifferent,3_4,60480,458216,332924,66624,94388,36592,38304,2317,172,88,11584,610615,63.66,0.68,35.66
2odifferent,3_5,57600,455288,332168,66624,94388,36592,38304,2317,172,88,11207,617556,63.28,0.65,36.07
2odifferent,3_6,66240,472096,334024,67188,94388,36592,38304,2317,172,88,10729,590166,64.91,0.63,34.47
2odifferent,3_7,72000,481470,334753,67566,92607,36592,38304,2317,172,88,10683,575752,65.75,0.62,33.62
2odifferent,3_8,77760,495350,336969,68130,92607,36592,38304,2317,172,88,10836,553179,67.06,0.63,32.31
2odifferent,3_9,86400,501512,333016,68228,83183,36592,38300,2317,172,88,10689,551807,67.15,0.62,32.23
