type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2odifferent,2_2,0,286560,342353,44082,50466,33836,39258,2390,86,88,9946,903239,46.67,0.58,52.75
2odifferent,2_3,89280,494264,335878,66920,52116,36680,38340,2349,86,88,9273,587030,65.18,0.54,34.28
2odifferent,2_4,86400,491336,335014,66920,52116,36680,38340,2349,86,88,8812,594163,64.79,0.51,34.7
2odifferent,2_5,83520,488408,334258,66920,52116,36680,38340,2349,86,88,8435,601104,64.4,0.49,35.1
2odifferent,2_6,80640,502784,344072,68316,48034,36676,38340,2349,86,88,7705,583214,65.49,0.45,34.06
2odifferent,2_7,87360,511438,344801,68694,53741,36676,38340,2349,86,88,7419,561312,66.79,0.43,32.78
2odifferent,2_8,87360,511438,344369,68694,53741,36676,38340,2349,86,88,7394,561769,66.76,0.43,32.81
2odifferent,2_9,90240,514366,344045,68694,53741,36676,38340,2349,86,88,7619,556060,67.08,0.44,32.47
2odifferent,2_T,102720,522372,339658,68792,42118,36676,38336,2349,86,88,7715,551394,67.35,0.45,32.2
2odifferent,2_J,105600,525300,339658,68792,42118,36676,38336,2349,86,88,7944,545357,67.69,0.46,31.85
2odifferent,2_Q,108480,528228,339658,68792,42118,36676,38336,2349,86,88,8173,539320,68.03,0.48,31.5
2odifferent,2_K,212160,602612,330358,58474,47314,36901,20676,1400,86,88,21760,380475,76.51,1.27,22.22
2odifferent,2_A,197760,590804,273532,58220,41607,36901,20307,990,86,88,84082,407927,71.27,4.91,23.82
2odifferent,3_3,0,285120,331985,44082,50466,33836,39210,2390,86,88,8606,916435,45.98,0.5,53.52
2odifferent,3_4,80640,477456,331502,66356,52116,36680,38340,2349,86,88,8300,618391,63.4,0.48,36.11
2odifferent,3_5,77760,474528,330746,66356,52116,36680,38340,2349,86,88,7923,625332,63.02,0.46,36.52
2odifferent,3_6,74880,488904,340560,67752,48034,36676,38340,2349,86,88,7193,607442,64.1,0.42,35.48
2odifferent,3_7,81600,497558,341289,68130,53741,36676,38340,2349,86,88,6907,585540,65.4,0.4,34.2
2odifferent,3_8,87360,511438,343505,68694,53741,36676,38340,2349,86,88,7060,562967,66.71,0.41,32.88
2odifferent,3_9,87360,511438,343181,68694,53741,36676,38340,2349,86,88,7045,563306,66.69,0.41,32.9
2odifferent,3_T,99840,519444,338794,68792,42118,36676,38336,2349,86,88,7141,558640,66.96,0.42,32.63
2odifferent,3_J,102720,522372,338794,68792,42118,36676,38336,2349,86,88,7370,552603,67.3,0.43,32.27
2odifferent,3_Q,105600,525300,338794,68792,42118,36676,38336,2349,86,88,7599,546566,67.64,0.44,31.92
2odifferent,3_K,208320,599924,328117,58474,47314,36901,20676,1400,86,88,21168,389836,76.0,1.24,22.77
2odifferent,3_A,193920,588116,272263,58220,41607,36901,20307,990,86,88,82518,417288,70.81,4.82,24.37
2odifferent,4_4,0,283680,322769,44082,50466,33836,39162,2390,86,88,7492,928253,45.35,0.44,54.21
2odifferent,4_5,72000,460648,327342,65792,52116,36680,38340,2349,86,88,7524,649339,61.64,0.44,37.92
2odifferent,4_6,69120,475024,337156,67188,48034,36676,38340,2349,86,88,6794,631449,62.73,0.4,36.88
2odifferent,4_7,75840,483678,337885,67566,53741,36676,38340,2349,86,88,6508,609547,64.02,0.38,35.6
2odifferent,4_8,81600,497558,340101,68130,53741,36676,38340,2349,86,88,6661,586974,65.33,0.39,34.28
2odifferent,4_9,87360,511438,342425,68694,53741,36676,38340,2349,86,88,6824,564283,66.65,0.4,32.95
2odifferent,4_T,96960,516516,338038,68792,42118,36676,38336,2349,86,88,6680,565665,66.57,0.39,33.04
2odifferent,4_J,99840,519444,338038,68792,42118,36676,38336,2349,86,88,6909,559628,66.91,0.4,32.68
2odifferent,4_Q,102720,522372,338038,68792,42118,36676,38336,2349,86,88,7138,553591,67.25,0.42,32.33
2odifferent,4_K,204480,597236,325984,58474,47314,36901,20676,1400,86,88,20689,398976,75.49,1.21,23.3
2odifferent,4_A,190080,585428,270994,58220,41607,36901,20307,990,86,88,81175,426428,70.36,4.74,24.9
2odifferent,5_5,0,282240,314705,44082,50466,33836,39114,2390,86,88,6546,938751,44.79,0.38,54.82
2odifferent,5_6,63360,461144,333860,66624,48034,36676,38340,2349,86,88,6479,655264,61.35,0.38,38.27
2odifferent,5_7,70080,469798,334589,67002,53741,36676,38340,2349,86,88,6193,633362,62.65,0.36,36.99
2odifferent,5_8,75840,483678,336805,67566,53741,36676,38340,2349,86,88,6346,610789,63.96,0.37,35.67
2odifferent,5_9,81600,497558,339129,68130,53741,36676,38340,2349,86,88,6509,588098,65.27,0.38,34.35
2odifferent,5_T,96960,516516,337390,68792,42118,36676,38336,2349,86,88,6543,566450,66.54,0.38,33.08
2odifferent,5_J,96960,516516,337390,68792,42118,36676,38336,2349,86,88,6532,566461,66.54,0.38,33.08
2odifferent,5_Q,99840,519444,337390,68792,42118,36676,38336,2349,86,88,6761,560424,66.88,0.39,32.73
2odifferent,5_K,200640,594548,323959,58474,47314,36901,20676,1400,86,88,20294,407924,74.99,1.19,23.82
2odifferent,5_A,186240,582740,269725,58220,41607,36901,20307,990,86,88,80024,435376,69.9,4.67,25.43
2odifferent,6_6,0,285120,309172,44268,47222,33826,39066,2390,86,88,5350,945716,44.46,0.31,55.23
2odifferent,6_7,64320,461144,332780,66624,48034,36676,38340,2349,86,88,5393,656470,61.35,0.31,38.34
2odifferent,6_8,70080,475024,334996,67188,48034,36676,38340,2349,86,88,5546,633897,62.66,0.32,37.02
2odifferent,6_9,75840,488904,337320,67752,48034,36676,38340,2349,86,88,5709,611206,63.97,0.33,35.69
2odifferent,6_T,91200,507862,335581,68414,36411,36676,38336,2349,86,88,5743,589558,65.23,0.34,34.43
2odifferent,6_J,96960,521742,338229,68978,36411,36676,38336,2349,86,88,5910,566539,66.57,0.35,33.09
2odifferent,6_Q,96960,521742,338229,68978,36411,36676,38336,2349,86,88,5899,566550,66.57,0.34,33.09
2odifferent,6_K,196800,596722,323243,58660,41607,36901,20676,1400,86,88,19414,416707,74.53,1.13,24.34
2odifferent,6_A,196800,596722,270215,58660,41607,36901,20307,990,86,88,73221,416707,71.39,4.28,24.34
2odifferent,7_7,0,283680,303412,44268,54710,33826,39018,2390,86,88,4826,946000,44.47,0.28,55.25
2odifferent,7_8,64320,461144,331916,66624,55522,36676,38340,2349,86,88,5322,649917,61.73,0.31,37.96
2odifferent,7_9,70080,475024,334240,67188,55522,36676,38340,2349,86,88,5485,627226,63.05,0.32,36.63
2odifferent,7_T,85440,493982,332501,67850,43899,36676,38336,2349,86,88,5519,605578,64.31,0.32,35.37
2odifferent,7_J,91200,507862,335149,68414,43899,36676,38336,2349,86,88,5686,582559,65.65,0.33,34.02
2odifferent,7_Q,96960,521742,337797,68978,43899,36676,38336,2349,86,88,5853,559540,66.98,0.34,32.68
