type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2odifferent,2_2,0,285120,342353,44082,57954,33794,39246,2390,129,88,9717,897431,47.02,0.57,52.41
2odifferent,2_3,86400,491336,335878,66920,59604,36638,38328,2349,129,88,9044,585590,65.27,0.53,34.2
2odifferent,2_4,83520,488408,335014,66920,59604,36638,38328,2349,129,88,8583,592723,64.88,0.5,34.62
2odifferent,2_5,80640,485480,334258,66920,59604,36638,38328,2349,129,88,8206,599664,64.5,0.48,35.02
2odifferent,2_6,77760,499856,344072,68316,55522,36634,38328,2349,129,88,7476,581774,65.59,0.44,33.98
2odifferent,2_7,87360,511438,344801,68694,61229,36634,38328,2349,129,88,7430,553824,67.22,0.43,32.34
2odifferent,2_8,87360,506932,342990,68508,59448,36634,38328,2349,129,88,7227,562311,66.74,0.42,32.84
2odifferent,2_9,90240,509860,342666,68508,59448,36634,38328,2349,129,88,7452,556602,67.06,0.44,32.51
2odifferent,2_T,106560,520074,338279,68606,47825,36634,38324,2349,129,88,7548,545888,67.68,0.44,31.88
2odifferent,2_J,109440,523002,338279,68606,47825,36634,38324,2349,129,88,7777,539851,68.02,0.45,31.53
2odifferent,2_Q,208320,599924,330358,58474,47314,36859,20676,1400,129,88,29006,379756,76.13,1.69,22.18
2odifferent,2_K,108480,486494,323527,68792,49846,36634,37634,2349,129,88,8173,590158,65.06,0.48,34.47
2odifferent,2_A,193920,588116,257866,53740,49095,36859,20277,990,129,88,104017,407207,70.14,6.07,23.78
2odifferent,3_3,0,283680,331985,44082,57954,33794,39198,2390,129,88,8377,910627,46.33,0.49,53.18
2odifferent,3_4,77760,474528,331502,66356,59604,36638,38328,2349,129,88,8071,616951,63.5,0.47,36.03
2odifferent,3_5,74880,471600,330746,66356,59604,36638,38328,2349,129,88,7694,623892,63.11,0.45,36.44
2odifferent,3_6,72000,485976,340560,67752,55522,36634,38328,2349,129,88,6964,606002,64.2,0.41,35.39
2odifferent,3_7,81600,497558,341289,68130,61229,36634,38328,2349,129,88,6918,578052,65.84,0.4,33.76
2odifferent,3_8,87360,506932,342126,68508,59448,36634,38328,2349,129,88,6893,563509,66.69,0.4,32.91
2odifferent,3_9,87360,506932,341802,68508,59448,36634,38328,2349,129,88,6878,563848,66.67,0.4,32.93
2odifferent,3_T,103680,517146,337415,68606,47825,36634,38324,2349,129,88,6974,553134,67.29,0.41,32.3
2odifferent,3_J,106560,520074,337415,68606,47825,36634,38324,2349,129,88,7203,547097,67.63,0.42,31.95
2odifferent,3_Q,204480,597236,328117,58474,47314,36859,20676,1400,129,88,28414,389117,75.62,1.66,22.72
2odifferent,3_K,105600,483566,322663,68792,49846,36634,37634,2349,129,88,7599,597404,64.67,0.44,34.89
2odifferent,3_A,190080,585428,256738,53740,49095,36859,20277,990,129,88,102312,416568,69.7,5.98,24.33
2odifferent,4_4,0,282240,322769,44082,57954,33794,39150,2390,129,88,7263,922445,45.7,0.42,53.87
2odifferent,4_5,69120,457720,327342,65792,59604,36638,38328,2349,129,88,7295,647899,61.74,0.43,37.84
