type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2odifferent,2_2,0,280800,336044,43896,85276,33784,39234,2354,129,88,14743,875956,47.98,0.86,51.16
2odifferent,2_3,72000,477952,337300,67188,86900,36634,38316,2317,129,88,12786,580694,65.34,0.75,33.91
2odifferent,2_4,69120,475024,336436,67188,86900,36634,38316,2317,129,88,12325,587827,64.95,0.72,34.33
2odifferent,2_5,66240,472096,335680,67188,86900,36634,38316,2317,129,88,11948,594768,64.57,0.7,34.73
2odifferent,2_6,72000,485976,337536,67752,86900,36634,38316,2317,129,88,11230,573426,65.86,0.66,33.49
2odifferent,2_7,77760,499856,339644,68316,86900,36634,38316,2317,129,88,11362,550982,67.16,0.66,32.18
2odifferent,2_8,77760,499856,339212,68316,86900,36634,38316,2317,129,88,11337,551439,67.13,0.66,32.2
2odifferent,2_9,86400,506738,335259,68414,77476,36634,38312,2317,129,88,11430,549107,67.26,0.67,32.07
2odifferent,2_T,102720,521094,331673,68698,65853,36634,38308,2317,129,88,11670,533120,68.18,0.68,31.13
2odifferent,2_J,105600,524022,331673,68698,65853,36634,38308,2317,129,88,11899,527083,68.52,0.69,30.78
2odifferent,2_Q,193920,588116,310039,58220,74766,36859,20646,1364,129,88,46620,381537,75.0,2.72,22.28
2odifferent,2_K,193920,588116,257866,53740,74766,36859,20277,990,129,88,104017,381536,71.64,6.07,22.28
2odifferent,2_A,0,422680,261307,64580,77476,36634,36932,1980,129,88,11629,798869,52.67,0.68,46.65
2odifferent,3_3,0,279360,326828,43896,85276,33784,39186,2354,129,88,12251,889152,47.36,0.72,51.93
2odifferent,3_4,63360,461144,332924,66624,86900,36634,38316,2317,129,88,11813,612055,63.57,0.69,35.74
2odifferent,3_5,60480,458216,332168,66624,86900,36634,38316,2317,129,88,11436,618996,63.18,0.67,36.15
2odifferent,3_6,66240,472096,334024,67188,86900,36634,38316,2317,129,88,10718,597654,64.47,0.63,34.9
2odifferent,3_7,72000,485976,336132,67752,86900,36634,38316,2317,129,88,10850,575210,65.77,0.63,33.59
2odifferent,3_8,77760,499856,338348,68316,86900,36634,38316,2317,129,88,11003,552637,67.08,0.64,32.27
2odifferent,3_9,83520,503810,334395,68414,77476,36634,38312,2317,129,88,10856,556353,66.87,0.63,32.49
2odifferent,3_T,99840,518166,330809,68698,65853,36634,38308,2317,129,88,11096,540366,67.79,0.65,31.56
2odifferent,3_J,102720,521094,330809,68698,65853,36634,38308,2317,129,88,11325,534329,68.13,0.66,31.21
2odifferent,3_Q,190080,585428,307939,58220,74766,36859,20646,1364,129,88,45887,390898,74.49,2.68,22.83
2odifferent,3_K,190080,585428,256738,53740,74766,36859,20277,990,129,88,102312,390897,71.2,5.98,22.83
2odifferent,3_A,0,419752,261307,64580,77476,36634,36932,1980,129,88,11055,802371,52.5,0.65,46.86
2odifferent,4_4,0,277920,318620,43896,85276,33784,39138,2354,129,88,10129,900970,46.79,0.59,52.62
2odifferent,4_5,54720,444336,328764,66060,86900,36634,38316,2317,129,88,11037,643003,61.8,0.64,37.55
2odifferent,4_6,60480,458216,330620,66624,86900,36634,38316,2317,129,88,10319,621661,63.09,0.6,36.31
2odifferent,4_7,66240,472096,332728,67188,86900,36634,38316,2317,129,88,10451,599217,64.39,0.61,34.99
2odifferent,4_8,72000,485976,334944,67752,86900,36634,38316,2317,129,88,10604,576644,65.7,0.62,33.68
2odifferent,4_9,83520,503810,333639,68414,77476,36634,38312,2317,129,88,10635,557330,66.83,0.62,32.55
2odifferent,4_T,96960,515238,330053,68698,65853,36634,38308,2317,129,88,10635,547391,67.41,0.62,31.97
2odifferent,4_J,99840,518166,330053,68698,65853,36634,38308,2317,129,88,10864,541354,67.75,0.63,31.62
2odifferent,4_Q,186240,582740,305947,58220,74766,36859,20646,1364,129,88,45267,400038,73.99,2.64,23.36
2odifferent,4_K,186240,582740,255610,53740,74766,36859,20277,990,129,88,100828,400037,70.75,5.89,23.36
2odifferent,4_A,0,416824,261307,64580,77476,36634,36932,1980,129,88,10594,805760,52.32,0.62,47.06
2odifferent,5_5,0,276480,311420,43896,85276,33784,39090,2354,129,88,8319,911468,46.28,0.49,53.23
2odifferent,5_6,54720,444336,327324,66060,86900,36634,38316,2317,129,88,10004,645476,61.72,0.58,37.7
2odifferent,5_7,60480,458216,329432,66624,86900,36634,38316,2317,129,88,10136,623032,63.02,0.59,36.39
