type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2odifferent,2_2,0,409920,554880,196920,24144,33652,150616,15562,172,88,8390,317960,80.94,0.49,18.57
2odifferent,2_3,0,469440,565800,191534,24144,36592,147546,15528,172,88,7894,253566,84.73,0.46,14.81
2odifferent,2_4,0,464160,564312,191054,24144,36592,147534,15528,172,88,7445,261275,84.31,0.43,15.26
2odifferent,2_5,0,458880,562824,190574,24144,36592,147522,15528,172,88,7080,268900,83.88,0.41,15.7
2odifferent,2_6,0,476640,572370,193702,24144,36592,147510,15528,172,88,6230,239328,85.66,0.36,13.98
2odifferent,2_7,0,493440,581916,196830,24144,36592,147498,15528,172,88,6374,209722,87.38,0.37,12.25
2odifferent,2_8,0,489840,581079,193702,22301,36592,147477,15527,172,88,6245,219281,86.83,0.36,12.81
2odifferent,2_9,0,496080,583218,191054,20458,36592,147456,15526,172,88,6366,215294,87.05,0.37,12.57
2odifferent,2_T,0,503520,585357,187926,18375,36592,147435,15525,172,88,6490,210824,87.31,0.38,12.31
2odifferent,2_J,0,508800,586845,188406,18375,36592,147423,15525,172,88,6731,203347,87.73,0.39,11.88
2odifferent,2_Q,0,643920,697521,108690,0,36952,101058,0,172,88,34372,89531,92.76,2.01,5.23
2odifferent,2_K,0,371760,465156,192014,20458,36592,141822,15177,172,88,7099,461966,72.61,0.41,26.98
2odifferent,2_A,0,353040,454959,192014,22301,36592,141831,15178,172,88,6989,489140,71.03,0.41,28.57
2odifferent,3_3,0,405120,553392,196440,24144,33652,150296,15562,172,88,7266,326172,80.53,0.42,19.05
2odifferent,3_4,0,447360,554766,187926,24144,36592,147522,15528,172,88,6945,291261,82.58,0.41,17.01
2odifferent,3_5,0,442080,553278,187446,24144,36592,147510,15528,172,88,6580,298886,82.16,0.38,17.46
2odifferent,3_6,0,459840,562824,190574,24144,36592,147498,15528,172,88,5730,269314,83.94,0.33,15.73
2odifferent,3_7,0,476640,572370,193702,24144,36592,147486,15528,172,88,5874,239708,85.66,0.34,14.0
