type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2odifferent,2_2,0,282240,342353,44082,72930,33710,39222,2390,215,88,9259,885815,47.73,0.54,51.73
2odifferent,2_3,80640,485480,335878,66920,74580,36554,38304,2349,215,88,8586,582710,65.47,0.5,34.03
2odifferent,2_4,77760,482552,335014,66920,74580,36554,38304,2349,215,88,8125,589843,65.08,0.47,34.45
2odifferent,2_5,77760,482552,334258,66920,74580,36554,38304,2349,215,88,7988,590736,65.03,0.47,34.5
2odifferent,2_6,77760,495350,342693,68130,68717,36550,38304,2349,215,88,7320,574828,66.0,0.43,33.57
2odifferent,2_7,90240,504634,342043,68322,72643,36550,38304,2349,215,88,7096,549820,67.48,0.41,32.11
2odifferent,2_8,94080,502336,340232,68136,70862,36550,38304,2349,215,88,6893,552259,67.35,0.4,32.25
2odifferent,2_9,96960,505264,339908,68136,70862,36550,38304,2349,215,88,7118,546550,67.67,0.42,31.92
2odifferent,2_T,200640,594548,330358,58474,47314,36775,20676,1400,215,88,43498,378318,75.37,2.54,22.09
2odifferent,2_J,110400,477126,320769,68420,61260,36550,37610,2349,215,88,7381,590136,65.1,0.43,34.46
2odifferent,2_Q,106560,478882,322148,68606,63041,36550,37610,2349,215,88,7548,588707,65.18,0.44,34.38
2odifferent,2_K,102720,480638,323527,68792,64822,36550,37610,2349,215,88,7715,587278,65.25,0.45,34.3
2odifferent,2_A,186240,536612,229900,44822,64071,36775,20217,990,215,88,186607,405767,65.4,10.9,23.7
2odifferent,3_3,0,280800,331985,44082,72930,33710,39174,2390,215,88,7919,899011,47.03,0.46,52.5
2odifferent,3_4,72000,468672,331502,66356,74580,36554,38304,2349,215,88,7613,614071,63.69,0.44,35.86
2odifferent,3_5,72000,468672,330746,66356,74580,36554,38304,2349,215,88,7476,614964,63.65,0.44,35.91
2odifferent,3_6,72000,481470,339181,67566,68717,36550,38304,2349,215,88,6808,599056,64.62,0.4,34.99
2odifferent,3_7,84480,490754,338531,67758,72643,36550,38304,2349,215,88,6584,574048,66.09,0.38,33.52
2odifferent,3_8,94080,502336,339368,68136,70862,36550,38304,2349,215,88,6559,553457,67.29,0.38,32.32
2odifferent,3_9,94080,502336,339044,68136,70862,36550,38304,2349,215,88,6544,553796,67.28,0.38,32.34
2odifferent,3_T,196800,591860,328117,58474,47314,36775,20676,1400,215,88,42906,387679,74.85,2.51,22.64
2odifferent,3_J,107520,474198,319905,68420,61260,36550,37610,2349,215,88,6807,597382,64.71,0.4,34.89
2odifferent,3_Q,103680,475954,321284,68606,63041,36550,37610,2349,215,88,6974,595953,64.79,0.41,34.8
2odifferent,3_K,99840,477710,322663,68792,64822,36550,37610,2349,215,88,7141,594524,64.86,0.42,34.72
2odifferent,3_A,182400,533924,229054,44822,64071,36775,20217,990,215,88,184620,415128,64.97,10.78,24.24
2odifferent,4_4,0,279360,322769,44082,72930,33710,39126,2390,215,88,6805,910829,46.41,0.4,53.19
2odifferent,4_5,66240,454792,327342,65792,74580,36554,38304,2349,215,88,7077,638971,62.27,0.41,37.32
2odifferent,4_6,66240,467590,335777,67002,68717,36550,38304,2349,215,88,6409,623063,63.24,0.37,36.39
2odifferent,4_7,78720,476874,335127,67194,72643,36550,38304,2349,215,88,6185,598055,64.71,0.36,34.93
2odifferent,4_8,88320,488456,335964,67572,70862,36550,38304,2349,215,88,6160,577464,65.92,0.36,33.72
