type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2odifferent,2_2,0,277920,336044,43896,100252,33700,39210,2354,215,88,14285,864340,48.69,0.83,50.48
2odifferent,2_3,66240,472096,337300,67188,101876,36550,38292,2317,215,88,12328,577814,65.54,0.72,33.74
2odifferent,2_4,63360,469168,336436,67188,101876,36550,38292,2317,215,88,11867,584947,65.15,0.69,34.16
2odifferent,2_5,63360,469168,335680,67188,101876,36550,38292,2317,215,88,11730,585840,65.1,0.69,34.21
2odifferent,2_6,72000,481470,336157,67566,100095,36550,38292,2317,215,88,11074,566480,66.27,0.65,33.08
2odifferent,2_7,80640,493052,336886,67944,98314,36550,38292,2317,215,88,11028,546978,67.41,0.64,31.94
2odifferent,2_8,80640,493052,336454,67944,98314,36550,38292,2317,215,88,11003,547435,67.39,0.64,31.97
2odifferent,2_9,93120,502142,332501,68042,88890,36550,38288,2317,215,88,11096,539055,67.87,0.65,31.48
2odifferent,2_T,186240,582740,310039,58220,74766,36775,20646,1364,215,88,61112,380099,74.23,3.57,22.2
2odifferent,2_J,106560,480856,314583,68512,79288,36550,37594,2317,215,88,11503,574238,65.79,0.67,33.54
2odifferent,2_Q,102720,482612,315962,68698,81069,36550,37594,2317,215,88,11670,572809,65.87,0.68,33.45
2odifferent,2_K,186240,540332,230458,45076,89742,36775,20217,990,215,88,182075,380096,67.17,10.63,22.2
2odifferent,2_A,0,384088,261199,58820,92452,36550,36908,1980,215,88,31979,808025,50.94,1.87,47.19
2odifferent,3_3,0,276480,326828,43896,100252,33700,39162,2354,215,88,11793,877536,48.06,0.69,51.25
2odifferent,3_4,57600,455288,332924,66624,101876,36550,38292,2317,215,88,11355,609175,63.76,0.66,35.58
2odifferent,3_5,57600,455288,332168,66624,101876,36550,38292,2317,215,88,11218,610068,63.72,0.66,35.63
2odifferent,3_6,66240,467590,332645,67002,100095,36550,38292,2317,215,88,10562,590708,64.89,0.62,34.5
2odifferent,3_7,74880,479172,333374,67380,98314,36550,38292,2317,215,88,10516,571206,66.03,0.61,33.36
2odifferent,3_8,80640,493052,335590,67944,98314,36550,38292,2317,215,88,10669,548633,67.34,0.62,32.04
2odifferent,3_9,90240,499214,331637,68042,88890,36550,38288,2317,215,88,10522,546301,67.48,0.61,31.9
2odifferent,3_T,182400,580052,307939,58220,74766,36775,20646,1364,215,88,60379,389460,73.73,3.53,22.74
2odifferent,3_J,103680,477928,313719,68512,79288,36550,37594,2317,215,88,10929,581484,65.4,0.64,33.96
2odifferent,3_Q,99840,479684,315098,68698,81069,36550,37594,2317,215,88,11096,580055,65.48,0.65,33.88
2odifferent,3_K,182400,537644,229612,45076,89742,36775,20217,990,215,88,180088,389457,66.74,10.52,22.74
2odifferent,3_A,0,381160,261199,58820,92452,36550,36908,1980,215,88,31405,811527,50.77,1.83,47.39
2odifferent,4_4,0,275040,318620,43896,100252,33700,39114,2354,215,88,9671,889354,47.5,0.56,51.94
2odifferent,4_5,51840,441408,328764,66060,101876,36550,38292,2317,215,88,10819,634075,62.34,0.63,37.03
