type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2odifferent,2_2,0,270720,328392,43524,130818,33658,39198,2318,258,88,19158,844172,49.58,1.12,49.3
2odifferent,2_3,60480,458216,330800,66240,133254,36508,38280,2285,258,88,16429,569466,65.78,0.96,33.26
2odifferent,2_4,57600,455288,329936,66240,133254,36508,38280,2285,258,88,15968,576599,65.39,0.93,33.67
2odifferent,2_5,57600,455288,329180,66240,133254,36508,38280,2285,258,88,15831,577492,65.35,0.92,33.73
2odifferent,2_6,66240,467590,329657,66618,131473,36508,38280,2285,258,88,15175,558132,66.52,0.89,32.6
2odifferent,2_7,72000,481470,331765,67182,131473,36508,38280,2285,258,88,15307,535688,67.82,0.89,31.28
2odifferent,2_8,80640,487632,327704,67280,122049,36508,38276,2285,258,88,15150,534434,67.9,0.88,31.21
2odifferent,2_9,93120,500144,324552,67564,112625,36508,38272,2285,258,88,15387,521501,68.65,0.9,30.46
2odifferent,2_T,176640,568758,290229,56898,107925,36733,20616,1328,258,88,77719,375112,73.55,4.54,21.91
2odifferent,2_J,106560,482288,306910,67970,103023,36508,37578,2285,258,88,16002,552834,66.78,0.93,32.29
2odifferent,2_Q,176640,527094,229071,44764,115413,36733,20217,990,258,88,185926,375110,67.24,10.86,21.91
2odifferent,2_K,0,395348,258923,59104,114406,36508,36892,1980,258,88,36614,772183,52.77,2.14,45.1
2odifferent,2_A,0,345252,258983,56208,123830,36508,36896,1980,258,88,38804,813497,50.22,2.27,47.51
2odifferent,3_3,0,269280,320328,43524,130818,33658,39150,2318,258,88,15514,857368,49.02,0.91,50.07
2odifferent,3_4,51840,441408,326424,65676,133254,36508,38280,2285,258,88,15456,600827,64.01,0.9,35.09
2odifferent,3_5,51840,441408,325668,65676,133254,36508,38280,2285,258,88,15319,601720,63.96,0.89,35.14
2odifferent,3_6,60480,453710,326145,66054,131473,36508,38280,2285,258,88,14663,582360,65.13,0.86,34.01
2odifferent,3_7,66240,467590,328253,66618,131473,36508,38280,2285,258,88,14795,559916,66.44,0.86,32.7
2odifferent,3_8,80640,487632,326840,67280,122049,36508,38276,2285,258,88,14816,535632,67.85,0.87,31.28
2odifferent,3_9,90240,497216,323688,67564,112625,36508,38272,2285,258,88,14813,528747,68.26,0.87,30.88
2odifferent,3_T,172800,566070,288270,56898,107925,36733,20616,1328,258,88,76845,384473,73.06,4.49,22.45
2odifferent,3_J,103680,479360,306046,67970,103023,36508,37578,2285,258,88,15428,560080,66.39,0.9,32.71
2odifferent,3_Q,172800,524406,228225,44764,115413,36733,20217,990,258,88,183939,384471,66.8,10.74,22.45
2odifferent,3_K,0,392420,258923,59104,114406,36508,36892,1980,258,88,36040,775685,52.59,2.1,45.3
2odifferent,3_A,0,342324,258983,56208,123830,36508,36896,1980,258,88,38230,816999,50.05,2.23,47.71
2odifferent,4_4,0,267840,313128,43524,130818,33658,39102,2318,258,88,12384,869186,48.52,0.72,50.76
2odifferent,4_5,46080,427528,322264,65112,133254,36508,38280,2285,258,88,14920,625727,62.59,0.87,36.54
2odifferent,4_6,54720,439830,322741,65490,131473,36508,38280,2285,258,88,14264,606367,63.75,0.83,35.41
2odifferent,4_7,60480,453710,324849,66054,131473,36508,38280,2285,258,88,14396,583923,65.06,0.84,34.1
2odifferent,4_8,74880,473752,323436,66716,122049,36508,38276,2285,258,88,14417,559639,66.47,0.84,32.68
2odifferent,4_9,90240,497216,322932,67564,112625,36508,38272,2285,258,88,14592,529724,68.21,0.85,30.94
2odifferent,4_T,168960,563382,286419,56898,107925,36733,20616,1328,258,88,76084,393613,72.57,4.44,22.99
2odifferent,4_J,100800,476432,305290,67970,103023,36508,37578,2285,258,88,14967,567105,66.01,0.87,33.12
2odifferent,4_Q,168960,521718,227379,44764,115413,36733,20217,990,258,88,182173,393611,66.37,10.64,22.99
2odifferent,4_K,0,389492,258923,59104,114406,36508,36892,1980,258,88,35579,779074,52.42,2.08,45.5
2odifferent,4_A,0,339396,258983,56208,123830,36508,36896,1980,258,88,37769,820388,49.88,2.21,47.91
2odifferent,5_5,0,267840,306792,43524,130818,33658,39054,2318,258,88,10190,877764,48.14,0.6,51.26
2odifferent,5_6,48960,430456,320824,65112,131473,36508,38280,2285,258,88,14127,623933,62.74,0.83,36.44
2odifferent,5_7,54720,444336,322932,65676,131473,36508,38280,2285,258,88,14259,601489,64.04,0.83,35.13
2odifferent,5_8,66240,462170,321519,66338,122049,36508,38276,2285,258,88,14280,582293,65.16,0.83,34.01
2odifferent,5_9,80640,485634,321015,67186,112625,36508,38272,2285,258,88,14455,553338,66.84,0.84,32.32
2odifferent,5_T,168960,563382,284676,56898,107925,36733,20616,1328,258,88,75647,395793,72.47,4.42,23.11
2odifferent,5_J,100800,476432,304642,67970,103023,36508,37578,2285,258,88,14830,567890,65.97,0.87,33.17
2odifferent,5_Q,168960,521718,226533,44764,115413,36733,20217,990,258,88,180839,395791,66.32,10.56,23.11
2odifferent,5_K,0,389492,258923,59104,114406,36508,36892,1980,258,88,35442,779211,52.42,2.07,45.51
2odifferent,5_A,0,339396,258983,56208,123830,36508,36896,1980,258,88,37632,820525,49.88,2.2,47.92
2odifferent,6_6,0,265680,299941,43338,126574,33668,39006,2318,258,88,7562,893871,47.36,0.44,52.2
2odifferent,6_7,58560,434644,313309,64466,129848,36512,38280,2285,258,88,13327,620727,62.97,0.78,36.25
2odifferent,6_8,70080,452478,311896,65128,120424,36512,38276,2285,258,88,13348,601531,64.09,0.78,35.13
2odifferent,6_9,84480,475942,311392,65976,111000,36512,38272,2285,258,88,13523,572576,65.77,0.79,33.44
2odifferent,6_T,164160,552088,280850,56458,107925,36733,20616,1328,258,88,72588,419212,71.28,4.24,24.48
2odifferent,6_J,104640,478818,304102,67970,101180,36508,37578,2285,258,88,14030,564847,66.19,0.82,32.99
2odifferent,6_Q,173760,520264,224486,44578,113632,36733,20217,990,258,88,178772,398526,66.29,10.44,23.27
2odifferent,6_K,0,388456,257544,58918,112625,36508,36892,1980,258,88,34464,784571,52.17,2.01,45.82
2odifferent,6_A,0,351156,259820,56586,122049,36508,36896,1980,258,88,36832,810131,50.54,2.15,47.31
2odifferent,7_7,0,267120,295333,43338,126574,33678,38958,2318,258,88,6606,898033,47.17,0.39,52.45
2odifferent,7_8,72960,445496,306751,64058,120424,36516,38276,2285,258,88,13542,611650,63.49,0.79,35.72
2odifferent,7_9,87360,465538,305410,64720,111000,36516,38272,2285,258,88,13717,587140,64.91,0.8,34.29
2odifferent,7_T,168000,554776,279323,56458,107925,36733,20616,1328,258,88,72482,414317,71.57,4.23,24.2
2odifferent,7_J,107520,467694,298120,66714,101180,36512,37578,2285,258,88,14224,580131,65.29,0.83,33.88
2odifferent,7_Q,177600,522952,223640,44578,113632,36733,20217,990,258,88,177985,393631,66.62,10.39,22.99
2odifferent,7_K,0,391384,257544,58918,112625,36508,36892,1980,258,88,34658,781449,52.34,2.02,45.64
2odifferent,7_A,0,351156,259820,56586,122049,36508,36896,1980,258,88,36786,810177,50.54,2.15,47.32
2odifferent,8_8,0,272880,289186,43524,103696,33696,38902,2318,258,88,5716,922040,45.82,0.33,53.85
