type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2odifferent,2_2,0,400320,550176,195960,39600,33484,150136,15482,344,88,9714,317000,80.92,0.57,18.51
2odifferent,2_3,0,458880,561096,190574,39600,36424,147114,15456,344,88,9162,253566,84.66,0.54,14.81
2odifferent,2_4,0,453600,559608,190094,39600,36424,147102,15456,344,88,8713,261275,84.23,0.51,15.26
2odifferent,2_5,0,453600,559608,190094,39600,36424,147090,15456,344,88,8588,261412,84.23,0.5,15.27
2odifferent,2_6,0,473040,569805,190574,37757,36424,147069,15455,344,88,7862,233886,85.88,0.46,13.66
2odifferent,2_7,0,490800,580002,190574,35914,36424,147048,15454,344,88,7890,207766,87.41,0.46,12.13
2odifferent,2_8,0,492720,580653,187446,34071,36424,147027,15453,344,88,7761,210317,87.26,0.45,12.28
2odifferent,2_9,0,499920,582792,184798,32228,36424,147006,15452,344,88,7882,205370,87.55,0.46,11.99
2odifferent,2_T,0,632880,687525,108210,0,36784,100234,0,344,88,56706,89533,91.46,3.31,5.23
2odifferent,2_J,0,373680,461376,184798,32228,36424,141324,15175,344,88,7185,459682,72.73,0.42,26.85
2odifferent,2_Q,0,368160,459888,187926,34071,36424,141333,15176,344,88,6894,462000,72.62,0.4,26.98
2odifferent,2_K,0,362640,458400,191054,35914,36424,141342,15177,344,88,6711,464210,72.5,0.39,27.11
2odifferent,2_A,0,343920,448203,191054,37757,36424,141351,15178,344,88,6457,491528,70.92,0.38,28.71
2odifferent,3_3,0,395520,548688,195480,39600,33484,149816,15482,344,88,8590,325212,80.51,0.5,18.99
2odifferent,3_4,0,436800,550062,186966,39600,36424,147090,15456,344,88,8213,291261,82.51,0.48,17.01
2odifferent,3_5,0,436800,550062,186966,39600,36424,147078,15456,344,88,8088,291398,82.51,0.47,17.02
2odifferent,3_6,0,456240,560259,187446,37757,36424,147057,15455,344,88,7362,263872,84.16,0.43,15.41
2odifferent,3_7,0,474000,570456,187446,35914,36424,147036,15454,344,88,7390,237752,85.68,0.43,13.88
2odifferent,3_8,0,492720,580653,187446,34071,36424,147015,15453,344,88,7439,210651,87.26,0.43,12.3
2odifferent,3_9,0,494640,581304,184318,32228,36424,146994,15452,344,88,7320,213192,87.12,0.43,12.45
2odifferent,3_T,0,627360,686037,107970,0,36784,100222,0,344,88,56144,97355,91.04,3.28,5.69
2odifferent,3_J,0,369120,459888,184318,32228,36424,141312,15175,344,88,6623,466784,72.35,0.39,27.26
2odifferent,3_Q,0,363600,458400,187446,34071,36424,141321,15176,344,88,6332,469102,72.23,0.37,27.4
2odifferent,3_K,0,358080,456912,190574,35914,36424,141330,15177,344,88,6149,471312,72.12,0.36,27.53
2odifferent,3_A,0,339360,446715,190574,37757,36424,141339,15178,344,88,5895,498630,70.54,0.34,29.12
2odifferent,4_4,0,390720,547200,195000,39600,33484,149496,15482,344,88,7692,333198,80.09,0.45,19.46
2odifferent,4_5,0,420000,540516,183838,39600,36424,147066,15456,344,88,7701,321271,80.79,0.45,18.76
2odifferent,4_6,0,439440,550713,184318,37757,36424,147045,15455,344,88,6975,293745,82.44,0.41,17.15
2odifferent,4_7,0,457200,560910,184318,35914,36424,147024,15454,344,88,7003,267625,83.96,0.41,15.63
2odifferent,4_8,0,475920,571107,184318,34071,36424,147003,15453,344,88,7052,240524,85.54,0.41,14.05
2odifferent,4_9,0,494640,581304,184318,32228,36424,146982,15452,344,88,7111,213413,87.12,0.42,12.46
2odifferent,4_T,0,621840,684549,107730,0,36784,100210,0,344,88,55695,105064,90.61,3.25,6.14
2odifferent,4_J,0,364560,458400,183838,32228,36424,141300,15175,344,88,6174,473773,71.97,0.36,27.67
2odifferent,4_Q,0,359040,456912,186966,34071,36424,141309,15176,344,88,5883,476091,71.85,0.34,27.8
2odifferent,4_K,0,353520,455424,190094,35914,36424,141318,15177,344,88,5700,478301,71.73,0.33,27.93
2odifferent,4_A,0,334800,445227,190094,37757,36424,141327,15178,344,88,5446,505619,70.15,0.32,29.53
2odifferent,5_5,0,390720,547200,195000,39600,33484,149176,15482,344,88,7442,333768,80.07,0.43,19.49
2odifferent,5_6,0,426240,542004,184318,37757,36424,147033,15455,344,88,6850,315791,81.16,0.4,18.44
2odifferent,5_7,0,439440,550713,184318,35914,36424,147012,15454,344,88,6878,295719,82.33,0.4,17.27
2odifferent,5_8,0,457200,560910,184318,34071,36424,146991,15453,344,88,6927,269578,83.85,0.4,15.74
2odifferent,5_9,0,475920,571107,184318,32228,36424,146970,15452,344,88,6986,242467,85.43,0.41,14.16
2odifferent,5_T,0,621840,684549,107730,0,36784,100198,0,344,88,55570,105201,90.61,3.25,6.14
2odifferent,5_J,0,364560,458400,183838,32228,36424,141288,15175,344,88,6049,473910,71.97,0.35,27.68
2odifferent,5_Q,0,359040,456912,186966,34071,36424,141297,15176,344,88,5758,476228,71.85,0.34,27.81
2odifferent,5_K,0,353520,455424,190094,35914,36424,141306,15177,344,88,5575,478438,71.73,0.33,27.94
2odifferent,5_A,0,334800,445227,190094,37757,36424,141315,15178,344,88,5321,505756,70.15,0.31,29.54
2odifferent,6_6,0,396480,548688,192352,35232,33504,148838,15480,344,88,6594,334704,80.07,0.39,19.55
2odifferent,6_7,0,445680,551781,172952,34243,36432,146993,15453,344,88,6004,302334,81.99,0.35,17.66
