type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2osame,2_3,162360,364490,204808,36576,55140,12404,20427,1112,172,0,441867,412948,50.08,25.81,24.12
2osame,3_3,0,150348,201433,45220,42510,12446,33402,2101,129,0,57023,1167692,28.48,3.33,68.19
2osame,3_4,64350,304062,252324,54592,47090,12489,36732,2093,86,0,233731,704755,45.19,13.65,41.16
2osame,3_5,68310,301824,250037,54402,45295,12532,36732,2093,43,0,233909,707127,45.04,13.66,41.3
2osame,3_7,0,202672,240790,52128,49791,0,36042,1980,43,0,144846,984012,34.07,8.46,57.47
2osame,3_8,0,212396,246028,53410,54346,0,36042,1980,86,0,89910,1018106,35.29,5.25,59.46
2osame,3_9,0,210152,246028,53410,56203,0,36042,1980,129,0,57166,1051194,35.27,3.34,61.39
2osame,3_T,0,211468,247451,53600,57008,0,36042,1980,171,0,37203,1067381,35.49,2.17,62.34
2osame,3_J,0,215028,248874,53790,51835,0,36042,1980,171,0,26355,1078229,35.49,1.54,62.97
2osame,3_Q,0,215028,248874,53790,59551,0,36042,1980,214,0,19277,1077548,35.94,1.13,62.93
2osame,3_K,0,216524,248874,53790,59551,0,36042,1980,214,0,14888,1080441,36.03,0.87,63.1
2osame,3_A,0,207548,243744,52506,59551,0,36042,1980,172,0,11097,1099664,35.13,0.65,64.22
2osame,2_4,166320,362200,202709,36386,53337,12404,20427,1112,172,0,441448,415789,49.94,25.78,24.28
2osame,3_4,64350,304062,252324,54592,47082,12446,36732,2093,129,0,233530,704964,45.19,13.64,41.17
2osame,4_4,0,146608,197886,45030,38210,12489,33378,2101,86,0,47014,1189502,27.79,2.75,69.47
2osame,4_5,68310,288704,239914,53166,43641,12532,36732,2093,43,0,233447,733722,43.52,13.63,42.85
2osame,4_7,0,192352,231849,50892,48137,0,36042,1980,43,0,144492,1006517,32.78,8.44,58.78
2osame,4_8,0,202076,237087,52174,52692,0,36042,1980,86,0,89556,1040611,34.0,5.23,60.77
2osame,4_9,0,210900,246028,53410,54338,0,36042,1980,129,0,56945,1052532,35.21,3.33,61.47
2osame,4_T,0,208656,246028,53410,55205,0,36042,1980,171,0,36802,1074010,35.13,2.15,62.72
2osame,4_J,0,212216,247451,53600,50032,0,36042,1980,171,0,25954,1084858,35.13,1.52,63.36
2osame,4_Q,0,212216,247451,53600,57748,0,36042,1980,214,0,18876,1084177,35.58,1.1,63.32
2osame,4_K,0,213712,247451,53600,57748,0,36042,1980,214,0,14487,1087070,35.67,0.85,63.49
2osame,4_A,0,203988,242321,52316,57748,0,36042,1980,172,0,10696,1107041,34.72,0.62,64.65
2osame,2_5,171270,359026,200610,36196,51534,12404,20427,1112,172,0,441997,417556,49.8,25.81,24.39
2osame,3_5,68310,301824,250037,54402,45279,12446,36732,2093,129,0,233591,707461,45.04,13.64,41.32
2osame,4_5,68310,288704,239914,53166,43633,12489,36732,2093,86,0,233330,733847,43.52,13.63,42.86
2osame,5_5,0,142868,194447,44840,33910,12532,33354,2101,43,0,38241,1209968,27.1,2.23,70.66
2osame,5_7,0,182032,223016,49656,46483,0,36042,1980,43,0,144222,1028830,31.49,8.42,60.08
2osame,5_8,0,191756,228254,50938,51038,0,36042,1980,86,0,89286,1062924,32.71,5.21,62.08
2osame,5_9,0,200580,237195,52174,52684,0,36042,1980,129,0,56675,1074845,33.92,3.31,62.77
2osame,5_T,0,209404,246028,53410,53582,0,36042,1980,171,0,36665,1075022,35.08,2.14,62.78
2osame,5_J,0,209404,246028,53410,48229,0,36042,1980,171,0,25637,1091403,34.76,1.5,63.74
2osame,5_Q,0,209404,246028,53410,55945,0,36042,1980,214,0,18559,1090722,35.22,1.08,63.7
2osame,5_K,0,210900,246028,53410,55945,0,36042,1980,214,0,14170,1093615,35.3,0.83,63.87
2osame,5_A,0,201176,240898,52126,55945,0,36042,1980,172,0,10379,1113586,34.36,0.61,65.03
2osame,2_6,0,0,0,0,0,12404,0,0,215,0,1687066,12619,0.74,98.53,0.74
2osame,3_6,0,134640,138320,27616,26079,12446,18900,990,172,0,863526,489615,20.98,50.43,28.59
2osame,4_6,0,130900,137085,27426,26079,12489,18900,990,129,0,836335,521971,20.67,48.84,30.48
2osame,5_6,0,127160,135850,27236,26079,12532,18900,990,86,0,745824,617647,20.37,43.56,36.07
2osame,6_7,0,138380,143260,28520,0,0,18900,990,86,0,329121,1053047,19.28,19.22,61.5
2osame,6_8,0,137632,143260,28520,34135,0,18900,990,129,0,250449,1098289,21.23,14.63,64.14
2osame,6_9,0,140624,144495,28710,34135,0,18900,990,172,0,189090,1155188,21.49,11.04,67.46
2osame,6_T,0,143616,145730,28900,34135,0,18900,990,214,0,142316,1197503,21.75,8.31,69.94
2osame,6_J,0,147356,146965,29090,34135,0,18900,990,214,0,110497,1224157,22.06,6.45,71.49
2osame,6_Q,0,147356,146965,29090,34135,0,18900,990,257,0,93475,1241136,22.06,5.46,72.48
2osame,6_K,0,148104,146965,29090,34135,0,18900,990,257,0,73752,1260111,22.1,4.31,73.59
2osame,6_A,0,148852,146965,29090,34135,0,18900,990,215,0,53667,1279490,22.14,3.13,74.72
2osame,2_7,0,138380,158812,28520,59832,12404,19359,990,215,0,313942,979850,24.44,18.33,57.22
2osame,3_7,0,202072,240580,52126,49833,12446,36042,1980,172,0,144466,972587,34.76,8.44,56.8
2osame,4_7,0,191792,231645,50890,48187,12489,36042,1980,129,0,144313,994837,33.47,8.43,58.1
2osame,5_7,0,181512,222818,49654,46541,12532,36042,1980,86,0,144160,1016979,32.19,8.42,59.39
2osame,7_7,0,0,65888,44650,51751,0,27396,1978,86,0,24513,1496042,11.2,1.43,87.37
2osame,7_8,0,141372,207095,49608,55074,0,35352,1980,129,0,83025,1138669,28.65,4.85,66.5
2osame,7_9,0,147356,215604,50844,56720,0,35352,1980,172,0,54700,1149576,29.67,3.19,67.14
2osame,7_T,0,153340,224113,52080,57618,0,35352,1980,214,0,35654,1151953,30.64,2.08,67.28
2osame,7_J,0,160820,232514,53316,53919,0,35352,1980,214,0,24903,1149286,31.43,1.45,67.12
2osame,7_Q,0,164560,233369,53506,59832,0,35352,1980,257,0,17825,1145623,32.05,1.04,66.91
2osame,7_K,0,164560,233369,53506,59832,0,35352,1980,257,0,13194,1150254,32.05,0.77,67.18
2osame,7_A,0,166056,233369,53506,59832,0,35352,1980,215,0,9403,1152591,32.14,0.55,67.31
2osame,2_8,0,137632,158812,28520,59832,12404,19359,990,258,0,228655,1065842,24.4,13.35,62.25
2osame,3_8,0,211796,245818,53410,54330,12446,36042,1980,215,0,89530,1006737,35.98,5.23,58.79
2osame,4_8,0,201516,236883,52174,52684,12489,36042,1980,172,0,89377,1028987,34.69,5.22,60.09
2osame,5_8,0,191236,228056,50938,51038,12532,36042,1980,129,0,89224,1051129,33.4,5.21,61.39
2osame,7_8,0,141372,207095,49608,55074,0,35352,1980,129,0,83025,1138669,28.65,4.85,66.5
2osame,8_8,0,0,65888,44650,57664,0,27396,1978,172,0,17457,1497099,11.55,1.02,87.43
2osame,8_9,0,141372,213326,50464,62633,0,35352,1980,215,0,51224,1155738,29.51,2.99,67.5
2osame,8_T,0,147356,221835,51700,63531,0,35352,1980,257,0,34718,1155575,30.49,2.03,67.49
2osame,8_J,0,154836,230236,52936,59832,0,35352,1980,257,0,24553,1152322,31.27,1.43,67.3
2osame,8_Q,0,158576,231091,53126,65745,0,35352,1980,300,0,17619,1148515,31.9,1.03,67.07
2osame,8_K,0,164560,233369,53506,65745,0,35352,1980,300,0,13168,1144324,32.4,0.77,66.83
2osame,8_A,0,164560,233369,53506,65745,0,35352,1980,258,0,9135,1148399,32.4,0.53,67.07
2osame,2_9,0,140624,160047,28710,61635,12404,19359,990,258,0,163146,1125131,24.76,9.53,65.71
2osame,3_9,0,209552,245818,53410,56195,12446,36042,1980,215,0,56771,1039875,35.95,3.32,60.73
2osame,4_9,0,210300,245818,53410,54338,12489,36042,1980,172,0,56759,1040996,35.89,3.31,60.8
2osame,5_9,0,200020,236991,52174,52692,12532,36042,1980,129,0,56606,1063138,34.61,3.31,62.09
2osame,7_9,0,147356,215604,50844,56728,0,35352,1980,129,0,54693,1149618,29.67,3.19,67.14
2osame,8_9,0,141372,213326,50464,62641,0,35352,1980,172,0,51225,1155772,29.51,2.99,67.5
2osame,9_9,0,0,66456,44840,61964,0,27396,1978,215,0,12762,1496693,11.85,0.75,87.41
2osame,9_T,0,143616,220980,51510,64344,0,35352,1980,257,0,32567,1161698,30.25,1.9,67.84
2osame,9_J,0,151096,229381,52746,60645,0,35352,1980,257,0,24186,1156661,31.04,1.41,67.55
2osame,9_Q,0,154836,230236,52936,67548,0,35352,1980,300,0,17460,1151656,31.72,1.02,67.26
2osame,9_K,0,160820,232514,53316,67548,0,35352,1980,300,0,13153,1147321,32.23,0.77,67.0
2osame,9_A,0,166804,234792,53696,67548,0,35352,1980,258,0,9300,1142574,32.73,0.54,66.73
2osame,2_T,0,143616,161282,28900,62448,12404,19359,990,258,0,115338,1167709,25.07,6.74,68.2
2osame,3_T,0,210860,247241,53600,57008,12446,36042,1980,215,0,36801,1056111,36.17,2.15,61.68
2osame,4_T,0,208056,245818,53410,55213,12489,36042,1980,172,0,36601,1062523,35.81,2.14,62.05
2osame,5_T,0,208804,245818,53410,53598,12532,36042,1980,129,0,36589,1063402,35.76,2.14,62.1
2osame,7_T,0,153340,224113,52080,57634,0,35352,1980,129,0,35640,1152036,30.64,2.08,67.28
2osame,8_T,0,147356,221835,51700,63547,0,35352,1980,172,0,34712,1155650,30.48,2.03,67.49
2osame,9_T,0,143616,220980,51510,64352,0,35352,1980,215,0,32568,1161731,30.25,1.9,67.85
2osame,T_T,0,0,67024,45030,65274,0,27396,1978,257,0,9801,1495544,12.09,0.57,87.34
2osame,T_J,0,146608,228526,52556,55480,0,35352,1980,257,0,21660,1169885,30.41,1.26,68.32
2osame,T_Q,0,149600,229381,52746,68361,0,35352,1980,300,0,17096,1157488,31.4,1.0,67.6
2osame,T_K,0,155584,231659,53126,68361,0,35352,1980,300,0,12997,1152945,31.91,0.76,67.33
2osame,T_A,0,161568,233937,53506,68361,0,35352,1980,258,0,9288,1148054,32.41,0.54,67.05
2osame,2_J,0,147356,162517,29090,57283,12404,19359,990,258,0,83013,1200034,25.07,4.85,70.08
2osame,3_J,0,214412,248664,53790,51843,12446,36042,1980,215,0,25946,1066966,36.17,1.52,62.31
2osame,4_J,0,211608,247241,53600,50048,12489,36042,1980,172,0,25746,1073378,35.81,1.5,62.69
2osame,5_J,0,208804,245818,53410,48253,12532,36042,1980,129,0,25546,1079790,35.45,1.49,63.06
2osame,7_J,0,160820,232514,53316,53935,0,35352,1980,129,0,24882,1149376,31.42,1.45,67.12
2osame,8_J,0,154836,230236,52936,59848,0,35352,1980,172,0,24540,1152404,31.27,1.43,67.3
2osame,9_J,0,151096,229381,52746,60653,0,35352,1980,215,0,24180,1156701,31.04,1.41,67.55
2osame,T_J,0,146608,228526,52556,55480,0,35352,1980,257,0,21661,1169884,30.41,1.27,68.32
2osame,J_J,0,0,67592,45220,62364,0,27396,1978,257,0,8622,1498875,11.96,0.5,87.54
2osame,J_Q,0,152592,230804,52936,63196,0,35352,1980,300,0,17265,1157879,31.37,1.01,67.62
2osame,J_K,0,158576,233082,53316,63196,0,35352,1980,300,0,13166,1153336,31.88,0.77,67.36
2osame,J_A,0,164560,235360,53696,63196,0,35352,1980,258,0,9457,1148445,32.38,0.55,67.07
2osame,2_Q,0,147356,162517,29090,64999,12404,19359,990,258,0,59572,1215759,25.52,3.48,71.0
2osame,3_Q,0,214412,248664,53790,59559,12446,36042,1980,215,0,18869,1066327,36.62,1.1,62.27
2osame,4_Q,0,211608,247241,53600,57764,12489,36042,1980,172,0,18669,1072739,36.26,1.09,62.65
2osame,5_Q,0,208804,245818,53410,55969,12532,36042,1980,129,0,18469,1079151,35.9,1.08,63.02
2osame,7_Q,0,164560,233369,53506,59856,0,35352,1980,129,0,17797,1145755,32.05,1.04,66.91
2osame,8_Q,0,158576,231091,53126,65769,0,35352,1980,172,0,17599,1148639,31.89,1.03,67.08
2osame,9_Q,0,154836,230236,52936,67564,0,35352,1980,215,0,17447,1151738,31.72,1.02,67.26
2osame,T_Q,0,149600,229381,52746,68369,0,35352,1980,257,0,17090,1157529,31.4,1.0,67.6
2osame,J_Q,0,152592,230804,52936,63196,0,35352,1980,257,0,17266,1157921,31.37,1.01,67.62
2osame,Q_Q,0,0,67592,45220,70080,0,27396,1978,300,0,8181,1491557,12.41,0.48,87.11
2osame,Q_K,0,158576,233082,53316,70912,0,35352,1980,300,0,13155,1145631,32.33,0.77,66.91
2osame,Q_A,0,164560,235360,53696,70912,0,35352,1980,258,0,9446,1140740,32.83,0.55,66.62
2osame,2_K,0,148104,162517,29090,64999,12404,19359,990,258,0,41145,1233438,25.56,2.4,72.03
2osame,3_K,0,215908,248664,53790,59559,12446,36042,1980,215,0,14480,1069220,36.71,0.85,62.44
2osame,4_K,0,213104,247241,53600,57764,12489,36042,1980,172,0,14280,1075632,36.35,0.83,62.82
2osame,5_K,0,210300,245818,53410,55969,12532,36042,1980,129,0,14080,1082044,35.99,0.82,63.19
2osame,7_K,0,164560,233369,53506,59856,0,35352,1980,129,0,13166,1150386,32.05,0.77,67.18
2osame,8_K,0,164560,233369,53506,65769,0,35352,1980,172,0,13148,1144448,32.4,0.77,66.84
2osame,9_K,0,160820,232514,53316,67564,0,35352,1980,215,0,13140,1147403,32.22,0.77,67.01
2osame,T_K,0,155584,231659,53126,68369,0,35352,1980,257,0,12991,1152986,31.91,0.76,67.34
2osame,J_K,0,158576,233082,53316,63196,0,35352,1980,257,0,13167,1153378,31.87,0.77,67.36
2osame,Q_K,0,158576,233082,53316,70912,0,35352,1980,300,0,13155,1145631,32.33,0.77,66.91
2osame,K_K,0,0,67592,45220,70080,0,27396,1978,300,0,8415,1491323,12.41,0.49,87.09
2osame,K_A,0,166056,235360,53696,70912,0,35352,1980,258,0,9677,1139013,32.92,0.57,66.52
2osame,2_A,0,148852,162517,29090,64999,12404,19359,990,215,0,22314,1251564,25.6,1.3,73.09
2osame,3_A,0,206932,243534,52508,59559,12446,36042,1980,172,0,10647,1088484,35.81,0.62,63.57
2osame,4_A,0,203380,242111,52318,57764,12489,36042,1980,129,0,10447,1095644,35.4,0.61,63.99
2osame,5_A,0,200576,240688,52128,55969,12532,36042,1980,86,0,10247,1102056,35.04,0.6,64.36
