type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2osame,2_3,199980,606394,305504,59108,16422,12494,20637,1364,43,44,48317,441997,71.37,2.82,25.81
2osame,3_3,0,154836,245440,45220,23254,12452,33486,2353,43,44,17178,1177998,30.2,1.0,68.8
2osame,3_4,99000,426128,301042,67160,24956,12410,36816,2317,43,44,15824,726564,56.64,0.92,42.43
2osame,3_5,96030,423120,300178,67160,24956,12368,36816,2317,43,44,15569,733703,56.24,0.91,42.85
2osame,3_6,93060,430764,309354,68586,26042,12369,36816,2317,43,44,14888,718021,57.2,0.87,41.93
2osame,3_7,90090,435236,317215,69822,22343,12369,36816,2317,43,44,14766,711243,57.6,0.86,41.54
2osame,3_8,99990,447096,317962,70204,28264,12411,36816,2317,43,44,14747,682410,59.29,0.86,39.85
2osame,3_9,99990,442976,316107,70014,26469,12453,36816,2317,0,44,14548,690570,58.82,0.85,40.33
2osame,3_T,106920,443376,314360,69824,24432,12538,36816,2317,0,0,14591,687130,59.02,0.85,40.13
2osame,3_J,109890,446384,314144,69824,24432,12580,36816,2317,0,0,14822,681095,59.36,0.87,39.78
2osame,3_Q,112860,449392,314036,69824,24432,12622,36816,2317,0,0,15053,674952,59.7,0.88,39.42
2osame,3_A,0,213380,245876,52650,24815,0,36126,1980,44,0,11262,1126171,33.57,0.66,65.77
2osame,2_4,196020,603628,304532,59108,16422,12494,20637,1364,43,44,47836,450176,70.92,2.79,26.29
2osame,3_4,99000,426128,301042,67160,24956,12452,36816,2317,43,44,15616,726730,56.65,0.91,42.44
2osame,4_4,0,154088,235252,45220,23254,12410,33462,2353,43,44,15116,1191062,29.56,0.88,69.56
2osame,4_5,90090,409960,296604,66588,24956,12368,36816,2317,43,44,15168,757350,54.88,0.89,44.23
2osame,4_6,87120,417604,305780,68014,26042,12369,36816,2317,43,44,14487,741668,55.84,0.85,43.31
2osame,4_7,84150,422076,313641,69250,22343,12369,36816,2317,43,44,14365,734890,56.24,0.84,42.92
2osame,4_8,94050,433936,314388,69632,28264,12411,36816,2317,43,44,14346,706057,57.93,0.84,41.23
2osame,4_9,99990,442976,315243,70014,26469,12453,36816,2317,0,44,14327,691655,58.77,0.84,40.39
2osame,4_T,103950,440368,313496,69824,24432,12538,36816,2317,0,0,14128,694435,58.62,0.83,40.56
2osame,4_J,106920,443376,313280,69824,24432,12580,36816,2317,0,0,14359,688400,58.96,0.84,40.2
