type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2osame,2_2,0,299200,341038,45220,38686,24625,39114,2318,129,44,22638,899292,46.16,1.32,52.52
2osame,2_3,196020,603628,298292,58084,24138,24583,20616,1328,129,44,77411,408031,71.65,4.52,23.83
2osame,2_4,105930,474748,312673,67094,38585,24541,37506,2285,129,44,20213,628556,62.11,1.18,36.71
2osame,2_5,102960,471740,311809,67094,38585,24499,37506,2285,129,44,19958,635695,61.71,1.17,37.13
2osame,2_6,99990,482744,321411,68520,40419,24500,37506,2285,129,44,19277,615479,62.93,1.13,35.94
2osame,2_7,99990,492456,329698,69756,41325,24542,37506,2285,129,44,19398,595175,64.11,1.13,34.76
2osame,2_8,99990,488896,327735,69566,34185,24584,37506,2285,86,44,19191,608236,63.36,1.12,35.52
2osame,2_9,102960,487036,325880,69376,40106,24668,37506,2285,43,44,18992,603408,63.65,1.11,35.24
2osame,2_T,110880,487436,324133,69186,38069,24754,37506,2285,43,0,19035,598977,63.91,1.11,34.98
2osame,2_J,113850,490444,323917,69186,38069,24796,37506,2285,43,0,19266,592942,64.25,1.13,34.63
2osame,2_K,0,261904,268190,53696,40106,12173,36816,1980,87,0,15053,1022299,39.42,0.88,59.7
2osame,2_A,0,255004,260786,52650,40247,12173,36816,1980,130,0,11031,1041487,38.53,0.64,60.82
2osame,2_4,105930,475308,312877,67094,38593,12452,37506,2285,86,44,19998,640131,61.45,1.17,37.38
2osame,3_4,182160,586464,284709,57638,24138,12410,20607,1328,86,44,71995,470725,68.3,4.2,27.49
2osame,4_4,0,154088,230544,45030,34386,12368,33462,2317,86,44,18935,1181044,29.92,1.11,68.97
2osame,4_5,97020,411900,285242,65286,36939,12326,36816,2285,86,44,19404,744956,55.36,1.13,43.51
2osame,4_6,94050,419544,294418,66712,38773,12327,36816,2285,86,44,18723,728526,56.36,1.09,42.55
2osame,4_7,94050,426456,302279,67948,39679,12369,36816,2285,86,44,18844,711448,57.35,1.1,41.55
2osame,4_8,94050,429816,308825,68994,34185,12411,36816,2285,43,44,18778,706057,57.67,1.1,41.23
2osame,4_9,106920,439816,308257,69186,38311,12495,36816,2285,0,44,18571,679603,59.23,1.08,39.69
2osame,4_T,111870,437208,306510,68996,36274,12581,36816,2285,0,0,18372,681392,59.13,1.07,39.79
2osame,4_J,114840,440216,306294,68996,36274,12623,36816,2285,0,0,18603,675357,59.47,1.09,39.44
2osame,4_K,0,211676,252295,53506,38311,0,36126,1980,44,0,14390,1103976,34.69,0.84,64.47
2osame,4_A,0,207576,245209,52460,38452,0,36126,1980,87,0,10368,1120046,33.98,0.61,65.41
2osame,2_5,102960,472300,312013,67094,38593,12452,37506,2285,86,44,19619,647352,61.05,1.15,37.81
2osame,3_5,178200,583698,283845,57638,24138,12410,20607,1328,86,44,71598,478712,67.86,4.18,27.96
2osame,4_5,97020,411900,285242,65286,36939,12368,36816,2285,86,44,19280,745038,55.36,1.13,43.51
2osame,5_5,0,153340,222480,45030,34386,12326,33438,2317,86,44,16093,1192764,29.4,0.94,69.66
2osame,5_6,88110,406384,290952,66140,38773,12327,36816,2285,86,44,18406,751981,55.01,1.07,43.92
2osame,5_7,88110,413296,298813,67376,39679,12369,36816,2285,86,44,18527,734903,56.0,1.08,42.92
2osame,5_8,88110,416656,305359,68422,34185,12411,36816,2285,43,44,18461,729512,56.32,1.08,42.6
2osame,5_9,100980,426656,304791,68614,38311,12495,36816,2285,0,44,18254,703058,57.87,1.07,41.06
2osame,5_T,111870,437208,305754,68996,36274,12581,36816,2285,0,0,18235,682285,59.09,1.06,39.85
2osame,5_J,111870,421332,305538,68548,36274,12623,36816,2285,0,0,34548,682470,58.13,2.02,39.86
2osame,5_K,0,210180,252295,53506,38311,0,36126,1980,44,0,14011,1105851,34.6,0.82,64.58
2osame,5_A,0,206080,245209,52460,38452,0,36126,1980,87,0,9989,1121921,33.9,0.58,65.52
2osame,2_6,99990,483360,321621,68520,40419,12452,37506,2285,130,44,18869,627108,62.27,1.1,36.62
2osame,3_6,189090,598096,284804,58084,24138,12410,20607,1328,130,44,65304,458269,69.42,3.81,26.76
2osame,4_6,94050,419552,294418,66712,38765,12368,36816,2285,130,44,18530,728634,56.36,1.08,42.55
2osame,5_6,88110,406392,290952,66140,38765,12326,36816,2285,130,44,18337,752007,55.01,1.07,43.92
2osame,6_6,0,151844,215956,45220,39170,12327,33414,2317,130,44,13216,1198666,29.23,0.77,70.0
2osame,6_7,78210,402184,296878,66994,40726,12369,36816,2285,130,44,17706,757962,54.7,1.03,44.27
2osame,6_8,78210,405544,303424,68040,35232,12411,36816,2285,87,44,17640,752571,55.02,1.03,43.95
2osame,6_9,90090,415544,302856,68232,40348,12495,36816,2285,44,44,17433,726117,56.58,1.02,42.41
2osame,6_T,100980,410976,303819,68166,38311,12581,36816,2285,44,0,32982,705344,56.88,1.93,41.19
2osame,6_J,106920,398432,306313,67842,38311,12623,36816,2285,44,0,44183,698535,56.62,2.58,40.8
2osame,6_K,0,212244,253718,53696,40348,0,36126,1980,88,0,13128,1100976,34.94,0.77,64.3
2osame,6_A,0,215804,255141,53886,40278,0,36126,1980,131,0,9239,1099719,35.24,0.54,64.22
2osame,2_7,99990,493120,329914,69756,41317,12452,37506,2285,172,44,18964,606784,63.46,1.11,35.44
2osame,3_7,198990,612494,286399,58530,24138,12410,20607,1328,172,44,67223,429969,70.96,3.93,25.11
2osame,4_7,94050,426472,302279,67948,39663,12368,36816,2285,172,44,18625,711582,57.36,1.09,41.56
2osame,5_7,88110,413312,298813,67376,39663,12326,36816,2285,172,44,18432,734955,56.0,1.08,42.92
2osame,6_7,78210,402192,296878,66994,40718,12327,36816,2285,172,44,17672,757996,54.7,1.03,44.27
2osame,7_7,0,151096,210404,45410,42480,12369,33390,2317,172,44,11894,1202728,29.07,0.69,70.24
2osame,7_8,72270,400064,303020,67848,30059,12411,36816,2285,129,44,17782,769576,54.02,1.04,44.94
2osame,7_9,78210,391180,302452,67592,41153,12495,36816,2285,86,44,32387,747604,54.45,1.89,43.66
2osame,7_T,88110,376784,303415,67078,39116,12581,36816,2285,86,0,43400,742633,54.1,2.53,43.37
2osame,7_J,94050,357436,305909,66306,39116,12623,36816,2285,86,0,51577,746100,53.41,3.01,43.57
2osame,7_K,0,215056,255141,53886,41153,0,36126,1980,130,0,13270,1095562,35.24,0.77,63.98
2osame,7_A,0,215624,255141,53886,41145,0,36126,1980,173,0,9201,1099028,35.28,0.54,64.18
2osame,2_8,99990,489568,327951,69566,34161,12452,37506,2285,172,44,18766,619843,62.7,1.1,36.2
2osame,3_8,208890,622584,286867,58786,22335,12410,20607,1328,172,44,68982,409299,72.07,4.03,23.9
2osame,4_8,94050,429832,308825,68994,34161,12368,36816,2285,172,44,18560,706197,57.67,1.08,41.24
2osame,5_8,88110,416672,305359,68422,34161,12326,36816,2285,172,44,18367,729570,56.32,1.07,42.61
2osame,6_8,78210,405552,303424,68040,35216,12327,36816,2285,172,44,17607,752611,55.02,1.03,43.95
2osame,7_8,72270,400064,303020,67848,30051,12369,36816,2285,172,44,17775,769590,54.02,1.04,44.94
2osame,8_8,0,147356,204401,45410,35270,12411,33366,2317,129,44,10513,1221087,28.07,0.61,71.31
2osame,8_9,78210,357428,294076,65650,34326,12495,36816,2285,86,44,42692,788196,51.48,2.49,46.03
2osame,8_T,88110,336228,295039,65136,32289,12581,36816,2285,86,0,49477,794257,50.73,2.89,46.39
2osame,8_J,94050,315368,297533,63468,32289,12623,36816,2285,86,0,52054,805732,49.9,3.04,47.06
2osame,8_K,0,218616,256564,54076,34115,0,36126,1980,130,0,13432,1097265,35.13,0.78,64.08
2osame,8_A,0,215624,255141,53886,34169,0,36126,1980,173,0,9183,1106022,34.87,0.54,64.59
2osame,2_9,102960,487708,326096,69376,40074,12452,37506,2285,215,44,18570,615018,63.0,1.08,35.92
2osame,3_9,212850,620294,285200,58596,20532,12410,20607,1328,215,44,76484,403744,71.95,4.47,23.58
2osame,4_9,106920,439840,308257,69186,38271,12368,36816,2285,215,44,18364,679738,59.23,1.07,39.7
2osame,5_9,100980,426680,304791,68614,38271,12326,36816,2285,215,44,18171,703111,57.88,1.06,41.06
2osame,6_9,90090,415560,302856,68232,40316,12327,36816,2285,215,44,17411,726152,56.58,1.02,42.41
2osame,7_9,78210,391188,302452,67592,41129,12369,36816,2285,215,44,32391,747613,54.45,1.89,43.66
2osame,8_9,78210,357428,294076,65650,34318,12411,36816,2285,172,44,42695,788199,51.48,2.49,46.03
2osame,9_9,0,143616,198802,45220,38686,12495,33342,2317,129,44,9304,1228349,27.72,0.54,71.74
2osame,9_T,88110,293624,285348,61724,38351,12581,36816,2285,129,0,48648,844688,47.83,2.84,49.33
2osame,9_J,94050,272764,287842,60056,38351,12623,36816,2285,129,0,49265,858123,47.01,2.88,50.12
2osame,9_K,0,208296,247623,52840,40177,0,36126,1980,173,0,13283,1111806,34.29,0.78,64.93
2osame,9_A,0,216372,255141,53886,40020,0,36126,1980,216,0,9167,1099396,35.26,0.54,64.21
2osame,2_T,110880,488108,324349,69186,38029,12452,37506,2285,215,44,18620,610630,63.25,1.09,35.66
2osame,3_T,222750,620022,283641,58406,18487,12410,20607,1328,215,44,76516,397878,72.29,4.47,23.24
2osame,4_T,111870,437232,306510,68996,36226,12368,36816,2285,215,44,18172,681570,59.13,1.06,39.8
2osame,5_T,111870,437232,305754,68996,36226,12326,36816,2285,215,44,18159,682381,59.09,1.06,39.85
2osame,6_T,100980,410992,303819,68166,38271,12327,36816,2285,215,44,32967,705422,56.88,1.93,41.2
2osame,7_T,88110,376792,303415,67078,39084,12369,36816,2285,215,44,43411,742685,54.09,2.54,43.37
2osame,8_T,88110,336228,295039,65136,32273,12411,36816,2285,172,44,49487,794303,50.72,2.89,46.39
2osame,9_T,88110,293624,285348,61724,38343,12495,36816,2285,129,44,48655,844731,47.83,2.84,49.33
2osame,T_T,0,139876,194175,45030,33902,12581,33318,2317,129,0,8629,1242347,26.94,0.5,72.55
2osame,T_J,97020,230568,276944,56070,36517,12623,36816,2285,129,0,45858,917474,43.74,2.68,53.58
2osame,T_K,0,195164,237259,51414,38343,0,36126,1980,173,0,13380,1138465,32.73,0.78,66.49
2osame,T_A,0,203240,244777,52460,38186,0,36126,1980,216,0,9264,1126055,33.7,0.54,65.76
2osame,2_J,113850,491116,324133,69186,38029,12452,37506,2285,215,44,18851,604637,63.59,1.1,35.31
2osame,3_J,226710,622788,283425,58406,18487,12410,20607,1328,215,44,76729,391155,72.68,4.48,22.84
2osame,4_J,114840,440240,306294,68996,36226,12368,36816,2285,215,44,18403,675577,59.47,1.07,39.45
2osame,5_J,111870,421356,305538,68548,36226,12326,36816,2285,215,44,34472,682608,58.12,2.01,39.86
2osame,6_J,106920,398448,306313,67842,38271,12327,36816,2285,215,44,44168,698655,56.62,2.58,40.8
2osame,7_J,94050,357444,305909,66306,39084,12369,36816,2285,215,44,51588,746194,53.41,3.01,43.58
2osame,8_J,94050,315368,297533,63468,32273,12411,36816,2285,172,44,52064,805820,49.9,3.04,47.06
2osame,9_J,94050,272764,287842,60056,38343,12495,36816,2285,129,44,49272,858208,47.0,2.88,50.12
2osame,T_J,97020,230568,276944,56070,36517,12581,36816,2285,129,0,45858,917516,43.74,2.68,53.58
2osame,J_J,0,140624,191943,45030,33902,12623,33294,2317,129,0,8611,1243831,26.86,0.5,72.64
2osame,J_K,0,196660,237259,51414,38343,0,36126,1980,173,0,13611,1136738,32.82,0.79,66.39
2osame,J_A,0,204736,244777,52460,38186,0,36126,1980,216,0,9495,1124328,33.78,0.55,65.66
2osame,2_Q,0,212136,178040,28900,19542,12452,20007,990,215,44,875894,364084,27.58,51.15,21.26
2osame,3_Q,0,0,0,0,0,12410,0,0,215,44,1686966,12669,0.74,98.52,0.74
2osame,4_Q,0,140624,146763,28710,17739,12368,18930,990,215,44,869812,476109,21.4,50.8,27.81
2osame,5_Q,0,139876,146763,28710,17739,12326,18930,990,215,44,767219,579492,21.35,44.81,33.84
