type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2osame,2_2,0,294712,330130,45220,61834,24789,39114,2246,301,44,32556,881358,46.63,1.9,51.47
2osame,2_3,99990,501878,320215,64854,61733,24747,38196,2221,301,44,37496,560629,65.07,2.19,32.74
2osame,2_4,103950,499458,317928,64664,59930,24705,38196,2221,301,44,37303,563604,64.91,2.18,32.91
2osame,2_5,184140,574998,264824,53476,39570,24705,20556,1256,301,44,142604,405830,67.97,8.33,23.7
2osame,2_6,107910,467550,309106,65710,59969,24748,37506,2221,258,44,36665,600617,62.78,2.14,35.08
2osame,2_7,111870,474654,315970,66756,59828,24832,37506,2221,215,44,36598,581810,63.88,2.14,33.98
2osame,2_8,110880,471094,314007,66566,59898,24917,37506,2221,172,44,36391,588608,63.5,2.13,34.38
2osame,2_9,110880,471456,313575,66566,59158,25002,37506,2221,129,44,36750,589017,63.45,2.15,34.4
2osame,2_J,0,251792,266640,53316,59664,12421,36816,1980,173,0,41271,988231,39.88,2.41,57.71
2osame,2_Q,0,254604,268063,53506,61459,12421,36816,1980,216,0,18435,1004804,40.24,1.08,58.68
2osame,2_K,0,257416,269486,53696,63254,12421,36816,1980,259,0,13991,1002985,40.61,0.82,58.58
2osame,2_A,0,250516,261974,52650,63395,12421,36816,1980,302,0,9969,1022281,39.72,0.58,59.7
2osame,2_3,99990,501870,320215,64854,61741,24832,38196,2221,258,44,37489,560594,65.07,2.19,32.74
2osame,3_3,0,291720,322947,45030,57534,24790,39066,2246,258,44,27363,901306,45.76,1.6,52.64
2osame,3_4,103950,486898,307697,63428,58284,24748,38196,2221,258,44,37150,589430,63.41,2.17,34.42
2osame,3_5,174240,560600,260889,53030,39570,24748,20556,1256,258,44,140015,437098,66.3,8.18,25.53
2osame,3_6,107910,457830,299307,64474,58323,24791,37506,2221,215,44,36512,623171,61.47,2.13,36.39
2osame,3_7,111870,464934,306171,65520,58182,24875,37506,2221,172,44,36445,604364,62.58,2.13,35.3
2osame,3_8,115830,472786,313143,66566,58041,24960,37506,2221,129,44,36379,584699,63.73,2.12,34.15
2osame,3_9,114840,469596,311288,66376,57363,25045,37506,2221,86,44,36550,591389,63.33,2.13,34.54
2osame,3_J,0,248420,265217,53126,57869,12464,36816,1980,130,0,41827,994455,39.48,2.44,58.08
2osame,3_Q,0,251232,266640,53316,59664,12464,36816,1980,173,0,18235,1011784,39.85,1.06,59.09
2osame,3_K,0,254044,268063,53506,61459,12464,36816,1980,216,0,13791,1009965,40.21,0.81,58.98
2osame,3_A,0,247144,260551,52460,61600,12464,36816,1980,259,0,9769,1029261,39.32,0.57,60.11
2osame,2_4,103950,499442,317928,64664,59946,24875,38196,2221,215,44,37289,563534,64.91,2.18,32.91
2osame,3_4,103950,486890,307697,63428,58292,24833,38196,2221,215,44,37143,589395,63.41,2.17,34.42
2osame,4_4,0,288728,316340,44840,53234,24791,39018,2246,215,44,22746,920102,44.94,1.33,53.73
2osame,4_5,164340,546202,257062,52584,39570,24791,20556,1256,215,44,137426,468258,64.63,8.03,27.35
2osame,4_6,107910,448110,289616,63238,56677,24834,37506,2221,172,44,36359,645617,60.17,2.12,37.7
2osame,4_7,111870,455214,296480,64284,56536,24918,37506,2221,129,44,36292,626810,61.27,2.12,36.61
2osame,4_8,115830,463066,303452,65330,56395,25003,37506,2221,86,44,36226,607145,62.43,2.12,35.46
2osame,4_9,119790,471108,310532,66376,55686,25088,37506,2221,43,44,36538,587372,63.56,2.13,34.3
2osame,4_J,0,245048,263794,52936,56074,12507,36816,1980,87,0,41627,1001435,39.08,2.43,58.48
2osame,4_Q,0,247860,265217,53126,57869,12507,36816,1980,130,0,18035,1018764,39.45,1.05,59.5
2osame,4_K,0,250672,266640,53316,59664,12507,36816,1980,173,0,13591,1016945,39.82,0.79,59.39
2osame,4_A,0,243772,259128,52270,59805,12507,36816,1980,216,0,9569,1036241,38.92,0.56,60.52
2osame,2_6,107910,468142,309316,65710,59969,12368,37506,2221,216,44,36589,612313,62.1,2.14,35.76
2osame,3_6,107910,458390,299511,64474,58315,12326,37506,2221,216,44,36443,634948,60.79,2.13,37.08
2osame,4_6,107910,448638,289814,63238,56661,12284,37506,2221,216,44,36297,657475,59.48,2.12,38.4
2osame,5_6,169290,548968,249442,52584,37767,12284,20547,1256,216,44,126802,493104,63.8,7.41,28.8
2osame,6_6,0,148852,209105,44650,53718,12327,33414,2245,173,44,18162,1189614,29.46,1.06,69.47
2osame,6_7,106920,394470,268166,61812,56919,12411,36816,2221,130,44,35506,736889,54.89,2.07,43.03
2osame,6_8,110880,398774,274712,62858,56778,12496,36816,2221,87,44,35440,721198,55.81,2.07,42.12
2osame,6_9,114840,362436,281366,62560,56069,12581,36816,2221,44,44,78676,704651,54.25,4.59,41.15
2osame,6_J,0,200068,249674,52936,56246,0,36126,1980,88,0,24650,1090536,34.87,1.44,63.69
2osame,6_Q,0,200068,249674,52936,58103,0,36126,1980,131,0,17202,1096084,34.98,1.0,64.01
2osame,6_K,0,202880,251097,53126,59898,0,36126,1980,174,0,12758,1094265,35.35,0.75,63.91
2osame,6_A,0,206440,252520,53316,59828,0,36126,1980,217,0,8869,1093008,35.65,0.52,63.83
2osame,2_7,111870,475294,316186,66756,59812,12368,37506,2221,259,44,36504,593484,63.21,2.13,34.66
2osame,3_7,111870,465542,306381,65520,58158,12326,37506,2221,259,44,36358,616119,61.89,2.12,35.98
2osame,4_7,111870,455790,296684,64284,56504,12284,37506,2221,259,44,36212,638646,60.59,2.11,37.3
2osame,5_7,179190,559058,249802,52840,35964,12284,20547,1256,259,44,128541,472519,64.9,7.51,27.6
2osame,6_7,106920,394478,268166,61812,56903,12327,36816,2221,216,44,35480,736921,54.89,2.07,43.04
2osame,7_7,0,144364,203570,44650,53718,12411,33390,2245,173,44,15032,1202707,28.88,0.88,70.24
2osame,7_8,106920,346886,266228,60468,56919,12496,36816,2221,130,44,76861,746315,51.93,4.49,43.59
