type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2osame,2_2,0,297704,352082,45220,42986,24983,39174,2390,172,44,11007,896542,47.0,0.64,52.36
2osame,2_3,105930,510768,340830,67352,42034,24941,38256,2349,172,44,10654,568974,66.15,0.62,33.23
2osame,2_4,109890,507600,338543,67162,40231,24899,38256,2349,172,44,10461,572697,65.94,0.61,33.45
2osame,2_5,113850,505180,336364,66972,38428,24857,38256,2349,172,44,10268,575564,65.79,0.6,33.61
2osame,2_6,206910,618026,339187,59554,8706,24815,20676,1400,172,44,53667,379147,74.72,3.13,22.14
2osame,2_7,114840,490288,334169,69634,38459,24773,37566,2349,215,44,9393,590574,64.96,0.55,34.49
2osame,2_8,106920,485768,333629,69634,40324,24773,37566,2349,215,44,9131,601951,64.31,0.53,35.15
2osame,2_9,102960,487620,334620,69824,42127,24815,37566,2349,215,44,9300,600864,64.37,0.54,35.09
2osame,2_T,99990,484604,334296,69824,40903,24857,37566,2349,215,0,9281,608419,63.93,0.54,35.53
2osame,2_J,99990,488716,335503,70014,35738,24899,37566,2349,215,0,9450,607864,63.95,0.55,35.5
2osame,2_Q,99990,488716,335395,70014,43454,24941,37566,2349,215,0,9439,600225,64.4,0.55,35.05
2osame,2_K,102960,491724,335395,70014,43454,24983,37566,2349,215,0,9670,593974,64.75,0.56,34.69
2osame,2_3,105930,510768,340830,67352,42042,25025,38256,2349,129,44,10647,568932,66.15,0.62,33.23
2osame,3_3,0,293964,340291,45030,38686,24983,39126,2390,129,44,10422,917239,45.82,0.61,53.57
2osame,3_4,109890,494480,328312,65926,38585,24941,38256,2349,129,44,10308,599084,64.41,0.6,34.99
2osame,3_5,113850,492060,326133,65736,36782,24899,38256,2349,129,44,10115,601951,64.25,0.59,35.15
2osame,3_6,197010,603628,334676,59108,8706,24857,20676,1400,129,44,51654,410416,73.01,3.02,23.97
2osame,3_7,114840,480008,324370,68398,36813,24815,37566,2349,172,44,9240,613689,63.62,0.54,35.84
2osame,3_8,111870,486712,332765,69634,38467,24815,37566,2349,172,44,9119,598791,64.5,0.53,34.97
2osame,3_9,106920,485012,332333,69634,40332,24857,37566,2349,172,44,9100,603985,64.2,0.53,35.27
2osame,3_T,103950,481996,332009,69634,39108,24899,37566,2349,172,0,9081,611540,63.76,0.53,35.71
2osame,3_J,103950,486108,333216,69824,33943,24941,37566,2349,172,0,9250,610985,63.78,0.54,35.68
2osame,3_Q,103950,486108,333108,69824,41659,24983,37566,2349,172,0,9239,603346,64.22,0.54,35.24
2osame,3_K,106920,489116,333108,69824,41659,25025,37566,2349,172,0,9470,597095,64.58,0.55,34.87
2osame,2_4,109890,507592,338543,67162,40247,25068,38256,2349,86,44,10447,572620,65.95,0.61,33.44
2osame,3_4,109890,494472,328312,65926,38593,25026,38256,2349,86,44,10301,599049,64.41,0.6,34.98
2osame,4_4,0,290972,329652,44840,34386,24984,39078,2390,86,44,9837,936035,44.76,0.57,54.67
2osame,4_5,113850,479500,316010,64500,35136,24942,38256,2349,86,44,9962,627669,62.76,0.58,36.66
2osame,4_6,187110,589230,330273,58662,8706,24900,20676,1400,86,44,49641,441576,71.31,2.9,25.79
2osame,4_7,114840,470288,314679,67162,35167,24858,37566,2349,129,44,9087,636135,62.32,0.53,37.15
2osame,4_8,111870,476992,323074,68398,36821,24858,37566,2349,129,44,8966,621237,63.2,0.52,36.28
2osame,4_9,111870,486704,331577,69634,38475,24900,37566,2349,129,44,9088,599968,64.43,0.53,35.04
2osame,4_T,107910,480136,329830,69444,37313,24942,37566,2349,129,0,8881,613804,63.63,0.52,35.85
2osame,4_J,107910,484248,331037,69634,32148,24984,37566,2349,129,0,9050,613249,63.66,0.53,35.81
2osame,4_Q,107910,484248,330929,69634,39864,25026,37566,2349,129,0,9039,605610,64.1,0.53,35.37
2osame,4_K,110880,487256,330929,69634,39864,25068,37566,2349,129,0,9270,599359,64.46,0.54,35.0
2osame,2_5,113850,505164,336364,66972,38452,25111,38256,2349,43,44,10247,575452,65.79,0.6,33.61
2osame,3_5,113850,492044,326133,65736,36798,25069,38256,2349,43,44,10101,601881,64.26,0.59,35.15
2osame,4_5,113850,479492,316010,64500,35144,25027,38256,2349,43,44,9955,627634,62.76,0.58,36.65
2osame,5_5,0,287980,320165,44650,30086,24985,39030,2390,43,44,9252,953679,43.76,0.54,55.7
2osame,5_6,177210,574832,325978,58216,8706,24943,20676,1400,43,44,47628,472628,69.62,2.78,27.6
2osame,5_7,114840,460568,305096,65926,33521,24901,37566,2349,86,44,8934,658473,61.02,0.52,38.46
2osame,5_8,111870,467272,313491,67162,35175,24901,37566,2349,86,44,8813,643575,61.9,0.51,37.59
2osame,5_9,111870,476984,321994,68398,36829,24943,37566,2349,86,44,8935,622306,63.13,0.52,36.34
2osame,5_T,111870,481828,329182,69444,35698,24985,37566,2349,86,0,8869,610427,63.83,0.52,35.65
2osame,5_J,111870,482388,328966,69444,30353,25027,37566,2349,86,0,8850,615405,63.54,0.52,35.94
2osame,5_Q,111870,482388,328858,69444,38069,25069,37566,2349,86,0,8839,607766,63.99,0.52,35.49
2osame,5_K,114840,485396,328858,69444,38069,25111,37566,2349,86,0,9070,601515,64.34,0.53,35.13
2osame,2_7,114840,490904,334385,69634,38483,12579,37566,2349,43,44,9333,602144,64.29,0.55,35.17
2osame,3_7,114840,480584,324580,68398,36829,12537,37566,2349,43,44,9187,625347,62.94,0.54,36.52
2osame,4_7,114840,470832,314883,67162,35175,12495,37566,2349,43,44,9041,647874,61.64,0.53,37.84
2osame,5_7,114840,461080,305294,65926,33521,12453,37566,2349,43,44,8895,670293,60.33,0.52,39.15
2osame,6_7,178200,574832,316258,58216,8706,12411,20667,1400,43,44,38499,503028,68.37,2.25,29.38
2osame,7_7,0,154836,211688,44840,30570,12369,33450,2389,86,44,7685,1214347,28.63,0.45,70.92
2osame,7_8,100980,415088,289526,65734,35566,12369,36876,2349,86,44,7875,745811,55.98,0.46,43.56
2osame,7_9,100980,422000,297603,66970,37220,12411,36876,2349,86,44,7997,727768,57.03,0.47,42.5
2osame,7_T,100980,424044,304365,68016,36089,12453,36876,2349,86,0,7931,719115,57.54,0.46,42.0
2osame,7_J,100980,431524,312658,69252,32390,12495,36876,2349,86,0,8053,705641,58.32,0.47,41.21
2osame,7_Q,110880,443384,313837,69634,38311,12537,36876,2349,86,0,8034,676376,60.03,0.47,39.5
