type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2osame,2_2,0,298452,337061,45410,58418,24814,39138,2282,301,44,26540,879844,47.07,1.55,51.38
2osame,2_3,86130,510470,334218,67242,57466,24772,38220,2253,301,44,25809,565379,65.47,1.51,33.02
2osame,2_4,89100,508050,331931,67052,55663,24730,38220,2253,301,44,25616,569344,65.25,1.5,33.25
2osame,2_5,93060,505630,329752,66862,53860,24688,38220,2253,301,44,25423,572211,65.1,1.48,33.42
2osame,2_6,198990,607190,282559,56610,31854,24731,20586,1292,301,44,110497,377650,71.49,6.45,22.06
2osame,2_7,106920,483310,321749,68290,53899,24773,37530,2253,258,44,24929,588349,64.18,1.46,34.36
2osame,2_8,106920,479002,319786,68100,53969,24857,37530,2253,215,44,24722,594906,63.81,1.44,34.74
2osame,2_9,106920,478994,319354,68100,53977,24942,37530,2253,172,44,24703,595315,63.79,1.44,34.77
2osame,2_T,107910,478608,319030,68100,52995,25028,37530,2253,172,0,25062,595616,63.75,1.46,34.78
2osame,2_Q,0,273088,270350,54144,55538,12404,36840,1980,216,0,43627,964117,41.15,2.55,56.31
2osame,2_K,0,261536,271773,53886,57333,12404,36840,1980,259,0,28151,988142,40.65,1.64,57.71
2osame,2_A,0,261356,272341,53886,59128,12404,36840,1980,302,0,9450,1004617,40.78,0.55,58.67
2osame,2_3,86130,510462,334218,67242,57474,24856,38220,2253,258,44,25802,565345,65.48,1.51,33.02
2osame,3_3,0,295460,328726,45220,54118,24814,39090,2282,258,44,22499,899793,46.14,1.31,52.55
2osame,3_4,89100,495490,321700,65816,54017,24772,38220,2253,258,44,25463,595171,63.75,1.49,34.76
2osame,3_5,93060,493070,319521,65626,52214,24730,38220,2253,258,44,25270,598038,63.6,1.48,34.93
2osame,3_6,189090,592792,278480,56164,31854,24773,20586,1292,258,44,108052,408919,69.81,6.31,23.88
2osame,3_7,106920,473590,311950,67054,52253,24815,37530,2253,215,44,24776,610904,62.88,1.45,35.68
2osame,3_8,110880,480694,318922,68100,52112,24899,37530,2253,172,44,24710,591988,63.98,1.44,34.57
2osame,3_9,109890,477134,317067,67910,52182,24984,37530,2253,129,44,24503,598678,63.61,1.43,34.96
2osame,3_T,110880,476748,316743,67910,51200,25070,37530,2253,129,0,24862,598979,63.57,1.45,34.98
2osame,3_Q,0,270472,268927,53954,53743,12446,36840,1980,173,0,44183,969586,40.8,2.58,56.62
2osame,3_K,0,258164,270350,53696,55538,12446,36840,1980,216,0,28707,994367,40.25,1.68,58.07
2osame,3_A,0,257236,270918,53696,57333,12446,36840,1980,259,0,9250,1012346,40.34,0.54,59.12
2osame,2_4,89100,508034,331931,67052,55679,24899,38220,2253,215,44,25602,569275,65.26,1.5,33.25
2osame,3_4,89100,495482,321700,65816,54025,24857,38220,2253,215,44,25456,595136,63.76,1.49,34.76
2osame,4_4,0,292468,321111,45030,49818,24815,39042,2282,215,44,18890,918589,45.25,1.1,53.65
2osame,4_5,93060,480510,309398,64390,50568,24773,38220,2253,215,44,25117,623756,62.11,1.47,36.43
2osame,4_6,179190,578394,274509,55718,31854,24816,20586,1292,215,44,105607,440079,68.13,6.17,25.7
2osame,4_7,106920,463870,302259,65818,50607,24858,37530,2253,172,44,24623,633350,61.57,1.44,36.99
2osame,4_8,110880,470974,309231,66864,50466,24942,37530,2253,129,44,24557,614434,62.68,1.43,35.88
2osame,4_9,114840,478826,316311,67910,50325,25027,37530,2253,86,44,24491,594661,63.84,1.43,34.73
2osame,4_T,114840,474888,314564,67720,49405,25113,37530,2253,86,0,24662,601243,63.45,1.44,35.11
2osame,4_Q,0,267100,267504,53764,51948,12489,36840,1980,130,0,44739,975810,40.4,2.61,56.99
2osame,4_K,0,254792,268927,53506,53743,12489,36840,1980,173,0,28507,1001347,39.86,1.66,58.48
2osame,4_A,0,253864,269495,53506,55538,12489,36840,1980,216,0,9050,1019326,39.94,0.53,59.53
2osame,2_5,93060,505606,329752,66862,53884,24942,38220,2253,172,44,25402,572107,65.1,1.48,33.41
2osame,3_5,93060,493054,319521,65626,52230,24900,38220,2253,172,44,25256,597968,63.6,1.47,34.92
2osame,4_5,93060,480502,309398,64390,50576,24858,38220,2253,172,44,25110,623721,62.11,1.47,36.43
2osame,5_5,0,289476,314216,44840,45518,24816,38994,2282,172,44,15713,936233,44.41,0.92,54.68
2osame,5_6,169290,563996,270646,55272,31854,24859,20586,1292,172,44,103162,471131,66.46,6.02,27.51
2osame,5_7,106920,454150,292676,64582,48961,24901,37530,2253,129,44,24470,655688,60.28,1.43,38.29
2osame,5_8,110880,461254,299648,65628,48820,24985,37530,2253,86,44,24404,636772,61.39,1.43,37.19
2osame,5_9,114840,469106,306728,66674,48679,25070,37530,2253,43,44,24338,616999,62.55,1.42,36.03
