type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2osame,2_2,0,294712,350227,45030,67518,24989,39234,2390,129,88,10717,877270,48.14,0.63,51.23
2osame,2_3,86130,503900,343784,68014,69201,24947,38316,2349,129,88,10364,565082,66.39,0.61,33.0
2osame,2_4,83160,500892,342920,68014,69201,24905,38316,2349,129,88,10109,572221,65.99,0.59,33.42
2osame,2_5,80190,497884,342164,68014,69201,24863,38316,2349,129,88,9854,579252,65.6,0.58,33.83
2osame,2_6,80190,515872,352306,69440,64934,24821,38316,2349,129,88,9457,554402,67.07,0.55,32.38
2osame,2_7,90090,523060,351630,69632,69044,24779,38316,2349,172,88,9221,533923,68.28,0.54,31.18
2osame,2_8,93060,520640,349775,69442,67241,24779,38316,2349,172,88,9029,537413,68.09,0.53,31.39
2osame,2_9,96030,523648,349451,69442,67241,24821,38316,2349,172,88,9260,531486,68.42,0.54,31.04
2osame,2_T,113850,534016,344862,69538,55458,24863,38316,2349,172,44,9350,519486,69.12,0.55,30.34
2osame,2_J,210870,615736,337952,59364,48754,24905,20676,1400,172,44,38954,353477,77.08,2.27,20.64
2osame,2_Q,112860,496276,329707,69728,57503,24947,37626,2349,172,44,9750,571342,66.06,0.57,33.37
2osame,2_K,108900,498128,331130,69918,59306,24989,37626,2349,172,44,9919,569823,66.14,0.58,33.28
2osame,2_3,86130,503900,343784,68014,69201,24947,38316,2349,129,88,10364,565082,66.39,0.61,33.0
2osame,3_3,0,293216,339859,45030,67518,24905,39186,2390,129,88,10015,889968,47.44,0.58,51.97
2osame,3_4,77220,486604,339346,67442,69201,24863,38316,2349,129,88,9916,596830,64.57,0.58,34.86
2osame,3_5,74250,483596,338590,67442,69201,24821,38316,2349,129,88,9661,603861,64.17,0.56,35.27
2osame,3_6,74250,501584,348732,68868,64934,24779,38316,2349,129,88,9264,579011,65.64,0.54,33.81
2osame,3_7,84150,508772,348056,69060,69044,24737,38316,2349,172,88,9028,558532,66.85,0.53,32.62
2osame,3_8,93060,520640,348911,69442,67241,24737,38316,2349,172,88,9016,538332,68.03,0.53,31.44
2osame,3_9,93060,520640,348587,69442,67241,24779,38316,2349,172,88,9005,538625,68.02,0.53,31.46
2osame,3_T,110880,531008,343998,69538,55458,24821,38316,2349,172,44,9095,526625,68.71,0.53,30.76
2osame,3_J,206910,612970,335684,59364,48754,24863,20676,1400,172,44,38681,362786,76.55,2.26,21.19
2osame,3_Q,109890,493268,328843,69728,57503,24905,37626,2349,172,44,9495,578481,65.66,0.55,33.78
2osame,3_K,105930,495120,330266,69918,59306,24947,37626,2349,172,44,9664,576962,65.74,0.56,33.7
2osame,2_4,83160,500892,342920,68014,69201,24905,38316,2349,129,88,10109,572221,65.99,0.59,33.42
2osame,3_4,77220,486604,339346,67442,69201,24863,38316,2349,129,88,9916,596830,64.57,0.58,34.86
2osame,4_4,0,291720,330643,45030,67518,24821,39138,2390,129,88,9313,901514,46.81,0.54,52.65
2osame,4_5,68310,469308,335124,66870,69201,24779,38316,2349,129,88,9468,628362,62.75,0.55,36.7
2osame,4_6,68310,487296,345266,68296,64934,24737,38316,2349,129,88,9071,603512,64.22,0.53,35.25
2osame,4_7,78210,494484,344590,68488,69044,24695,38316,2349,172,88,8835,583033,65.43,0.52,34.05
2osame,4_8,87120,506352,345445,68870,67241,24695,38316,2349,172,88,8823,562833,66.61,0.52,32.87
2osame,4_9,93060,520640,347831,69442,67241,24737,38316,2349,172,88,8992,539436,67.97,0.53,31.5
