type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2osame,2_2,0,282744,336186,44460,127102,24862,39210,2318,215,88,20621,834498,50.06,1.2,48.74
2osame,2_3,65340,476016,338848,67340,129598,24820,38292,2285,215,88,18211,551251,66.74,1.06,32.19
2osame,2_4,62370,473008,337984,67340,129598,24778,38292,2285,215,88,17956,558390,66.34,1.05,32.61
2osame,2_5,59400,470000,337228,67340,129598,24736,38292,2285,215,88,17701,565421,65.95,1.03,33.02
2osame,2_6,68310,487296,339146,67912,129598,24737,38292,2285,215,88,17265,537160,67.62,1.01,31.37
2osame,2_7,74250,501584,341316,68484,129598,24779,38292,2285,215,88,17433,513980,68.97,1.02,30.02
2osame,2_8,80190,505552,337079,68580,120040,24821,38292,2285,172,88,17281,517924,68.74,1.01,30.25
2osame,2_9,92070,518340,333769,68866,110482,24905,38292,2285,129,88,17515,505563,69.45,1.02,29.53
2osame,2_T,109890,533756,329855,69088,98699,24991,38292,2285,129,44,17957,487318,70.49,1.05,28.46
2osame,2_J,186120,589230,296913,57766,111111,25033,20616,1328,129,44,73985,350029,75.24,4.32,20.44
2osame,2_K,0,433448,266104,62848,110482,12410,36912,1980,173,44,31994,755909,53.99,1.87,44.15
2osame,2_A,0,389000,266242,59558,120040,12410,36912,1980,216,44,31274,794628,51.77,1.83,46.41
2osame,2_3,65340,476016,338848,67340,129598,24820,38292,2285,215,88,18211,551251,66.74,1.06,32.19
2osame,3_3,0,281248,328122,44460,127102,24778,39162,2318,215,88,17615,847196,49.49,1.03,49.48
2osame,3_4,56430,458720,334410,66768,129598,24736,38292,2285,215,88,17763,582999,64.91,1.04,34.05
2osame,3_5,53460,455712,333654,66768,129598,24694,38292,2285,215,88,17508,590030,64.52,1.02,34.46
2osame,3_6,62370,473008,335572,67340,129598,24695,38292,2285,215,88,17072,561769,66.2,1.0,32.81
2osame,3_7,68310,487296,337742,67912,129598,24737,38292,2285,215,88,17240,538589,67.54,1.01,31.45
2osame,3_8,80190,505552,336215,68580,120040,24779,38292,2285,172,88,17268,518843,68.69,1.01,30.3
2osame,3_9,89100,515332,332905,68866,110482,24863,38292,2285,129,88,17260,512702,69.05,1.01,29.94
2osame,3_T,106920,530748,328991,69088,98699,24949,38292,2285,129,44,17702,494457,70.09,1.03,28.88
2osame,3_J,182160,586464,294933,57766,111111,24991,20616,1328,129,44,73424,359338,74.73,4.29,20.99
2osame,3_K,0,430440,266104,62848,110482,12368,36912,1980,173,44,31739,759214,53.81,1.85,44.34
2osame,3_A,0,385992,266242,59558,120040,12368,36912,1980,216,44,31019,797933,51.59,1.81,46.6
2osame,2_4,62370,473008,337984,67340,129598,24778,38292,2285,215,88,17956,558390,66.34,1.05,32.61
2osame,3_4,56430,458720,334410,66768,129598,24736,38292,2285,215,88,17763,582999,64.91,1.04,34.05
2osame,4_4,0,279752,320922,44460,127102,24694,39114,2318,215,88,14897,858742,48.98,0.87,50.15
2osame,4_5,47520,441424,330188,66196,129598,24652,38292,2285,215,88,17315,614531,63.1,1.01,35.89
2osame,4_6,56430,458720,332106,66768,129598,24653,38292,2285,215,88,16879,586270,64.78,0.99,34.24
2osame,4_7,62370,473008,334276,67340,129598,24695,38292,2285,215,88,17047,563090,66.12,1.0,32.88
2osame,4_8,74250,491264,332749,68008,120040,24737,38292,2285,172,88,17075,543344,67.27,1.0,31.73
2osame,4_9,89100,515332,332149,68866,110482,24821,38292,2285,129,88,17247,513513,69.0,1.01,29.99
2osame,4_T,103950,527740,328235,69088,98699,24907,38292,2285,129,44,17447,501488,69.69,1.02,29.29
2osame,4_J,178200,583698,293061,57766,111111,24949,20616,1328,129,44,72863,368539,74.22,4.26,21.52
2osame,4_K,0,427432,266104,62848,110482,12326,36912,1980,173,44,31484,762519,53.63,1.84,44.53
2osame,4_A,0,382984,266242,59558,120040,12326,36912,1980,216,44,30764,801238,51.41,1.8,46.79
2osame,2_5,59400,470000,337228,67340,129598,24736,38292,2285,215,88,17701,565421,65.95,1.03,33.02
2osame,3_5,53460,455712,333654,66768,129598,24694,38292,2285,215,88,17508,590030,64.52,1.02,34.46
2osame,4_5,47520,441424,330188,66196,129598,24652,38292,2285,215,88,17315,614531,63.1,1.01,35.89
2osame,5_5,0,278256,314586,44460,127102,24610,39066,2318,215,88,12467,869136,48.51,0.73,50.76
2osame,5_6,50490,444432,328748,66196,129598,24611,38292,2285,215,88,16686,610663,63.36,0.97,35.66
2osame,5_7,56430,458720,330918,66768,129598,24653,38292,2285,215,88,16854,587483,64.71,0.98,34.31
2osame,5_8,68310,476976,329391,67436,120040,24695,38292,2285,172,88,16882,567737,65.86,0.99,33.16
2osame,5_9,83160,501044,328791,68294,110482,24779,38292,2285,129,88,17054,537906,67.59,1.0,31.41
2osame,5_T,103950,527740,327587,69088,98699,24865,38292,2285,129,44,17434,502191,69.65,1.02,29.33
2osame,5_J,174240,580932,291297,57766,111111,24907,20616,1328,129,44,72302,377632,73.72,4.22,22.05
2osame,5_K,0,424424,266104,62848,110482,12284,36912,1980,173,44,31229,765824,53.45,1.82,44.72
2osame,5_A,0,379976,266242,59558,120040,12284,36912,1980,216,44,30509,804543,51.23,1.78,46.99
2osame,2_6,68310,487296,339146,67912,129598,24779,38292,2285,215,88,17266,537117,67.62,1.01,31.37
2osame,3_6,62370,473008,335572,67340,129598,24737,38292,2285,215,88,17073,561726,66.2,1.0,32.81
2osame,4_6,56430,458720,332106,66768,129598,24695,38292,2285,215,88,16880,586227,64.78,0.99,34.24
2osame,5_6,50490,444432,328748,66196,129598,24653,38292,2285,215,88,16687,610620,63.36,0.97,35.66
2osame,6_6,0,279752,309114,44460,127102,24654,39018,2318,215,88,10306,875277,48.28,0.6,51.12
2osame,6_7,60390,461728,330378,66768,129598,24696,38292,2285,215,88,16095,581771,65.08,0.94,33.98
2osame,6_8,66330,470376,327564,67054,120040,24738,38292,2285,172,88,16123,579242,65.23,0.94,33.83
2osame,6_9,78210,492184,326964,67912,110482,24822,38292,2285,129,88,16295,554641,66.66,0.95,32.39
2osame,6_T,98010,518880,325760,68706,98699,24908,38292,2285,129,44,16675,519916,68.66,0.97,30.36
2osame,6_J,179190,583698,289641,57766,111111,24950,20616,1328,129,44,71237,372594,74.08,4.16,21.76
2osame,6_K,0,427432,266104,62848,110482,12327,36912,1980,173,44,30470,763532,53.63,1.78,44.59
