type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2osame,2_2,0,297704,350227,45030,52086,25073,39258,2390,43,88,11179,889226,47.42,0.65,51.93
2osame,2_3,92070,509916,343784,68014,53769,25031,38340,2349,43,88,10826,568074,66.19,0.63,33.18
2osame,2_4,89100,506908,342920,68014,53769,24989,38340,2349,43,88,10571,575213,65.79,0.62,33.59
2osame,2_5,86130,503900,342164,68014,53769,24947,38340,2349,43,88,10316,582244,65.39,0.6,34.0
2osame,2_6,83160,518880,352306,69440,49502,24905,38340,2349,43,88,9677,563614,66.52,0.57,32.92
2osame,2_7,90090,527740,353053,69822,55415,24863,38340,2349,86,88,9379,541079,67.85,0.55,31.6
2osame,2_8,90090,527740,352621,69822,55415,24863,38340,2349,86,88,9367,541523,67.83,0.55,31.63
2osame,2_9,93060,530748,352297,69822,55415,24905,38340,2349,86,88,9598,535596,68.16,0.56,31.28
2osame,2_T,105930,538856,347708,69918,43632,24947,38340,2349,86,44,9688,530806,68.43,0.57,31.0
2osame,2_J,108900,541864,347708,69918,43632,24989,38340,2349,86,44,9919,524555,68.79,0.58,30.63
2osame,2_Q,111870,544872,347708,69918,43632,25031,38340,2349,86,44,10150,518304,69.14,0.59,30.27
2osame,2_K,218790,621268,337952,59364,48754,25073,20676,1400,86,44,24010,354887,77.87,1.4,20.73
2osame,2_3,92070,509916,343784,68014,53769,25031,38340,2349,43,88,10826,568074,66.19,0.63,33.18
2osame,3_3,0,296208,339859,45030,52086,24989,39210,2390,43,88,10477,901924,46.72,0.61,52.67
2osame,3_4,83160,492620,339346,67442,53769,24947,38340,2349,43,88,10378,599822,64.36,0.61,35.03
2osame,3_5,80190,489612,338590,67442,53769,24905,38340,2349,43,88,10123,606853,63.97,0.59,35.44
2osame,3_6,77220,504592,348732,68868,49502,24863,38340,2349,43,88,9484,588223,65.09,0.55,34.35
2osame,3_7,84150,513452,349479,69250,55415,24821,38340,2349,86,88,9186,565688,66.43,0.54,33.04
2osame,3_8,90090,527740,351757,69822,55415,24821,38340,2349,86,88,9354,542442,67.77,0.55,31.68
2osame,3_9,90090,527740,351433,69822,55415,24863,38340,2349,86,88,9343,542735,67.76,0.55,31.7
2osame,3_T,102960,535848,346844,69918,43632,24905,38340,2349,86,44,9433,537945,68.03,0.55,31.42
2osame,3_J,105930,538856,346844,69918,43632,24947,38340,2349,86,44,9664,531694,68.38,0.56,31.05
2osame,3_Q,108900,541864,346844,69918,43632,24989,38340,2349,86,44,9895,525443,68.74,0.58,30.69
2osame,3_K,214830,618502,335684,59364,48754,25031,20676,1400,86,44,23737,364196,77.34,1.39,21.27
2osame,2_4,89100,506908,342920,68014,53769,24989,38340,2349,43,88,10571,575213,65.79,0.62,33.59
2osame,3_4,83160,492620,339346,67442,53769,24947,38340,2349,43,88,10378,599822,64.36,0.61,35.03
2osame,4_4,0,294712,330643,45030,52086,24905,39162,2390,43,88,9775,913470,46.08,0.57,53.35
2osame,4_5,74250,475324,335124,66870,53769,24863,38340,2349,43,88,9930,631354,62.55,0.58,36.87
2osame,4_6,71280,490304,345266,68296,49502,24821,38340,2349,43,88,9291,612724,63.67,0.54,35.78
2osame,4_7,78210,499164,346013,68678,55415,24779,38340,2349,86,88,8993,590189,65.01,0.53,34.47
2osame,4_8,84150,513452,348291,69250,55415,24779,38340,2349,86,88,9161,566943,66.36,0.54,33.11
2osame,4_9,90090,527740,350677,69822,55415,24821,38340,2349,86,88,9330,543546,67.71,0.54,31.74
2osame,4_T,99990,532840,346088,69918,43632,24863,38340,2349,86,44,9178,544976,67.64,0.54,31.83
2osame,4_J,102960,535848,346088,69918,43632,24905,38340,2349,86,44,9409,538725,67.99,0.55,31.46
2osame,4_Q,105930,538856,346088,69918,43632,24947,38340,2349,86,44,9640,532474,68.34,0.56,31.1
2osame,4_K,210870,615736,333524,59364,48754,24989,20676,1400,86,44,23464,373397,76.82,1.37,21.81
2osame,2_5,86130,503900,342164,68014,53769,24947,38340,2349,43,88,10316,582244,65.39,0.6,34.0
2osame,3_5,80190,489612,338590,67442,53769,24905,38340,2349,43,88,10123,606853,63.97,0.59,35.44
2osame,4_5,74250,475324,335124,66870,53769,24863,38340,2349,43,88,9930,631354,62.55,0.58,36.87
2osame,5_5,0,293216,322579,45030,52086,24821,39114,2390,43,88,9073,923864,45.52,0.53,53.95
2osame,5_6,65340,476016,341908,67724,49502,24779,38340,2349,43,88,9098,637117,62.26,0.53,37.21
2osame,5_7,72270,484876,342655,68106,55415,24737,38340,2349,86,88,8800,614582,63.59,0.51,35.89
2osame,5_8,78210,499164,344933,68678,55415,24737,38340,2349,86,88,8968,591336,64.94,0.52,34.53
2osame,5_9,84150,513452,347319,69250,55415,24779,38340,2349,86,88,9137,567939,66.3,0.53,33.17
2osame,5_T,99990,532840,345440,69918,43632,24821,38340,2349,86,44,9165,545679,67.6,0.54,31.87
2osame,5_J,99990,532840,345440,69918,43632,24863,38340,2349,86,44,9154,545648,67.6,0.53,31.87
2osame,5_Q,102960,535848,345440,69918,43632,24905,38340,2349,86,44,9385,539397,67.95,0.55,31.5
2osame,5_K,206910,612970,331472,59364,48754,24947,20676,1400,86,44,23191,382490,76.31,1.35,22.34
2osame,2_6,83160,518880,352306,69440,49502,24948,38340,2349,43,88,9635,563613,66.52,0.56,32.92
