type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2osame,2_2,0,296208,350227,45030,59802,25031,39246,2390,86,88,10948,883248,47.78,0.64,51.58
2osame,2_3,89100,506908,343784,68014,61485,24989,38328,2349,86,88,10595,566578,66.29,0.62,33.09
2osame,2_4,86130,503900,342920,68014,61485,24947,38328,2349,86,88,10340,573717,65.89,0.6,33.51
2osame,2_5,83160,500892,342164,68014,61485,24905,38328,2349,86,88,10085,580748,65.49,0.59,33.92
2osame,2_6,80190,515872,352306,69440,57218,24863,38328,2349,86,88,9446,562118,66.62,0.55,32.83
2osame,2_7,90090,527740,353053,69822,63131,24821,38328,2349,129,88,9390,533363,68.3,0.55,31.15
2osame,2_8,90090,523060,351198,69632,61328,24821,38328,2349,129,88,9198,542083,67.8,0.54,31.66
2osame,2_9,93060,526068,350874,69632,61328,24863,38328,2349,129,88,9429,536156,68.14,0.55,31.31
2osame,2_T,109890,536436,346285,69728,49545,24905,38328,2349,129,44,9519,525146,68.78,0.56,30.67
2osame,2_J,112860,539444,346285,69728,49545,24947,38328,2349,129,44,9750,518895,69.13,0.57,30.3
2osame,2_Q,214830,618502,337952,59364,48754,24989,20676,1400,129,44,31482,354182,77.48,1.84,20.68
2osame,2_K,111870,501136,331130,69918,51590,25031,37638,2349,129,44,10150,571319,66.04,0.59,33.37
2osame,2_3,89100,506908,343784,68014,61485,24989,38328,2349,86,88,10595,566578,66.29,0.62,33.09
2osame,3_3,0,294712,339859,45030,59802,24947,39198,2390,86,88,10246,895946,47.08,0.6,52.32
2osame,3_4,80190,489612,339346,67442,61485,24905,38328,2349,86,88,10147,598326,64.46,0.59,34.94
2osame,3_5,77220,486604,338590,67442,61485,24863,38328,2349,86,88,9892,605357,64.07,0.58,35.35
2osame,3_6,74250,501584,348732,68868,57218,24821,38328,2349,86,88,9253,586727,65.19,0.54,34.27
2osame,3_7,84150,513452,349479,69250,63131,24779,38328,2349,129,88,9197,557972,66.88,0.54,32.59
2osame,3_8,90090,523060,350334,69632,61328,24779,38328,2349,129,88,9185,543002,67.75,0.54,31.71
2osame,3_9,90090,523060,350010,69632,61328,24821,38328,2349,129,88,9174,543295,67.74,0.54,31.73
2osame,3_T,106920,533428,345421,69728,49545,24863,38328,2349,129,44,9264,532285,68.37,0.54,31.09
2osame,3_J,109890,536436,345421,69728,49545,24905,38328,2349,129,44,9495,526034,68.72,0.55,30.72
2osame,3_Q,210870,615736,335684,59364,48754,24947,20676,1400,129,44,31209,363491,76.95,1.82,21.23
2osame,3_K,108900,498128,330266,69918,51590,24989,37638,2349,129,44,9895,578458,65.64,0.58,33.78
2osame,2_4,86130,503900,342920,68014,61485,24947,38328,2349,86,88,10340,573717,65.89,0.6,33.51
2osame,3_4,80190,489612,339346,67442,61485,24905,38328,2349,86,88,10147,598326,64.46,0.59,34.94
2osame,4_4,0,293216,330643,45030,59802,24863,39150,2390,86,88,9544,907492,46.44,0.56,53.0
2osame,4_5,71280,472316,335124,66870,61485,24821,38328,2349,86,88,9699,629858,62.65,0.57,36.78
2osame,4_6,68310,487296,345266,68296,57218,24779,38328,2349,86,88,9060,611228,63.77,0.53,35.7
2osame,4_7,78210,499164,346013,68678,63131,24737,38328,2349,129,88,9004,582473,65.46,0.53,34.02
2osame,4_8,84150,508772,346868,69060,61328,24737,38328,2349,129,88,8992,567503,66.33,0.53,33.14
2osame,4_9,90090,523060,349254,69632,61328,24779,38328,2349,129,88,9161,544106,67.69,0.54,31.78
2osame,4_T,103950,530420,344665,69728,49545,24821,38328,2349,129,44,9009,539316,67.98,0.53,31.5
2osame,4_J,106920,533428,344665,69728,49545,24863,38328,2349,129,44,9240,533065,68.33,0.54,31.13
2osame,4_Q,206910,612970,333524,59364,48754,24905,20676,1400,129,44,30936,372692,76.43,1.81,21.77
2osame,4_K,105930,495120,329510,69918,51590,24947,37638,2349,129,44,9640,585489,65.24,0.56,34.19
2osame,2_5,83160,500892,342164,68014,61485,24905,38328,2349,86,88,10085,580748,65.49,0.59,33.92
2osame,3_5,77220,486604,338590,67442,61485,24863,38328,2349,86,88,9892,605357,64.07,0.58,35.35
2osame,4_5,71280,472316,335124,66870,61485,24821,38328,2349,86,88,9699,629858,62.65,0.57,36.78
2osame,5_5,0,291720,322579,45030,59802,24779,39102,2390,86,88,8842,917886,45.88,0.52,53.61
2osame,5_6,62370,473008,341908,67724,57218,24737,38328,2349,86,88,8867,635621,62.36,0.52,37.12
2osame,5_7,72270,484876,342655,68106,63131,24695,38328,2349,129,88,8811,606866,64.04,0.51,35.44
2osame,5_8,78210,494484,343510,68488,61328,24695,38328,2349,129,88,8799,591896,64.92,0.51,34.57
2osame,5_9,84150,508772,345896,69060,61328,24737,38328,2349,129,88,8968,568499,66.28,0.52,33.2
2osame,5_T,103950,530420,344017,69728,49545,24779,38328,2349,129,44,8996,540019,67.94,0.53,31.54
2osame,5_J,103950,530420,344017,69728,49545,24821,38328,2349,129,44,8985,539988,67.94,0.52,31.54
2osame,5_Q,202950,610204,331472,59364,48754,24863,20676,1400,129,44,30663,381785,75.91,1.79,22.3
2osame,5_K,102960,492112,328862,69918,51590,24905,37638,2349,129,44,9385,592412,64.85,0.55,34.6
2osame,2_6,80190,515872,352306,69440,57218,24906,38328,2349,86,88,9404,562117,66.62,0.55,32.83
2osame,3_6,74250,501584,348732,68868,57218,24864,38328,2349,86,88,9211,586726,65.2,0.54,34.27
2osame,4_6,68310,487296,345266,68296,57218,24822,38328,2349,86,88,9018,611227,63.78,0.53,35.7
2osame,5_6,62370,473008,341908,67724,57218,24780,38328,2349,86,88,8825,635620,62.36,0.52,37.12
2osame,6_6,0,294712,317090,45220,56386,24738,39054,2390,86,88,7804,924736,45.54,0.46,54.01
2osame,6_7,66330,476016,340828,67724,57218,24696,38328,2349,129,88,8051,630547,62.71,0.47,36.82
2osame,6_8,72270,485624,341683,68106,55415,24696,38328,2349,129,88,8039,615577,63.58,0.47,35.95
2osame,6_9,78210,499912,344069,68678,55415,24738,38328,2349,129,88,8208,592180,64.94,0.48,34.58
2osame,6_T,98010,521560,342190,69346,43632,24780,38328,2349,129,44,8236,563700,66.6,0.48,32.92
2osame,6_J,103950,535848,344900,69918,43632,24822,38328,2349,129,44,8405,539979,67.97,0.49,31.54
2osame,6_Q,198990,612494,330763,59554,42841,24864,20676,1400,129,44,29823,390726,75.44,1.74,22.82
2osame,6_K,99990,494532,329745,70108,45677,24906,37638,2349,129,44,8563,598623,64.54,0.5,34.96
2osame,2_7,90090,527732,353053,69822,63139,24948,38328,2349,86,88,9384,533285,68.31,0.55,31.14
2osame,3_7,84150,513444,349479,69250,63139,24906,38328,2349,86,88,9191,557894,66.88,0.54,32.58
2osame,4_7,78210,499156,346013,68678,63139,24864,38328,2349,86,88,8998,582395,65.46,0.53,34.01
2osame,5_7,72270,484868,342655,68106,63139,24822,38328,2349,86,88,8805,606788,64.05,0.51,35.44
2osame,6_7,66330,476016,340828,67724,57218,24780,38328,2349,86,88,8095,630462,62.71,0.47,36.82
2osame,7_7,0,294712,311330,45220,64102,24738,39006,2390,129,88,7786,922803,45.65,0.45,53.89
