type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2osame,2_2,0,291720,343900,44840,87886,24946,39234,2354,129,88,15981,861226,48.77,0.93,50.3
2osame,2_3,74250,493312,345410,68296,89550,24904,38316,2317,129,88,14343,561389,66.38,0.84,32.79
2osame,2_4,71280,490304,344546,68296,89550,24862,38316,2317,129,88,14088,568528,65.97,0.82,33.2
2osame,2_5,68310,487296,343790,68296,89550,24820,38316,2317,129,88,13833,575559,65.58,0.81,33.61
2osame,2_6,74250,501584,345708,68868,89550,24821,38316,2317,129,88,13155,553518,66.91,0.77,32.33
2osame,2_7,80190,515872,347878,69440,89550,24821,38316,2317,129,88,13322,530381,68.25,0.78,30.97
2osame,2_8,80190,515872,347446,69440,89550,24863,38316,2317,129,88,13311,530782,68.22,0.78,31.0
2osame,2_9,89100,522848,343317,69536,79992,24905,38316,2317,86,88,13401,528398,68.36,0.78,30.86
2osame,2_T,105930,537516,339547,69822,68209,24990,38316,2317,86,44,13635,511892,69.31,0.8,29.89
2osame,2_J,108900,540524,339547,69822,68209,25032,38316,2317,86,44,13866,505641,69.66,0.81,29.53
2osame,2_Q,199980,606394,317168,59108,76976,25074,20646,1364,86,44,49522,355942,76.32,2.89,20.79
2osame,2_A,0,435408,268520,65698,79992,12452,36936,1980,130,44,13606,797538,52.63,0.79,46.58
2osame,2_3,74250,493312,345410,68296,89550,24904,38316,2317,129,88,14343,561389,66.38,0.84,32.79
2osame,3_3,0,290224,334684,44840,87886,24862,39186,2354,129,88,14127,873924,48.14,0.83,51.04
2osame,3_4,65340,476016,340972,67724,89550,24820,38316,2317,129,88,13895,593137,64.55,0.81,34.64
2osame,3_5,62370,473008,340216,67724,89550,24778,38316,2317,129,88,13640,600168,64.15,0.8,35.05
2osame,3_6,68310,487296,342134,68296,89550,24779,38316,2317,129,88,12962,578127,65.48,0.76,33.76
2osame,3_7,74250,501584,344304,68868,89550,24779,38316,2317,129,88,13129,554990,66.82,0.77,32.41
2osame,3_8,80190,515872,346582,69440,89550,24821,38316,2317,129,88,13298,531701,68.17,0.78,31.05
2osame,3_9,86130,519840,342453,69536,79992,24863,38316,2317,86,88,13146,535537,67.96,0.77,31.28
2osame,3_T,102960,534508,338683,69822,68209,24948,38316,2317,86,44,13380,519031,68.91,0.78,30.31
2osame,3_J,105930,537516,338683,69822,68209,24990,38316,2317,86,44,13611,512780,69.26,0.79,29.95
2osame,3_Q,196020,603628,315044,59108,76976,25032,20646,1364,86,44,49105,365251,75.8,2.87,21.33
2osame,3_A,0,432400,268520,65698,79992,12410,36936,1980,130,44,13351,800843,52.45,0.78,46.77
2osame,2_4,71280,490304,344546,68296,89550,24862,38316,2317,129,88,14088,568528,65.97,0.82,33.2
