type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2osame,2_2,0,293216,350227,45030,75234,24947,39222,2390,172,88,10486,871292,48.5,0.61,50.88
2osame,2_3,83160,500892,343784,68014,76917,24905,38304,2349,172,88,10133,563586,66.49,0.59,32.91
2osame,2_4,80190,497884,342920,68014,76917,24863,38304,2349,172,88,9878,570725,66.09,0.58,33.33
2osame,2_5,80190,497884,342164,68014,76917,24821,38304,2349,172,88,9865,571536,66.05,0.58,33.38
2osame,2_6,80190,511192,350883,69250,70847,24779,38304,2349,172,88,9288,554962,67.05,0.54,32.41
2osame,2_7,93060,520640,350207,69442,74957,24737,38304,2349,215,88,9052,529253,68.56,0.53,30.91
2osame,2_8,97020,518220,348352,69252,73154,24737,38304,2349,215,88,8860,531753,68.43,0.52,31.05
2osame,2_9,99990,521228,348028,69252,73154,24779,38304,2349,215,88,9091,525826,68.76,0.53,30.71
2osame,2_T,206910,612970,337952,59364,48754,24821,20676,1400,215,44,46426,352772,76.69,2.71,20.6
2osame,2_J,113850,491416,328284,69538,63416,24863,37614,2349,215,44,9350,571365,66.09,0.55,33.37
2osame,2_Q,109890,493268,329707,69728,65219,24905,37614,2349,215,44,9519,569846,66.16,0.56,33.28
2osame,2_K,105930,495120,331130,69918,67022,24947,37614,2349,215,44,9688,568327,66.24,0.57,33.19
2osame,2_3,83160,500892,343784,68014,76917,24905,38304,2349,172,88,10133,563586,66.49,0.59,32.91
2osame,3_3,0,291720,339859,45030,75234,24863,39174,2390,172,88,9784,883990,47.8,0.57,51.63
2osame,3_4,74250,483596,339346,67442,76917,24821,38304,2349,172,88,9685,595334,64.67,0.57,34.77
2osame,3_5,74250,483596,338590,67442,76917,24779,38304,2349,172,88,9672,596145,64.62,0.56,34.82
2osame,3_6,74250,496904,347309,68678,70847,24737,38304,2349,172,88,9095,579571,65.62,0.53,33.85
2osame,3_7,87120,506352,346633,68870,74957,24695,38304,2349,215,88,8859,553862,67.14,0.52,32.35
2osame,3_8,97020,518220,347488,69252,73154,24695,38304,2349,215,88,8847,532672,68.37,0.52,31.11
2osame,3_9,97020,518220,347164,69252,73154,24737,38304,2349,215,88,8836,532965,68.36,0.52,31.13
2osame,3_T,202950,610204,335684,59364,48754,24779,20676,1400,215,44,46153,362081,76.16,2.7,21.15
2osame,3_J,110880,488408,327420,69538,63416,24821,37614,2349,215,44,9095,578504,65.68,0.53,33.79
2osame,3_Q,106920,490260,328843,69728,65219,24863,37614,2349,215,44,9264,576985,65.76,0.54,33.7
2osame,3_K,102960,492112,330266,69918,67022,24905,37614,2349,215,44,9433,575466,65.84,0.55,33.61
2osame,2_4,80190,497884,342920,68014,76917,24863,38304,2349,172,88,9878,570725,66.09,0.58,33.33
2osame,3_4,74250,483596,339346,67442,76917,24821,38304,2349,172,88,9685,595334,64.67,0.57,34.77
2osame,4_4,0,290224,330643,45030,75234,24779,39126,2390,172,88,9082,895536,47.17,0.53,52.3
2osame,4_5,68310,469308,335124,66870,76917,24737,38304,2349,172,88,9479,620646,63.2,0.55,36.25
2osame,4_6,68310,482616,343843,68106,70847,24695,38304,2349,172,88,8902,604072,64.2,0.52,35.28
2osame,4_7,81180,492064,343167,68298,74957,24653,38304,2349,215,88,8666,578363,65.72,0.51,33.78
2osame,4_8,91080,503932,344022,68680,73154,24653,38304,2349,215,88,8654,557173,66.96,0.51,32.54
