type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2osame,2_2,0,273768,328508,44080,166318,24778,39186,2282,301,88,25225,807770,51.35,1.47,47.17
2osame,2_3,56430,458720,332322,66064,169646,24736,38268,2253,301,88,22363,541113,67.09,1.31,31.6
2osame,2_4,53460,455712,331458,66064,169646,24694,38268,2253,301,88,22108,548252,66.69,1.29,32.02
2osame,2_5,53460,455712,330702,66064,169646,24652,38268,2253,301,88,22095,549063,66.64,1.29,32.07
2osame,2_6,62370,473008,332620,66636,169646,24695,38268,2253,301,88,21660,520759,68.32,1.26,30.41
2osame,2_7,74250,491264,330985,67304,160088,24737,38268,2253,258,88,21687,501122,69.47,1.27,29.27
2osame,2_8,83160,501044,327567,67590,150530,24821,38268,2253,215,88,21679,495089,69.82,1.27,28.91
2osame,2_9,96030,514580,324113,67812,140972,24906,38268,2253,172,88,22121,480989,70.62,1.29,28.09
2osame,2_T,172260,572066,278230,55656,145246,24992,20586,1292,172,44,97644,344116,74.2,5.7,20.1
2osame,2_Q,0,406988,261194,59874,140972,12368,36888,1980,216,44,46113,745667,53.76,2.69,43.55
2osame,2_K,0,368896,263610,57604,150530,12368,36888,1980,259,44,42102,778023,52.1,2.46,45.44
2osame,2_A,0,313864,263748,55146,160088,12368,36888,1980,302,44,44406,823470,49.32,2.59,48.09
2osame,2_3,56430,458720,332322,66064,169646,24736,38268,2253,301,88,22363,541113,67.09,1.31,31.6
2osame,3_3,0,272272,321596,44080,166318,24694,39138,2282,301,88,21067,820468,50.85,1.23,47.92
2osame,3_4,47520,441424,327884,65492,169646,24652,38268,2253,301,88,21915,572861,65.26,1.28,33.46
2osame,3_5,47520,441424,327128,65492,169646,24610,38268,2253,301,88,21902,573672,65.22,1.28,33.5
2osame,3_6,56430,458720,329046,66064,169646,24653,38268,2253,301,88,21467,545368,66.9,1.25,31.85
2osame,3_7,68310,476976,327411,66732,160088,24695,38268,2253,258,88,21494,525731,68.04,1.26,30.7
2osame,3_8,83160,501044,326703,67590,150530,24779,38268,2253,215,88,21666,496008,69.77,1.27,28.97
2osame,3_9,93060,511572,323249,67812,140972,24864,38268,2253,172,88,21866,488128,70.22,1.28,28.51
2osame,3_T,168300,569300,276394,55656,145246,24950,20586,1292,172,44,96939,353425,73.7,5.66,20.64
2osame,3_Q,0,403980,261194,59874,140972,12326,36888,1980,216,44,45858,748972,53.58,2.68,43.74
2osame,3_K,0,365888,263610,57604,150530,12326,36888,1980,259,44,41847,781328,51.93,2.44,45.63
2osame,3_A,0,310856,263748,55146,160088,12326,36888,1980,302,44,44151,826775,49.14,2.58,48.28
2osame,2_4,53460,455712,331458,66064,169646,24694,38268,2253,301,88,22108,548252,66.69,1.29,32.02
2osame,3_4,47520,441424,327884,65492,169646,24652,38268,2253,301,88,21915,572861,65.26,1.28,33.46
2osame,4_4,0,270776,315404,44080,166318,24610,39090,2282,301,88,17341,832014,50.4,1.01,48.59
