type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2osame,2_2,0,288728,343900,44840,103318,24862,39210,2354,215,88,15519,849270,49.5,0.91,49.6
2osame,2_3,68310,487296,345410,68296,104982,24820,38292,2317,215,88,13881,558397,66.58,0.81,32.61
2osame,2_4,65340,484288,344546,68296,104982,24778,38292,2317,215,88,13626,565536,66.18,0.8,33.03
2osame,2_5,65340,484288,343790,68296,104982,24736,38292,2317,215,88,13613,566347,66.13,0.8,33.08
2osame,2_6,74250,496904,344285,68678,103179,24737,38292,2317,215,88,12997,546362,67.33,0.76,31.91
2osame,2_7,83160,508772,345032,69060,101376,24737,38292,2317,215,88,12984,526271,68.51,0.76,30.73
2osame,2_8,83160,508772,344600,69060,101376,24779,38292,2317,215,88,12973,526672,68.48,0.76,30.76
2osame,2_9,96030,518008,340471,69156,91818,24821,38292,2317,172,88,13063,518068,68.98,0.76,30.26
2osame,2_T,192060,600862,317168,59108,76976,24906,20646,1364,172,44,64466,354532,75.53,3.76,20.7
2osame,2_J,109890,495336,321978,69632,82080,24948,37602,2317,172,44,13466,554839,66.81,0.79,32.4
2osame,2_Q,105930,497188,323401,69822,83883,24990,37602,2317,172,44,13635,553320,66.89,0.8,32.31
2osame,2_A,0,396128,268412,59938,95424,12368,36912,1980,216,44,34300,806582,50.89,2.0,47.11
2osame,2_3,68310,487296,345410,68296,104982,24820,38292,2317,215,88,13881,558397,66.58,0.81,32.61
2osame,3_3,0,287232,334684,44840,103318,24778,39162,2354,215,88,13665,861968,48.86,0.8,50.34
2osame,3_4,59400,470000,340972,67724,104982,24736,38292,2317,215,88,13433,590145,64.75,0.78,34.46
2osame,3_5,59400,470000,340216,67724,104982,24694,38292,2317,215,88,13420,590956,64.7,0.78,34.51
2osame,3_6,68310,482616,340711,68106,103179,24695,38292,2317,215,88,12804,570971,65.91,0.75,33.35
2osame,3_7,77220,494484,341458,68488,101376,24695,38292,2317,215,88,12791,550880,67.08,0.75,32.17
2osame,3_8,83160,508772,343736,69060,101376,24737,38292,2317,215,88,12960,527591,68.43,0.76,30.81
2osame,3_9,93060,515000,339607,69156,91818,24779,38292,2317,172,88,12808,525207,68.58,0.75,30.67
2osame,3_T,188100,598096,315044,59108,76976,24864,20646,1364,172,44,64049,363841,75.01,3.74,21.25
2osame,3_J,106920,492328,321114,69632,82080,24906,37602,2317,172,44,13211,561978,66.41,0.77,32.82
2osame,3_Q,102960,494180,322537,69822,83883,24948,37602,2317,172,44,13380,560459,66.49,0.78,32.73
2osame,3_A,0,393120,268412,59938,95424,12326,36912,1980,216,44,34045,809887,50.71,1.99,47.3
2osame,2_4,65340,484288,344546,68296,104982,24778,38292,2317,215,88,13626,565536,66.18,0.8,33.03
2osame,3_4,59400,470000,340972,67724,104982,24736,38292,2317,215,88,13433,590145,64.75,0.78,34.46
2osame,4_4,0,285736,326476,44840,103318,24694,39114,2354,215,88,11955,873514,48.29,0.7,51.01
2osame,4_5,53460,455712,336750,67152,104982,24652,38292,2317,215,88,13227,615457,63.28,0.77,35.94
2osame,4_6,62370,468328,337245,67534,103179,24653,38292,2317,215,88,12611,595472,64.49,0.74,34.78
2osame,4_7,71280,480196,337992,67916,101376,24653,38292,2317,215,88,12598,575381,65.66,0.74,33.6
2osame,4_8,77220,494484,340270,68488,101376,24695,38292,2317,215,88,12767,552092,67.01,0.75,32.24
2osame,4_9,93060,515000,338851,69156,91818,24737,38292,2317,172,88,12795,526018,68.53,0.75,30.72
2osame,4_T,184140,595330,313028,59108,76976,24822,20646,1364,172,44,63632,373042,74.5,3.72,21.79
2osame,4_J,103950,489320,320358,69632,82080,24864,37602,2317,172,44,12956,569009,66.01,0.76,33.23
2osame,4_Q,99990,491172,321781,69822,83883,24906,37602,2317,172,44,13125,567490,66.09,0.77,33.14
2osame,4_A,0,390112,268412,59938,95424,12284,36912,1980,216,44,33790,813192,50.54,1.97,47.49
2osame,2_5,65340,484288,343790,68296,104982,24778,38292,2317,215,88,13614,566304,66.13,0.8,33.07
2osame,3_5,59400,470000,340216,67724,104982,24736,38292,2317,215,88,13421,590913,64.71,0.78,34.51
2osame,4_5,53460,455712,336750,67152,104982,24694,38292,2317,215,88,13228,615414,63.29,0.77,35.94
2osame,5_5,0,285736,319276,44840,103318,24652,39066,2354,215,88,10874,881885,47.86,0.64,51.5
2osame,5_6,56430,458720,335310,67152,103179,24653,38292,2317,215,88,12599,613349,63.44,0.74,35.82
2osame,5_7,62370,468328,336057,67534,101376,24653,38292,2317,215,88,12586,598488,64.31,0.74,34.95
2osame,5_8,68310,482616,338335,68106,101376,24695,38292,2317,215,88,12755,575199,65.66,0.74,33.59
2osame,5_9,83160,503132,336916,68774,91818,24737,38292,2317,172,88,12783,550115,67.13,0.75,32.13
2osame,5_T,184140,595330,311120,59108,76976,24822,20646,1364,172,44,63458,375124,74.39,3.71,21.91
2osame,5_J,103950,489320,319710,69632,82080,24864,37602,2317,172,44,12944,569669,65.97,0.76,33.27
2osame,5_Q,99990,491172,321133,69822,83883,24906,37602,2317,172,44,13113,568150,66.05,0.77,33.18
2osame,5_A,0,390112,268412,59938,95424,12284,36912,1980,216,44,33778,813204,50.54,1.97,47.49
2osame,2_6,74250,496896,344285,68678,103187,24821,38292,2317,172,88,12991,546327,67.34,0.76,31.91
2osame,3_6,68310,482608,340711,68106,103187,24779,38292,2317,172,88,12798,570936,65.91,0.75,33.34
2osame,4_6,62370,468320,337245,67534,103187,24737,38292,2317,172,88,12605,595437,64.49,0.74,34.77
2osame,5_6,56430,458720,335310,67152,103187,24695,38292,2317,172,88,12592,613349,63.44,0.74,35.82
2osame,6_6,0,283492,311661,44650,99018,24696,39018,2354,172,88,9065,898090,47.02,0.53,52.45
2osame,6_7,66330,458216,326150,66298,99730,24696,38292,2317,172,88,11686,618329,63.21,0.68,36.11
2osame,6_8,72270,472504,328428,66870,99730,24738,38292,2317,172,88,11855,595040,64.56,0.69,34.75
2osame,6_9,87120,493020,327009,67538,90172,24780,38292,2317,129,88,11883,569956,66.02,0.69,33.29
2osame,6_T,179190,583698,307077,58662,76976,24865,20646,1364,129,44,60554,399099,73.16,3.54,23.31
2osame,6_J,107910,491760,319170,69632,80223,24907,37602,2317,129,44,12185,566425,66.21,0.71,33.08
2osame,6_Q,103950,490060,319170,69632,82088,24949,37602,2317,129,44,12166,570197,65.99,0.71,33.3
2osame,6_A,0,402160,269267,60320,93629,12327,36912,1980,173,44,33011,802481,51.21,1.93,46.87
2osame,2_7,83160,508756,345032,69060,101392,24905,38292,2317,129,88,12971,526202,68.51,0.76,30.73
2osame,3_7,77220,494468,341458,68488,101392,24863,38292,2317,129,88,12778,550811,67.09,0.75,32.17
2osame,4_7,71280,480180,337992,67916,101392,24821,38292,2317,129,88,12585,575312,65.67,0.73,33.6
2osame,5_7,62370,468320,336057,67534,101392,24779,38292,2317,129,88,12572,598454,64.32,0.73,34.95
2osame,6_7,66330,458208,326150,66298,99738,24780,38292,2317,129,88,11679,618295,63.21,0.68,36.11
2osame,7_7,0,281996,305054,44460,94718,24780,38970,2354,129,88,8388,911367,46.29,0.49,53.22
2osame,7_8,75240,462952,318629,65634,98084,24822,38292,2317,129,88,11944,614173,63.43,0.7,35.87
2osame,7_9,90090,483468,317210,66302,88526,24864,38292,2317,86,88,11972,589089,64.9,0.7,34.4
2osame,7_T,173250,572066,303142,58216,76976,24949,20646,1364,86,44,58639,422926,71.88,3.42,24.7
2osame,7_J,110880,485048,309803,68396,78577,24991,37602,2317,86,44,12274,582286,65.28,0.72,34.01
2osame,7_Q,110880,494760,318738,69632,80231,25033,37602,2317,86,44,12396,560585,66.54,0.72,32.74
2osame,7_A,0,399544,267844,60130,91834,12411,36912,1980,130,44,33567,807908,50.86,1.96,47.18
2osame,2_8,83160,508756,344600,69060,101392,24990,38292,2317,86,88,12960,526603,68.49,0.76,30.75
2osame,3_8,83160,508756,343736,69060,101392,24948,38292,2317,86,88,12947,527522,68.44,0.76,30.81
2osame,4_8,77220,494468,340270,68488,101392,24906,38292,2317,86,88,12754,552023,67.02,0.74,32.24
