type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2osame,2_2,0,281248,336186,44460,134818,24820,39198,2318,258,88,20390,828520,50.42,1.19,48.39
2osame,2_3,62370,473008,338848,67340,137314,24778,38280,2285,258,88,17980,549755,66.84,1.05,32.11
2osame,2_4,59400,470000,337984,67340,137314,24736,38280,2285,258,88,17725,556894,66.44,1.04,32.52
2osame,2_5,59400,470000,337228,67340,137314,24694,38280,2285,258,88,17712,557705,66.4,1.03,32.57
2osame,2_6,68310,482616,337723,67722,135511,24695,38280,2285,258,88,17096,537720,67.6,1.0,31.4
2osame,2_7,74250,496904,339893,68294,135511,24737,38280,2285,258,88,17264,514540,68.94,1.01,30.05
2osame,2_8,83160,503132,335656,68390,125953,24779,38280,2285,215,88,17112,513254,69.03,1.0,29.97
2osame,2_9,96030,515920,332346,68676,116395,24863,38280,2285,172,88,17346,499903,69.79,1.01,29.19
2osame,2_T,182160,586464,296913,57766,111111,24949,20616,1328,172,44,81457,349324,74.84,4.76,20.4
2osame,2_J,109890,496836,314141,69088,106657,24991,37590,2285,172,44,17957,532653,67.84,1.05,31.11
2osame,2_K,0,407760,265996,60224,118198,12368,36900,1980,216,44,38939,769679,52.78,2.27,44.95
2osame,2_A,0,356508,266134,57318,127756,12368,36900,1980,259,44,41243,811794,50.18,2.41,47.41
2osame,2_3,62370,473008,338848,67340,137314,24778,38280,2285,258,88,17980,549755,66.84,1.05,32.11
2osame,3_3,0,279752,328122,44460,134818,24736,39150,2318,258,88,17384,841218,49.86,1.02,49.13
2osame,3_4,53460,455712,334410,66768,137314,24694,38280,2285,258,88,17532,581503,65.02,1.02,33.96
2osame,3_5,53460,455712,333654,66768,137314,24652,38280,2285,258,88,17519,582314,64.97,1.02,34.01
2osame,3_6,62370,468328,334149,67150,135511,24653,38280,2285,258,88,16903,562329,66.17,0.99,32.84
2osame,3_7,68310,482616,336319,67722,135511,24695,38280,2285,258,88,17071,539149,67.52,1.0,31.49
2osame,3_8,83160,503132,334792,68390,125953,24737,38280,2285,215,88,17099,514173,68.97,1.0,30.03
2osame,3_9,93060,512912,331482,68676,116395,24821,38280,2285,172,88,17091,507042,69.39,1.0,29.61
2osame,3_T,178200,583698,294933,57766,111111,24907,20616,1328,172,44,80896,358633,74.33,4.72,20.94
2osame,3_J,106920,493828,313277,69088,106657,24949,37590,2285,172,44,17702,539792,67.44,1.03,31.52
2osame,3_K,0,404752,265996,60224,118198,12326,36900,1980,216,44,38684,772984,52.6,2.26,45.14
2osame,3_A,0,353500,266134,57318,127756,12326,36900,1980,259,44,40988,815099,50.0,2.39,47.6
2osame,2_4,59400,470000,337984,67340,137314,24736,38280,2285,258,88,17725,556894,66.44,1.04,32.52
2osame,3_4,53460,455712,334410,66768,137314,24694,38280,2285,258,88,17532,581503,65.02,1.02,33.96
2osame,4_4,0,278256,320922,44460,134818,24652,39102,2318,258,88,14666,852764,49.34,0.86,49.8
2osame,4_5,47520,441424,330188,66196,137314,24610,38280,2285,258,88,17326,606815,63.55,1.01,35.44
2osame,4_6,56430,454040,330683,66578,135511,24611,38280,2285,258,88,16710,586830,64.75,0.98,34.27
2osame,4_7,62370,468328,332853,67150,135511,24653,38280,2285,258,88,16878,563650,66.1,0.99,32.92
2osame,4_8,77220,488844,331326,67818,125953,24695,38280,2285,215,88,16906,538674,67.55,0.99,31.46
2osame,4_9,93060,512912,330726,68676,116395,24779,38280,2285,172,88,17078,507853,69.34,1.0,29.66
2osame,4_T,174240,580932,293061,57766,111111,24865,20616,1328,172,44,80335,367834,73.83,4.69,21.48
2osame,4_J,103950,490820,312521,69088,106657,24907,37590,2285,172,44,17447,546823,67.05,1.02,31.93
2osame,4_K,0,401744,265996,60224,118198,12284,36900,1980,216,44,38429,776289,52.42,2.24,45.34
2osame,4_A,0,350492,266134,57318,127756,12284,36900,1980,259,44,40733,818404,49.83,2.38,47.8
2osame,2_5,59400,470000,337228,67340,137314,24736,38280,2285,258,88,17713,557662,66.4,1.03,32.57
2osame,3_5,53460,455712,333654,66768,137314,24694,38280,2285,258,88,17520,582271,64.97,1.02,34.01
2osame,4_5,47520,441424,330188,66196,137314,24652,38280,2285,258,88,17327,606772,63.55,1.01,35.44
2osame,5_5,0,278256,314586,44460,134818,24610,39054,2318,258,88,12721,861135,48.97,0.74,50.29
2osame,5_6,50490,444432,328748,66196,135511,24611,38280,2285,258,88,16698,604707,63.71,0.98,35.32
2osame,5_7,56430,458720,330918,66768,135511,24653,38280,2285,258,88,16866,581527,65.05,0.98,33.96
2osame,5_8,68310,476976,329391,67436,125953,24695,38280,2285,215,88,16894,561781,66.2,0.99,32.81
2osame,5_9,83160,501044,328791,68294,116395,24779,38280,2285,172,88,17066,531950,67.94,1.0,31.07
2osame,5_T,174240,580932,291297,57766,111111,24865,20616,1328,172,44,80017,369916,73.72,4.67,21.6
2osame,5_J,103950,490820,311873,69088,106657,24907,37590,2285,172,44,17435,547483,67.01,1.02,31.97
2osame,5_K,0,401744,265996,60224,118198,12284,36900,1980,216,44,38417,776301,52.42,2.24,45.34
2osame,5_A,0,350492,266134,57318,127756,12284,36900,1980,259,44,40721,818416,49.83,2.38,47.8
2osame,2_6,68310,482608,337723,67722,135519,24779,38280,2285,215,88,17090,537685,67.6,1.0,31.4
2osame,3_6,62370,468320,334149,67150,135519,24737,38280,2285,215,88,16897,562294,66.17,0.99,32.84
2osame,4_6,56430,454032,330683,66578,135519,24695,38280,2285,215,88,16704,586795,64.76,0.98,34.27
2osame,5_6,50490,444432,328748,66196,135519,24653,38280,2285,215,88,16691,604707,63.71,0.97,35.32
2osame,6_6,0,276012,307691,44270,130518,24654,39006,2318,215,88,10192,877340,48.17,0.6,51.24
2osame,6_7,60390,448608,321011,65532,133865,24696,38280,2285,215,88,15966,601368,63.95,0.93,35.12
2osame,6_8,72270,466864,319484,66200,124307,24738,38280,2285,172,88,15994,581622,65.1,0.93,33.97
2osame,6_9,87120,490932,318884,67058,114749,24822,38280,2285,129,88,16166,551791,66.83,0.94,32.23
2osame,6_T,169290,569300,287398,57320,111111,24908,20616,1328,129,44,76969,393891,72.5,4.5,23.0
2osame,6_J,107910,493260,311333,69088,104800,24950,37590,2285,129,44,16676,544239,67.24,0.97,31.78
2osame,6_K,0,400632,264573,60034,116403,12327,36900,1980,173,44,37470,781768,52.16,2.19,45.66
2osame,6_A,0,362540,266989,57700,125961,12327,36900,1980,216,44,39954,807693,50.5,2.33,47.17
2osame,2_7,74250,496896,339893,68294,135519,24863,38280,2285,172,88,17258,514506,68.94,1.01,30.05
2osame,3_7,68310,482608,336319,67722,135519,24821,38280,2285,172,88,17065,539115,67.52,1.0,31.48
2osame,4_7,62370,468320,332853,67150,135519,24779,38280,2285,172,88,16872,563616,66.1,0.99,32.92
2osame,5_7,56430,458720,330918,66768,135519,24737,38280,2285,172,88,16859,581528,65.05,0.98,33.96
2osame,6_7,60390,448608,321011,65532,133865,24738,38280,2285,172,88,15966,601369,63.95,0.93,35.12
2osame,7_7,0,277508,303083,44270,130518,24780,38958,2318,172,88,9308,881301,47.99,0.54,51.47
2osame,7_8,75240,459592,314243,65108,124307,24822,38280,2285,129,88,16224,591986,64.48,0.95,34.57
2osame,7_9,90090,480108,312788,65776,114749,24906,38280,2285,86,88,16396,566752,65.94,0.96,33.1
2osame,7_T,173250,572066,285850,57320,111111,24992,20616,1328,86,44,76893,388748,72.81,4.49,22.7
