,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_Q,2osame,74.13,2.98,22.9
1,2_J,2osame,73.74,2.96,23.29
2,2_Q,2odifferent,73.52,2.85,23.63
3,2_Q,1o,73.51,2.92,23.57
4,2_T,2osame,73.36,2.95,23.69
5,2_7,2osame,73.18,2.5,24.32
6,2_8,2osame,73.15,2.95,23.9
7,2_J,2odifferent,73.14,2.84,24.02
8,2_J,1o,73.13,2.9,23.97
9,2_9,2osame,73.08,2.95,23.97
10,2_T,2odifferent,72.77,2.83,24.4
11,2_T,1o,72.76,2.89,24.35
12,2_7,2odifferent,72.6,2.39,25.01
13,2_7,1o,72.58,2.45,24.98
14,2_8,2odifferent,72.57,2.82,24.61
15,2_8,1o,72.55,2.89,24.56
16,2_9,2odifferent,72.5,2.83,24.67
17,2_9,1o,72.48,2.89,24.63
18,2_6,2osame,72.03,2.4,25.56
19,2_6,2odifferent,71.49,2.29,26.22
20,2_6,1o,71.45,2.35,26.2
21,2_3,2osame,71.37,2.82,25.81
22,2_4,2osame,70.92,2.79,26.29
23,2_3,2odifferent,70.85,2.7,26.45
24,2_3,1o,70.79,2.76,26.45
25,2_5,2osame,70.47,2.77,26.76
26,2_4,2odifferent,70.41,2.67,26.92
27,2_4,1o,70.35,2.73,26.92
28,2_5,2odifferent,69.98,2.65,27.37
29,2_5,1o,69.91,2.71,27.38
30,2_Q,2s,69.12,2.76,28.11
31,2_J,2s,68.78,2.75,28.47
32,2_T,2s,68.44,2.74,28.82
33,2_7,2s,68.25,2.34,29.41
34,2_8,2s,68.22,2.74,29.04
35,2_9,2s,68.17,2.74,29.09
36,2_6,2s,67.22,2.26,30.52
37,2_3,2s,66.63,2.65,30.72
38,2_4,2s,66.22,2.63,31.16
39,2_5,2s,65.81,2.61,31.58
40,3_Q,2osame,59.7,0.85,39.44
41,3_Q,2osame,59.7,0.88,39.42
42,3_Q,2odifferent,59.56,0.76,39.67
43,3_J,2osame,59.36,0.87,39.78
44,3_J,2osame,59.36,0.84,39.8
45,3_Q,1o,59.32,0.8,39.88
46,3_Q,1o,59.31,0.8,39.89
47,4_Q,2osame,59.3,0.85,39.84
48,4_Q,2osame,59.3,0.84,39.86
49,3_8,2osame,59.29,0.84,39.87
50,3_8,2osame,59.29,0.86,39.85
51,3_J,2odifferent,59.23,0.75,40.02
52,3_8,2odifferent,59.17,0.75,40.09
53,4_Q,2odifferent,59.17,0.74,40.09
54,3_T,2osame,59.02,0.85,40.13
55,3_T,2osame,59.02,0.83,40.15
56,3_J,1o,58.98,0.79,40.24
57,3_J,1o,58.98,0.79,40.23
58,4_J,2osame,58.96,0.83,40.22
59,4_J,2osame,58.96,0.84,40.2
60,4_Q,1o,58.92,0.77,40.3
61,4_Q,1o,58.92,0.77,40.31
62,3_8,1o,58.91,0.78,40.3
63,3_8,1o,58.91,0.78,40.31
64,3_T,2odifferent,58.9,0.74,40.36
65,4_J,2odifferent,58.84,0.72,40.44
66,3_9,2osame,58.83,0.82,40.35
67,3_9,2osame,58.82,0.85,40.33
68,4_9,2osame,58.77,0.84,40.39
69,4_9,2osame,58.77,0.82,40.4
70,3_9,2odifferent,58.71,0.73,40.55
71,4_9,2odifferent,58.66,0.72,40.62
72,3_T,1o,58.65,0.77,40.58
73,3_T,1o,58.64,0.77,40.58
74,4_T,2osame,58.62,0.83,40.56
75,4_T,2osame,58.62,0.81,40.57
76,4_J,1o,58.59,0.76,40.66
77,4_J,1o,58.58,0.76,40.66
78,5_T,2osame,58.58,0.82,40.61
79,5_J,2osame,58.57,0.82,40.62
80,5_T,2osame,58.57,0.81,40.61
81,5_J,2osame,58.56,0.81,40.63
82,4_T,2odifferent,58.51,0.71,40.78
83,5_T,2odifferent,58.47,0.7,40.83
84,3_9,1o,58.46,0.77,40.77
85,5_J,2odifferent,58.46,0.7,40.84
86,3_9,1o,58.45,0.77,40.78
87,4_9,1o,58.41,0.76,40.84
88,4_9,1o,58.4,0.76,40.84
89,4_T,1o,58.25,0.75,41.0
90,4_T,1o,58.25,0.74,41.01
91,5_T,1o,58.21,0.74,41.05
92,5_T,1o,58.21,0.74,41.06
93,5_J,1o,58.2,0.74,41.07
94,5_J,1o,58.19,0.74,41.07
95,5_Q,2osame,58.0,1.73,40.27
96,5_Q,2osame,58.0,1.74,40.26
97,4_8,2osame,57.93,0.84,41.23
98,4_8,2osame,57.93,0.82,41.24
99,5_Q,2odifferent,57.9,1.61,40.5
100,4_8,2odifferent,57.84,0.72,41.43
101,6_J,2osame,57.71,1.64,40.65
102,6_J,2osame,57.7,1.64,40.65
103,5_Q,1o,57.63,1.65,40.71
104,5_Q,1o,57.63,1.65,40.72
105,6_J,2odifferent,57.61,1.52,40.87
106,3_7,2osame,57.61,0.84,41.55
107,3_7,2osame,57.6,0.86,41.54
108,4_8,1o,57.57,0.76,41.67
109,4_8,1o,57.57,0.76,41.67
110,3_7,2odifferent,57.53,0.75,41.72
111,5_9,2osame,57.42,0.81,41.77
112,5_9,2osame,57.42,0.82,41.76
113,5_9,2odifferent,57.35,0.7,41.95
114,6_J,1o,57.34,1.56,41.1
115,6_J,1o,57.34,1.56,41.1
116,6_T,2osame,57.28,0.77,41.95
117,6_T,2osame,57.27,0.77,41.96
118,3_7,1o,57.25,0.78,41.96
119,3_7,1o,57.25,0.78,41.97
120,6_T,2odifferent,57.2,0.66,42.14
121,3_6,2osame,57.2,0.87,41.93
122,3_6,2osame,57.2,0.85,41.95
123,3_6,2odifferent,57.14,0.76,42.1
124,5_9,1o,57.07,0.74,42.19
125,5_9,1o,57.07,0.74,42.2
126,6_T,1o,56.92,0.69,42.38
127,6_T,1o,56.92,0.69,42.39
128,3_6,1o,56.86,0.79,42.35
129,3_6,1o,56.86,0.79,42.35
130,3_4,2osame,56.65,0.91,42.44
131,3_4,2osame,56.64,0.92,42.43
132,3_4,2odifferent,56.61,0.82,42.57
133,5_8,2osame,56.58,0.82,42.6
134,5_8,2osame,56.58,0.81,42.61
135,5_8,2odifferent,56.53,0.7,42.77
