,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_3,2osame,75.58,2.14,22.28
1,3_K,2osame,75.24,2.21,22.55
2,2_3,1o,74.96,2.06,22.98
3,3_Q,2osame,74.85,2.19,22.95
4,3_K,2odifferent,74.62,2.06,23.32
5,3_K,1o,74.61,2.13,23.25
6,3_J,2osame,74.46,2.18,23.35
7,2_3,2odifferent,74.28,2.01,23.71
8,3_Q,2odifferent,74.24,2.05,23.71
9,3_8,2osame,74.23,1.72,24.05
10,3_Q,1o,74.23,2.12,23.65
11,3_9,2osame,74.21,2.17,23.62
12,3_T,2osame,74.08,2.17,23.75
13,3_J,2odifferent,73.87,2.03,24.1
14,3_J,1o,73.85,2.11,24.04
15,3_8,2odifferent,73.65,1.58,24.77
16,3_8,1o,73.62,1.65,24.73
17,3_9,2odifferent,73.62,2.02,24.36
18,3_9,1o,73.6,2.09,24.31
19,3_T,2odifferent,73.5,2.02,24.48
20,3_T,1o,73.47,2.1,24.43
21,3_7,2osame,73.08,1.62,25.3
22,3_7,2odifferent,72.53,1.49,25.99
23,3_7,1o,72.48,1.55,25.96
24,3_4,2osame,72.11,1.97,25.92
25,3_5,2osame,71.67,1.95,26.39
26,3_4,2odifferent,71.6,1.83,26.58
27,3_4,1o,71.53,1.9,26.57
28,3_6,2osame,71.51,1.64,26.85
29,3_5,2odifferent,71.17,1.8,27.03
30,3_5,1o,71.09,1.88,27.04
31,3_6,2odifferent,71.01,1.5,27.49
32,3_6,1o,70.94,1.57,27.49
33,3_K,2s,70.2,1.99,27.81
34,2_3,2s,69.99,1.96,28.05
35,3_Q,2s,69.85,1.98,28.17
36,3_J,2s,69.5,1.97,28.53
37,3_8,2s,69.28,1.56,29.16
38,3_9,2s,69.25,1.96,28.78
39,3_T,2s,69.16,1.96,28.88
40,3_7,2s,68.24,1.48,30.28
41,3_4,2s,67.44,1.82,30.74
42,3_5,2s,67.03,1.8,31.17
43,3_6,2s,66.81,1.52,31.67
44,2_K,2osame,65.77,0.66,33.57
45,2_Q,2osame,65.42,0.64,33.94
46,2_K,1o,65.28,0.58,34.14
47,2_7,2osame,65.13,0.63,34.24
48,2_K,2osame,65.11,0.63,34.25
49,2_J,2osame,65.07,0.63,34.3
50,2_Q,1o,64.94,0.56,34.5
51,2_9,2osame,64.9,0.61,34.48
52,2_K,2odifferent,64.79,0.54,34.67
53,2_Q,2osame,64.77,0.62,34.62
54,2_T,2osame,64.73,0.62,34.65
55,2_7,1o,64.66,0.55,34.78
56,2_K,1o,64.63,0.6,34.78
57,2_J,1o,64.6,0.55,34.85
58,2_7,2osame,64.49,0.6,34.91
59,2_8,2osame,64.47,0.62,34.91
60,2_Q,2odifferent,64.45,0.53,35.02
61,2_9,1o,64.43,0.53,35.03
62,2_J,2osame,64.42,0.61,34.97
63,2_Q,1o,64.28,0.58,35.13
64,2_T,1o,64.27,0.54,35.2
65,2_9,2osame,64.25,0.59,35.16
66,2_6,2osame,64.22,0.65,35.13
67,2_7,2odifferent,64.18,0.51,35.3
68,2_J,2odifferent,64.12,0.51,35.37
69,2_T,2osame,64.09,0.59,35.32
70,2_8,1o,64.01,0.53,35.45
71,2_7,1o,64.01,0.57,35.42
72,2_9,2odifferent,63.95,0.5,35.55
73,2_J,1o,63.94,0.57,35.49
74,2_8,2osame,63.83,0.59,35.58
75,2_T,2odifferent,63.79,0.5,35.71
76,2_9,1o,63.78,0.55,35.67
77,2_6,1o,63.77,0.57,35.66
78,2_4,2osame,63.68,0.69,35.62
79,2_T,1o,63.61,0.56,35.83
80,2_6,2osame,63.57,0.62,35.81
81,2_8,2odifferent,63.54,0.5,35.96
82,2_8,1o,63.36,0.55,36.09
83,2_6,2odifferent,63.3,0.53,36.17
84,2_5,2osame,63.28,0.68,36.04
85,2_4,1o,63.24,0.63,36.14
86,2_6,1o,63.11,0.59,36.31
87,2_4,2osame,63.02,0.68,36.3
