,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,3_T,2osame,71.29,5.88,22.83
1,3_8,2osame,71.06,5.39,23.55
2,3_9,2osame,71.0,5.83,23.17
3,3_T,2odifferent,70.77,5.65,23.58
4,3_T,1o,70.71,5.76,23.53
5,3_8,2odifferent,70.55,5.17,24.28
6,3_9,2odifferent,70.49,5.59,23.92
7,3_8,1o,70.48,5.28,24.24
8,3_9,1o,70.43,5.71,23.86
9,2_3,2osame,70.26,5.95,23.79
10,2_3,1o,69.71,5.83,24.46
11,3_7,2osame,69.61,5.28,25.11
12,3_7,2odifferent,69.13,5.07,25.8
13,2_3,2odifferent,69.09,5.74,25.17
14,3_7,1o,69.05,5.18,25.77
15,3_6,2osame,68.5,5.18,26.31
16,3_6,2odifferent,68.07,4.97,26.96
17,3_6,1o,67.97,5.07,26.96
18,3_4,2osame,66.99,5.56,27.45
19,3_4,2odifferent,66.61,5.33,28.06
20,3_5,2osame,66.55,5.54,27.91
21,3_T,2s,66.52,5.47,28.01
22,3_4,1o,66.48,5.44,28.08
23,3_8,2s,66.28,5.03,28.69
24,3_9,2s,66.24,5.42,28.34
25,3_5,2odifferent,66.17,5.31,28.52
26,3_5,1o,66.04,5.42,28.54
27,2_3,2s,64.95,5.58,29.47
28,3_7,2s,64.95,4.95,30.1
29,3_6,2s,63.95,4.87,31.18
30,2_T,2osame,63.85,1.54,34.61
31,2_7,2osame,63.71,1.54,34.76
32,2_9,2osame,63.61,1.51,34.87
33,2_T,1o,63.38,1.46,35.17
34,2_8,2osame,63.26,1.52,35.21
35,2_7,1o,63.24,1.45,35.3
36,2_T,2osame,63.19,1.51,35.3
37,2_9,1o,63.15,1.43,35.42
38,2_7,2osame,63.05,1.51,35.44
39,2_6,2osame,62.97,1.54,35.49
40,2_9,2osame,62.96,1.49,35.55
41,2_T,2odifferent,62.9,1.42,35.68
42,2_8,1o,62.81,1.44,35.75
43,2_7,2odifferent,62.77,1.42,35.81
44,2_T,1o,62.72,1.48,35.8
