,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_3,2osame,56.25,13.51,30.24
1,2_3,2osame,56.25,13.51,30.24
2,2_3,1o,55.8,13.37,30.83
3,2_3,1o,55.8,13.35,30.85
4,2_3,2odifferent,55.35,13.22,31.44
5,2_3,1s,53.41,12.48,34.11
6,2_5,2osame,53.28,13.64,33.08
7,2_5,1o,52.89,13.47,33.65
8,2_5,2osame,52.59,13.63,33.77
9,2_5,2odifferent,52.49,13.33,34.19
10,2_5,1o,52.2,13.5,34.3
11,2_3,2s,52.11,12.32,35.57
12,3_5,2osame,51.93,13.63,34.44
13,2_4,2osame,51.66,26.75,21.59
14,3_5,1o,51.56,13.46,34.98
15,2_4,1o,51.34,26.35,22.31
16,3_5,2osame,51.25,13.63,35.12
17,3_5,2odifferent,51.18,13.3,35.51
18,2_4,2odifferent,50.97,25.98,23.05
19,3_4,2osame,50.91,26.62,22.47
20,3_5,1o,50.88,13.47,35.65
21,3_4,1o,50.6,26.21,23.19
22,3_4,2odifferent,50.24,25.83,23.93
23,2_5,1s,50.06,12.6,37.34
24,4_5,2odifferent,49.39,25.52,25.09
25,2_5,2s,49.39,12.43,38.18
26,4_5,2osame,49.3,26.32,24.38
27,4_5,1o,49.0,25.92,25.07
28,3_5,1s,48.78,12.59,38.63
29,3_5,2s,48.18,12.42,39.39
30,2_4,2s,47.84,24.72,27.44
31,2_2,2osame,47.24,3.3,49.46
32,3_4,2s,47.21,24.61,28.18
33,2_2,1o,46.83,3.26,49.91
34,4_5,2s,46.47,24.32,29.21
35,2_2,2odifferent,46.41,3.23,50.36
36,3_3,2osame,46.21,2.74,51.05
37,3_3,1o,45.8,2.69,51.51
38,3_3,2odifferent,45.39,2.63,51.98
39,2_K,1o,43.72,0.77,55.52
40,2_Q,1o,43.63,1.02,55.34
41,2_K,2odifferent,43.45,0.73,55.82
42,2_Q,2odifferent,43.36,0.99,55.65
43,2_K,2osame,43.32,0.83,55.84
44,2_K,2osame,43.31,0.85,55.84
45,2_Q,2osame,43.23,1.09,55.68
46,2_Q,2osame,43.23,1.1,55.67
47,2_T,1o,43.19,2.07,54.74
48,2_J,1o,43.19,1.44,55.38
49,2_A,1o,43.06,0.54,56.4
50,2_K,1o,43.05,0.8,56.15
51,3_K,1o,43.04,0.76,56.2
52,2_7,1o,42.98,8.31,48.71
53,2_Q,1o,42.97,1.06,55.98
54,3_Q,1o,42.96,1.02,56.03
55,2_9,1o,42.93,3.24,53.83
56,2_T,2odifferent,42.93,2.03,55.04
57,2_J,2odifferent,42.93,1.4,55.67
58,2_8,1o,42.88,5.13,51.99
59,2_A,2odifferent,42.8,0.51,56.69
60,2_T,2osame,42.78,2.14,55.08
61,3_K,2odifferent,42.78,0.71,56.51
62,2_J,2osame,42.78,1.5,55.71
63,2_J,2osame,42.77,1.52,55.71
64,2_T,2osame,42.77,2.15,55.08
65,2_7,2odifferent,42.71,8.23,49.07
66,3_Q,2odifferent,42.7,0.96,56.34
67,2_9,2odifferent,42.68,3.19,54.13
68,2_A,2osame,42.65,0.61,56.74
69,3_K,2osame,42.64,0.83,56.53
70,2_A,2osame,42.64,0.62,56.73
71,3_K,2osame,42.63,0.84,56.53
72,2_8,2odifferent,42.62,5.07,52.31
73,2_7,2osame,42.57,8.43,49.0
74,2_7,2osame,42.56,8.44,49.0
75,3_Q,2osame,42.55,1.09,56.36
76,3_Q,2osame,42.55,1.08,56.36
77,2_9,2osame,42.52,3.32,54.16
78,2_J,1o,42.52,1.47,56.01
79,2_T,1o,42.52,2.1,55.38
80,2_9,2osame,42.51,3.33,54.16
81,3_J,1o,42.51,1.43,56.06
82,3_T,1o,42.51,2.06,55.43
83,2_8,2osame,42.48,5.22,52.3
84,2_8,2osame,42.46,5.23,52.31
85,3_8,1o,42.45,5.13,52.42
86,2_A,1o,42.39,0.58,57.03
87,3_K,1o,42.38,0.77,56.85
88,3_Q,1o,42.3,1.03,56.68
89,2_7,1o,42.3,8.34,49.35
90,2_9,1o,42.27,3.27,54.46
91,3_9,1o,42.26,3.23,54.51
92,3_J,2odifferent,42.26,1.37,56.37
93,3_T,2odifferent,42.26,2.0,55.74
94,2_8,1o,42.22,5.16,52.62
