,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_5,2osame,67.97,8.33,23.7
1,5_9,2osame,67.82,7.76,24.41
2,2_5,1o,67.45,8.16,24.39
3,5_9,2odifferent,67.41,7.44,25.14
4,5_9,1o,67.29,7.6,25.11
5,2_5,2odifferent,66.87,8.03,25.11
6,5_8,2osame,66.35,7.61,26.04
7,3_5,2osame,66.3,8.18,25.53
8,5_8,2odifferent,65.99,7.29,26.72
9,5_8,1o,65.84,7.45,26.71
10,3_5,1o,65.8,8.01,26.2
11,3_5,2odifferent,65.24,7.86,26.9
12,2_3,2osame,65.07,2.19,32.74
13,2_3,2osame,65.07,2.19,32.74
14,2_4,2osame,64.91,2.18,32.91
15,2_4,2osame,64.91,2.18,32.91
16,5_7,2osame,64.9,7.51,27.6
17,4_5,2osame,64.63,8.03,27.35
18,5_7,2odifferent,64.58,7.19,28.23
19,2_3,1o,64.57,2.15,33.28
20,2_3,1o,64.57,2.13,33.3
21,2_4,1o,64.41,2.11,33.48
22,5_7,1o,64.41,7.35,28.24
23,2_4,1o,64.41,2.14,33.45
24,4_5,1o,64.15,7.86,27.99
25,2_3,2odifferent,64.05,2.09,33.85
26,2_4,2odifferent,63.9,2.07,34.03
27,2_7,2osame,63.88,2.14,33.98
28,5_6,2osame,63.8,7.41,28.8
29,3_8,2osame,63.73,2.12,34.15
30,4_5,2odifferent,63.62,7.7,28.69
31,4_9,2osame,63.56,2.13,34.3
32,5_6,2odifferent,63.51,7.09,29.4
33,2_8,2osame,63.5,2.13,34.38
34,2_9,2osame,63.45,2.15,34.4
35,3_4,2osame,63.41,2.17,34.42
36,2_7,1o,63.41,2.05,34.53
37,3_4,2osame,63.41,2.17,34.42
38,5_9,2s,63.34,7.22,29.45
39,3_9,2osame,63.33,2.13,34.54
40,5_6,1o,63.32,7.25,29.43
41,3_8,1o,63.26,2.04,34.7
42,2_7,2osame,63.21,2.13,34.66
43,4_9,1o,63.09,2.05,34.86
44,3_8,2osame,63.05,2.12,34.83
45,2_8,1o,63.03,2.04,34.93
46,2_9,1o,62.98,2.06,34.95
47,3_4,1o,62.94,2.11,34.95
48,3_4,1o,62.94,2.1,34.96
49,2_7,2odifferent,62.93,2.02,35.05
50,4_9,2osame,62.88,2.13,34.99
51,3_9,1o,62.86,2.05,35.09
52,2_5,2s,62.82,7.77,29.41
53,2_8,2osame,62.82,2.12,35.06
54,3_8,2odifferent,62.78,1.98,35.24
55,2_6,2osame,62.78,2.14,35.08
56,2_9,2osame,62.78,2.14,35.08
57,2_7,1o,62.73,2.09,35.17
58,3_9,2osame,62.65,2.13,35.22
59,4_9,2odifferent,62.61,1.98,35.41
60,3_8,1o,62.58,2.06,35.36
61,3_7,2osame,62.58,2.13,35.3
62,2_8,2odifferent,62.56,2.0,35.44
63,2_9,2odifferent,62.51,2.03,35.47
64,3_4,2odifferent,62.45,2.04,35.51
65,4_8,2osame,62.43,2.12,35.46
66,4_9,1o,62.41,2.06,35.53
67,3_9,2odifferent,62.38,2.0,35.62
68,2_8,1o,62.35,2.08,35.56
69,2_6,1o,62.33,2.06,35.61
70,2_9,1o,62.31,2.1,35.59
71,3_9,1o,62.18,2.07,35.74
72,3_7,1o,62.13,2.05,35.83
73,2_6,2osame,62.1,2.14,35.76
74,5_8,2s,62.0,7.09,30.91
75,4_8,1o,61.97,2.03,35.99
76,3_7,2osame,61.89,2.12,35.98
77,2_6,2odifferent,61.87,2.02,36.11
78,4_8,2osame,61.74,2.11,36.15
79,3_7,2odifferent,61.66,1.99,36.35
80,2_6,1o,61.65,2.1,36.25
81,4_8,2odifferent,61.51,1.96,36.52
82,3_6,2osame,61.47,2.13,36.39
83,3_7,1o,61.44,2.07,36.49
84,2_3,1s,61.4,2.06,36.54
85,3_5,2s,61.3,7.65,31.06
86,4_8,1o,61.3,2.04,36.66
87,4_7,2osame,61.27,2.12,36.61
88,2_4,1s,61.25,2.05,36.7
89,3_6,1o,61.05,2.05,36.9
90,4_7,1o,60.85,2.04,37.12
91,3_6,2osame,60.79,2.13,37.08
92,5_7,2s,60.67,7.01,32.32
93,3_6,2odifferent,60.6,1.99,37.41
94,4_7,2osame,60.59,2.11,37.3
95,4_7,2odifferent,60.4,1.97,37.63
96,3_6,1o,60.36,2.07,37.57
97,4_6,2osame,60.17,2.12,37.7
98,4_7,1o,60.16,2.04,37.79
99,2_3,2s,60.09,2.0,37.92
100,2_4,2s,59.95,1.98,38.07
101,3_4,1s,59.8,2.04,38.15
102,4_5,2s,59.78,7.52,32.7
103,2_7,1s,59.77,2.01,38.22
104,4_6,1o,59.76,2.04,38.19
105,5_6,2s,59.67,6.93,33.4
106,3_8,1s,59.63,2.0,38.37
107,4_9,1s,59.48,2.01,38.51
108,4_6,2osame,59.48,2.12,38.4
109,2_8,1s,59.42,2.0,38.58
110,2_9,1s,59.39,2.02,38.59
111,4_6,2odifferent,59.34,1.97,38.69
112,3_9,1s,59.26,2.01,38.73
113,4_6,1o,59.08,2.05,38.87
114,2_7,2s,58.94,1.93,39.13
115,3_8,2s,58.8,1.92,39.28
116,2_6,1s,58.7,2.01,39.29
117,4_9,2s,58.66,1.93,39.41
118,3_4,2s,58.6,1.97,39.43
119,2_8,2s,58.59,1.92,39.49
120,2_9,2s,58.55,1.94,39.52
121,3_7,1s,58.51,2.0,39.49
122,3_9,2s,58.44,1.93,39.63
123,4_8,1s,58.38,1.99,39.63
124,2_6,2s,57.95,1.93,40.12
125,3_7,2s,57.77,1.92,40.31
126,4_8,2s,57.64,1.91,40.45
127,3_6,1s,57.44,2.0,40.56
128,4_7,1s,57.26,1.99,40.75
