,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_8,2osame,74.03,5.01,20.97
1,3_8,2osame,73.91,4.99,21.1
2,2_8,1o,73.43,4.87,21.7
3,3_8,1o,73.31,4.85,21.84
4,2_8,2odifferent,72.77,4.78,22.45
5,3_8,2odifferent,72.65,4.75,22.6
6,4_8,2osame,72.23,4.85,22.92
7,4_8,1o,71.65,4.72,23.63
8,8_J,2osame,71.23,4.24,24.53
9,4_8,2odifferent,71.01,4.6,24.38
10,8_J,2odifferent,70.74,4.0,25.26
11,8_J,1o,70.65,4.12,25.23
12,5_8,2osame,70.55,4.72,24.74
13,5_8,1o,69.99,4.59,25.42
14,8_T,2osame,69.66,4.13,26.21
15,7_8,2osame,69.63,4.54,25.83
16,5_8,2odifferent,69.38,4.46,26.15
17,6_8,2osame,69.33,4.54,26.13
18,8_T,2odifferent,69.22,3.89,26.89
19,8_T,1o,69.11,4.01,26.89
20,7_8,1o,69.09,4.41,26.5
21,6_8,1o,68.79,4.41,26.8
22,7_8,2odifferent,68.49,4.28,27.24
23,2_8,2s,68.44,4.61,26.95
24,2_7,2osame,68.43,1.04,30.54
25,2_7,2osame,68.42,1.04,30.54
26,3_8,2s,68.32,4.59,27.09
27,6_8,2odifferent,68.19,4.28,27.52
28,8_9,2osame,68.18,4.03,27.79
29,2_7,1o,67.87,1.0,31.12
30,2_7,1o,67.87,0.96,31.17
31,8_9,2odifferent,67.79,3.78,28.43
32,8_9,1o,67.65,3.9,28.44
33,2_7,2odifferent,67.32,0.92,31.76
34,2_6,2osame,67.08,1.03,31.89
35,2_6,2osame,67.07,1.03,31.9
36,3_7,2osame,67.0,1.04,31.96
37,3_7,2osame,67.0,1.04,31.96
38,4_8,2s,66.79,4.48,28.73
39,8_J,2s,66.57,3.92,29.51
40,2_6,1o,66.55,0.99,32.46
41,2_6,1o,66.55,0.95,32.5
42,3_7,1o,66.47,0.98,32.54
43,3_7,1o,66.47,0.96,32.57
44,2_3,2osame,66.19,1.09,32.72
45,2_3,2osame,66.19,1.09,32.72
46,2_6,2odifferent,66.02,0.92,33.07
47,3_7,2odifferent,65.94,0.9,33.16
48,2_3,1o,65.67,1.03,33.3
49,2_3,1o,65.67,1.05,33.28
50,2_4,2osame,65.67,1.08,33.26
51,2_4,2osame,65.66,1.08,33.26
52,3_6,2osame,65.66,1.03,33.32
