,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,9_A,1o,93.37,1.42,5.21
1,6_A,1o,93.37,0.98,5.65
2,8_A,1o,92.94,1.41,5.66
3,7_A,1o,92.94,1.41,5.65
4,2_A,1o,92.8,1.4,5.79
5,K_A,1o,92.8,1.35,5.86
6,9_A,2odifferent,92.52,1.32,6.15
7,6_A,2odifferent,92.52,0.89,6.59
8,3_A,1o,92.37,1.39,6.24
9,Q_A,1o,92.37,1.33,6.3
10,7_A,2odifferent,92.1,1.31,6.59
11,8_A,2odifferent,92.1,1.31,6.59
12,2_A,2odifferent,91.96,1.35,6.69
13,K_A,2odifferent,91.95,1.25,6.8
14,4_A,1o,91.94,1.38,6.69
15,J_A,1o,91.93,1.32,6.75
16,3_A,2odifferent,91.53,1.32,7.15
17,Q_A,2odifferent,91.53,1.24,7.24
18,5_A,1o,91.51,1.36,7.13
19,T_A,1o,91.5,1.31,7.19
20,4_A,2odifferent,91.11,1.29,7.6
21,J_A,2odifferent,91.1,1.22,7.67
22,5_A,2odifferent,90.68,1.27,8.04
23,T_A,2odifferent,90.68,1.21,8.11
24,2_K,2osame,89.83,0.53,9.64
25,2_K,2osame,89.83,0.53,9.64
26,2_Q,2osame,89.39,0.52,10.09
27,3_K,2osame,89.39,0.52,10.09
28,2_Q,2osame,89.39,0.52,10.09
29,3_K,2osame,89.39,0.52,10.09
30,2_K,1o,89.06,0.49,10.44
31,2_K,1o,89.06,0.45,10.49
32,2_J,2osame,88.96,0.5,10.54
33,2_J,2osame,88.96,0.5,10.54
34,4_K,2osame,88.95,0.5,10.55
35,3_Q,2osame,88.95,0.5,10.54
36,4_K,2osame,88.95,0.5,10.55
37,3_Q,2osame,88.95,0.5,10.54
38,2_9,2osame,88.74,0.48,10.78
39,2_7,2osame,88.74,0.48,10.78
40,2_9,2osame,88.74,0.48,10.78
41,2_7,2osame,88.74,0.48,10.78
42,8_K,2osame,88.71,0.44,10.85
43,8_K,2osame,88.71,0.44,10.85
44,3_K,1o,88.63,0.46,10.91
45,3_K,1o,88.63,0.43,10.94
46,2_Q,1o,88.63,0.43,10.93
47,2_Q,1o,88.63,0.48,10.89
48,3_J,2osame,88.52,0.49,11.0
49,3_J,2osame,88.52,0.49,11.0
50,2_T,2osame,88.52,0.49,11.0
51,2_T,2osame,88.52,0.49,11.0
52,5_K,2osame,88.51,0.49,11.0
53,5_K,2osame,88.51,0.49,11.0
54,4_Q,2osame,88.51,0.49,11.0
55,4_Q,2osame,88.51,0.49,11.0
56,4_9,2osame,88.3,0.47,11.24
57,2_8,2osame,88.3,0.47,11.23
58,3_9,2osame,88.3,0.47,11.24
59,3_8,2osame,88.3,0.47,11.24
60,2_8,2osame,88.3,0.47,11.23
61,4_9,2osame,88.3,0.47,11.24
62,3_8,2osame,88.3,0.47,11.24
63,3_9,2osame,88.3,0.47,11.24
64,2_K,2odifferent,88.3,0.41,11.29
65,7_K,2osame,88.28,0.42,11.3
66,7_Q,2osame,88.28,0.42,11.3
67,7_K,2osame,88.28,0.42,11.3
68,7_Q,2osame,88.28,0.42,11.3
69,6_K,2osame,88.25,0.45,11.3
70,6_K,2osame,88.25,0.45,11.3
71,2_J,1o,88.21,0.42,11.37
72,2_J,1o,88.2,0.47,11.33
73,4_K,1o,88.2,0.43,11.36
74,3_Q,1o,88.2,0.42,11.38
75,3_Q,1o,88.2,0.45,11.35
76,4_K,1o,88.2,0.42,11.38
77,3_T,2osame,88.08,0.47,11.45
78,3_T,2osame,88.08,0.47,11.45
