,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_J,2osame,77.08,2.27,20.64
1,3_J,2osame,76.55,2.26,21.19
2,2_J,1o,76.44,2.17,21.39
3,4_J,2osame,76.03,2.24,21.72
4,3_J,1o,75.92,2.16,21.92
5,2_J,2odifferent,75.75,2.12,22.14
6,5_J,2osame,75.52,2.23,22.26
7,6_J,2osame,75.44,2.19,22.37
8,4_J,1o,75.4,2.14,22.45
9,3_J,2odifferent,75.23,2.08,22.68
10,5_J,1o,74.9,2.13,22.98
11,6_J,1o,74.82,2.09,23.09
12,4_J,2odifferent,74.73,2.05,23.22
13,5_J,2odifferent,74.23,2.03,23.74
14,7_J,2osame,74.21,2.07,23.72
15,6_J,2odifferent,74.15,1.99,23.86
16,J_K,2osame,73.79,1.67,24.54
17,7_J,1o,73.6,1.97,24.42
18,J_K,2odifferent,73.25,1.48,25.27
19,9_J,2osame,73.23,1.98,24.79
20,J_K,1o,73.18,1.58,25.24
21,7_J,2odifferent,72.95,1.88,25.17
22,8_J,2osame,72.93,1.97,25.1
23,9_J,1o,72.64,1.88,25.48
24,8_J,1o,72.34,1.87,25.79
25,J_Q,2osame,72.21,1.55,26.23
26,9_J,2odifferent,71.99,1.79,26.23
27,J_Q,2odifferent,71.72,1.37,26.92
28,8_J,2odifferent,71.7,1.77,26.53
29,J_Q,1o,71.63,1.46,26.91
30,2_J,2s,71.32,2.03,26.65
31,T_J,2osame,71.11,1.9,26.99
32,3_J,2s,70.83,2.02,27.15
33,T_J,1o,70.55,1.8,27.65
34,4_J,2s,70.36,2.0,27.64
35,T_J,2odifferent,69.94,1.7,28.36
36,5_J,2s,69.88,1.99,28.12
37,6_J,2s,69.78,1.96,28.26
38,9_A,1o,69.42,7.84,22.75
39,9_A,2osame,69.35,7.96,22.69
40,6_A,1o,69.34,7.52,23.14
41,6_A,2osame,69.27,7.64,23.09
42,T_A,1o,69.12,8.05,22.83
43,2_T,2osame,69.12,0.55,30.34
44,2_T,2osame,69.12,0.54,30.33
45,8_A,1o,69.09,7.86,23.05
46,T_A,2osame,69.04,8.19,22.78
47,8_A,2osame,69.01,7.99,23.0
48,J_K,2s,68.97,1.49,29.54
49,7_A,1o,68.84,7.9,23.25
50,9_A,2odifferent,68.82,7.71,23.47
51,7_A,2osame,68.77,8.03,23.2
52,2_A,1o,68.77,8.17,23.06
53,6_A,2odifferent,68.74,7.4,23.86
54,3_T,2osame,68.72,0.53,30.75
55,3_T,2osame,68.71,0.53,30.76
56,9_A,1o,68.7,7.84,23.47
57,2_A,2osame,68.69,8.3,23.01
58,7_J,2s,68.66,1.87,29.47
59,6_A,1o,68.62,7.52,23.86
60,2_T,1o,68.57,0.47,30.97
61,2_T,1o,68.57,0.51,30.92
62,T_A,2odifferent,68.52,7.93,23.55
63,8_A,2odifferent,68.5,7.73,23.77
64,2_9,2osame,68.43,0.54,31.03
65,2_9,2osame,68.42,0.54,31.04
66,T_A,1o,68.39,8.06,23.55
67,8_A,1o,68.37,7.86,23.77
68,4_T,2osame,68.33,0.52,31.16
69,3_A,1o,68.32,8.08,23.6
70,4_T,2osame,68.32,0.52,31.17
71,5_T,2osame,68.29,0.51,31.2
72,2_7,2osame,68.28,0.54,31.18
73,5_T,2osame,68.28,0.52,31.21
74,2_7,2osame,68.28,0.54,31.18
75,7_A,2odifferent,68.26,7.77,23.97
76,3_A,2osame,68.24,8.21,23.56
77,2_A,2odifferent,68.18,8.09,23.74
78,3_T,1o,68.17,0.48,31.35
79,3_T,1o,68.17,0.45,31.38
80,7_A,1o,68.13,7.9,23.97
81,2_8,2osame,68.09,0.53,31.39
82,2_8,2osame,68.09,0.53,31.38
83,3_8,2osame,68.04,0.53,31.43
84,2_A,1o,68.04,8.21,23.74
85,3_8,2osame,68.03,0.53,31.44
