,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_J,1o,93.01,2.68,4.31
1,3_J,1o,92.57,2.67,4.76
2,6_J,1o,92.19,2.6,5.21
3,2_J,2odifferent,92.15,2.62,5.23
4,4_J,1o,92.14,2.65,5.21
5,3_J,2odifferent,91.73,2.59,5.69
6,5_J,1o,91.71,2.64,5.65
7,6_J,2odifferent,91.36,2.49,6.15
8,4_J,2odifferent,91.3,2.56,6.14
9,5_J,2odifferent,90.88,2.54,6.58
10,7_J,1o,90.81,2.5,6.69
11,7_J,2odifferent,90.0,2.39,7.61
12,8_J,1o,89.43,2.4,8.17
13,2_T,2osame,89.09,0.51,10.4
14,2_T,2osame,89.09,0.51,10.4
15,2_9,2osame,88.83,0.51,10.67
16,2_9,2osame,88.83,0.51,10.67
17,2_7,2osame,88.74,0.51,10.75
18,2_7,2osame,88.74,0.51,10.75
19,3_T,2osame,88.65,0.5,10.85
20,3_T,2osame,88.65,0.5,10.85
21,8_J,2odifferent,88.64,2.29,9.08
22,2_8,2osame,88.54,0.5,10.96
23,2_8,2osame,88.54,0.5,10.96
24,3_8,2osame,88.53,0.5,10.97
25,3_8,2osame,88.53,0.5,10.97
26,3_9,2osame,88.39,0.49,11.12
27,3_9,2osame,88.39,0.49,11.12
28,4_9,2osame,88.38,0.49,11.12
29,4_9,2osame,88.38,0.49,11.12
30,2_T,1o,88.34,0.48,11.19
31,2_T,1o,88.33,0.43,11.24
32,4_T,2osame,88.21,0.48,11.31
33,4_T,2osame,88.21,0.48,11.31
34,5_T,2osame,88.2,0.48,11.31
35,5_T,2osame,88.2,0.48,11.31
36,2_9,1o,88.08,0.47,11.45
37,2_9,1o,88.07,0.43,11.5
38,9_J,1o,88.06,2.29,9.65
39,2_7,1o,87.99,0.43,11.58
40,2_7,1o,87.99,0.47,11.54
41,3_T,1o,87.9,0.42,11.68
42,3_T,1o,87.9,0.44,11.65
43,3_8,1o,87.79,0.44,11.77
44,2_8,1o,87.79,0.42,11.79
45,3_8,1o,87.79,0.42,11.79
46,2_8,1o,87.79,0.46,11.75
47,4_9,1o,87.65,0.43,11.93
48,3_9,1o,87.65,0.44,11.92
49,4_9,1o,87.64,0.41,11.95
50,3_9,1o,87.64,0.41,11.95
51,2_T,2odifferent,87.58,0.4,12.02
52,2_6,2osame,87.54,0.5,11.96
53,2_6,2osame,87.54,0.5,11.96
54,4_T,1o,87.47,0.42,12.11
55,5_T,1o,87.47,0.41,12.12
56,4_T,1o,87.46,0.41,12.13
57,5_T,1o,87.46,0.41,12.13
58,2_J,2s,87.43,2.48,10.1
59,2_9,2odifferent,87.33,0.39,12.28
60,9_J,2odifferent,87.28,2.18,10.54
61,2_7,2odifferent,87.24,0.39,12.37
62,3_T,2odifferent,87.16,0.37,12.48
63,2_8,2odifferent,87.04,0.38,12.57
64,3_8,2odifferent,87.04,0.36,12.59
65,3_J,2s,87.03,2.47,10.5
66,6_T,2osame,86.97,0.44,12.59
67,6_T,2osame,86.97,0.44,12.59
68,3_7,2osame,86.96,0.5,12.54
69,3_7,2osame,86.96,0.5,12.54
70,3_9,2odifferent,86.9,0.36,12.74
71,4_9,2odifferent,86.9,0.35,12.75
72,2_6,1o,86.81,0.43,12.77
73,2_6,1o,86.8,0.47,12.73
74,4_8,2osame,86.76,0.49,12.76
75,4_8,2osame,86.76,0.49,12.76
76,4_T,2odifferent,86.73,0.34,12.93
77,5_T,2odifferent,86.73,0.33,12.94
78,6_J,2s,86.69,2.4,10.91
79,4_J,2s,86.64,2.46,10.91
80,5_9,2osame,86.61,0.48,12.91
81,5_9,2osame,86.61,0.48,12.91
82,7_T,2osame,86.55,0.45,13.0
83,7_T,2osame,86.55,0.45,13.0
84,8_T,2osame,86.41,0.46,13.13
85,8_T,2osame,86.41,0.46,13.13
86,9_T,2osame,86.31,0.47,13.23
87,9_T,2osame,86.31,0.47,13.23
88,6_T,1o,86.25,0.36,13.39
89,3_7,1o,86.24,0.44,13.32
90,3_7,1o,86.24,0.42,13.34
91,5_J,2s,86.24,2.45,11.31
92,6_T,1o,86.24,0.36,13.4
93,T_J,1o,86.22,2.15,11.63
94,2_3,2osame,86.14,0.57,13.29
95,2_3,2osame,86.14,0.57,13.29
96,2_6,2odifferent,86.07,0.39,13.54
97,4_8,1o,86.04,0.41,13.55
98,4_8,1o,86.04,0.42,13.54
99,5_9,1o,85.9,0.41,13.7
100,5_9,1o,85.89,0.4,13.71
101,7_T,1o,85.84,0.37,13.78
102,7_T,1o,85.84,0.37,13.79
103,3_6,2osame,85.76,0.49,13.75
104,3_6,2osame,85.76,0.49,13.75
105,2_4,2osame,85.71,0.55,13.74
106,8_T,1o,85.71,0.38,13.92
107,2_4,2osame,85.71,0.55,13.74
108,8_T,1o,85.7,0.38,13.92
109,9_T,1o,85.61,0.39,14.01
110,9_T,1o,85.61,0.39,14.0
111,6_T,2odifferent,85.52,0.29,14.19
112,3_7,2odifferent,85.52,0.36,14.12
113,T_J,2odifferent,85.47,2.04,12.49
114,2_3,1o,85.43,0.51,14.06
115,2_3,1o,85.43,0.53,14.04
116,7_J,2s,85.41,2.32,12.27
117,6_9,2osame,85.37,0.44,14.19
118,6_9,2osame,85.37,0.44,14.19
119,4_8,2odifferent,85.32,0.34,14.34
120,2_5,2osame,85.27,0.54,14.2
121,2_5,2osame,85.27,0.54,14.2
122,4_7,2osame,85.19,0.49,14.33
123,4_7,2osame,85.19,0.49,14.33
124,5_9,2odifferent,85.18,0.33,14.49
125,7_T,2odifferent,85.13,0.29,14.58
126,3_6,1o,85.05,0.44,14.51
127,3_6,1o,85.05,0.41,14.53
128,8_T,2odifferent,85.0,0.3,14.7
129,2_4,1o,85.0,0.51,14.49
130,2_4,1o,85.0,0.48,14.51
131,5_8,2osame,84.98,0.48,14.54
132,5_8,2osame,84.98,0.48,14.54
133,7_9,2osame,84.95,0.45,14.6
134,7_9,2osame,84.95,0.45,14.6
135,9_T,2odifferent,84.91,0.31,14.78
136,8_9,2osame,84.81,0.46,14.74
137,8_9,2osame,84.81,0.46,14.74
138,2_3,2odifferent,84.72,0.47,14.81
139,2_T,1s,84.68,0.5,14.82
140,6_9,1o,84.67,0.36,14.97
141,6_9,1o,84.67,0.36,14.98
142,2_5,1o,84.57,0.46,14.97
143,2_5,1o,84.56,0.5,14.94
144,4_7,1o,84.49,0.41,15.1
145,4_7,1o,84.49,0.42,15.09
146,2_9,1s,84.45,0.49,15.06
147,2_7,1s,84.38,0.49,15.13
148,3_6,2odifferent,84.35,0.36,15.29
149,5_8,1o,84.29,0.4,15.3
150,5_8,1o,84.29,0.4,15.32
151,2_4,2odifferent,84.29,0.45,15.26
152,3_T,1s,84.28,0.48,15.24
153,7_9,1o,84.27,0.37,15.36
154,7_9,1o,84.26,0.37,15.37
155,3_8,1s,84.18,0.49,15.33
156,2_8,1s,84.18,0.49,15.33
157,8_J,2s,84.13,2.25,13.62
158,8_9,1o,84.13,0.38,15.49
159,8_9,1o,84.13,0.38,15.5
160,3_9,1s,84.04,0.48,15.48
161,4_9,1s,84.04,0.48,15.48
162,4_6,2osame,83.98,0.48,15.54
163,4_6,2osame,83.98,0.48,15.54
164,6_9,2odifferent,83.97,0.28,15.75
