,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_J,2osame,75.93,3.33,20.75
1,3_J,2osame,75.41,3.3,21.29
2,2_J,1o,75.29,3.21,21.49
3,4_J,2osame,74.89,3.28,21.83
4,3_J,1o,74.78,3.19,22.03
5,6_J,2osame,74.73,3.2,22.06
6,2_J,2odifferent,74.61,3.15,22.24
7,5_J,2osame,74.39,3.26,22.36
8,4_J,1o,74.28,3.17,22.56
9,6_J,1o,74.12,3.09,22.79
10,3_J,2odifferent,74.11,3.1,22.79
11,5_J,1o,73.78,3.14,23.08
12,8_J,2osame,73.75,3.09,23.15
13,4_J,2odifferent,73.61,3.07,23.32
14,6_J,2odifferent,73.45,2.98,23.57
15,7_J,2osame,73.45,3.09,23.46
16,8_J,1o,73.15,2.98,23.86
17,5_J,2odifferent,73.12,3.04,23.84
18,7_J,1o,72.85,2.98,24.17
19,J_Q,2osame,72.79,2.6,24.62
20,8_J,2odifferent,72.5,2.87,24.63
21,J_Q,2odifferent,72.27,2.39,25.35
22,7_J,2odifferent,72.21,2.87,24.92
23,J_Q,1o,72.19,2.49,25.32
24,9_J,2osame,72.14,3.01,24.85
25,T_J,2osame,71.68,2.94,25.38
26,9_J,1o,71.56,2.9,25.54
27,T_J,1o,71.1,2.83,26.07
28,9_J,2odifferent,70.93,2.79,26.28
29,T_J,2odifferent,70.48,2.72,26.8
30,2_K,1o,70.32,8.14,21.54
31,2_K,2osame,70.26,8.27,21.48
32,2_J,2s,70.21,3.03,26.75
33,3_K,1o,69.87,8.05,22.08
34,3_K,2osame,69.8,8.18,22.02
35,3_J,2s,69.74,3.01,27.25
36,2_K,2odifferent,69.7,8.06,22.24
37,2_T,2osame,69.65,0.79,29.56
38,2_T,2osame,69.65,0.79,29.56
39,2_K,1o,69.59,8.18,22.22
40,8_K,1o,69.58,7.72,22.7
41,9_K,1o,69.56,7.63,22.8
42,8_K,2osame,69.52,7.84,22.64
43,9_K,2osame,69.49,7.76,22.75
44,4_K,1o,69.42,7.97,22.61
45,6_K,1o,69.36,7.79,22.85
46,4_K,2osame,69.35,8.09,22.56
47,6_K,2osame,69.29,7.92,22.8
48,4_J,2s,69.27,2.99,27.74
49,3_K,2odifferent,69.27,7.95,22.79
50,T_K,1o,69.26,7.86,22.87
51,3_T,2osame,69.25,0.77,29.98
52,7_K,1o,69.25,7.75,23.0
53,3_T,2osame,69.25,0.77,29.98
54,7_K,2osame,69.18,7.87,22.95
55,T_K,2osame,69.18,8.0,22.82
56,3_K,1o,69.15,8.08,22.78
57,6_J,2s,69.11,2.92,27.97
58,2_T,1o,69.09,0.75,30.16
59,2_T,1o,69.08,0.71,30.21
60,8_K,2odifferent,68.99,7.59,23.42
61,5_K,1o,68.97,7.89,23.14
62,9_K,2odifferent,68.96,7.51,23.53
63,5_K,2osame,68.9,8.02,23.09
64,8_K,1o,68.86,7.71,23.42
65,4_T,2osame,68.86,0.76,30.39
66,4_T,2osame,68.85,0.76,30.39
67,9_K,1o,68.84,7.64,23.53
68,4_K,2odifferent,68.83,7.85,23.32
69,5_T,2osame,68.82,0.76,30.43
70,5_J,2s,68.81,2.97,28.22
71,5_T,2osame,68.81,0.76,30.43
72,6_K,2odifferent,68.77,7.67,23.57
73,4_K,1o,68.7,7.98,23.32
74,3_T,1o,68.69,0.69,30.62
75,3_T,1o,68.69,0.72,30.59
76,7_K,2odifferent,68.66,7.62,23.72
77,T_K,2odifferent,68.66,7.74,23.6
78,2_9,2osame,68.65,0.77,30.58
79,2_9,2osame,68.64,0.77,30.59
80,6_K,1o,68.64,7.79,23.57
81,7_K,1o,68.54,7.74,23.72
82,T_K,1o,68.54,7.87,23.59
83,2_T,2odifferent,68.52,0.67,30.81
84,5_K,2odifferent,68.39,7.77,23.84
85,4_T,1o,68.3,0.69,31.01
86,4_T,1o,68.3,0.68,31.03
87,5_T,1o,68.27,0.68,31.05
88,5_T,1o,68.26,0.68,31.07
89,5_K,1o,68.26,7.9,23.85
90,3_9,2osame,68.24,0.76,31.0
91,3_9,2osame,68.24,0.76,31.0
92,2_7,2osame,68.23,0.77,31.01
93,2_7,2osame,68.22,0.77,31.01
94,8_J,2s,68.2,2.83,28.97
95,2_8,2osame,68.2,0.77,31.03
96,2_8,2osame,68.2,0.77,31.03
97,4_9,2osame,68.2,0.76,31.05
98,4_9,2osame,68.19,0.76,31.05
99,3_8,2osame,68.15,0.77,31.08
100,3_8,2osame,68.15,0.77,31.08
101,3_T,2odifferent,68.13,0.64,31.24
102,J_Q,2s,68.09,2.39,29.52
103,2_9,1o,68.09,0.69,31.21
104,2_9,1o,68.09,0.74,31.17
105,7_J,2s,67.94,2.83,29.23
106,6_T,2osame,67.82,0.71,31.47
107,6_T,2osame,67.82,0.71,31.47
108,4_T,2odifferent,67.74,0.61,31.65
109,3_9,1o,67.7,0.7,31.6
110,3_9,1o,67.7,0.68,31.63
111,5_T,2odifferent,67.7,0.6,31.69
112,2_7,1o,67.68,0.69,31.63
113,2_7,1o,67.68,0.73,31.59
114,2_8,1o,67.66,0.73,31.61
115,2_8,1o,67.66,0.69,31.65
116,4_9,1o,67.65,0.68,31.67
117,4_9,1o,67.65,0.69,31.66
118,3_8,1o,67.61,0.69,31.71
119,3_8,1o,67.61,0.71,31.68
120,2_9,2odifferent,67.54,0.66,31.8
121,2_6,2osame,67.36,0.77,31.87
122,2_6,2osame,67.36,0.77,31.88
123,6_T,1o,67.28,0.63,32.09
124,6_T,1o,67.28,0.63,32.08
125,3_9,2odifferent,67.15,0.62,32.23
126,2_7,2odifferent,67.14,0.65,32.21
127,4_9,2odifferent,67.11,0.61,32.28
128,2_8,2odifferent,67.11,0.65,32.24
129,3_8,2odifferent,67.06,0.63,32.31
130,2_6,1o,66.83,0.69,32.48
131,2_6,1o,66.82,0.73,32.44
132,3_7,2osame,66.8,0.76,32.44
133,3_7,2osame,66.8,0.76,32.44
134,9_J,2s,66.79,2.77,30.45
135,2_Q,2osame,66.79,0.81,32.4
136,5_9,2osame,66.78,0.75,32.48
137,5_9,2osame,66.78,0.75,32.47
138,4_8,2osame,66.73,0.76,32.52
139,4_8,2osame,66.73,0.76,32.51
140,6_T,2odifferent,66.73,0.56,32.71
141,2_K,1s,66.71,7.88,25.4
142,7_T,2osame,66.66,0.72,32.62
143,7_T,2osame,66.66,0.72,32.62
144,2_3,2osame,66.48,0.82,32.7
