,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_J,2osame,75.24,4.32,20.44
1,3_J,2osame,74.73,4.29,20.99
2,2_J,1o,74.61,4.19,21.2
3,7_J,2osame,74.38,4.16,21.46
4,4_J,2osame,74.22,4.26,21.52
5,3_J,1o,74.11,4.16,21.73
6,6_J,2osame,74.08,4.16,21.76
7,2_J,2odifferent,73.94,4.12,21.95
8,7_J,1o,73.77,4.03,22.2
9,5_J,2osame,73.72,4.22,22.05
10,4_J,1o,73.61,4.13,22.26
11,6_J,1o,73.47,4.04,22.5
12,3_J,2odifferent,73.44,4.06,22.5
13,5_J,1o,73.12,4.1,22.79
14,7_J,2odifferent,73.1,3.91,22.99
15,4_J,2odifferent,72.95,4.02,23.03
16,6_J,2odifferent,72.81,3.92,23.27
17,8_J,2osame,72.77,4.06,23.16
18,5_J,2odifferent,72.47,3.98,23.55
19,9_J,2osame,72.4,3.99,23.6
20,T_J,2osame,72.34,3.94,23.72
21,8_J,1o,72.18,3.94,23.88
22,9_J,1o,71.81,3.87,24.32
23,T_J,1o,71.75,3.81,24.44
24,8_J,2odifferent,71.53,3.82,24.65
25,9_J,2odifferent,71.18,3.75,25.07
26,T_J,2odifferent,71.12,3.69,25.19
27,2_T,2osame,70.49,1.05,28.46
28,2_T,2osame,70.49,1.05,28.46
29,2_Q,1o,70.31,8.44,21.25
30,2_Q,2osame,70.25,8.58,21.18
31,3_T,2osame,70.09,1.03,28.88
32,3_T,2osame,70.09,1.03,28.87
33,2_T,1o,69.91,1.01,29.08
34,2_T,1o,69.91,0.97,29.12
35,3_Q,1o,69.86,8.36,21.78
36,3_Q,2osame,69.79,8.49,21.72
37,2_Q,2odifferent,69.7,8.35,21.95
38,4_T,2osame,69.7,1.02,29.29
39,4_T,2osame,69.69,1.02,29.29
40,7_Q,1o,69.68,8.06,22.26
41,5_T,2osame,69.66,1.02,29.33
42,5_T,2osame,69.65,1.02,29.33
43,7_Q,2osame,69.61,8.19,22.2
44,2_Q,1o,69.58,8.49,21.93
45,2_J,2s,69.55,3.98,26.47
46,3_T,1o,69.51,0.95,29.54
47,3_T,1o,69.51,0.98,29.51
48,2_9,2osame,69.45,1.02,29.52
49,2_9,2osame,69.45,1.02,29.53
50,4_Q,1o,69.41,8.27,22.31
51,6_Q,1o,69.35,8.1,22.55
52,4_Q,2osame,69.34,8.4,22.26
53,8_Q,1o,69.33,7.96,22.71
54,2_T,2odifferent,69.32,0.93,29.75
55,9_Q,1o,69.31,7.88,22.8
56,6_Q,2osame,69.28,8.23,22.5
57,3_Q,2odifferent,69.26,8.25,22.5
58,8_Q,2osame,69.25,8.09,22.66
59,9_Q,2osame,69.23,8.02,22.75
60,3_Q,1o,69.14,8.38,22.48
61,4_T,1o,69.12,0.94,29.94
62,4_T,1o,69.12,0.95,29.92
63,5_T,1o,69.09,0.95,29.97
64,3_J,2s,69.09,3.95,26.97
65,5_T,1o,69.08,0.94,29.98
66,7_Q,2odifferent,69.08,7.93,22.99
67,3_9,2osame,69.05,1.01,29.94
68,3_9,2osame,69.05,1.01,29.94
69,T_Q,1o,69.02,8.11,22.86
70,4_9,2osame,69.01,1.01,29.99
71,4_9,2osame,69.0,1.01,29.99
72,5_Q,1o,68.97,8.2,22.84
73,2_7,2osame,68.97,1.02,30.02
74,7_Q,1o,68.96,8.06,22.98
75,2_7,2osame,68.96,1.02,30.02
76,T_Q,2osame,68.93,8.26,22.81
77,3_T,2odifferent,68.93,0.9,30.17
78,2_9,1o,68.88,0.94,30.17
79,2_9,1o,68.88,0.99,30.13
80,5_Q,2osame,68.88,8.33,22.79
