,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_K,1o,94.16,1.53,4.31
1,3_K,1o,93.73,1.52,4.76
2,8_K,1o,93.35,1.44,5.21
3,2_K,2odifferent,93.29,1.48,5.23
4,4_K,1o,93.29,1.5,5.21
5,6_K,1o,92.92,1.43,5.65
6,7_K,1o,92.92,1.43,5.65
7,3_K,2odifferent,92.87,1.45,5.69
8,5_K,1o,92.86,1.49,5.65
9,8_K,2odifferent,92.5,1.35,6.15
10,4_K,2odifferent,92.45,1.42,6.14
11,6_K,2odifferent,92.08,1.34,6.59
12,7_K,2odifferent,92.08,1.34,6.59
13,5_K,2odifferent,92.02,1.4,6.58
14,9_K,1o,91.97,1.34,6.69
15,9_K,2odifferent,91.14,1.25,7.61
16,Q_K,1o,90.96,1.26,7.78
17,J_K,1o,90.53,1.24,8.23
18,Q_K,2odifferent,90.14,1.16,8.7
19,T_K,1o,90.1,1.23,8.67
20,J_K,2odifferent,89.72,1.15,9.13
21,2_Q,2osame,89.38,0.53,10.09
22,2_Q,2osame,89.38,0.53,10.09
23,T_K,2odifferent,89.3,1.13,9.57
24,2_J,2osame,88.94,0.52,10.54
25,2_J,2osame,88.94,0.52,10.54
26,3_Q,2osame,88.94,0.52,10.54
27,3_Q,2osame,88.94,0.52,10.54
28,2_Q,1o,88.62,0.45,10.93
29,2_Q,1o,88.62,0.49,10.89
30,7_Q,2osame,88.55,0.44,11.0
31,7_Q,2osame,88.55,0.44,11.0
32,2_T,2osame,88.5,0.5,11.0
33,3_J,2osame,88.5,0.5,11.0
34,2_T,2osame,88.5,0.5,11.0
35,3_J,2osame,88.5,0.5,11.0
36,4_Q,2osame,88.5,0.5,11.0
37,4_Q,2osame,88.5,0.5,11.0
38,2_K,2s,88.49,1.41,10.1
39,2_7,2osame,88.43,0.49,11.08
40,3_8,2osame,88.43,0.49,11.08
41,3_8,2osame,88.43,0.49,11.08
42,2_8,2osame,88.43,0.49,11.08
43,2_8,2osame,88.43,0.49,11.08
44,2_7,2osame,88.43,0.49,11.08
45,2_9,2osame,88.3,0.49,11.21
46,2_9,2osame,88.3,0.49,11.21
47,3_Q,1o,88.19,0.46,11.35
48,2_J,1o,88.19,0.44,11.38
49,2_J,1o,88.19,0.48,11.33
50,3_Q,1o,88.18,0.44,11.38
51,6_J,2osame,88.12,0.43,11.46
52,6_Q,2osame,88.12,0.43,11.45
53,6_J,2osame,88.12,0.43,11.46
54,6_Q,2osame,88.12,0.43,11.45
55,3_K,2s,88.1,1.4,10.5
56,5_Q,2osame,88.06,0.49,11.45
57,3_T,2osame,88.06,0.49,11.45
58,3_T,2osame,88.06,0.49,11.45
59,4_J,2osame,88.06,0.49,11.45
60,5_Q,2osame,88.06,0.49,11.45
61,4_J,2osame,88.06,0.49,11.45
62,4_9,2osame,87.86,0.48,11.66
63,3_9,2osame,87.86,0.48,11.66
64,4_9,2osame,87.86,0.48,11.66
65,3_9,2osame,87.86,0.48,11.66
66,2_Q,2odifferent,87.86,0.41,11.73
67,7_Q,1o,87.81,0.36,11.82
68,7_Q,1o,87.8,0.36,11.83
69,2_T,1o,87.76,0.47,11.78
70,2_T,1o,87.76,0.42,11.82
71,4_Q,1o,87.76,0.43,11.81
72,3_J,1o,87.76,0.45,11.8
73,8_K,2s,87.75,1.34,10.91
74,4_Q,1o,87.75,0.42,11.83
75,3_J,1o,87.75,0.42,11.82
76,4_K,2s,87.7,1.39,10.91
77,2_7,1o,87.69,0.41,11.9
78,2_8,1o,87.69,0.45,11.86
79,2_8,1o,87.69,0.41,11.9
80,3_8,1o,87.69,0.41,11.91
81,2_7,1o,87.68,0.45,11.86
82,3_8,1o,87.68,0.43,11.88
83,5_J,2osame,87.62,0.47,11.91
84,5_T,2osame,87.62,0.47,11.91
85,4_T,2osame,87.62,0.47,11.9
86,5_T,2osame,87.62,0.47,11.91
87,5_J,2osame,87.62,0.47,11.91
88,4_T,2osame,87.62,0.47,11.9
89,2_9,1o,87.56,0.41,12.03
90,2_9,1o,87.56,0.46,11.99
91,2_J,2odifferent,87.44,0.4,12.17
92,3_Q,2odifferent,87.43,0.38,12.19
93,6_J,1o,87.38,0.35,12.26
94,6_Q,1o,87.38,0.35,12.26
95,6_Q,1o,87.37,0.35,12.28
96,6_J,1o,87.37,0.35,12.28
97,6_K,2s,87.36,1.33,11.31
98,7_K,2s,87.36,1.33,11.31
99,3_T,1o,87.33,0.43,12.24
100,4_J,1o,87.33,0.42,12.25
101,5_Q,1o,87.33,0.41,12.26
102,3_T,1o,87.33,0.41,12.27
103,5_Q,1o,87.32,0.41,12.28
104,4_J,1o,87.32,0.41,12.27
105,5_K,2s,87.31,1.38,11.31
106,8_Q,2osame,87.26,0.46,12.29
107,8_Q,2osame,87.26,0.46,12.29
108,3_9,1o,87.13,0.4,12.47
109,4_9,1o,87.12,0.4,12.48
110,4_9,1o,87.12,0.41,12.46
111,3_9,1o,87.12,0.43,12.45
112,2_6,2osame,87.09,0.49,12.41
113,2_6,2osame,87.09,0.49,12.41
114,7_Q,2odifferent,87.06,0.28,12.65
115,2_T,2odifferent,87.01,0.39,12.6
116,3_J,2odifferent,87.01,0.37,12.62
117,4_Q,2odifferent,87.01,0.35,12.64
118,J_Q,2osame,86.95,0.49,12.56
119,J_Q,2osame,86.95,0.49,12.56
120,2_8,2odifferent,86.94,0.37,12.69
121,2_7,2odifferent,86.94,0.37,12.69
122,3_8,2odifferent,86.94,0.35,12.71
123,5_J,1o,86.9,0.4,12.7
124,4_T,1o,86.9,0.41,12.7
125,5_T,1o,86.9,0.4,12.71
126,4_T,1o,86.89,0.39,12.71
127,5_J,1o,86.89,0.39,12.72
128,5_T,1o,86.89,0.39,12.72
129,9_Q,2osame,86.84,0.47,12.69
130,9_Q,2osame,86.84,0.47,12.69
131,2_9,2odifferent,86.81,0.38,12.81
132,7_J,2osame,86.78,0.43,12.79
133,7_J,2osame,86.78,0.43,12.79
134,4_8,2osame,86.65,0.48,12.87
135,3_7,2osame,86.65,0.48,12.87
136,3_7,2osame,86.65,0.48,12.87
137,4_8,2osame,86.65,0.48,12.87
138,6_J,2odifferent,86.64,0.27,13.09
139,6_Q,2odifferent,86.64,0.27,13.09
140,3_T,2odifferent,86.59,0.35,13.06
141,4_J,2odifferent,86.59,0.34,13.07
142,5_Q,2odifferent,86.59,0.33,13.08
143,8_Q,1o,86.53,0.38,13.09
144,8_Q,1o,86.52,0.38,13.1
145,T_Q,2osame,86.51,0.48,13.01
146,T_Q,2osame,86.51,0.48,13.01
147,9_K,2s,86.47,1.26,12.27
148,3_9,2odifferent,86.39,0.35,13.26
149,4_9,2odifferent,86.39,0.33,13.28
150,2_6,1o,86.37,0.41,13.21
151,2_6,1o,86.37,0.46,13.18
152,6_T,2osame,86.34,0.42,13.24
153,6_T,2osame,86.34,0.42,13.24
154,J_Q,1o,86.23,0.41,13.36
155,J_Q,1o,86.23,0.41,13.36
