,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_Q,2osame,76.32,2.89,20.79
1,3_Q,2osame,75.8,2.87,21.33
2,2_Q,1o,75.64,2.83,21.53
3,2_Q,1o,75.63,2.79,21.58
4,8_Q,2osame,75.33,2.76,21.91
5,4_Q,2osame,75.29,2.84,21.87
6,3_Q,1o,75.12,2.76,22.12
7,3_Q,1o,75.12,2.79,22.09
8,7_Q,2osame,75.03,2.76,22.21
9,2_Q,2odifferent,75.0,2.72,22.28
10,5_Q,2osame,74.78,2.82,22.4
11,6_Q,2osame,74.73,2.75,22.51
12,8_Q,1o,74.66,2.65,22.69
13,8_Q,1o,74.65,2.65,22.7
14,4_Q,1o,74.62,2.75,22.63
15,4_Q,1o,74.61,2.74,22.65
16,3_Q,2odifferent,74.49,2.68,22.83
17,7_Q,1o,74.36,2.65,22.99
18,7_Q,1o,74.35,2.65,23.0
19,5_Q,1o,74.12,2.72,23.16
20,5_Q,1o,74.11,2.71,23.18
21,6_Q,1o,74.07,2.65,23.28
22,6_Q,1o,74.06,2.65,23.29
23,8_Q,2odifferent,74.03,2.55,23.42
24,4_Q,2odifferent,73.99,2.64,23.36
25,7_Q,2odifferent,73.74,2.54,23.72
26,9_Q,2osame,73.72,2.68,23.61
27,J_Q,2osame,73.59,2.62,23.79
28,5_Q,2odifferent,73.5,2.61,23.89
29,6_Q,2odifferent,73.45,2.54,24.0
30,T_Q,2osame,73.26,2.6,24.14
31,9_Q,1o,73.07,2.57,24.36
32,9_Q,1o,73.06,2.57,24.38
33,J_Q,1o,72.94,2.51,24.55
34,J_Q,1o,72.94,2.5,24.56
35,T_Q,1o,72.61,2.5,24.89
36,T_Q,1o,72.6,2.49,24.9
37,9_Q,2odifferent,72.46,2.47,25.07
38,2_K,1o,72.33,6.14,21.53
39,J_Q,2odifferent,72.33,2.41,25.26
40,2_K,2osame,72.23,6.25,21.52
41,T_Q,2odifferent,72.01,2.39,25.59
42,3_K,1o,71.87,6.06,22.07
43,3_K,2osame,71.77,6.16,22.07
44,2_K,2odifferent,71.64,6.07,22.28
45,8_K,1o,71.6,5.76,22.64
46,J_K,1o,71.5,5.62,22.88
47,8_K,2osame,71.49,5.87,22.64
48,4_K,1o,71.42,5.98,22.6
49,J_K,2osame,71.39,5.73,22.88
50,4_K,2osame,71.31,6.09,22.6
51,7_K,1o,71.27,5.78,22.94
52,9_K,1o,71.23,5.68,23.09
53,3_K,2odifferent,71.2,5.98,22.83
54,T_K,1o,71.17,5.61,23.22
55,7_K,2osame,71.16,5.89,22.95
56,9_K,2osame,71.12,5.78,23.1
57,T_K,2osame,71.06,5.71,23.23
58,5_K,1o,70.96,5.91,23.12
59,6_K,1o,70.95,5.81,23.24
60,8_K,2odifferent,70.92,5.65,23.42
61,5_K,2osame,70.84,6.02,23.13
62,6_K,2osame,70.84,5.92,23.25
63,J_K,2odifferent,70.83,5.52,23.66
64,4_K,2odifferent,70.75,5.89,23.36
65,7_K,2odifferent,70.61,5.68,23.72
66,2_Q,2s,70.57,2.64,26.79
67,9_K,2odifferent,70.56,5.57,23.87
68,T_K,2odifferent,70.51,5.5,23.99
69,5_K,2odifferent,70.3,5.81,23.89
70,6_K,2odifferent,70.29,5.71,24.0
71,3_Q,2s,70.09,2.62,27.29
72,2_J,2osame,69.66,0.81,29.53
73,2_J,2osame,69.66,0.81,29.53
74,8_Q,2s,69.63,2.52,27.86
75,4_Q,2s,69.62,2.6,27.78
76,7_Q,2s,69.36,2.52,28.12
77,2_T,2osame,69.31,0.8,29.89
78,2_T,2osame,69.31,0.8,29.89
79,3_J,2osame,69.26,0.79,29.95
80,3_J,2osame,69.26,0.79,29.94
81,5_Q,2s,69.16,2.58,28.26
82,6_Q,2s,69.11,2.51,28.38
83,2_J,1o,69.09,0.73,30.18
84,2_J,1o,69.09,0.77,30.13
85,3_T,2osame,68.91,0.78,30.31
86,3_T,2osame,68.91,0.78,30.31
87,4_J,2osame,68.86,0.78,30.36
88,4_J,2osame,68.86,0.78,30.36
89,6_J,2osame,68.85,0.72,30.43
90,6_J,2osame,68.85,0.72,30.43
91,2_T,1o,68.75,0.72,30.54
92,2_T,1o,68.74,0.76,30.49
93,3_J,1o,68.7,0.74,30.56
94,3_J,1o,68.69,0.72,30.59
95,2_K,1s,68.59,5.96,25.45
96,2_J,2odifferent,68.52,0.69,30.78
97,4_T,2osame,68.51,0.77,30.72
98,4_T,2osame,68.51,0.77,30.72
99,5_J,2osame,68.48,0.77,30.76
100,5_T,2osame,68.47,0.77,30.76
101,5_T,2osame,68.47,0.77,30.76
102,5_J,2osame,68.47,0.77,30.76
103,2_9,2osame,68.36,0.78,30.86
104,2_9,2osame,68.36,0.78,30.86
105,3_T,1o,68.35,0.73,30.92
106,3_T,1o,68.35,0.7,30.95
107,4_J,1o,68.31,0.71,30.98
108,4_J,1o,68.3,0.7,31.0
109,6_J,1o,68.3,0.64,31.06
110,6_J,1o,68.29,0.64,31.07
111,2_7,2osame,68.25,0.78,30.97
112,2_7,2osame,68.25,0.78,30.97
113,2_8,2osame,68.22,0.78,31.0
114,2_8,2osame,68.22,0.78,31.0
115,9_Q,2s,68.21,2.45,29.34
116,2_T,2odifferent,68.18,0.68,31.13
117,3_8,2osame,68.17,0.78,31.05
118,3_8,2osame,68.17,0.78,31.05
119,3_K,1s,68.16,5.89,25.95
120,J_Q,2s,68.15,2.41,29.44
121,3_J,2odifferent,68.13,0.66,31.21
122,4_T,1o,67.96,0.7,31.34
123,3_9,2osame,67.96,0.77,31.27
124,3_9,2osame,67.96,0.77,31.28
125,4_T,1o,67.96,0.69,31.35
126,5_J,1o,67.93,0.69,31.38
127,5_T,1o,67.92,0.69,31.39
128,5_T,1o,67.92,0.69,31.38
129,5_J,1o,67.92,0.69,31.4
130,4_9,2osame,67.91,0.77,31.32
131,4_9,2osame,67.91,0.77,31.32
132,8_K,1s,67.87,5.59,26.53
133,T_Q,2s,67.86,2.4,29.74
134,2_9,1o,67.81,0.75,31.44
135,7_J,2osame,67.81,0.73,31.46
136,7_J,2osame,67.81,0.73,31.46
137,2_9,1o,67.81,0.7,31.48
138,3_T,2odifferent,67.79,0.65,31.56
139,4_J,2odifferent,67.75,0.63,31.62
140,6_J,2odifferent,67.74,0.57,31.7
141,J_K,1s,67.74,5.46,26.81
142,4_K,1s,67.73,5.81,26.45
143,2_7,1o,67.71,0.7,31.59
144,2_7,1o,67.7,0.74,31.56
145,2_8,1o,67.68,0.74,31.58
146,2_8,1o,67.68,0.7,31.62
147,3_8,1o,67.63,0.72,31.65
148,3_8,1o,67.63,0.7,31.67
149,7_K,1s,67.58,5.62,26.8
