,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_Q,1o,93.62,2.07,4.31
1,3_Q,1o,93.19,2.05,4.76
2,7_Q,1o,92.81,1.98,5.21
3,4_Q,1o,92.76,2.04,5.21
4,2_Q,2odifferent,92.76,2.01,5.23
5,6_Q,1o,92.38,1.97,5.65
6,3_Q,2odifferent,92.34,1.97,5.69
7,5_Q,1o,92.32,2.02,5.65
8,7_Q,2odifferent,91.97,1.88,6.15
9,4_Q,2odifferent,91.92,1.95,6.14
10,6_Q,2odifferent,91.55,1.87,6.59
11,5_Q,2odifferent,91.49,1.93,6.58
12,8_Q,1o,91.43,1.88,6.69
13,8_Q,2odifferent,90.61,1.78,7.61
14,9_Q,1o,90.05,1.78,8.17
15,2_J,2osame,89.25,0.51,10.25
16,2_J,2osame,89.25,0.51,10.25
17,9_Q,2odifferent,89.25,1.68,9.08
18,2_7,2osame,88.88,0.49,10.63
19,2_7,2osame,88.88,0.49,10.63
20,3_J,2osame,88.81,0.49,10.7
21,2_T,2osame,88.81,0.49,10.7
22,3_J,2osame,88.81,0.49,10.7
23,2_T,2osame,88.81,0.49,10.7
24,J_Q,1o,88.62,1.67,9.71
25,2_9,2osame,88.55,0.49,10.97
26,2_9,2osame,88.55,0.49,10.97
27,2_J,1o,88.49,0.43,11.08
28,2_J,1o,88.49,0.47,11.04
29,6_J,2osame,88.42,0.42,11.16
30,6_J,2osame,88.42,0.42,11.16
31,3_T,2osame,88.37,0.48,11.15
32,4_J,2osame,88.37,0.48,11.15
33,3_T,2osame,88.37,0.48,11.15
34,4_J,2osame,88.37,0.48,11.15
35,2_8,2osame,88.31,0.48,11.21
36,3_8,2osame,88.31,0.48,11.21
37,2_8,2osame,88.31,0.48,11.21
38,3_8,2osame,88.31,0.48,11.21
39,T_Q,1o,88.19,1.65,10.15
40,2_7,1o,88.13,0.41,11.46
41,2_7,1o,88.13,0.45,11.42
42,3_9,2osame,88.11,0.47,11.42
43,3_9,2osame,88.11,0.47,11.42
44,4_9,2osame,88.1,0.47,11.42
45,4_9,2osame,88.1,0.47,11.42
46,2_T,1o,88.06,0.41,11.53
47,3_J,1o,88.06,0.44,11.5
48,2_T,1o,88.06,0.46,11.48
49,3_J,1o,88.05,0.41,11.53
50,2_Q,2s,88.0,1.91,10.1
51,5_J,2osame,87.93,0.47,11.61
52,5_J,2osame,87.93,0.47,11.61
53,4_T,2osame,87.93,0.47,11.61
54,4_T,2osame,87.93,0.47,11.61
55,5_T,2osame,87.92,0.47,11.61
56,5_T,2osame,87.92,0.47,11.61
57,J_Q,2odifferent,87.84,1.57,10.59
58,2_9,1o,87.8,0.45,11.75
59,2_9,1o,87.8,0.41,11.79
60,2_J,2odifferent,87.73,0.39,11.88
61,6_J,1o,87.68,0.35,11.97
62,6_J,1o,87.67,0.34,11.98
63,4_J,1o,87.63,0.41,11.96
64,3_T,1o,87.63,0.43,11.95
65,4_J,1o,87.62,0.4,11.98
66,3_T,1o,87.62,0.4,11.98
67,3_Q,2s,87.6,1.9,10.5
68,2_8,1o,87.57,0.4,12.03
69,3_8,1o,87.57,0.4,12.03
70,3_8,1o,87.57,0.43,12.01
71,2_8,1o,87.57,0.45,11.99
72,T_Q,2odifferent,87.41,1.55,11.03
73,2_7,2odifferent,87.38,0.37,12.25
74,4_9,1o,87.37,0.39,12.24
75,3_9,1o,87.37,0.39,12.24
76,4_9,1o,87.37,0.41,12.22
77,3_9,1o,87.37,0.42,12.21
78,3_J,2odifferent,87.31,0.36,12.33
79,2_T,2odifferent,87.31,0.38,12.31
80,7_Q,2s,87.26,1.83,10.91
81,4_Q,2s,87.21,1.88,10.91
82,4_T,1o,87.2,0.4,12.4
83,5_T,1o,87.2,0.39,12.41
84,5_J,1o,87.2,0.39,12.41
85,4_T,1o,87.19,0.39,12.42
86,5_T,1o,87.19,0.39,12.43
87,5_J,1o,87.19,0.39,12.43
88,7_J,2osame,87.12,0.44,12.44
89,7_J,2osame,87.12,0.44,12.44
90,3_7,2osame,87.11,0.48,12.42
91,2_6,2osame,87.11,0.48,12.41
92,2_6,2osame,87.11,0.48,12.41
93,3_7,2osame,87.11,0.48,12.42
94,2_9,2odifferent,87.05,0.37,12.57
95,6_J,2odifferent,86.94,0.27,12.8
96,4_J,2odifferent,86.88,0.33,12.78
97,3_T,2odifferent,86.88,0.35,12.77
98,6_Q,2s,86.86,1.82,11.31
99,3_8,2odifferent,86.83,0.35,12.83
100,2_8,2odifferent,86.83,0.36,12.81
101,5_Q,2s,86.81,1.87,11.31
102,8_J,2osame,86.71,0.45,12.85
103,8_J,2osame,86.71,0.45,12.85
104,6_T,2osame,86.64,0.41,12.94
105,6_T,2osame,86.64,0.41,12.94
106,4_9,2odifferent,86.63,0.33,13.04
107,3_9,2odifferent,86.63,0.34,13.03
108,9_J,2osame,86.57,0.45,12.98
109,9_J,2osame,86.57,0.45,12.98
110,4_8,2osame,86.53,0.47,13.0
111,4_8,2osame,86.53,0.47,13.0
112,5_J,2odifferent,86.46,0.31,13.23
113,5_T,2odifferent,86.46,0.31,13.23
114,4_T,2odifferent,86.46,0.32,13.22
115,7_J,1o,86.4,0.36,13.24
116,2_6,1o,86.39,0.4,13.21
117,7_J,1o,86.39,0.36,13.25
118,3_7,1o,86.38,0.4,13.22
119,3_7,1o,86.38,0.42,13.2
120,2_6,1o,86.38,0.44,13.18
121,5_9,2osame,86.33,0.46,13.21
122,5_9,2osame,86.33,0.46,13.21
123,T_J,2osame,86.28,0.46,13.26
124,T_J,2osame,86.28,0.46,13.26
125,2_3,2osame,86.16,0.55,13.29
126,2_3,2osame,86.16,0.55,13.29
127,8_J,1o,86.0,0.37,13.63
128,8_J,1o,85.99,0.37,13.64
129,8_Q,2s,85.98,1.75,12.27
130,6_T,1o,85.94,0.33,13.73
131,6_T,1o,85.93,0.33,13.74
132,9_J,1o,85.86,0.37,13.77
133,9_J,1o,85.85,0.38,13.77
134,4_8,1o,85.82,0.39,13.79
135,4_8,1o,85.82,0.4,13.78
136,2_4,2osame,85.72,0.54,13.74
137,2_4,2osame,85.72,0.54,13.74
138,7_J,2odifferent,85.67,0.28,14.05
139,2_6,2odifferent,85.66,0.36,13.98
140,3_7,2odifferent,85.66,0.34,14.0
141,5_9,1o,85.62,0.39,13.99
142,5_9,1o,85.61,0.38,14.0
143,T_J,1o,85.58,0.38,14.04
144,T_J,1o,85.58,0.38,14.04
145,2_3,1o,85.44,0.52,14.04
146,2_3,1o,85.44,0.5,14.06
147,7_T,2osame,85.35,0.43,14.23
148,7_T,2osame,85.35,0.43,14.23
149,3_6,2osame,85.33,0.47,14.2
150,4_7,2osame,85.33,0.47,14.2
151,4_7,2osame,85.33,0.47,14.2
152,3_6,2osame,85.33,0.47,14.2
153,2_5,2osame,85.28,0.53,14.2
154,8_J,2odifferent,85.28,0.29,14.43
155,2_5,2osame,85.28,0.53,14.2
156,6_T,2odifferent,85.22,0.26,14.53
157,9_J,2odifferent,85.15,0.3,14.56
158,4_8,2odifferent,85.11,0.32,14.57
159,6_9,2osame,85.05,0.41,14.54
160,6_9,2osame,85.05,0.41,14.54
161,2_4,1o,85.01,0.5,14.49
162,2_4,1o,85.01,0.47,14.51
163,8_T,2osame,84.93,0.43,14.63
164,8_T,2osame,84.93,0.43,14.63
165,5_9,2odifferent,84.91,0.31,14.78
166,T_J,2odifferent,84.88,0.3,14.82
167,2_J,1s,84.84,0.49,14.68
168,9_T,2osame,84.79,0.44,14.77
169,9_T,2osame,84.79,0.44,14.77
170,5_8,2osame,84.76,0.46,14.78
171,5_8,2osame,84.76,0.46,14.78
172,2_3,2odifferent,84.73,0.46,14.81
173,9_Q,2s,84.7,1.67,13.62
174,7_T,1o,84.65,0.35,15.0
