,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_T,2osame,76.69,2.71,20.6
1,3_T,2osame,76.16,2.7,21.15
2,2_T,1o,76.05,2.6,21.34
3,4_T,2osame,75.64,2.68,21.68
4,3_T,1o,75.53,2.59,21.88
5,5_T,2osame,75.52,2.68,21.8
6,2_T,2odifferent,75.37,2.54,22.09
7,4_T,1o,75.02,2.57,22.41
8,5_T,1o,74.9,2.57,22.53
9,3_T,2odifferent,74.85,2.51,22.64
10,4_T,2odifferent,74.35,2.48,23.17
11,5_T,2odifferent,74.23,2.47,23.3
12,6_T,2osame,73.86,2.53,23.61
13,T_K,2osame,73.4,2.11,24.5
14,6_T,1o,73.27,2.42,24.31
15,T_K,2odifferent,72.87,1.91,25.23
16,T_K,1o,72.8,2.01,25.2
17,7_T,2osame,72.63,2.41,24.96
18,6_T,2odifferent,72.62,2.32,25.06
19,7_T,1o,72.05,2.3,25.64
20,T_Q,2osame,71.82,1.99,26.19
21,9_T,2osame,71.65,2.32,26.03
22,7_T,2odifferent,71.42,2.2,26.38
23,8_T,2osame,71.35,2.31,26.34
24,T_Q,2odifferent,71.33,1.79,26.87
25,T_Q,1o,71.24,1.89,26.87
26,9_T,1o,71.09,2.21,26.7
27,2_T,2s,70.96,2.42,26.61
28,8_T,1o,70.79,2.2,27.01
29,3_T,2s,70.48,2.41,27.11
30,9_T,2odifferent,70.46,2.11,27.43
31,T_J,2osame,70.24,1.88,27.88
32,8_T,2odifferent,70.17,2.1,27.73
33,4_T,2s,70.0,2.4,27.6
34,5_T,2s,69.88,2.4,27.72
35,T_J,2odifferent,69.8,1.68,28.52
36,T_J,1o,69.69,1.78,28.54
37,2_9,2osame,68.77,0.53,30.7
38,2_9,2osame,68.76,0.53,30.71
39,T_K,2s,68.62,1.88,29.49
40,2_7,2osame,68.57,0.53,30.9
41,2_7,2osame,68.56,0.53,30.91
42,2_8,2osame,68.44,0.52,31.05
43,2_8,2osame,68.43,0.52,31.05
44,3_8,2osame,68.38,0.52,31.1
45,3_9,2osame,68.37,0.51,31.12
46,3_8,2osame,68.37,0.52,31.11
47,3_9,2osame,68.36,0.52,31.13
48,6_T,2s,68.36,2.27,29.37
49,4_9,2osame,68.32,0.51,31.16
50,4_9,2osame,68.31,0.52,31.17
51,2_9,1o,68.22,0.45,31.33
52,2_9,1o,68.22,0.49,31.29
53,2_7,1o,68.02,0.49,31.49
54,2_7,1o,68.02,0.45,31.53
55,2_8,1o,67.89,0.44,31.67
56,2_8,1o,67.89,0.48,31.63
57,3_8,1o,67.84,0.44,31.73
58,3_8,1o,67.84,0.46,31.7
59,3_9,1o,67.82,0.44,31.75
60,3_9,1o,67.82,0.46,31.72
61,4_9,1o,67.78,0.45,31.77
62,4_9,1o,67.77,0.44,31.79
63,2_9,2odifferent,67.67,0.42,31.92
64,2_7,2odifferent,67.48,0.41,32.11
65,2_8,2odifferent,67.35,0.4,32.25
66,3_8,2odifferent,67.29,0.38,32.32
67,3_9,2odifferent,67.28,0.38,32.34
68,7_T,2s,67.24,2.18,30.58
69,4_9,2odifferent,67.23,0.37,32.4
70,T_Q,2s,67.2,1.8,31.01
71,3_7,2osame,67.14,0.52,32.34
72,3_7,2osame,67.14,0.52,32.35
73,2_6,2osame,67.05,0.54,32.41
74,2_6,2osame,67.05,0.54,32.41
75,9_A,1o,66.99,10.67,22.34
76,4_8,2osame,66.96,0.51,32.54
77,4_8,2osame,66.96,0.5,32.53
78,5_9,2osame,66.91,0.51,32.57
79,5_9,2osame,66.91,0.51,32.58
80,9_A,2osame,66.9,10.82,22.28
81,8_A,1o,66.65,10.7,22.65
82,3_7,1o,66.62,0.44,32.95
83,3_7,1o,66.62,0.46,32.92
84,8_A,2osame,66.56,10.85,22.59
85,2_6,1o,66.53,0.46,33.01
86,6_A,1o,66.53,10.33,23.14
87,2_6,1o,66.52,0.5,32.97
