,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_T,2osame,74.2,5.7,20.1
1,3_T,2osame,73.7,5.66,20.64
2,2_T,1o,73.58,5.56,20.86
3,6_T,2osame,73.47,5.52,21.01
4,4_T,2osame,73.2,5.62,21.18
5,5_T,2osame,73.11,5.59,21.3
6,3_T,1o,73.09,5.52,21.39
7,2_T,2odifferent,72.92,5.46,21.62
8,6_T,1o,72.86,5.38,21.76
9,4_T,1o,72.6,5.48,21.92
10,5_T,1o,72.51,5.45,22.04
11,3_T,2odifferent,72.43,5.4,22.16
12,6_T,2odifferent,72.21,5.25,22.55
13,4_T,2odifferent,71.95,5.35,22.7
14,5_T,2odifferent,71.86,5.32,22.82
15,7_T,2osame,71.86,5.42,22.72
16,8_T,2osame,71.49,5.34,23.16
17,9_T,2osame,71.47,5.29,23.24
18,7_T,1o,71.28,5.28,23.44
19,8_T,1o,70.91,5.21,23.88
20,9_T,1o,70.89,5.15,23.97
21,7_T,2odifferent,70.64,5.14,24.21
22,2_9,2osame,70.62,1.29,28.09
23,2_9,2osame,70.62,1.29,28.09
24,8_T,2odifferent,70.29,5.07,24.65
25,9_T,2odifferent,70.26,5.01,24.73
26,3_9,2osame,70.22,1.28,28.51
27,3_9,2osame,70.22,1.28,28.51
28,4_9,2osame,70.17,1.28,28.55
29,4_9,2osame,70.17,1.28,28.55
30,2_9,1o,70.03,1.21,28.76
31,2_9,1o,70.03,1.26,28.72
32,2_8,2osame,69.82,1.27,28.91
33,2_8,2osame,69.82,1.27,28.91
34,3_8,2osame,69.77,1.27,28.97
35,3_8,2osame,69.77,1.27,28.97
36,3_9,1o,69.63,1.2,29.17
37,3_9,1o,69.63,1.22,29.14
38,4_9,1o,69.59,1.21,29.2
39,4_9,1o,69.58,1.2,29.22
40,2_7,2osame,69.47,1.27,29.27
41,2_7,2osame,69.47,1.27,29.26
42,2_9,2odifferent,69.43,1.18,29.39
43,2_8,1o,69.24,1.19,29.57
44,2_8,1o,69.24,1.23,29.53
45,3_8,1o,69.19,1.19,29.62
46,3_8,1o,69.19,1.21,29.6
47,3_9,2odifferent,69.04,1.14,29.81
48,4_9,2odifferent,69.0,1.13,29.87
49,2_7,1o,68.9,1.19,29.91
50,2_7,1o,68.89,1.23,29.87
51,5_9,2osame,68.76,1.28,29.96
52,5_9,2osame,68.76,1.28,29.96
53,2_8,2odifferent,68.66,1.15,30.19
54,3_8,2odifferent,68.61,1.13,30.26
55,2_T,2s,68.59,5.27,26.14
56,4_8,2osame,68.35,1.25,30.4
57,4_8,2osame,68.35,1.25,30.4
58,2_6,2osame,68.32,1.26,30.41
59,2_6,2osame,68.32,1.27,30.41
60,2_7,2odifferent,68.32,1.15,30.53
61,5_9,1o,68.2,1.2,30.6
62,5_9,1o,68.19,1.2,30.61
63,3_T,2s,68.13,5.23,26.64
64,3_7,2osame,68.04,1.26,30.7
65,3_7,2osame,68.04,1.26,30.7
66,6_T,2s,67.9,5.1,27.0
67,6_9,2osame,67.88,1.23,30.89
68,6_9,2osame,67.88,1.23,30.89
69,2_J,1o,67.82,11.28,20.91
70,4_8,1o,67.79,1.17,31.04
71,4_8,1o,67.79,1.19,31.02
72,2_6,1o,67.77,1.19,31.04
73,2_6,1o,67.76,1.23,31.01
