,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_T,2osame,74.84,4.76,20.4
1,3_T,2osame,74.33,4.72,20.94
2,2_T,1o,74.22,4.62,21.15
3,4_T,2osame,73.83,4.69,21.48
4,5_T,2osame,73.72,4.67,21.6
5,3_T,1o,73.72,4.59,21.69
6,2_T,2odifferent,73.55,4.54,21.91
7,4_T,1o,73.22,4.56,22.22
8,5_T,1o,73.12,4.54,22.34
9,3_T,2odifferent,73.06,4.49,22.45
10,7_T,2osame,72.81,4.49,22.7
11,4_T,2odifferent,72.57,4.44,22.99
12,6_T,2osame,72.5,4.5,23.0
13,5_T,2odifferent,72.47,4.42,23.11
14,7_T,1o,72.21,4.36,23.42
15,6_T,1o,71.91,4.37,23.72
16,7_T,2odifferent,71.57,4.23,24.2
17,T_J,2osame,71.48,3.91,24.61
18,6_T,2odifferent,71.28,4.24,24.48
19,8_T,2osame,71.2,4.4,24.4
20,T_J,2odifferent,70.99,3.67,25.34
21,T_J,1o,70.89,3.79,25.32
22,9_T,2osame,70.83,4.33,24.84
23,8_T,1o,70.63,4.27,25.1
24,9_T,1o,70.26,4.2,25.54
25,8_T,2odifferent,70.0,4.14,25.85
26,2_9,2osame,69.8,1.01,29.19
27,2_9,2osame,69.79,1.01,29.19
28,9_T,2odifferent,69.64,4.07,26.28
29,3_9,2osame,69.39,1.0,29.61
30,3_9,2osame,69.39,1.0,29.61
31,4_9,2osame,69.35,1.0,29.65
32,4_9,2osame,69.34,1.0,29.66
33,2_9,1o,69.22,0.98,29.8
34,2_9,1o,69.22,0.93,29.85
35,2_T,2s,69.2,4.37,26.43
36,2_8,2osame,69.03,1.0,29.97
37,2_8,2osame,69.03,1.0,29.97
38,3_8,2osame,68.98,1.0,30.02
39,3_8,2osame,68.97,1.0,30.03
40,2_7,2osame,68.94,1.01,30.05
41,2_7,2osame,68.94,1.01,30.05
42,3_9,1o,68.83,0.94,30.23
43,3_9,1o,68.82,0.92,30.26
44,4_9,1o,68.78,0.92,30.31
45,4_9,1o,68.78,0.93,30.29
46,3_T,2s,68.73,4.34,26.92
47,2_9,2odifferent,68.65,0.9,30.46
48,2_8,1o,68.47,0.92,30.61
49,2_8,1o,68.47,0.96,30.57
50,3_8,1o,68.42,0.94,30.64
51,3_8,1o,68.41,0.92,30.67
52,2_7,1o,68.38,0.97,30.65
53,2_7,1o,68.38,0.93,30.69
54,4_T,2s,68.27,4.31,27.42
55,3_9,2odifferent,68.26,0.87,30.88
56,4_9,2odifferent,68.21,0.85,30.94
57,5_T,2s,68.17,4.29,27.54
58,5_9,2osame,67.94,1.0,31.06
59,5_9,2osame,67.94,1.0,31.07
60,2_8,2odifferent,67.9,0.88,31.21
61,3_8,2odifferent,67.85,0.87,31.28
62,2_J,2osame,67.84,1.05,31.11
63,2_Q,1o,67.82,10.97,21.2
64,2_7,2odifferent,67.82,0.89,31.28
65,2_Q,2osame,67.74,11.13,21.13
66,2_6,2osame,67.6,1.0,31.4
67,2_6,2osame,67.6,1.0,31.4
68,4_8,2osame,67.56,0.99,31.45
